date,open,high,low,close,adjusted_close,volume
2023-07-31,49.79,49.88,48.68,48.82,48.82,207000
2023-07-28,49.74,49.97,49.41,49.55,49.55,128800
2023-07-27,49.0,49.52,48.72,49.24,49.24,149300
2023-07-26,48.67,48.93,48.49,48.88,48.88,116900
2023-07-25,48.36,48.94,48.26,48.65,48.65,118700
2023-07-24,47.65,48.99,47.58,48.35,48.35,200400
2023-07-21,48.75,48.75,47.52,47.77,47.77,172391
2023-07-20,48.47,48.74,47.825,48.31,48.31,156807
2023-07-19,48.58,48.63,47.71,48.2,48.2,175279
2023-07-18,47.8,48.84,47.77,48.38,48.38,155205
2023-07-17,46.77,48.09,46.61,47.8,47.8,155652
2023-07-14,47.45,47.45,46.3303,46.65,46.65,106657
2023-07-13,46.96,47.455,46.525,47.41,47.41,120234
2023-07-12,47.7,48.0,46.79,46.93,46.93,157882
2023-07-11,46.91,47.61,46.53,46.97,46.97,93237
2023-07-10,46.49,47.38,46.02,46.51,46.51,166296
2023-07-07,45.86,47.26,45.805,46.68,46.68,144417
2023-07-06,47.08,47.712,44.85,45.59,45.59,297838
2023-07-05,47.87,48.0,46.965,47.53,47.53,257674
2023-07-03,46.35,47.89,45.89,47.87,47.87,145749
2023-06-30,45.75,46.63,45.49,46.15,46.15,175687
2023-06-29,45.62,46.78,45.41,45.7,45.515,158643
2023-06-28,45.15,45.69,44.63,45.56,45.3756,132204
2023-06-27,44.26,45.28,44.235,45.2,45.017,115191
2023-06-26,45.18,45.54,42.95,44.44,44.2601,238292
2023-06-23,44.44,45.4,44.055,45.24,45.0569,391293
2023-06-22,45.6,45.6,44.41,44.93,44.7481,208062
2023-06-21,44.7,45.16,44.32,44.97,44.788,211924
2023-06-20,44.95,45.19,43.94,44.73,44.5489,334633
2023-06-16,44.58,45.73,43.82,44.95,44.768,1827813
2023-06-15,44.34,44.83,44.1,44.32,44.1406,255961
2023-06-14,45.58,45.7,44.15,44.54,44.3597,405007
