date,open,high,low,close,adjusted_close,volume
2023-07-31,24.0,24.0,23.0,23.33,23.33,142200
2023-07-28,24.7,25.05,23.99,24.03,24.03,69200
2023-07-27,25.11,25.14,24.41,24.58,24.58,148400
2023-07-26,24.7,25.13,24.7,25.0,25.0,92100
2023-07-25,25.0,25.2,24.67,24.79,24.79,80800
2023-07-24,25.3,25.48,24.96,25.07,25.07,78400
2023-07-21,25.63,25.75,25.22,25.34,25.34,50800
2023-07-20,25.23,25.91,25.05,25.45,25.45,48900
2023-07-19,25.06,25.32,24.98,25.13,25.13,69300
2023-07-18,25.08,26.14,24.97,25.06,25.06,54900
2023-07-17,24.87,25.18,24.84,25.0,25.0,67400
2023-07-14,25.28,25.28,24.9,24.94,24.94,54700
2023-07-13,25.84,25.95,25.29,25.38,25.38,57700
2023-07-12,25.44,26.32,25.17,25.89,25.89,60300
2023-07-11,25.13,25.39,24.89,25.14,25.14,85900
2023-07-10,24.85,25.38,24.85,25.09,25.09,117000
2023-07-07,24.92,25.25,24.72,24.85,24.85,94100
2023-07-06,25.49,25.51,24.99,25.01,25.01,79900
2023-07-05,25.92,26.09,25.5,25.53,25.53,114800
2023-07-03,25.98,26.15,25.84,26.1,26.1,46900
2023-06-30,26.26,26.49,25.97,25.98,25.98,87900
2023-06-29,26.25,26.59,26.08,26.14,26.14,96100
2023-06-28,26.13,26.4,26.01,26.18,26.18,125000
2023-06-27,26.19,26.34,25.86,26.12,26.12,125100
2023-06-26,26.56,26.56,25.86,26.09,26.09,107100
2023-06-23,26.4,26.96,26.28,26.64,26.64,229300
2023-06-22,26.94,26.94,26.64,26.67,26.67,95600
2023-06-21,27.07,27.37,26.69,26.89,26.89,68200
2023-06-20,26.57,27.13,25.98,27.08,27.08,108500
2023-06-16,27.09,27.09,26.54,26.57,26.57,202500
2023-06-15,26.84,27.05,26.67,26.81,26.81,51400
2023-06-14,27.44,27.76,26.8,26.92,26.92,69100
2023-06-13,27.5,27.98,27.14,27.34,27.34,63400
2023-06-12,27.79,28.13,27.5,27.65,27.65,46500
2023-06-09,26.82,27.74,26.59,27.6,27.6,42000
2023-06-08,26.79,27.01,26.45,26.81,26.81,82000
2023-06-07,26.95,27.1,26.6,26.79,26.79,80900
2023-06-06,26.54,27.75,26.45,26.95,26.95,68700
2023-06-05,27.02,27.03,26.04,26.73,26.73,59700
2023-06-02,26.92,27.51,26.61,27.27,27.27,81100
2023-06-01,26.95,27.29,26.52,26.72,26.72,69700
2023-05-31,26.97,27.49,26.35,27.09,27.09,76300
2023-05-30,27.26,27.57,26.74,27.06,27.06,46900
2023-05-26,26.72,27.49,26.68,27.37,27.37,36900
2023-05-25,26.92,27.02,26.6,26.88,26.88,49700
2023-05-24,26.93,27.21,26.39,27.02,27.02,64300
2023-05-23,26.78,27.41,26.6,27.03,27.03,48400
2023-05-22,26.68,27.41,26.6,26.98,26.98,89500
2023-05-19,26.26,26.61,26.0,26.52,26.52,88500
2023-05-18,25.85,26.08,25.48,25.98,25.98,64000
2023-05-17,25.5,26.11,25.19,26.02,26.02,50300
2023-05-16,25.32,25.74,25.2,25.48,25.48,47300
2023-05-15,25.2,25.77,25.0,25.7,25.7,49000
2023-05-12,25.3,25.58,25.0,25.16,25.16,58800
2023-05-11,25.01,25.75,24.85,25.31,25.31,54400
2023-05-10,26.25,26.25,24.49,25.26,25.26,108700
2023-05-09,25.75,25.95,25.29,25.29,25.29,71400
2023-05-08,26.11,26.38,25.61,25.98,25.98,75400
2023-05-05,26.21,26.42,25.83,25.87,25.87,58700
2023-05-04,25.91,26.0,25.32,25.83,25.83,68700
2023-05-03,25.84,26.4,25.59,26.0,26.0,96100
2023-05-02,25.99,26.11,25.59,25.83,25.83,111400
2023-05-01,25.71,26.2,25.6,26.0,26.0,58900
2023-04-28,25.93,26.06,25.58,25.66,25.66,55500
2023-04-27,26.42,26.47,25.73,25.8,25.8,58300
2023-04-26,26.64,26.88,26.03,26.34,26.34,44800
2023-04-25,26.54,26.84,26.07,26.7,26.7,78500
2023-04-24,27.05,27.14,26.17,26.69,26.69,80900
2023-04-21,27.07,27.44,26.64,27.07,27.07,108800
2023-04-20,27.36,27.66,26.86,27.23,27.23,76900
2023-04-19,27.63,28.5814,27.2,27.34,27.34,72542
2023-04-18,28.82,28.82,27.52,27.82,27.82,45060
2023-04-17,27.8,28.87,27.7,28.77,28.77,88654
2023-04-14,27.92,28.84,26.99,27.72,27.72,188555
2023-04-13,27.27,27.565,27.015,27.22,27.22,72490
2023-04-12,27.74,28.535,27.15,27.23,27.23,40080
2023-04-11,27.303,28.47,27.3,27.68,27.68,47867
2023-04-10,28.37,28.52,28.0,28.3,28.3,37272
2023-04-06,28.37,28.71,27.95,28.53,28.53,35661
