date,open,high,low,close,adjusted_close,volume
2023-07-31,31.31,31.89,31.17,31.4,31.4,1526400
2023-07-28,30.73,31.33,30.48,31.26,31.26,2014200
2023-07-27,30.59,31.1,29.95,29.98,29.98,2646300
2023-07-26,28.19,29.98,28.19,29.94,29.94,1880300
2023-07-25,28.4,28.93,28.393,28.64,28.64,1323300
2023-07-24,29.5,29.5,27.96,28.15,28.15,1442200
2023-07-21,28.48,28.51,27.97,28.1,28.1,1094800
2023-07-20,28.07,28.18,27.32,28.03,28.03,2525300
2023-07-19,28.6,29.125,28.13,28.57,28.57,1519000
2023-07-18,28.7,28.759,28.27,28.31,28.31,1215400
2023-07-17,28.3,28.72,27.86,28.46,28.46,1072100
2023-07-14,28.98,29.125,28.08,28.15,28.15,1112700
2023-07-13,28.55,29.25,28.33,28.99,28.99,2518700
2023-07-12,28.5,28.56,27.85,28.3,28.3,1504800
2023-07-11,27.22,28.59,26.92,28.09,28.09,2805200
2023-07-10,25.83,27.14,25.82,27.08,27.08,1999900
2023-07-07,25.76,26.54,25.73,25.99,25.99,1505200
2023-07-06,26.02,26.12,25.24,25.55,25.55,1878900
2023-07-05,25.79,26.65,25.79,26.56,26.56,1757100
2023-07-03,25.65,25.995,25.54,25.92,25.92,759200
2023-06-30,26.04,26.32,25.7,25.73,25.73,2090900
2023-06-29,25.7,25.76,25.111,25.57,25.57,1486900
2023-06-28,25.92,26.618,25.665,25.71,25.71,2181400
2023-06-27,24.52,26.155,24.52,26.04,26.04,2516400
2023-06-26,23.49,24.7,23.475,24.19,24.19,1800200
2023-06-23,23.3,23.51,22.85,23.39,23.39,4326600
2023-06-22,23.22,23.77,22.954,23.7,23.7,1333100
2023-06-21,23.63,23.79,23.18,23.35,23.35,1782300
2023-06-20,23.69,24.295,23.22,23.58,23.58,2908200
2023-06-16,23.3,24.43,23.09,23.97,23.97,7120300
2023-06-15,22.19,23.46,22.11,23.21,23.21,2228000
2023-06-14,22.51,22.78,21.87,22.5,22.5,2264300
2023-06-13,22.71,23.12,22.19,22.52,22.52,2016800
2023-06-12,22.83,22.83,22.16,22.38,22.38,2137800
2023-06-09,22.39,23.51,22.345,22.66,22.66,1963000
2023-06-08,21.44,22.86,21.33,22.49,22.49,3651200
2023-06-07,23.58,23.7,21.035,21.535,21.535,6511100
2023-06-06,25.65,25.72,23.24,23.3,23.3,4938300
2023-06-05,24.79,25.79,24.19,25.6,25.6,3630000
2023-06-02,25.04,25.647,24.61,24.81,24.81,2718300
2023-06-01,24.51,25.0,24.13,24.83,24.83,1908900
2023-05-31,23.99,25.179,23.88,25.01,25.01,3578300
2023-05-30,24.61,24.91,24.115,24.23,24.23,2196400
2023-05-26,24.14,24.486,23.87,24.05,24.05,1772000
2023-05-25,24.93,25.075,23.65,24.05,24.05,1905400
2023-05-24,24.39,24.85,24.23,24.43,24.43,1749000
2023-05-23,24.93,25.5,24.72,24.81,24.81,1819500
2023-05-22,25.17,25.34,24.535,25.09,25.09,3246900
2023-05-19,25.08,25.24,24.698,25.12,25.12,2217400
2023-05-18,24.43,25.203,24.28,25.08,25.08,4548200
2023-05-17,24.37,25.01,24.05,24.38,24.38,5482300
2023-05-16,22.5,23.11,22.075,22.88,22.88,2594200
2023-05-15,21.55,22.93,21.37,22.63,22.63,3835100
2023-05-12,22.68,22.68,21.12,21.51,21.51,3462000
2023-05-11,21.755,22.995,20.9,22.0,22.0,15089800
2023-05-10,17.74,18.06,17.565,17.81,17.81,4608900
2023-05-09,17.41,17.75,17.25,17.33,17.33,3295900
2023-05-08,17.2,17.915,17.2,17.62,17.62,2333700
2023-05-05,16.9,17.26,16.85,17.16,17.16,1757100
2023-05-04,16.65,17.035,16.56,16.62,16.62,2322800
2023-05-03,16.36,17.19,16.35,16.45,16.45,2243200
2023-05-02,16.81,16.91,15.7,16.26,16.26,2790400
2023-05-01,16.97,17.11,16.685,16.87,16.87,3190800
2023-04-28,16.96,17.32,16.68,17.0,17.0,2051500
2023-04-27,16.48,17.34,16.38,17.03,17.03,2945300
2023-04-26,15.76,16.37,15.61,15.94,15.94,3049000
2023-04-25,15.76,15.79,15.41,15.44,15.44,1740900
2023-04-24,16.53,16.59,15.59,15.86,15.86,2439900
2023-04-21,16.59,16.715,16.315,16.43,16.43,2039800
2023-04-20,16.5,16.865,16.39,16.49,16.49,2077000
2023-04-19,16.33,17.08,16.27,16.77,16.77,2262600
2023-04-18,16.61,16.73,16.325,16.6,16.6,1790807
2023-04-17,16.41,16.845,16.17,16.34,16.34,2329815
2023-04-14,16.3,16.555,16.12,16.47,16.47,2246900
2023-04-13,16.37,16.83,16.3,16.36,16.36,2961500
2023-04-12,16.41,16.41,15.85,16.16,16.16,2765300
2023-04-11,15.86,16.16,15.77,15.96,15.96,2146000
2023-04-10,15.45,15.92,15.26,15.86,15.86,2247500
2023-04-06,15.62,15.95,15.26,15.72,15.72,2306500
2023-04-05,16.31,16.36,15.25,15.7,15.7,3350700
2023-04-04,15.92,16.56,15.92,16.4,16.4,2607600
2023-04-03,15.62,16.008,15.56,15.83,15.83,2150900
2023-03-31,15.22,15.88,15.07,15.75,15.75,2517300
2023-03-30,15.34,15.38,14.905,15.0,15.0,2675900
2023-03-29,14.28,15.06,14.24,14.98,14.98,2725700
2023-03-28,14.11,14.145,13.83,13.97,13.97,1740100
2023-03-27,14.25,14.35,13.685,14.15,14.15,2424000
2023-03-24,14.15,14.345,13.85,14.17,14.17,1728300
2023-03-23,14.15,14.735,14.05,14.19,14.19,1817200
2023-03-22,14.27,14.405,13.79,13.81,13.81,2212200
