date,open,high,low,close,adjusted_close,volume
2023-07-31,20.33,20.79,20.11,20.12,20.12,37900
2023-07-28,20.35,20.99,20.12,20.24,20.24,40200
2023-07-27,20.75,21.12,20.06,20.2,20.2,36200
2023-07-26,20.33,20.66,20.21,20.52,20.52,36300
2023-07-25,20.9,21.01,20.01,20.03,20.03,37300
2023-07-24,21.21,22.1,20.83,21.13,21.13,62300
2023-07-21,21.81,21.81,21.25,21.25,21.25,35800
2023-07-20,22.14,22.14,21.54,21.75,21.75,35900
2023-07-19,21.37,22.25,21.06,22.13,22.13,48000
2023-07-18,20.42,21.56,20.42,21.39,21.39,55900
2023-07-17,19.92,20.69,19.8,20.45,20.45,41600
2023-07-14,20.35,20.35,19.5,19.8,19.8,41100
2023-07-13,20.37,20.68,20.03,20.26,20.26,30900
2023-07-12,20.71,20.81,20.25,20.36,20.36,44300
2023-07-11,20.12,20.34,19.87,20.27,20.27,32200
2023-07-10,19.93,20.67,19.82,20.07,20.07,32400
2023-07-07,19.21,20.18,19.21,19.93,19.93,69100
2023-07-06,19.7,19.7,18.78,19.19,19.19,58600
2023-07-05,20.33,20.33,19.6,19.66,19.66,53700
2023-07-03,20.2,20.65,20.0,20.33,20.33,29500
2023-06-30,20.82,20.82,20.11,20.14,20.14,32700
2023-06-29,21.1,21.35,20.6,20.6,20.6,36700
2023-06-28,20.98,21.13,20.35,21.02,21.02,57700
2023-06-27,21.01,21.73,20.72,21.02,21.02,40200
2023-06-26,20.82,21.37,20.65,20.95,20.95,78200
2023-06-23,19.98,21.59,19.84,21.17,21.17,250100
2023-06-22,20.66,20.66,20.06,20.26,20.26,35900
2023-06-21,20.78,21.23,20.32,20.82,20.82,40400
2023-06-20,21.32,21.32,20.51,20.78,20.78,45000
2023-06-16,22.04,22.05,21.18,21.31,21.31,69800
2023-06-15,21.65,22.05,21.28,21.85,21.85,48300
2023-06-14,21.9,22.27,21.4,21.5,21.5,52700
2023-06-13,21.11,22.06,21.1,21.97,21.97,52900
2023-06-12,21.95,22.12,20.95,21.12,21.12,44500
2023-06-09,21.91,22.3,21.51,21.69,21.69,24600
2023-06-08,22.37,22.37,21.6,21.76,21.76,39800
2023-06-07,21.14,22.79,21.14,22.55,22.55,94400
2023-06-06,19.21,21.11,19.21,20.83,20.83,73300
2023-06-05,19.98,20.13,19.0,19.34,19.34,60100
2023-06-02,18.41,20.1,18.34,20.02,20.02,68600
2023-06-01,18.21,18.51,17.63,18.2,18.2,57700
2023-05-31,19.22,19.22,18.06,18.24,17.97,116100
2023-05-30,19.34,19.41,18.87,19.22,18.9355,41300
2023-05-26,19.2,19.42,19.1,19.33,19.0439,33464
2023-05-25,19.66,19.98,19.0749,19.25,18.965,39722
2023-05-24,19.96,20.0125,19.54,19.73,19.4379,26325
2023-05-23,19.7,20.5087,19.7,19.96,19.6645,57736
2023-05-22,19.46,19.94,19.28,19.91,19.6153,60560
2023-05-19,19.99,19.99,18.9505,19.18,18.8961,36971
2023-05-18,19.75,19.92,19.25,19.67,19.3788,60923
2023-05-17,17.64,19.68,17.64,19.55,19.2606,130605
2023-05-16,18.83,19.19,17.73,17.85,17.5858,144426
2023-05-15,19.4,19.844,18.33,19.06,18.7779,120796
2023-05-12,20.04,20.04,19.3397,19.59,19.3,40772
2023-05-11,20.21,20.21,19.5815,19.92,19.6251,34990
2023-05-10,20.51,20.55,19.9129,20.18,19.8813,39527
2023-05-09,19.95,20.14,19.56,20.11,19.8123,35615
2023-05-08,21.07,21.23,19.9145,20.06,19.7631,46166
2023-05-05,20.39,21.5799,20.16,20.75,20.4428,60766
2023-05-04,20.14,20.47,19.1,19.92,19.6251,66255
2023-05-03,20.5,21.12,20.3004,20.41,20.1079,80445
2023-05-02,21.48,21.48,20.185,20.27,19.97,54505
2023-05-01,21.52,22.07,21.44,21.63,21.3098,53257
2023-04-28,21.72,22.01,21.4,21.59,21.2704,52417
2023-04-27,21.59,22.2188,21.59,21.79,21.4675,53277
2023-04-26,21.35,21.7,21.26,21.55,21.231,42740
2023-04-25,22.14,22.145,21.01,21.34,21.0241,63961
2023-04-24,22.44,22.59,22.17,22.21,21.8812,59077
2023-04-21,22.74,22.74,22.38,22.48,22.1472,34775
2023-04-20,23.2,23.2,22.6,22.8,22.4625,43126
2023-04-19,22.76,23.25,22.74,23.13,22.7876,44546
2023-04-18,23.36,23.38,22.62,22.69,22.3541,57358
2023-04-17,22.75,23.27,22.4001,23.27,22.9255,80841
2023-04-14,23.525,23.55,22.62,22.71,22.3738,60073
2023-04-13,23.64,23.64,23.2901,23.33,22.9847,25058
2023-04-12,23.47,23.67,23.12,23.59,23.2408,47543
2023-04-11,23.65,23.8,23.31,23.37,23.0241,34690
2023-04-10,23.41,23.82,23.41,23.54,23.1915,45453
2023-04-06,23.4,23.55,23.03,23.33,22.9847,49189
2023-04-05,23.74,23.8899,23.13,23.32,22.9748,44259
2023-04-04,24.59,24.7499,23.55,23.74,23.3886,48793
2023-04-03,24.78,24.92,24.36,24.79,24.423,81988
2023-03-31,24.52,25.03,24.35,24.91,24.5413,90569
2023-03-30,25.14,25.14,24.2801,24.43,24.0684,37656
2023-03-29,25.17,25.38,24.6805,25.04,24.6693,53320
2023-03-28,25.47,25.65,25.0,25.06,24.689,28238
2023-03-27,25.64,25.915,25.44,25.59,25.2112,67366
2023-03-24,25.01,25.45,24.485,25.28,24.9058,86303
2023-03-23,25.75,25.75,25.0,25.14,24.7679,50343
2023-03-22,26.55,26.78,25.53,25.53,25.1521,46077
2023-03-21,27.0,27.34,26.36,26.55,26.157,81270
2023-03-20,26.52,26.95,26.45,26.7,26.3048,74685
2023-03-17,27.06,27.06,26.03,26.21,25.822,92836
2023-03-16,26.58,27.6599,26.3698,27.2,26.7974,67003
2023-03-15,26.7,27.4742,26.03,26.92,26.5215,73695
2023-03-14,27.01,28.37,26.565,26.87,26.4723,104998
2023-03-13,26.8,27.02,25.47,25.91,25.5265,97421
2023-03-10,27.98,28.0,26.985,27.17,26.7678,83642
2023-03-09,29.14,29.14,28.07,28.12,27.7038,47906
2023-03-08,29.39,29.39,28.84,29.18,28.7481,37316
2023-03-07,29.3,29.3,28.89,29.17,28.7382,32898
2023-03-06,29.72,29.72,29.18,29.39,28.955,46343
2023-03-03,29.44,29.7899,29.275,29.56,29.1224,27495
2023-03-02,29.72,29.73,29.372,29.54,29.1027,17223
2023-03-01,30.5,30.615,29.96,30.07,29.3589,26345
2023-02-28,30.7,30.815,30.44,30.48,29.7592,71867
2023-02-27,31.1,31.2,30.68,30.78,30.0521,22580
2023-02-24,30.9,31.11,30.89,30.95,30.2181,25148
2023-02-23,30.94,31.18,30.85,31.07,30.3352,28958
2023-02-22,30.96,31.09,30.72,30.84,30.1107,55523
2023-02-21,31.34,31.55,30.6437,30.81,30.0814,61580
2023-02-17,31.09,31.39,30.86,31.34,30.5988,60790
