date,open,high,low,close,adjusted_close,volume
2023-07-31,4.23,4.39,3.82,3.82,3.82,25400
2023-07-28,3.66,4.05,3.535,4.05,4.05,23200
2023-07-27,4.04,4.04,3.524,3.806,3.806,5300
2023-07-26,3.45,3.84,3.45,3.83,3.83,11100
2023-07-25,3.705,3.799,3.705,3.76,3.76,5900
2023-07-24,3.85,3.85,3.74,3.74,3.74,2200
2023-07-21,3.8,3.8,3.6,3.67,3.67,7600
2023-07-20,3.95,3.95,3.48,3.57,3.57,13700
2023-07-19,3.452,4.43,3.452,3.7,3.7,21000
2023-07-18,3.72,3.72,3.5,3.62,3.62,9500
2023-07-17,3.6,3.69,3.32,3.56,3.56,18700
2023-07-14,3.24,3.629,3.24,3.629,3.629,5300
2023-07-13,3.65,3.881,3.25,3.31,3.31,26300
2023-07-12,3.7,3.876,2.98,3.4,3.4,49400
2023-07-11,4.12,4.32,3.45,3.58,3.58,33700
2023-07-10,4.34,4.34,3.3,3.75,3.75,13500
2023-07-07,3.58,4.24,3.36,3.95,3.95,12300
2023-07-06,5.45,5.66,3.53,3.84,3.84,37800
2023-07-05,8.0,8.0,4.35,5.23,5.23,32200
2023-07-03,8.3,8.69,8.3,8.4,8.4,6149
2023-06-30,9.48,9.48,8.25,8.414,8.414,5000
2023-06-29,9.02,9.6,8.5,9.2,9.2,8800
2023-06-28,12.46,13.0,7.9,9.8,9.8,26800
2023-06-27,11.98,14.49,11.48,13.0,13.0,24500
2023-06-26,15.0,15.0,8.86,12.0,12.0,21700
2023-06-23,20.52,20.52,20.52,20.52,20.52,0
2023-06-22,20.52,20.52,20.52,20.52,20.52,100
2023-06-21,20.46,20.52,20.46,20.52,20.52,500
2023-06-20,18.85,20.166,18.85,20.166,20.166,1400
2023-06-16,20.94,20.98,20.8,20.83,20.83,5500
2023-06-15,21.07,21.07,20.94,20.94,20.94,700
2023-06-14,20.99,21.4,20.94,20.999,20.999,8500
2023-06-13,20.94,21.095,20.94,20.99,20.99,4000
2023-06-12,21.4,21.4,20.99,20.99,20.99,5300
2023-06-09,20.94,20.94,20.94,20.94,20.94,200
2023-06-08,21.42,21.42,21.42,21.42,21.42,1300
2023-06-07,20.95,20.95,20.95,20.95,20.95,100
2023-06-06,21.84,21.84,21.84,21.84,21.84,97
2023-06-05,21.17,21.96,21.17,21.84,21.84,1300
2023-06-02,21.34,21.34,21.34,21.34,21.34,51
2023-06-01,21.34,21.34,21.34,21.34,21.34,200
2023-05-31,20.43,21.4,20.43,21.4,21.181,1500
2023-05-30,21.25,21.399,20.95,21.399,21.18,4200
2023-05-26,20.98,21.15,20.98,21.15,20.9338,3200
2023-05-25,20.27,21.0,20.27,21.0,20.7853,2700
2023-05-24,20.2,20.2,20.2,20.2,19.9935,300
2023-05-23,20.3,20.3,20.131,20.2,19.9935,1200
2023-05-22,20.03,20.08,18.589,20.08,19.8747,3500
2023-05-19,19.15,20.202,19.15,20.202,19.9955,1400
2023-05-18,19.1,19.1,19.1,19.1,18.9048,500
2023-05-17,18.56,19.1,18.45,18.58,18.3901,4800
2023-05-16,18.83,18.85,18.621,18.798,18.6058,3000
2023-05-15,18.95,18.95,18.81,18.81,18.6177,1400
2023-05-12,19.03,19.15,19.0,19.1,18.9048,2400
2023-05-11,20.04,20.063,19.45,19.45,19.2512,1600
2023-05-10,20.0,20.12,19.71,20.04,19.8352,2700
2023-05-09,19.7,19.8,19.7,19.8,19.5976,1100
2023-05-08,21.13,21.13,19.65,19.65,19.4491,500
2023-05-05,19.49,19.49,19.49,19.49,19.2908,0
2023-05-04,19.57,19.57,19.185,19.49,19.2908,4400
2023-05-03,20.5,21.25,20.5,21.25,21.0328,1100
2023-05-02,21.23,21.23,20.305,20.305,19.8809,1900
2023-05-01,21.23,21.23,21.23,21.23,20.7866,1200
2023-04-28,21.0,21.0,19.51,20.55,20.1208,3000
2023-04-27,21.2,21.2,21.01,21.01,20.5712,300
2023-04-26,20.845,21.3,20.56,20.9,20.4635,4900
2023-04-25,20.71,21.0,19.0,20.32,19.8956,5500
2023-04-24,19.61,20.4,19.61,20.4,19.9739,1500
2023-04-21,19.55,19.55,19.55,19.55,19.1417,0
2023-04-20,19.55,19.55,19.55,19.55,19.1417,0
2023-04-19,19.5,19.55,19.5,19.55,19.1417,700
2023-04-18,19.99,21.28,19.98,19.98,19.5627,3800
2023-04-17,20.37,20.375,19.45,19.45,19.0438,3700
2023-04-14,19.44,19.44,19.44,19.44,19.034,0
2023-04-13,19.44,19.44,19.44,19.44,19.034,0
2023-04-12,20.66,20.66,19.44,19.44,19.034,400
2023-04-11,21.3,21.3,21.3,21.3,20.8551,300
2023-04-10,20.66,21.3,20.66,21.27,20.8258,500
2023-04-06,21.0,21.45,20.65,20.65,20.2187,800
2023-04-05,21.98,22.0,21.45,21.45,21.002,1200
2023-04-04,22.17,22.36,22.17,22.36,21.893,700
2023-04-03,22.39,22.39,21.52,22.171,21.708,1300
2023-03-31,21.219,21.219,21.219,21.219,20.5617,0
2023-03-30,20.5,21.219,20.5,21.219,20.5617,300
2023-03-29,20.3,20.3,20.3,20.3,19.6711,200
2023-03-28,20.0,20.0,20.0,20.0,19.3804,300
2023-03-27,19.02,19.1,19.01,19.01,18.4211,1700
2023-03-24,21.2,21.2,19.65,19.65,19.0413,4300
2023-03-23,22.48,22.48,21.49,21.49,20.8243,3800
2023-03-22,20.52,22.48,20.52,20.52,19.8843,5500
2023-03-21,21.4,22.46,20.5,20.809,20.1644,4800
2023-03-20,20.5,21.85,20.5,21.5,20.834,3400
2023-03-17,20.43,22.49,20.43,22.15,21.4638,3300
2023-03-16,20.0,22.37,18.4,20.49,19.8552,5600
2023-03-15,22.07,22.07,19.4,19.4,18.799,500
2023-03-14,22.06,22.174,20.0,20.0,19.3804,3900
2023-03-13,18.874,22.5,18.85,19.29,18.6924,7900
2023-03-10,21.95,22.334,21.3,21.3,20.6401,5500
2023-03-09,22.93,22.93,21.95,21.95,21.27,2000
2023-03-08,22.0,22.0,22.0,22.0,21.3185,600
2023-03-07,22.01,22.01,21.9,22.0,21.3185,600
2023-03-06,22.92,22.92,22.92,22.92,22.21,400
2023-03-03,22.739,22.739,22.501,22.504,21.8069,1700
2023-03-02,22.92,23.14,22.9,22.9,22.1906,1100
2023-03-01,22.65,23.09,22.65,22.895,21.9738,1400
2023-02-28,22.65,23.14,22.371,22.922,21.9997,1700
2023-02-27,22.89,22.89,22.89,22.89,21.969,400
2023-02-24,22.08,22.5,21.825,22.5,21.5947,2000
2023-02-23,22.01,22.722,22.01,22.08,21.1916,3300
2023-02-22,23.29,23.3,22.58,22.58,21.6714,2900
2023-02-21,21.95,22.0,21.95,22.0,21.1148,2800
2023-02-17,21.585,21.902,21.585,21.902,21.0207,300
2023-02-16,21.5,21.93,21.5,21.804,20.9267,2600
2023-02-15,21.95,21.95,21.129,21.94,21.0572,2500
2023-02-14,19.98,19.98,19.98,19.98,19.1761,300
2023-02-13,19.0,19.0,19.0,19.0,18.2355,500
2023-02-10,18.5,18.97,18.5,18.97,18.2067,400
2023-02-09,17.87,18.4,17.87,18.4,17.6596,4300
2023-02-08,18.4,18.4,18.021,18.4,17.6596,1900
2023-02-07,17.515,17.515,17.515,17.515,16.8102,0
2023-02-06,18.49,18.49,17.515,17.515,16.8102,1400
2023-02-03,18.47,18.47,18.275,18.35,17.6116,2100
2023-02-02,17.79,18.49,17.79,18.139,17.4091,5700
2023-02-01,17.29,18.5,17.14,18.095,17.157,5900
2023-01-31,16.85,17.25,16.684,17.2,16.3084,4400
2023-01-30,16.86,16.89,16.5,16.5,15.6446,1100
2023-01-27,16.75,16.75,16.61,16.61,15.7489,2900
2023-01-26,16.9,17.0,16.63,16.63,15.7679,3000
2023-01-25,17.15,17.15,16.75,16.75,15.8817,1700
2023-01-24,17.4,17.65,16.85,17.018,16.1358,5400
2023-01-23,17.35,17.35,17.105,17.2,16.3084,3200
2023-01-20,17.14,17.5,17.088,17.39,16.4885,5300
2023-01-19,17.3,17.3,17.05,17.11,16.223,7200
2023-01-18,17.5,17.5,17.35,17.35,16.4506,900
2023-01-17,17.38,17.38,17.38,17.38,16.479,300
2023-01-13,17.21,17.595,16.8,17.167,16.2771,10500
2023-01-12,17.75,17.75,17.75,17.75,16.8298,3100
2023-01-11,17.7,17.7,17.69,17.69,16.773,800
2023-01-10,17.71,17.74,17.375,17.7,16.7824,2800
2023-01-09,16.7,17.77,16.64,17.77,16.8488,4000
2023-01-06,16.7,16.76,16.7,16.76,15.8912,2500
2023-01-05,16.72,16.72,15.78,16.55,15.692,4100
2023-01-04,17.89,18.2,16.75,16.75,15.8817,45000
2023-01-03,17.24,17.6,17.24,17.31,16.4127,4200
2022-12-30,16.95,17.9,16.95,17.9,16.9721,300
2022-12-29,17.95,18.2,16.85,17.476,16.3626,27700
2022-12-28,17.72,17.95,16.66,17.37,16.2634,21200
2022-12-27,17.74,18.59,17.35,17.35,16.2447,30700
2022-12-23,16.84,17.6,16.84,17.6,16.4787,4500
2022-12-22,16.93,17.4,15.86,16.95,15.8701,17700
2022-12-21,14.16,16.378,13.97,16.14,15.1117,14800
2022-12-20,8.82,15.143,8.4,14.1,13.2017,90100
2022-12-19,9.22,9.22,3.95,5.2,4.8687,81800
2022-12-16,18.0,18.0,7.24,8.98,8.4079,45400
2022-12-15,21.831,21.831,17.982,18.0,16.8533,10000
2022-12-14,21.77,21.9,21.5,21.6,20.2239,3800
2022-12-13,21.92,21.92,21.78,21.852,20.4598,1700
2022-12-12,21.99,21.99,21.92,21.92,20.5235,5700
2022-12-09,22.52,22.52,21.89,21.92,20.5235,3300
2022-12-08,22.25,22.25,22.03,22.03,20.6265,1300
2022-12-07,22.25,22.25,21.98,21.98,20.5797,2500
2022-12-06,22.35,22.45,22.32,22.45,21.0198,2300
2022-12-05,22.5,22.5,22.45,22.45,21.0198,800
2022-12-02,22.85,22.85,22.65,22.85,21.3943,2800
2022-12-01,23.0,23.0,23.0,23.0,21.5347,0
2022-11-30,22.8,23.0,22.8,23.0,21.3299,1500
2022-11-29,22.55,22.55,22.45,22.45,20.8198,500
2022-11-28,22.88,22.88,22.4,22.44,20.8106,1000
2022-11-25,23.06,23.06,22.791,22.9,21.2372,1600
2022-11-23,23.55,23.55,23.0,23.0,21.3299,1500
2022-11-22,23.25,23.25,22.95,22.95,21.2835,5600
2022-11-21,23.22,23.369,23.0,23.05,21.3763,2500
2022-11-18,23.03,23.22,23.03,23.22,21.5339,2500
2022-11-17,22.965,22.965,22.965,22.965,21.2974,100
2022-11-16,23.0,23.0,22.9,22.9,21.2372,2500
2022-11-15,23.0,23.01,22.19,22.775,21.1212,5000
2022-11-14,23.31,23.31,23.01,23.01,21.3392,2600
2022-11-11,23.25,23.25,23.25,23.25,21.5617,400
2022-11-10,23.115,23.115,23.025,23.025,21.3531,1300
2022-11-09,23.42,23.55,23.07,23.4,21.7009,4000
2022-11-08,23.6,23.747,23.4,23.5,21.7936,6000
2022-11-07,24.0,24.0,23.65,23.65,21.9327,3600
2022-11-04,23.88,23.88,23.41,23.549,21.839,1900
2022-11-03,24.0,24.0,24.0,24.0,22.2573,300
2022-11-02,24.35,24.35,24.0,24.0,22.2573,2400
2022-11-01,24.7,24.7,24.7,24.7,22.7036,800
2022-10-31,24.05,24.65,24.05,24.442,22.4664,2800
2022-10-28,24.16,24.17,24.16,24.17,22.2164,200
2022-10-27,24.12,24.12,24.12,24.12,22.1705,600
2022-10-26,24.12,24.12,23.96,23.96,22.0234,1000
2022-10-25,24.0,24.122,24.0,24.0,22.0602,800
2022-10-24,23.2,23.756,23.2,23.756,21.8359,600
2022-10-21,22.65,23.0,22.65,23.0,21.141,1800
2022-10-20,22.86,22.86,22.86,22.86,21.0123,300
2022-10-19,22.621,22.621,22.621,22.621,20.7926,800
2022-10-18,23.0,23.0,22.7,22.7,20.8652,2700
2022-10-17,22.875,23.0,22.77,22.934,21.0803,4300
2022-10-14,22.66,22.66,22.66,22.66,20.8285,300
2022-10-13,22.66,22.66,22.66,22.66,20.8285,700
2022-10-12,23.02,23.081,22.52,22.52,20.6998,2700
2022-10-11,23.16,23.16,23.0,23.02,21.1594,4100
2022-10-10,24.05,24.05,23.02,23.16,21.2881,4000
2022-10-07,24.05,24.05,23.5,24.05,22.1061,7500
2022-10-06,24.02,24.02,24.02,24.02,22.0786,0
2022-10-05,24.3,24.3,24.02,24.02,22.0786,600
2022-10-04,24.35,24.35,24.35,24.35,22.3819,400
2022-10-03,23.984,23.984,23.984,23.984,22.0455,300
2022-09-30,24.02,24.02,23.98,23.98,22.0418,1400
2022-09-29,24.35,24.41,24.35,24.41,22.236,300
2022-09-28,24.48,24.48,24.48,24.48,22.2997,300
2022-09-27,24.082,24.41,24.08,24.41,22.236,800
2022-09-26,24.14,24.65,24.14,24.413,22.2387,2500
2022-09-23,24.259,24.38,24.0,24.0,21.8625,1700
2022-09-22,25.111,25.111,24.18,24.5,22.3179,7800
2022-09-21,25.2,25.2,25.2,25.2,22.9556,500
2022-09-20,25.2,25.2,25.2,25.2,22.9556,400
2022-09-19,25.2,25.2,25.2,25.2,22.9556,2200
2022-09-16,25.2,25.28,25.2,25.28,23.0285,800
2022-09-15,25.2,25.255,25.11,25.255,23.0057,4000
2022-09-14,25.1,25.11,25.1,25.11,22.8736,900
2022-09-13,25.06,25.06,25.06,25.06,22.8281,0
2022-09-12,25.06,25.09,25.06,25.06,22.8281,500
2022-09-09,25.0,25.0,24.84,24.905,22.6869,3400
2022-09-08,25.2,25.2,25.2,25.2,22.9556,800
2022-09-07,25.17,25.2,25.13,25.2,22.9556,500
2022-09-06,24.73,25.205,24.69,25.205,22.9602,3700
2022-09-02,25.04,25.04,25.04,25.04,22.8098,300
2022-09-01,25.26,25.26,24.68,24.68,22.4819,7100
2022-08-31,25.5,25.5,24.9,24.9,22.4831,4200
2022-08-30,25.55,25.55,25.39,25.45,22.9797,600
2022-08-29,25.07,25.07,25.07,25.07,22.6365,0
2022-08-26,25.148,25.148,25.07,25.07,22.6365,1300
2022-08-25,25.11,25.11,25.05,25.05,22.6185,1800
2022-08-24,25.0,25.05,25.0,25.05,22.6185,700
2022-08-23,24.7,25.204,24.7,25.204,22.7575,2000
2022-08-22,25.1,25.1,23.96,24.5,22.1219,5300
2022-08-19,25.42,25.42,25.09,25.27,22.8171,3700
2022-08-18,25.41,25.475,25.15,25.35,22.8894,3500
2022-08-17,25.6,25.6,25.3,25.42,22.9526,2900
2022-08-16,25.17,25.435,25.17,25.334,22.8749,1800
2022-08-15,25.5,25.5,25.15,25.15,22.7088,3700
2022-08-12,25.06,25.06,25.06,25.06,22.6275,400
2022-08-11,25.1,25.315,25.053,25.053,22.6212,4100
2022-08-10,24.95,25.1,24.95,25.1,22.6636,1000
2022-08-09,25.0,25.0,24.9,24.9,22.4831,1200
2022-08-08,25.0,25.04,25.0,25.04,22.6095,1900
2022-08-05,24.9,24.9,24.9,24.9,22.4831,100
2022-08-04,24.96,24.96,24.832,24.92,22.5011,6400
2022-08-03,25.0,25.0,24.96,24.991,22.5652,3700
2022-08-02,25.2,25.392,25.2,25.2,22.7539,1300
2022-08-01,25.39,25.5,25.39,25.42,22.7551,8300
2022-07-29,25.37,25.4,25.225,25.386,22.7246,1600
2022-07-28,25.4,25.4,25.16,25.25,22.6029,2700
2022-07-27,25.2,25.2,25.14,25.14,22.5044,1300
2022-07-26,25.12,25.12,25.12,25.12,22.4865,3200
2022-07-25,25.4,25.4,25.4,25.4,22.7372,0
2022-07-22,25.22,25.4,25.2,25.4,22.7372,700
2022-07-21,25.05,25.259,25.05,25.259,22.6109,300
2022-07-20,25.0,25.4,25.0,25.205,22.5626,2000
2022-07-19,25.35,25.35,25.23,25.3,22.6476,2600
2022-07-18,25.38,25.4,25.38,25.4,22.7372,2100
2022-07-15,25.4,25.4,25.2,25.22,22.576,2900
2022-07-14,25.7,25.7,25.25,25.375,22.7148,5900
2022-07-13,25.733,25.733,25.733,25.733,23.0352,0
2022-07-12,25.5,25.733,25.359,25.733,23.0352,6800
2022-07-11,25.14,25.25,25.14,25.25,22.6029,1800
2022-07-08,25.3,25.3,25.3,25.3,22.6476,0
2022-07-07,25.152,25.3,25.1,25.3,22.6476,1500
2022-07-06,25.106,25.106,25.106,25.106,22.474,100
2022-07-05,24.96,25.15,24.96,25.15,22.5134,2500
2022-07-01,24.94,24.94,24.94,24.94,22.3254,1200
2022-06-30,24.764,24.764,24.764,24.764,22.1678,100
2022-06-29,24.87,24.87,24.87,24.87,22.0669,0
2022-06-28,24.93,24.93,24.87,24.87,22.0669,800
2022-06-27,24.94,24.94,24.94,24.94,22.129,1100
2022-06-24,24.9,24.94,24.81,24.885,22.0802,4600
2022-06-23,24.9,24.91,24.8,24.8,22.0048,2900
2022-06-22,24.6,24.72,24.6,24.72,21.9338,2100
2022-06-21,24.6,24.895,24.6,24.85,22.0492,1000
2022-06-17,24.64,24.64,24.161,24.62,21.8451,2000
2022-06-16,24.795,25.04,24.6,25.0,22.1823,2000
2022-06-15,24.8,24.8,24.8,24.8,22.0048,700
2022-06-14,24.75,24.75,24.74,24.75,21.9604,1800
2022-06-13,24.8,24.85,24.78,24.78,21.987,2600
2022-06-10,25.23,25.24,25.125,25.125,22.2932,1300
2022-06-09,24.99,25.2,24.99,25.2,22.3597,3300
2022-06-08,24.9,25.0,24.8,25.0,22.1823,3400
2022-06-07,24.915,25.0,24.915,25.0,22.1823,1100
2022-06-06,25.0,25.0,25.0,25.0,22.1823,900
2022-06-03,24.89,25.0,24.89,25.0,22.1823,800
2022-06-02,25.0,25.0,25.0,25.0,22.1823,2200
2022-06-01,25.0,25.0,24.98,25.0,21.9882,1000
2022-05-31,24.98,25.0,24.98,25.0,21.9882,900
2022-05-27,24.975,25.0,24.975,24.98,21.9706,2100
2022-05-26,25.0,25.0,24.95,24.95,21.9442,400
2022-05-25,25.0,25.0,24.98,24.98,21.9706,300
2022-05-24,24.75,24.95,24.75,24.95,21.9442,2700
2022-05-23,24.98,24.99,24.98,24.99,21.9794,400
2022-05-20,24.902,25.05,24.902,25.0,21.9882,1400
2022-05-19,24.99,24.99,24.99,24.99,21.9794,0
2022-05-18,25.0,25.2,24.99,24.99,21.9794,1500
2022-05-17,25.16,25.16,24.753,24.95,21.9442,2000
2022-05-16,24.26,25.0,24.26,24.97,21.9618,2000
2022-05-13,24.071,24.89,24.071,24.89,21.8914,5600
2022-05-12,24.5,24.5,24.3,24.3,21.3725,500
2022-05-11,24.12,24.6,24.12,24.6,21.6363,1900
2022-05-10,24.39,24.98,24.0,24.0,21.1086,7000
2022-05-09,25.05,25.05,24.0,24.47,21.522,8000
2022-05-06,24.75,25.16,24.7,25.16,22.1289,3000
2022-05-05,25.135,25.18,24.675,25.03,22.0145,4500
2022-05-04,25.001,25.05,25.0,25.05,22.0321,4000
2022-05-03,24.85,25.15,24.85,25.049,22.0313,5300
2022-05-02,25.05,25.05,25.05,25.05,21.8397,500
2022-04-29,24.952,25.15,24.952,25.1,21.8833,1800
2022-04-28,24.96,24.96,24.7,24.75,21.5782,3800
2022-04-27,24.9,25.29,24.9,25.0,21.7961,5500
2022-04-26,24.877,24.9,24.8,24.89,21.7002,5600
2022-04-25,24.855,24.855,24.81,24.85,21.6654,1600
2022-04-22,24.8,24.87,24.8,24.85,21.6654,3400
2022-04-21,24.8,24.9,24.8,24.89,21.7002,4200
2022-04-20,24.7,24.9,24.7,24.9,21.709,4100
2022-04-19,24.87,24.87,24.793,24.8,21.6218,1100
2022-04-18,24.73,24.87,24.73,24.87,21.6828,2800
2022-04-14,24.746,24.746,24.746,24.746,21.5747,0
2022-04-13,24.75,24.75,24.645,24.746,21.5747,2100
2022-04-12,24.67,24.75,24.67,24.7,21.5346,2300
2022-04-11,24.71,24.71,24.6,24.67,21.5084,1200
2022-04-08,24.65,24.75,24.6,24.6,21.4474,2000
2022-04-07,24.59,24.787,24.53,24.58,21.43,11000
2022-04-06,24.75,25.0,24.72,25.0,21.7961,800
2022-04-05,24.967,24.967,24.792,24.87,21.6828,1400
2022-04-04,24.89,24.92,24.829,24.92,21.7264,2800
2022-04-01,24.74,24.98,24.71,24.98,21.7787,1500
2022-03-31,25.0,25.19,25.0,25.0,21.6054,1700
2022-03-30,24.98,25.314,24.98,25.19,21.7696,5000
2022-03-29,25.0,25.0,24.95,24.964,21.5743,4200
2022-03-28,25.135,25.15,25.0,25.0,21.6054,4200
2022-03-25,25.0,25.318,25.0,25.318,21.8802,1200
2022-03-24,25.065,25.35,24.95,25.166,21.7489,6600
2022-03-23,25.0,25.35,24.8,25.35,21.9079,1200
2022-03-22,25.175,25.175,25.0,25.175,21.7567,2900
2022-03-21,25.004,25.32,24.8,25.32,21.882,6200
2022-03-18,24.715,25.075,24.715,25.075,21.6702,4200
2022-03-17,24.7,24.75,24.65,24.74,21.3807,4000
2022-03-16,24.595,24.7,24.52,24.7,21.3462,3000
2022-03-15,24.592,24.592,24.592,24.592,21.2528,500
2022-03-14,24.7,24.7,24.592,24.592,21.2528,900
2022-03-11,24.72,24.75,24.7,24.7,21.3462,1900
2022-03-10,24.7,24.7,24.7,24.7,21.3462,400
2022-03-09,24.5,24.66,24.5,24.66,21.3116,1700
2022-03-08,24.58,24.647,24.58,24.647,21.3004,600
2022-03-07,24.976,25.0,24.48,24.58,21.2425,7200
2022-03-04,24.96,25.0,24.96,24.98,21.5881,1100
2022-03-03,25.0,25.0,24.949,24.965,21.5752,4100
2022-03-02,25.1,25.1,24.912,25.02,21.4337,3800
