date,open,high,low,close,adjusted_close,volume
2023-07-31,34.52,35.74,34.3,35.01,35.01,2535700
2023-07-28,32.79,34.93,32.1,34.42,34.42,2928400
2023-07-27,32.438,32.74,31.59,32.13,32.13,2018400
2023-07-26,32.86,33.58,31.9,32.41,32.41,2089500
2023-07-25,33.17,33.611,32.015,32.57,32.57,2277100
2023-07-24,34.22,34.32,33.12,33.24,33.24,3212000
2023-07-21,35.08,35.48,33.85,34.13,34.13,2795600
2023-07-20,34.0,35.164,33.219,34.49,34.49,4876100
2023-07-19,32.31,34.899,32.31,34.46,34.46,6126500
2023-07-18,32.085,36.36,31.72,32.52,32.52,18201900
2023-07-17,26.76,34.28,26.29,32.04,32.04,47288900
2023-07-14,17.3,18.29,16.79,18.22,18.22,2455800
2023-07-13,18.13,18.33,17.23,17.31,17.31,2705900
2023-07-12,18.2,18.75,17.81,18.05,18.05,2436900
2023-07-11,17.39,17.88,17.19,17.81,17.81,2086200
2023-07-10,16.79,17.68,16.62,17.36,17.36,2047700
2023-07-07,16.98,17.62,16.82,16.89,16.89,1432500
2023-07-06,17.25,17.47,16.75,17.0,17.0,1641300
2023-07-05,16.9,17.66,16.61,17.49,17.49,1960500
2023-07-03,17.43,18.04,17.092,17.35,17.35,875500
2023-06-30,17.13,17.56,16.75,17.2,17.2,1550400
2023-06-29,18.01,18.18,16.72,16.99,16.99,3520800
2023-06-28,16.29,18.04,16.18,18.01,18.01,2658600
2023-06-27,15.61,16.33,15.36,16.29,16.29,1179600
2023-06-26,15.6,15.75,15.35,15.49,15.49,1284100
2023-06-23,15.89,16.12,15.63,15.66,15.66,2377600
2023-06-22,16.69,16.69,15.87,16.14,16.14,1959300
2023-06-21,16.43,16.8,15.82,16.75,16.75,1814200
2023-06-20,14.85,16.62,14.776,16.52,16.52,3179900
2023-06-16,15.63,15.8,14.8,15.01,15.01,7912900
2023-06-15,16.6,16.635,15.19,15.52,15.52,2021900
2023-06-14,16.83,17.19,16.43,16.89,16.89,1527900
2023-06-13,15.81,16.84,15.81,16.75,16.75,1730900
2023-06-12,16.29,16.56,15.77,15.81,15.81,1345500
2023-06-09,16.29,16.36,15.89,16.0,16.0,1207600
2023-06-08,16.62,16.65,15.915,16.29,16.29,2035800
2023-06-07,16.18,16.705,15.86,16.56,16.56,1348800
2023-06-06,14.6,16.45,14.48,16.04,16.04,2833200
2023-06-05,14.1,14.74,14.02,14.6,14.6,823600
2023-06-02,14.18,14.3,13.73,14.26,14.26,924600
2023-06-01,13.81,14.24,13.38,14.0,14.0,935100
2023-05-31,13.56,14.0,13.26,13.72,13.72,1215300
2023-05-30,13.93,14.38,13.43,13.54,13.54,1317700
2023-05-26,13.44,13.81,13.22,13.75,13.75,1407900
2023-05-25,13.38,13.64,12.75,13.54,13.54,2120100
2023-05-24,13.66,13.75,13.0,13.29,13.29,1757600
2023-05-23,13.69,14.41,13.54,13.66,13.66,1213200
2023-05-22,13.82,14.05,13.625,13.71,13.71,1128600
2023-05-19,14.17,14.43,13.67,13.72,13.72,985900
2023-05-18,13.86,14.054,13.51,13.98,13.98,1062800
2023-05-17,13.99,14.22,13.81,14.08,14.08,1545900
2023-05-16,14.47,14.64,13.95,14.09,14.09,1465600
2023-05-15,13.6,14.96,13.47,14.84,14.84,2100100
2023-05-12,14.34,14.34,13.515,13.545,13.545,1726300
2023-05-11,13.96,14.45,13.75,14.26,14.26,1859000
2023-05-10,14.06,14.1,13.41,13.83,13.83,1419000
