date,open,high,low,close,adjusted_close,volume
2023-07-31,21.32,22.33,21.01,22.25,22.25,497700
2023-07-28,20.66,21.84,20.62,21.28,21.28,335200
2023-07-27,20.04,20.84,19.4,20.65,20.65,635800
2023-07-26,19.41,20.096,19.231,19.31,19.31,435400
2023-07-25,18.39,20.735,18.39,19.8,19.8,700800
2023-07-24,23.0,23.07,17.99,18.39,18.39,2050500
2023-07-21,21.4,22.18,21.26,21.53,21.53,338200
2023-07-20,21.45,21.75,20.945,21.25,21.25,306100
2023-07-19,22.13,22.25,21.2,21.38,21.38,357700
2023-07-18,22.79,22.79,21.68,22.01,22.01,404200
2023-07-17,23.21,23.92,22.63,22.7,22.7,416100
2023-07-14,22.1,23.12,21.91,23.02,23.02,443200
2023-07-13,21.56,22.35,21.09,22.16,22.16,427900
2023-07-12,21.18,21.5,20.86,21.4,21.4,420700
2023-07-11,21.41,21.483,20.8,21.0,21.0,496700
2023-07-10,22.01,22.76,21.42,21.68,21.68,525200
2023-07-07,21.67,22.02,20.812,21.91,21.91,469300
2023-07-06,21.93,22.12,21.39,21.55,21.55,686900
2023-07-05,21.44,22.85,21.174,22.45,22.45,773000
2023-07-03,21.42,21.98,20.86,21.44,21.44,453500
2023-06-30,21.82,22.64,21.53,21.95,21.95,784200
2023-06-29,22.56,23.42,21.15,21.66,21.66,1230900
2023-06-28,21.89,23.3,21.65,22.81,22.81,1501000
2023-06-27,24.61,24.61,21.46,21.85,21.85,2638400
2023-06-26,33.0,33.0,23.31,24.415,24.415,5482100
2023-06-23,32.27,32.33,29.85,30.67,30.67,3813300
2023-06-22,35.0,36.357,32.56,32.59,32.59,1544900
2023-06-21,36.04,36.95,34.05,35.185,35.185,674000
2023-06-20,34.59,37.09,34.59,36.47,36.47,854891
2023-06-16,36.71,36.85,34.36,34.95,34.95,3917300
2023-06-15,38.84,38.84,35.84,36.82,36.82,995400
2023-06-14,39.62,40.83,38.7,38.9,38.9,659100
2023-06-13,40.15,40.68,39.23,39.77,39.77,761800
2023-06-12,41.22,41.69,40.17,40.19,40.19,641300
2023-06-09,41.8,43.0,40.35,40.9,40.9,1089700
2023-06-08,40.2,43.69,39.74,41.8,41.8,1558600
2023-06-07,38.39,39.96,38.125,39.73,39.73,973400
2023-06-06,37.54,39.17,37.54,38.24,38.24,1144700
2023-06-05,35.13,37.74,35.13,37.54,37.54,657200
2023-06-02,36.69,36.7,35.03,35.8,35.8,464100
2023-06-01,33.95,35.84,33.29,35.66,35.66,515300
2023-05-31,33.88,34.93,32.82,33.96,33.96,1131500
