date,open,high,low,close,adjusted_close,volume
2023-07-31,21.62,21.75,21.41,21.66,21.66,287100
2023-07-28,21.7,21.81,21.44,21.5,21.5,280000
2023-07-27,21.98,21.98,21.3,21.5,21.5,238100
2023-07-26,21.19,22.26,20.99,21.85,21.85,294200
2023-07-25,21.89,22.19,21.6,21.72,21.72,287000
2023-07-24,21.91,22.38,21.79,22.0,22.0,480000
2023-07-21,22.45,22.45,21.89,21.89,21.89,126000
2023-07-20,22.45,22.5,22.05,22.32,22.32,177100
2023-07-19,22.0,22.91,21.86,22.86,22.62,199800
2023-07-18,21.39,22.05,21.39,21.99,21.7591,213600
2023-07-17,21.11,21.77,21.11,21.41,21.1852,164300
2023-07-14,21.46,21.46,20.86,21.14,20.9181,132056
2023-07-13,21.27,21.52,21.14,21.32,21.0962,114563
2023-07-12,21.14,21.495,21.07,21.17,20.9477,170745
2023-07-11,20.73,20.95,20.6,20.86,20.641,174650
2023-07-10,20.43,21.0,20.13,20.65,20.4332,247489
2023-07-07,19.68,20.55,19.68,20.53,20.3145,235831
2023-07-06,19.71,20.18,19.345,19.6,19.3942,155226
2023-07-05,20.2,20.2,19.86,19.93,19.7208,164443
2023-07-03,19.94,20.48,19.94,20.29,20.077,85138
2023-06-30,20.37,20.37,19.96,20.1,19.889,261262
2023-06-29,20.0,20.36,19.94,20.2,19.9879,257390
2023-06-28,19.81,19.82,19.53,19.77,19.5624,132159
2023-06-27,19.83,20.125,19.38,19.87,19.6614,151152
2023-06-26,19.79,20.15,19.7,19.73,19.5229,174326
2023-06-23,19.59,20.02,19.43,19.8,19.5921,852677
2023-06-22,20.27,20.27,19.69,19.85,19.6416,195477
2023-06-21,20.43,20.66,20.285,20.37,20.1561,149760
2023-06-20,20.78,20.85,20.48,20.51,20.2947,117096
2023-06-16,21.25,21.25,20.55,20.78,20.5618,268361
2023-06-15,20.75,21.22,20.4431,21.03,20.8092,153674
2023-06-14,21.39,21.55,20.8,20.9,20.6806,157015
2023-06-13,20.79,21.43,20.65,21.42,21.1951,156559
2023-06-12,21.07,21.35,20.3639,20.75,20.5322,150204
2023-06-09,21.29,21.41,20.8,21.09,20.8686,162326
2023-06-08,21.29,21.38,20.77,21.32,21.0962,134116
2023-06-07,20.86,21.63,20.68,21.4,21.1753,210139
2023-06-06,19.63,20.95,19.5,20.61,20.3936,181645
2023-06-05,20.43,20.43,19.59,19.65,19.4437,198525
2023-06-02,19.48,20.51,19.12,20.45,20.2353,221263
2023-06-01,18.83,19.36,18.59,19.2,18.9984,234394
2023-05-31,19.08,19.13,18.56,18.7,18.5037,429339
2023-05-30,19.29,19.31,18.915,19.19,18.9885,153456
2023-05-26,19.09,19.19,18.77,19.15,18.949,181781
2023-05-25,18.82,19.17,18.8,19.12,18.9193,170476
2023-05-24,19.09,19.1875,18.8,19.01,18.8104,130759
2023-05-23,18.69,19.69,18.69,19.23,19.0281,239027
2023-05-22,18.25,18.77,18.1,18.72,18.5235,159052
2023-05-19,18.75,18.83,18.01,18.12,17.9298,183668
2023-05-18,18.54,18.61,18.0,18.51,18.3157,145766
2023-05-17,17.59,18.57,17.45,18.51,18.3157,168012
2023-05-16,17.62,17.65,17.4,17.4,17.2173,142151
2023-05-15,17.26,17.659,17.26,17.5,17.3163,173632
2023-05-12,17.04,17.23,16.81,17.21,17.0293,123039
2023-05-11,16.9,17.305,16.65,16.96,16.7819,169410
2023-05-10,17.29,17.4,16.87,17.13,16.9502,156680
2023-05-09,17.35,17.495,16.885,17.05,16.871,134272
2023-05-08,18.22,18.22,17.45,17.48,17.2965,136617
