date,open,high,low,close,adjusted_close,volume
2023-07-31,46.02,46.175,43.91,45.17,45.17,65700
2023-07-28,45.35,46.95,45.35,45.93,45.93,31200
2023-07-27,48.34,48.5,45.6,46.02,46.02,90400
2023-07-26,46.02,47.538,46.02,47.36,47.36,35700
2023-07-25,45.75,46.81,45.47,45.56,45.56,42700
2023-07-24,44.4,45.94,44.4,45.94,45.94,35400
2023-07-21,45.17,45.17,44.16,44.3,44.3,42200
2023-07-20,44.25,45.41,44.24,44.7,44.7,55800
2023-07-19,42.75,44.34,42.27,44.32,44.32,61800
2023-07-18,40.93,43.24,40.93,42.62,42.62,88500
2023-07-17,39.68,41.5,39.68,40.94,40.94,100200
2023-07-14,40.6,40.91,39.95,40.01,40.01,108900
2023-07-13,39.39,40.22,39.39,40.09,40.09,49800
2023-07-12,39.5,39.99,38.97,39.17,39.17,44500
2023-07-11,37.5,38.95,37.32,38.86,38.86,42200
2023-07-10,37.39,38.34,37.11,37.76,37.76,54600
2023-07-07,36.81,37.9,36.81,37.56,37.56,56200
2023-07-06,38.02,38.45,36.54,36.7,36.7,48400
2023-07-05,38.47,39.17,37.92,38.24,38.24,35800
2023-07-03,37.76,39.06,37.76,39.05,39.05,28500
2023-06-30,38.82,38.82,37.45,37.65,37.65,52100
2023-06-29,38.36,39.21,38.16,38.28,38.28,52900
2023-06-28,37.36,38.28,37.36,38.01,38.01,36900
2023-06-27,37.37,38.49,36.9,37.7,37.7,42400
2023-06-26,37.37,38.24,37.08,37.17,37.17,44700
2023-06-23,36.82,38.01,36.82,37.5,37.5,142700
2023-06-22,38.38,38.38,37.425,37.51,37.51,49300
2023-06-21,39.11,39.215,38.325,38.72,38.72,61100
2023-06-20,39.89,39.89,38.93,39.09,39.09,109300
2023-06-16,41.37,41.37,39.69,39.99,39.99,97800
2023-06-15,39.19,40.94,38.83,40.94,40.94,41800
2023-06-14,40.38,40.47,38.97,39.58,39.58,46700
2023-06-13,38.7,40.31,38.5,40.31,40.31,47600
2023-06-12,39.1,39.84,38.53,38.66,38.66,51300
2023-06-09,39.53,39.53,38.61,38.99,38.99,27000
2023-06-08,40.05,40.13,39.0,39.48,39.48,35700
2023-06-07,39.02,40.65,39.0,40.4,40.4,57200
2023-06-06,36.57,39.25,36.57,38.71,38.71,58300
2023-06-05,37.57,37.57,36.42,36.66,36.66,45400
2023-06-02,35.78,37.71,35.78,37.63,37.63,57300
2023-06-01,34.5,35.706,34.05,35.21,35.21,35900
2023-05-31,34.94,35.0,34.02,34.21,34.21,50800
2023-05-30,35.56,35.56,34.76,35.1,35.1,18600
2023-05-26,34.83,35.65,34.52,35.52,35.52,26200
2023-05-25,35.34,35.409,34.6,34.93,34.93,26500
2023-05-24,36.24,36.24,35.3,35.39,35.39,33100
2023-05-23,36.18,37.469,36.18,36.66,36.66,35800
2023-05-22,35.23,36.21,34.94,36.21,36.21,35200
2023-05-19,36.09,36.371,34.21,34.91,34.91,35200
2023-05-18,35.31,35.65,33.948,35.65,35.65,40900
2023-05-17,34.01,35.35,33.5,35.23,35.23,54800
2023-05-16,33.9,34.52,33.47,33.47,33.47,37100
2023-05-15,32.67,34.16,32.67,34.1,34.1,30100
2023-05-12,33.33,33.33,32.22,32.7,32.7,28800
2023-05-11,33.23,33.45,32.69,32.91,32.91,33800
2023-05-10,34.36,34.36,32.68,33.73,33.73,22600
2023-05-09,33.97,34.17,33.0,33.73,33.73,28400
2023-05-08,35.62,35.62,34.075,34.33,34.33,33100
2023-05-05,34.97,35.675,34.8,35.36,35.36,69200
2023-05-04,33.35,34.09,32.2,33.82,33.82,68500
2023-05-03,33.8,35.2,33.46,33.97,33.97,103400
2023-05-02,36.38,36.38,33.75,33.76,33.76,65000
2023-05-01,36.34,36.638,35.3,35.88,35.88,51800
2023-04-28,34.96,36.48,34.52,36.25,36.25,66900
2023-04-27,33.19,35.56,33.19,35.36,35.36,90500
2023-04-26,32.71,33.24,32.45,32.84,32.84,24000
2023-04-25,33.55,33.87,32.87,32.88,32.88,32900
2023-04-24,34.37,34.86,33.97,34.14,34.14,23100
2023-04-21,33.9,34.535,33.53,34.44,34.44,34700
2023-04-20,34.05,34.54,33.695,33.99,33.99,31000
2023-04-19,33.28,34.76,33.28,34.3,34.3,34900
2023-04-18,33.69,33.69,32.75,33.2,33.2,38600
2023-04-17,33.2,33.785,32.91,33.64,33.64,29000
2023-04-14,33.96,34.24,33.01,33.3,33.3,58000
2023-04-13,33.14,33.85,33.14,33.56,33.56,31600
2023-04-12,33.88,34.27,32.9,33.0,33.0,55700
2023-04-11,33.93,34.41,33.72,33.82,33.82,30200
2023-04-10,32.92,34.105,32.92,33.84,33.84,51600
2023-04-06,33.67,33.694,33.05,33.18,33.18,59400
2023-04-05,33.49,33.88,33.19,33.48,33.48,54100
2023-04-04,35.35,35.495,33.55,33.99,33.99,70000
2023-04-03,36.16,36.38,34.83,35.24,35.24,59700
2023-03-31,35.99,36.41,35.465,36.01,36.01,109000
2023-03-30,37.06,37.06,35.37,35.62,35.62,61200
2023-03-29,36.18,36.98,35.39,36.88,36.88,66500
2023-03-28,36.7,36.96,35.6,35.85,35.85,49300
2023-03-27,37.21,37.61,36.45,36.61,36.61,81200
2023-03-24,35.45,36.98,35.45,36.52,36.52,84600
2023-03-23,37.53,37.53,35.27,36.0,36.0,135200
2023-03-22,38.3,39.09,36.84,36.84,36.84,73500
