date,open,high,low,close,adjusted_close,volume
2023-07-31,26.66,26.97,26.65,26.95,26.95,3310400
2023-07-28,26.92,27.115,26.6,26.63,26.63,2966400
2023-07-27,27.05,27.23,26.62,26.71,26.71,2868900
2023-07-26,26.55,26.86,26.37,26.72,26.72,5912500
2023-07-25,26.79,27.025,26.63,26.75,26.75,3120900
2023-07-24,26.99,27.1,26.75,26.8,26.8,3015200
2023-07-21,27.57,27.59,26.945,26.99,26.99,3327000
2023-07-20,27.9,27.99,27.425,27.51,27.51,3737900
2023-07-19,28.15,28.68,27.935,28.1,28.1,6716500
2023-07-18,27.82,28.11,27.74,28.03,28.03,4139800
2023-07-17,27.255,27.86,27.18,27.81,27.81,3619900
2023-07-14,27.73,27.81,27.21,27.29,27.29,4023100
2023-07-13,27.66,27.98,27.56,27.78,27.78,4375600
2023-07-12,27.7,27.82,27.44,27.55,27.55,3079000
2023-07-11,27.49,27.765,27.24,27.5,27.5,3353500
2023-07-10,26.92,27.44,26.92,27.36,27.36,2710300
2023-07-07,26.7,27.235,26.665,26.97,26.97,3608600
2023-07-06,26.35,26.76,26.08,26.73,26.73,3636700
2023-07-05,26.4,26.635,26.28,26.59,26.59,4720800
2023-07-03,26.64,26.73,26.53,26.63,26.63,1332100
2023-06-30,26.8,26.87,26.595,26.67,26.67,3775100
2023-06-29,26.72,26.78,26.41,26.72,26.72,2250100
2023-06-28,26.13,26.73,26.06,26.72,26.72,3537900
2023-06-27,25.89,26.22,25.66,26.14,26.14,3158400
2023-06-26,26.45,26.45,25.8,25.83,25.83,4039700
2023-06-23,26.19,26.59,26.06,26.33,26.33,5378800
2023-06-22,25.72,26.49,25.62,26.43,26.43,7099000
2023-06-21,25.94,26.285,25.623,25.75,25.75,5366700
2023-06-20,25.64,26.145,25.64,25.95,25.95,5663077
2023-06-16,26.0,26.15,25.58,25.97,25.97,47220500
2023-06-15,24.98,25.935,24.825,25.83,25.83,5467700
2023-06-14,24.77,25.16,24.7,25.1,25.1,5131700
2023-06-13,24.6,24.89,24.465,24.88,24.88,4674700
2023-06-12,24.0,24.61,23.92,24.6,24.6,4806900
