date,open,high,low,close,adjusted_close,volume
2023-07-31,10.26,10.38,10.02,10.05,10.05,17800
2023-07-28,10.43,10.46,10.25,10.25,10.25,6300
2023-07-27,10.69,10.69,10.41,10.49,10.49,7100
2023-07-26,10.22,10.7,10.22,10.69,10.69,40800
2023-07-25,10.36,10.43,10.23,10.23,10.23,3000
2023-07-24,10.23,10.66,10.1,10.48,10.48,17400
2023-07-21,10.4,10.74,10.18,10.3,10.3,55100
2023-07-20,9.88,10.37,9.71,10.37,10.37,16700
2023-07-19,10.05,10.2,10.05,10.15,10.15,12000
2023-07-18,10.01,10.14,10.01,10.14,10.14,8700
2023-07-17,10.05,10.15,9.68,10.01,10.01,81900
2023-07-14,10.23,10.23,9.96,10.08,10.08,10400
2023-07-13,10.24,10.3,10.03,10.17,10.17,17200
2023-07-12,10.3,10.41,9.86,10.26,10.26,16000
2023-07-11,9.85,10.28,9.72,10.26,10.26,18300
2023-07-10,9.64,9.98,9.53,9.91,9.91,9500
2023-07-07,9.72,9.87,9.54,9.55,9.55,22800
2023-07-06,9.97,9.99,9.72,9.83,9.83,3100
2023-07-05,10.26,10.26,9.87,9.87,9.87,12400
2023-07-03,10.27,10.31,10.22,10.26,10.26,1700
2023-06-30,9.98,10.25,9.98,10.25,10.25,4600
2023-06-29,10.38,10.38,10.1,10.11,10.11,6500
2023-06-28,10.4,10.4,10.21,10.27,10.27,7100
2023-06-27,9.9,10.56,9.8,10.5,10.5,24900
2023-06-26,9.82,10.1,9.79,9.93,9.93,10900
2023-06-23,9.95,10.33,9.75,10.01,10.01,16500
2023-06-22,10.14,10.57,9.86,10.03,10.03,24000
2023-06-21,9.72,10.33,9.72,10.07,10.07,37700
2023-06-20,10.41,10.75,9.72,9.84,9.84,48000
2023-06-16,10.75,10.78,10.3,10.52,10.52,29800
2023-06-15,11.07,11.07,10.72,10.85,10.85,14800
2023-06-14,11.09,11.09,10.91,10.99,10.99,17300
2023-06-13,11.59,11.93,11.04,11.2,11.2,15100
2023-06-12,10.97,11.7,10.89,11.7,11.7,18500
2023-06-09,10.88,10.96,10.76,10.76,10.76,7400
2023-06-08,11.88,11.88,10.91,10.91,10.91,7300
2023-06-07,11.39,11.5,10.88,10.97,10.97,11200
2023-06-06,10.35,11.33,10.35,11.31,11.31,8500
2023-06-05,11.18,11.44,10.07,10.92,10.92,106900
2023-06-02,10.87,11.31,10.69,11.31,11.31,25100
2023-06-01,10.49,10.93,10.4,10.83,10.83,23300
2023-05-31,9.48,10.8,9.15,10.56,10.56,50400
2023-05-30,9.21,9.6,9.17,9.48,9.48,18300
2023-05-26,9.38,9.48,9.11,9.11,9.11,19200
2023-05-25,9.18,9.32,9.01,9.15,9.15,33100
2023-05-24,9.24,9.54,9.13,9.15,9.15,36600
2023-05-23,9.39,9.6,9.35,9.36,9.36,27400
2023-05-22,9.37,9.55,9.37,9.4,9.4,38700
2023-05-19,9.35,9.45,9.18,9.45,9.45,38600
2023-05-18,9.65,9.71,9.17,9.42,9.42,35000
2023-05-17,9.83,10.03,9.54,9.63,9.63,39900
2023-05-16,10.05,10.05,9.85,9.87,9.87,23000
2023-05-15,10.08,10.48,9.87,10.05,10.05,17800
2023-05-12,10.0,10.26,10.0,10.18,10.18,3700
2023-05-11,9.97,10.22,9.97,10.1,10.1,25200
2023-05-10,10.06,10.34,9.96,10.1,10.1,53700
2023-05-09,10.23,10.25,9.85,10.05,10.05,112700
2023-05-08,10.25,10.33,9.99,10.25,10.25,18600
2023-05-05,10.45,10.5,9.91,10.35,10.35,44100
2023-05-04,9.78,10.5,9.78,10.33,10.33,26500
2023-05-03,10.56,10.56,10.03,10.03,10.03,17200
2023-05-02,10.53,10.73,10.12,10.12,10.12,28000
2023-05-01,9.79,10.78,9.79,10.63,10.63,33300
2023-04-28,9.66,9.87,9.66,9.81,9.81,8600
2023-04-27,9.76,9.89,9.7,9.7,9.7,10600
2023-04-26,9.88,10.12,9.76,9.76,9.76,10300
2023-04-25,10.01,10.15,9.81,9.97,9.97,32600
2023-04-24,10.15,10.16,10.01,10.01,10.01,17300
2023-04-21,10.02,10.36,10.02,10.27,10.27,7800
2023-04-20,10.3,10.4,10.0,10.02,10.02,17700
2023-04-19,10.27,10.44,10.27,10.27,10.27,8600
2023-04-18,10.42,10.49,10.31,10.34,10.34,20400
2023-04-17,10.33,10.51,10.33,10.42,10.42,16000
2023-04-14,10.47,10.47,10.38,10.38,10.38,29300
2023-04-13,10.47,10.6,10.36,10.47,10.47,9500
2023-04-12,10.73,10.73,10.33,10.33,10.33,35700
2023-04-11,10.56,10.68,10.55,10.58,10.58,19100
2023-04-10,10.5,10.69,10.5,10.55,10.55,14700
2023-04-06,10.72,10.72,10.42,10.5,10.5,15000
2023-04-05,10.92,10.92,10.66,10.73,10.73,8900
2023-04-04,11.01,11.22,10.81,10.81,10.81,18300
2023-04-03,11.37,11.47,10.9,10.93,10.93,32500
2023-03-31,11.25,11.48,10.84,11.47,11.47,24400
2023-03-30,11.08,11.2,11.01,11.2,11.2,6700
2023-03-29,11.17,11.22,11.0,11.08,11.08,6800
2023-03-28,11.25,11.6,10.84,11.22,11.22,41000
2023-03-27,11.34,11.69,11.05,11.25,11.25,32400
2023-03-24,10.75,11.34,10.51,11.34,11.34,8000
2023-03-23,10.58,10.94,10.55,10.87,10.87,52900
2023-03-22,10.62,10.89,10.6,10.61,10.61,29400
2023-03-21,10.74,11.2,10.61,10.74,10.74,13900
2023-03-20,10.71,10.92,10.64,10.64,10.64,13500
2023-03-17,10.94,11.04,10.67,10.74,10.74,35500
2023-03-16,11.1,11.18,10.78,10.92,10.92,36900
2023-03-15,11.27,11.34,10.9,10.98,10.98,24300
2023-03-14,11.44,11.78,11.1,11.38,11.38,277400
2023-03-13,11.58,11.63,11.43,11.43,11.43,29900
2023-03-10,12.61,12.61,11.66,11.74,11.74,16900
2023-03-09,12.62,12.84,12.55,12.59,12.59,15400
2023-03-08,12.84,13.13,12.61,12.74,12.74,38500
2023-03-07,13.45,13.45,12.72,12.84,12.84,23200
2023-03-06,13.4,13.75,13.4,13.5,13.5,75600
2023-03-03,13.09,13.49,12.9,13.43,13.43,52400
2023-03-02,12.4,13.1,12.08,13.01,13.01,56000
2023-03-01,12.75,12.75,12.31,12.45,12.45,15100
2023-02-28,11.61,12.95,11.61,12.75,12.75,68600
2023-02-27,11.83,11.86,11.6,11.61,11.61,23100
2023-02-24,12.2,12.23,11.69,11.82,11.82,23100
2023-02-23,12.55,12.55,12.2,12.23,12.23,10500
2023-02-22,12.65,12.65,12.42,12.46,12.46,8200
2023-02-21,12.9,12.98,12.48,12.48,12.48,20900
2023-02-17,13.09,13.3,12.96,13.05,13.05,44200
2023-02-16,13.25,13.25,12.99,13.09,13.09,31300
2023-02-15,13.11,13.28,13.0,13.2,13.2,59500
2023-02-14,13.0,13.15,12.95,13.1,13.1,51300
2023-02-13,13.18,13.18,12.75,13.09,13.09,82500
2023-02-10,13.16,13.44,13.01,13.3,13.3,54800
2023-02-09,13.19,13.6,12.72,13.37,13.37,49500
2023-02-08,13.3,13.43,13.16,13.3,13.3,22900
2023-02-07,13.21,13.47,12.96,13.2,13.2,30800
2023-02-06,12.88,13.51,12.73,13.3,13.3,45000
2023-02-03,12.49,13.0,12.45,12.78,12.78,31700
2023-02-02,12.59,12.88,12.41,12.59,12.59,40500
2023-02-01,12.26,12.68,12.22,12.41,12.41,39700
2023-01-31,12.48,12.56,12.25,12.31,12.31,37800
2023-01-30,12.19,12.51,12.15,12.4,12.4,22900
2023-01-27,11.61,12.29,11.61,12.21,12.21,44600
2023-01-26,11.57,11.71,11.34,11.66,11.66,14100
2023-01-25,11.55,11.59,11.45,11.57,11.57,11700
2023-01-24,11.42,11.6,11.38,11.5,11.5,15100
2023-01-23,11.38,11.73,11.3,11.57,11.57,53100
2023-01-20,11.28,11.55,11.2,11.4,11.4,22600
2023-01-19,11.08,11.34,11.08,11.23,11.23,18700
2023-01-18,11.68,11.75,11.17,11.17,11.17,21800
2023-01-17,10.96,11.75,10.96,11.65,11.65,67200
2023-01-13,10.97,11.29,10.97,11.18,11.18,34300
2023-01-12,10.96,11.19,10.96,11.1,11.1,23300
2023-01-11,10.77,11.36,10.76,11.05,11.05,54800
2023-01-10,11.05,11.2,10.85,10.85,10.85,84000
2023-01-09,11.0,11.39,10.8,11.1,11.1,175100
2023-01-06,11.79,12.24,11.66,12.12,12.12,15000
2023-01-05,11.45,11.72,11.31,11.65,11.65,19400
2023-01-04,11.33,11.76,11.26,11.42,11.42,46700
2023-01-03,11.87,11.98,11.17,11.36,11.36,70700
2022-12-30,12.12,12.14,11.76,11.87,11.87,30900
2022-12-29,11.91,12.41,11.8,12.08,12.08,32000
2022-12-28,11.73,12.22,11.73,12.0,12.0,34100
2022-12-27,12.46,12.47,11.7,11.73,11.73,24900
2022-12-23,12.77,12.83,12.28,12.54,12.54,41000
2022-12-22,12.76,12.84,12.57,12.76,12.76,27600
2022-12-21,12.8,12.84,12.5,12.7,12.7,29900
2022-12-20,12.63,12.81,12.52,12.7,12.7,35800
