date,open,high,low,close,adjusted_close,volume
2023-07-31,89.16,89.95,88.31,89.58,89.58,298100
2023-07-28,91.92,92.12,87.25,89.07,89.07,478300
2023-07-27,95.36,95.95,93.34,93.67,93.67,231400
2023-07-26,94.96,95.62,94.1,95.06,95.06,209500
2023-07-25,95.36,95.9,95.22,95.27,95.27,194300
2023-07-24,95.34,95.98,94.79,95.63,95.63,98900
2023-07-21,97.18,97.2,95.56,95.59,95.59,168000
2023-07-20,96.65,96.65,95.32,96.47,96.47,114500
2023-07-19,96.62,96.75,95.54,96.48,96.48,110900
2023-07-18,95.71,96.57,95.43,96.35,96.35,115500
2023-07-17,95.32,96.67,95.02,95.93,95.93,206800
2023-07-14,94.13,95.65,93.03,95.5,95.5,189800
2023-07-13,94.07,95.18,93.83,94.4,94.4,178800
2023-07-12,95.89,97.04,93.9,93.97,93.97,254800
2023-07-11,93.74,94.92,93.44,94.78,94.78,282100
2023-07-10,91.25,93.79,91.19,93.73,93.73,258100
2023-07-07,91.72,93.15,91.29,91.39,91.39,257600
2023-07-06,91.76,92.27,90.96,91.9,91.9,203800
2023-07-05,92.63,93.37,92.03,92.68,92.68,168000
2023-07-03,92.71,93.86,92.51,92.87,92.87,97800
2023-06-30,93.31,94.12,92.88,93.32,93.32,233900
2023-06-29,91.77,93.11,91.39,92.83,92.83,160200
2023-06-28,93.56,93.63,91.43,92.07,92.07,186500
2023-06-27,93.54,94.44,93.25,93.73,93.73,163500
2023-06-26,93.88,94.44,92.87,93.54,93.54,217600
2023-06-23,96.92,97.34,94.06,94.16,94.16,550100
2023-06-22,99.9,100.33,97.96,98.08,98.08,271400
2023-06-21,100.48,100.96,99.76,99.95,99.95,235000
2023-06-20,100.93,101.66,100.48,100.94,100.94,312600
2023-06-16,100.66,101.36,99.66,101.02,101.02,627400
2023-06-15,97.57,99.54,97.16,99.42,99.42,186300
2023-06-14,98.27,98.88,97.3,97.84,97.84,471800
2023-06-13,97.6,98.59,97.22,98.04,98.04,277600
2023-06-12,96.61,97.8,96.49,97.57,97.57,308800
2023-06-09,96.44,96.82,95.72,96.19,96.19,211100
2023-06-08,96.37,96.95,95.15,96.29,96.29,236000
2023-06-07,95.48,96.93,95.31,96.6,96.34,264600
2023-06-06,93.2,95.89,92.85,95.41,95.1532,268800
2023-06-05,93.73,94.38,92.9,93.33,93.0788,259800
2023-06-02,93.21,94.6859,92.79,94.38,94.126,239457
2023-06-01,90.73,92.32,90.73,92.05,91.8022,351398
2023-05-31,92.09,93.02,90.7401,91.32,91.0742,471853
2023-05-30,92.39,92.9,91.909,92.09,91.8421,256826
2023-05-26,89.73,92.17,89.73,91.98,91.7324,266305
2023-05-25,89.0,90.56,88.6511,89.55,89.309,281210
2023-05-24,90.04,90.33,89.195,89.35,89.1095,373800
2023-05-23,90.0,91.68,89.94,90.17,89.9273,359174
2023-05-22,88.8,90.48,88.545,90.24,89.9971,268846
2023-05-19,89.79,89.87,88.475,88.72,88.4812,418321
2023-05-18,87.18,89.01,86.83,88.87,88.6308,308187
2023-05-17,86.49,87.85,85.91,87.53,87.2944,215530
2023-05-16,86.08,87.09,85.27,86.11,85.8782,253593
2023-05-15,86.82,87.125,86.263,86.68,86.4467,215142
2023-05-12,86.66,87.3,85.81,86.61,86.3769,155928
2023-05-11,87.6,87.84,86.235,86.44,86.2073,157169
2023-05-10,89.26,89.4,86.98,88.06,87.823,205422
2023-05-09,88.31,88.755,87.63,88.08,87.8429,200419
2023-05-08,89.14,89.76,88.22,88.42,88.182,158118
2023-05-05,89.27,90.13,89.005,89.32,89.0796,223820
2023-05-04,88.98,89.28,88.16,88.23,87.9925,175970
2023-05-03,90.96,91.4,89.7,89.76,89.5184,295692
2023-05-02,90.82,91.995,89.07,90.72,90.4758,287456
2023-05-01,92.12,93.26,91.06,91.5,91.2537,232770
2023-04-28,93.06,95.195,91.34,92.05,91.8022,394957
2023-04-27,94.28,96.63,94.28,96.27,96.0109,243785
2023-04-26,94.48,94.71,93.65,94.21,93.9564,214977
2023-04-25,96.93,96.93,95.09,95.11,94.854,197770
2023-04-24,97.97,98.62,97.23,97.48,97.2176,125013
2023-04-21,98.09,98.49,97.13,98.09,97.826,145260
2023-04-20,97.24,98.585,96.96,97.8,97.5368,258874
2023-04-19,97.47,98.62,97.2406,97.62,97.3573,186507
2023-04-18,99.35,99.7,97.6,97.97,97.7063,217270
2023-04-17,98.7,99.32,98.225,99.15,98.8831,190439
2023-04-14,100.41,100.705,98.15,98.3,98.0354,138039
2023-04-13,99.04,100.28,98.59,100.28,100.0101,165628
2023-04-12,99.7,99.7,98.59,98.61,98.3446,159923
2023-04-11,98.75,99.37,98.35,99.05,98.7834,185033
2023-04-10,96.87,98.75,96.87,98.67,98.4044,149372
2023-04-06,98.18,98.46,97.0,97.68,97.4171,211783
2023-04-05,98.17,98.9,97.06,98.11,97.8459,223896
2023-04-04,99.34,99.38,97.44,98.67,98.4044,258766
2023-04-03,99.16,100.43,98.67,99.34,99.0726,394296
2023-03-31,98.65,100.475,98.65,99.69,99.4217,446496
2023-03-30,97.4,98.49,96.94,97.87,97.6066,248082
2023-03-29,96.83,97.35,95.78,97.16,96.8985,269335
2023-03-28,94.9,96.41,94.805,96.07,95.8114,219273
2023-03-27,94.14,95.9,94.14,95.59,95.3327,262483
2023-03-24,91.66,93.84,91.57,92.93,92.6799,447655
2023-03-23,93.43,94.68,91.55,91.86,91.6128,448897
2023-03-22,97.82,98.105,93.2,93.3,93.0489,552566
2023-03-21,97.97,99.03,96.84,98.33,98.0653,11691470
2023-03-20,97.02,98.18,96.22,97.38,97.1179,565373
2023-03-17,98.76,98.76,94.0,96.04,95.7815,1245993
2023-03-16,96.0,99.77,91.09,98.5,98.2349,1714441
2023-03-15,102.96,103.615,100.34,103.41,103.1317,232007
2023-03-14,103.04,104.78,102.0,104.67,104.3883,184139
2023-03-13,98.92,102.67,97.7,100.98,100.7082,189739
2023-03-10,101.85,101.85,98.66,100.02,99.7508,194441
2023-03-09,102.84,103.47,101.89,101.95,101.6756,131490
2023-03-08,103.11,104.75,102.08,103.16,102.623,153458
2023-03-07,104.56,104.81,102.51,103.3,102.7623,153778
2023-03-06,105.19,105.85,103.1,104.44,103.8964,189645
2023-03-03,104.58,105.62,103.37,105.46,104.9111,131300
2023-03-02,103.1,104.715,102.67,104.21,103.6676,102957
2023-03-01,102.63,104.0,101.64,103.52,102.9812,125980
2023-02-28,103.41,104.62,102.76,102.9,102.3644,201373
2023-02-27,104.11,104.605,102.72,103.45,102.9115,169965
2023-02-24,104.17,104.4,103.07,103.63,103.0906,125004
2023-02-23,105.34,106.325,104.01,105.22,104.6723,122083
2023-02-22,106.38,107.04,104.78,105.33,104.7817,163549
2023-02-21,107.88,108.615,105.57,105.68,105.1299,134900
2023-02-17,106.35,108.85,105.59,108.795,108.2287,168340
2023-02-16,106.32,107.29,105.81,105.85,105.299,151586
2023-02-15,104.79,107.31,104.2792,107.31,106.7514,107914
2023-02-14,105.69,106.42,104.82,105.4,104.8514,113231
2023-02-13,105.96,106.36,104.88,106.21,105.6572,119854
2023-02-10,104.0,105.92,104.0,105.47,104.921,117669
2023-02-09,107.59,108.0998,104.11,104.44,103.8964,143313
2023-02-08,108.43,109.44,106.2725,107.24,106.6818,140078
2023-02-07,107.24,109.31,105.93,109.25,108.6813,166905
2023-02-06,110.56,111.135,107.6,107.8,107.2389,146962
2023-02-03,107.33,112.749,106.355,111.26,110.6809,305193
2023-02-02,103.49,105.58,103.3118,105.45,104.9011,189960
2023-02-01,102.23,104.78,101.86,103.55,103.011,159721
2023-01-31,100.17,102.55,99.98,102.54,102.0063,153054
2023-01-30,100.7,102.3596,99.115,99.49,98.9721,99044
2023-01-27,101.04,101.97,100.35,101.16,100.6335,93214
2023-01-26,102.0,102.0,101.1756,101.47,100.9418,57740
2023-01-25,101.76,102.25,100.125,101.51,100.9816,99767
2023-01-24,101.29,102.545,100.78,102.22,101.6879,99205
2023-01-23,101.44,102.76,100.2,101.87,101.3398,104349
