date,open,high,low,close,adjusted_close,volume
2023-07-31,7.47,7.47,6.92,7.31,7.1803,18337
2023-07-28,6.99,7.4399,6.99,7.235,7.1066,21450
2023-07-27,7.21,7.57,6.805,6.95,6.8267,65396
2023-07-26,7.02,7.3999,6.96,7.28,7.1508,66194
2023-07-25,7.0,7.0,6.81,6.85,6.7285,7194
2023-07-24,6.89,7.0,6.81,6.9198,6.797,16413
2023-07-21,6.985,7.0699,6.72,6.8,6.6793,15407
2023-07-20,7.13,7.13,6.9,6.95,6.8267,7932
2023-07-19,6.9,7.145,6.75,7.14,7.0133,13599
2023-07-18,6.68,6.97,6.65,6.92,6.7972,19032
2023-07-17,6.77,6.8529,6.6945,6.75,6.6302,5241
2023-07-14,6.86,6.9459,6.7,6.72,6.6008,24258
2023-07-13,6.89,6.99,6.7,6.77,6.6499,16340
2023-07-12,6.875,6.9899,6.65,6.825,6.7039,14840
2023-07-11,6.81,6.98,6.6606,6.805,6.6843,17694
2023-07-10,6.8,6.9699,6.63,6.69,6.5713,6480
2023-07-07,6.55,6.98,6.55,6.8,6.6793,6842
2023-07-06,6.65,6.67,6.4497,6.5835,6.4667,13090
2023-07-05,6.84,6.84,6.5601,6.58,6.4632,14795
2023-07-03,6.89,6.89,6.72,6.73,6.6106,6133
2023-06-30,7.13,7.13,6.68,6.88,6.7579,12540
2023-06-29,6.92,6.92,6.75,6.88,6.7579,8355
2023-06-28,6.76,6.99,6.76,6.86,6.7383,4767
2023-06-27,7.08,7.1,6.76,6.81,6.6892,10858
2023-06-26,7.22,7.22,6.7,7.0891,6.9633,19511
2023-06-23,7.475,7.48,7.18,7.21,7.0821,15110
2023-06-22,7.61,7.63,7.45,7.57,7.4357,17997
2023-06-21,7.35,7.65,7.26,7.645,7.5093,18320
2023-06-20,7.43,7.5,7.17,7.47,7.3375,26535
2023-06-16,6.97,7.44,6.69,7.44,7.308,77858
2023-06-15,6.56,7.06,6.32,7.05,6.9249,238155
2023-06-14,6.72,6.76,6.58,6.58,6.4632,7660
2023-06-13,7.1,7.1,6.55,6.59,6.4731,17724
2023-06-12,6.81,7.0429,6.6404,6.82,6.699,10500
2023-06-09,7.07,7.17,6.58,6.75,6.6302,48873
2023-06-08,7.0,7.16,6.93,7.04,6.9151,47041
2023-06-07,7.24,7.32,6.8512,6.97,6.8463,60382
2023-06-06,6.5,7.5,6.3506,7.11,6.9838,212415
2023-06-05,6.33,6.5,6.28,6.5,6.3847,15114
2023-06-02,6.13,6.36,6.02,6.23,6.1195,25055
2023-06-01,6.0,6.15,5.798,6.02,5.9132,25449
2023-05-31,5.83,5.95,5.6712,5.945,5.8395,12764
2023-05-30,5.91,5.9881,5.6213,5.84,5.7364,7741
2023-05-26,5.62,5.9838,5.5193,5.84,5.7364,15264
2023-05-25,5.6644,5.7,5.3177,5.63,5.5301,16490
2023-05-24,5.37,5.48,5.3,5.42,5.3238,11389
2023-05-23,5.44,5.499,5.32,5.425,5.3287,14282
2023-05-22,5.33,5.46,5.16,5.3,5.206,6734
2023-05-19,5.524,5.99,5.14,5.14,5.0488,18906
2023-05-18,5.47,5.59,5.32,5.34,5.2452,22683
2023-05-17,5.68,5.9801,5.44,5.45,5.3533,24231
2023-05-16,6.0495,6.1173,5.75,5.76,5.6578,4354
2023-05-15,5.95,6.24,5.8273,5.9,5.7953,16025
2023-05-12,6.74,6.74,5.8601,6.0397,5.9325,38600
2023-05-11,6.15,6.7168,5.8787,6.5748,6.3206,106153
2023-05-10,5.97,6.15,5.9,6.15,5.9122,29491
2023-05-09,5.5,6.09,5.37,6.09,5.8546,58785
2023-05-08,5.5,5.6,5.42,5.51,5.297,32477
2023-05-05,5.62,5.62,5.3701,5.4,5.1912,15060
2023-05-04,5.67,5.67,5.55,5.55,5.3354,9426
2023-05-03,5.5,5.7,5.41,5.56,5.3451,14903
2023-05-02,5.52,5.55,5.41,5.5143,5.3011,29596
2023-05-01,5.5,5.5,5.41,5.46,5.2489,16117
