date,open,high,low,close,adjusted_close,volume
2023-07-31,2.86,2.91,2.75,2.79,2.79,14100
2023-07-28,2.84,2.88,2.79,2.88,2.88,11200
2023-07-27,2.76,2.9,2.73,2.78,2.78,31300
2023-07-26,2.71,2.8,2.71,2.76,2.76,27900
2023-07-25,2.64,2.77,2.64,2.69,2.69,14800
2023-07-24,2.7,2.71,2.66,2.67,2.67,10900
2023-07-21,2.78,2.84,2.67,2.67,2.67,21500
2023-07-20,2.88,2.88,2.75,2.76,2.76,12800
2023-07-19,2.71,2.95,2.71,2.9,2.9,28400
2023-07-18,2.76,2.9,2.72,2.81,2.81,27900
2023-07-17,2.81,2.86,2.77,2.8,2.8,13600
2023-07-14,2.8,2.87,2.8,2.81,2.81,56800
2023-07-13,2.76,2.99,2.7,2.86,2.86,28700
2023-07-12,2.95,2.95,2.75,2.77,2.77,20100
2023-07-11,2.85,3.0,2.85,2.91,2.91,47800
2023-07-10,3.0,3.0,2.87,2.87,2.87,16800
2023-07-07,2.81,3.06,2.81,2.98,2.98,43400
2023-07-06,2.77,2.87,2.76,2.85,2.85,22800
2023-07-05,2.77,2.85,2.77,2.77,2.77,42300
2023-07-03,2.64,2.8,2.64,2.8,2.8,28800
2023-06-30,2.5,2.63,2.5,2.6,2.6,17600
2023-06-29,2.51,2.61,2.49,2.55,2.55,37000
2023-06-28,2.52,2.63,2.51,2.57,2.57,80200
2023-06-27,2.55,2.61,2.54,2.55,2.55,39600
2023-06-26,2.69,2.73,2.57,2.57,2.57,25800
2023-06-23,2.73,2.77,2.69,2.73,2.73,21800
2023-06-22,2.62,2.76,2.62,2.72,2.72,19400
2023-06-21,2.72,2.73,2.59,2.66,2.66,29800
2023-06-20,2.75,2.84,2.7,2.72,2.72,12100
2023-06-16,2.75,2.87,2.7,2.82,2.82,47800
2023-06-15,2.63,2.82,2.61,2.72,2.72,17600
2023-06-14,3.0,3.0,2.68,2.7,2.7,94100
2023-06-13,2.75,3.0,2.55,2.92,2.92,86200
2023-06-12,2.61,2.8,2.55,2.7,2.7,28700
2023-06-09,2.73,2.84,2.65,2.65,2.65,44700
2023-06-08,2.98,2.98,2.71,2.76,2.76,13700
2023-06-07,2.88,2.88,2.6,2.74,2.74,82500
2023-06-06,2.7,2.79,2.58,2.61,2.61,71500
2023-06-05,2.63,2.7,2.56,2.66,2.66,6900
2023-06-02,2.69,2.72,2.6,2.6,2.6,24100
2023-06-01,2.58,2.72,2.55,2.72,2.72,14400
2023-05-31,2.68,2.68,2.55,2.59,2.59,28100
2023-05-30,2.65,2.77,2.65,2.73,2.73,7200
2023-05-26,2.63,2.77,2.63,2.77,2.77,13700
2023-05-25,2.83,2.83,2.6,2.62,2.62,43700
2023-05-24,2.83,2.88,2.8,2.8,2.8,17200
2023-05-23,3.03,3.05,2.9,2.92,2.92,102500
2023-05-22,2.86,3.05,2.86,3.03,3.03,32900
2023-05-19,2.69,2.93,2.69,2.86,2.86,38100
2023-05-18,2.57,2.72,2.57,2.72,2.72,44000
2023-05-17,2.46,2.6,2.41,2.57,2.57,134200
2023-05-16,2.6,2.61,2.46,2.47,2.47,16900
2023-05-15,2.62,2.64,2.53,2.6,2.6,31600
2023-05-12,2.42,2.64,2.33,2.62,2.62,69000
2023-05-11,2.36,2.45,2.28,2.35,2.35,185500
2023-05-10,2.44,2.63,2.29,2.37,2.37,99400
2023-05-09,2.79,2.79,2.44,2.44,2.44,119100
2023-05-08,2.82,2.98,2.82,2.91,2.91,28100
2023-05-05,3.06,3.06,2.89,2.95,2.95,24600
2023-05-04,3.04,3.1,2.96,3.09,3.09,10500
2023-05-03,2.9,3.11,2.8,3.04,3.04,34100
2023-05-02,2.9,2.99,2.9,2.95,2.95,14454
2023-05-01,2.99,2.99,2.94,2.94,2.94,13701
2023-04-28,2.97,3.06,2.95,2.95,2.95,19700
2023-04-27,2.85,2.97,2.85,2.97,2.97,29700
2023-04-26,2.75,2.88,2.75,2.79,2.79,8600
2023-04-25,2.62,2.79,2.58,2.77,2.77,56600
2023-04-24,2.64,2.8,2.64,2.67,2.67,29700
2023-04-21,2.82,2.91,2.64,2.64,2.64,82800
2023-04-20,2.75,2.88,2.75,2.85,2.85,10500
2023-04-19,2.76,2.8839,2.76,2.79,2.79,6304
2023-04-18,2.81,2.9,2.78,2.81,2.81,36620
2023-04-17,2.89,2.98,2.81,2.85,2.85,19620
2023-04-14,2.9,3.04,2.9,2.92,2.92,21617
2023-04-13,2.94,2.94,2.87,2.87,2.87,1694
2023-04-12,2.9,3.0323,2.85,2.85,2.85,12770
2023-04-11,2.84,3.0546,2.84,2.935,2.935,23094
2023-04-10,3.01,3.1695,2.88,2.88,2.88,23734
2023-04-06,2.95,3.1,2.95,2.98,2.98,6342
2023-04-05,3.06,3.14,2.93,2.99,2.99,16418
2023-04-04,2.9931,3.1959,2.9931,3.02,3.02,33763
2023-04-03,2.9136,3.01,2.9136,2.97,2.97,21057
2023-03-31,2.95,3.06,2.93,2.95,2.95,15606
2023-03-30,2.92,3.0299,2.872,2.91,2.91,35976
2023-03-29,3.02,3.07,2.9,2.94,2.94,24552
2023-03-28,2.9035,3.08,2.8401,2.98,2.98,43294
2023-03-27,2.91,3.0689,2.91,2.99,2.99,26019
2023-03-24,2.9,3.1058,2.8,3.025,3.025,59836
2023-03-23,3.28,3.33,3.1,3.11,3.11,38722
2023-03-22,3.36,3.4386,3.17,3.21,3.21,12707
2023-03-21,3.24,3.415,3.1801,3.32,3.32,24931
2023-03-20,3.33,3.46,3.2936,3.3,3.3,57538
2023-03-17,3.41,3.5,3.3,3.35,3.35,18329
2023-03-16,3.52,3.52,3.32,3.4,3.4,5940
2023-03-15,3.39,3.5178,3.3501,3.46,3.46,37151
2023-03-14,3.45,3.675,3.445,3.48,3.48,54273
2023-03-13,3.28,3.48,3.2338,3.45,3.45,40356
2023-03-10,3.35,3.4199,3.2345,3.33,3.33,44776
2023-03-09,3.48,3.48,3.32,3.35,3.35,26897
2023-03-08,3.38,3.46,3.3687,3.45,3.45,15570
2023-03-07,3.513,3.545,3.27,3.36,3.36,27822
2023-03-06,3.8,3.8,3.5,3.55,3.55,38796
2023-03-03,3.82,3.82,3.6659,3.78,3.78,17432
2023-03-02,3.685,3.79,3.6601,3.775,3.775,11982
2023-03-01,3.69,3.7369,3.56,3.685,3.685,17361
2023-02-28,3.68,3.735,3.65,3.67,3.67,5456
2023-02-27,3.7,3.7999,3.54,3.67,3.67,12069
2023-02-24,3.57,3.725,3.5117,3.66,3.66,22091
2023-02-23,3.62,3.73,3.52,3.65,3.65,7171
2023-02-22,3.55,3.63,3.52,3.59,3.59,13895
2023-02-21,3.67,3.67,3.5,3.5,3.5,22354
2023-02-17,3.66,3.72,3.6301,3.72,3.72,12310
2023-02-16,3.76,3.8473,3.68,3.7,3.7,22858
2023-02-15,3.74,3.9499,3.74,3.88,3.88,42299
2023-02-14,3.96,4.07,3.8301,4.0,4.0,28344
2023-02-13,3.54,3.87,3.54,3.84,3.84,33452
2023-02-10,3.5,3.6,3.31,3.525,3.525,55416
2023-02-09,3.6,3.66,3.58,3.62,3.62,30660
2023-02-08,3.49,3.6,3.44,3.6,3.6,37341
2023-02-07,3.32,3.5,3.26,3.46,3.46,43058
2023-02-06,3.5,3.545,3.37,3.38,3.38,15489
