date,open,high,low,close,adjusted_close,volume
2023-07-31,10.48,10.659,10.46,10.49,10.49,117800
2023-07-28,10.46,10.77,10.46,10.53,10.53,92300
2023-07-27,10.52,10.57,10.31,10.43,10.43,197700
2023-07-26,10.04,10.61,10.04,10.44,10.44,153200
2023-07-25,9.96,10.16,9.87,9.9,9.9,118700
2023-07-24,9.82,10.2,9.73,10.18,10.18,103900
2023-07-21,9.87,9.878,9.725,9.82,9.82,104500
2023-07-20,9.9,10.0,9.6,9.85,9.85,127300
2023-07-19,9.86,10.025,9.84,9.95,9.95,114900
2023-07-18,9.48,9.85,9.48,9.81,9.81,99400
2023-07-17,9.31,9.57,9.31,9.49,9.49,104500
2023-07-14,9.38,9.39,9.13,9.32,9.32,102500
2023-07-13,9.28,9.46,9.211,9.34,9.34,141500
2023-07-12,9.2,9.32,9.125,9.22,9.22,113300
2023-07-11,9.02,9.12,8.887,9.08,9.08,101400
2023-07-10,9.02,9.33,9.02,9.11,9.035,130300
2023-07-07,8.82,9.2,8.82,9.05,8.9755,309087
2023-07-06,8.97,8.97,8.65,8.89,8.8168,219653
2023-07-05,9.17,9.31,8.92,9.09,9.0152,177249
2023-07-03,8.76,8.91,8.73,8.91,8.8366,68176
2023-06-30,8.95,8.95,8.66,8.68,8.6085,97210
2023-06-29,8.75,9.1355,8.75,8.89,8.8168,110052
2023-06-28,8.85,8.85,8.59,8.73,8.6581,101622
2023-06-27,8.74,8.915,8.65,8.76,8.6879,149146
2023-06-26,9.13,9.135,8.68,8.74,8.668,220544
2023-06-23,8.62,9.35,8.62,9.13,9.0548,819117
2023-06-22,8.86,8.86,8.61,8.71,8.6383,146287
2023-06-21,8.98,9.02,8.83,8.91,8.8366,123701
2023-06-20,9.27,9.27,8.91,9.01,8.9358,136414
2023-06-16,9.54,9.54,9.1,9.27,9.1937,377029
2023-06-15,9.17,9.43,9.17,9.42,9.3424,136112
2023-06-14,9.52,9.54,9.001,9.22,9.1441,145491
2023-06-13,9.22,9.48,9.14,9.47,9.392,134521
2023-06-12,9.33,9.43,9.0,9.14,9.0648,136692
2023-06-09,9.38,9.4,9.19,9.32,9.2433,112266
2023-06-08,9.52,9.52,9.2075,9.38,9.3028,140260
2023-06-07,9.2,9.55,9.14,9.48,9.402,177553
2023-06-06,8.63,9.31,8.63,9.12,9.0449,162608
2023-06-05,8.9,8.9,8.56,8.65,8.5788,133547
2023-06-02,8.57,8.95,8.5,8.93,8.8565,150356
2023-06-01,8.27,8.55,8.16,8.38,8.311,116514
2023-05-31,8.27,8.2999,8.1,8.2,8.1325,181360
2023-05-30,8.49,8.5,8.26,8.3,8.2317,163466
2023-05-26,8.45,8.54,8.33,8.49,8.4201,104924
2023-05-25,8.52,8.52,8.07,8.48,8.4102,95422
2023-05-24,8.49,8.7,8.485,8.52,8.4499,166812
2023-05-23,8.38,8.86,8.295,8.53,8.4598,236806
2023-05-22,8.11,8.48,8.01,8.38,8.311,220292
2023-05-19,8.5,8.5,8.045,8.06,7.9936,134132
2023-05-18,8.37,8.43,8.29,8.41,8.3408,137520
2023-05-17,7.89,8.4,7.89,8.37,8.3011,190346
2023-05-16,7.9,7.9875,7.76,7.77,7.706,192938
2023-05-15,7.88,8.0,7.8071,7.83,7.7655,219943
2023-05-12,7.91,7.98,7.79,7.89,7.825,147146
2023-05-11,7.91,8.02,7.85,7.89,7.825,179279
2023-05-10,8.08,8.13,7.91,8.03,7.9639,198451
2023-05-09,8.1,8.18,7.91,8.02,7.954,180764
2023-05-08,8.41,8.445,8.13,8.13,8.0631,287306
2023-05-05,8.35,8.62,8.21,8.29,8.2218,383003
2023-05-04,8.25,8.36,7.512,8.13,8.0631,427714
2023-05-03,8.55,8.86,8.3115,8.35,8.2813,320859
2023-05-02,9.55,9.65,8.435,8.51,8.4399,424607
2023-05-01,10.73,10.75,9.52,9.6,9.521,323818
2023-04-28,10.84,11.24,10.75,10.75,10.6615,153931
2023-04-27,10.88,11.08,10.77,10.88,10.7904,207607
2023-04-26,10.99,11.0696,10.702,10.8,10.7111,123197
2023-04-25,11.2,11.27,10.81,10.84,10.7508,152725
2023-04-24,11.34,11.525,11.28,11.31,11.2169,103506
2023-04-21,11.44,11.52,11.325,11.34,11.2466,210562
2023-04-20,11.5,11.568,11.38,11.48,11.3855,126352
2023-04-19,11.43,11.73,11.3936,11.5,11.4053,254463
2023-04-18,11.66,11.66,11.35,11.39,11.2962,169087
2023-04-17,11.46,11.65,11.38,11.6,11.5045,234630
2023-04-14,12.1,12.14,11.54,11.59,11.4946,153039
2023-04-13,12.1,12.1,11.94,11.96,11.8615,177664
2023-04-12,12.07,12.19,12.025,12.05,11.9508,179789
2023-04-11,12.15,12.18,11.98,12.02,11.921,148411
2023-04-10,12.24,12.38,12.18,12.21,12.0351,212706
2023-04-06,12.07,12.33,12.07,12.29,12.114,200559
2023-04-05,12.07,12.18,12.04,12.09,11.9168,204813
2023-04-04,12.26,12.26,11.93,12.18,12.0055,251775
2023-04-03,12.22,12.35,12.15,12.19,12.0154,225817
2023-03-31,12.22,12.37,12.115,12.2,12.0252,302535
2023-03-30,12.33,12.44,12.06,12.17,11.9957,180867
2023-03-29,12.18,12.23,12.02,12.15,11.976,229377
2023-03-28,12.15,12.265,12.02,12.09,11.9168,261230
2023-03-27,12.41,12.5,12.15,12.17,11.9957,314367
2023-03-24,11.82,12.37,11.74,12.31,12.1337,264051
2023-03-23,12.25,12.2838,11.87,11.88,11.7098,269425
2023-03-22,12.67,12.74,12.16,12.19,12.0154,240071
2023-03-21,12.62,12.93,12.56,12.71,12.5279,288581
2023-03-20,12.15,12.5,12.11,12.32,12.1435,424347
2023-03-17,12.95,12.95,12.16,12.2,12.0252,588130
2023-03-16,12.33,13.36,12.17,13.06,12.8729,315918
2023-03-15,12.0,12.63,11.63,12.5,12.3209,326576
2023-03-14,12.96,13.02,12.36,12.49,12.3111,296951
2023-03-13,12.21,12.84,11.765,12.33,12.1534,456330
2023-03-10,12.5,12.87,12.12,12.65,12.4688,499865
2023-03-09,13.0,13.02,12.53,12.61,12.4294,265516
2023-03-08,13.13,13.175,13.02,13.1,12.9123,155514
2023-03-07,13.35,13.39,13.05,13.08,12.8926,172663
2023-03-06,13.6,13.6,13.31,13.34,13.1489,224293
2023-03-03,13.38,13.565,13.35,13.54,13.346,138905
2023-03-02,13.51,13.55,13.31,13.37,13.1785,133441
2023-03-01,13.63,13.77,13.52,13.57,13.3756,142099
2023-02-28,13.59,13.715,13.59,13.67,13.4742,289052
2023-02-27,13.64,13.77,13.534,13.62,13.4249,137617
2023-02-24,13.68,13.75,13.5,13.57,13.3756,162313
2023-02-23,13.66,13.88,13.66,13.81,13.6122,152005
2023-02-22,13.74,13.83,13.6,13.67,13.4742,170337
2023-02-21,13.98,13.98,13.64,13.69,13.4939,166277
2023-02-17,13.69,13.95,13.675,13.9,13.7009,151893
2023-02-16,13.68,13.73,13.6,13.61,13.415,142890
2023-02-15,13.56,13.855,13.551,13.84,13.6417,192144
2023-02-14,13.51,13.885,13.51,13.64,13.4446,220192
2023-02-13,13.66,13.74,13.63,13.64,13.4446,145808
2023-02-10,13.73,13.83,13.65,13.68,13.484,157606
2023-02-09,13.54,13.87,13.53,13.78,13.5826,185633
2023-02-08,13.98,14.08,13.68,13.76,13.5629,141274
2023-02-07,13.67,14.17,13.66,14.12,13.9177,225453
2023-02-06,13.78,14.1,13.78,13.85,13.6516,215474
2023-02-03,13.84,14.09,13.81,13.89,13.691,128622
2023-02-02,13.74,13.99,13.64,13.86,13.6615,263536
2023-02-01,13.55,13.9,13.53,13.71,13.5136,149095
2023-01-31,13.32,13.71,13.3,13.64,13.4446,177731
2023-01-30,13.44,13.44,13.15,13.29,13.0996,296627
2023-01-27,13.55,13.6,13.08,13.42,13.2278,271545
2023-01-26,13.99,14.08,13.55,13.63,13.4348,206879
2023-01-25,13.95,13.96,13.77,13.91,13.7107,45436
2023-01-24,14.16,14.16,13.95,13.99,13.7896,52825
2023-01-23,14.15,14.48,14.05,14.17,13.967,101397
2023-01-20,14.06,14.15,13.87,14.15,13.9473,126112
2023-01-19,13.75,13.95,13.7,13.92,13.7206,105796
2023-01-18,14.19,14.19,13.78,13.8,13.6023,93347
2023-01-17,14.27,14.35,14.08,14.2,13.9966,99141
2023-01-13,14.05,14.21,13.95,14.18,13.9769,56301
2023-01-12,13.96,14.23,13.93,14.12,13.9177,49283
2023-01-11,13.94,14.095,13.81,13.92,13.7206,61072
2023-01-10,13.93,14.02,13.88,13.9,13.7009,86608
2023-01-09,14.11,14.17,13.91,13.94,13.7403,48488
2023-01-06,13.94,14.145,13.865,14.11,13.9079,68416
2023-01-05,13.86,13.91,13.77,13.81,13.6122,68279
2023-01-04,13.82,14.11,13.82,13.96,13.76,77342
2023-01-03,13.97,14.08,13.74,13.95,13.7502,130691
2022-12-30,13.95,14.01,13.88,13.9,13.7009,55530
2022-12-29,14.01,14.09,13.94,14.06,13.7896,67451
2022-12-28,14.15,14.15,13.92,13.92,13.6523,49365
2022-12-27,14.11,14.135,13.99,14.1,13.8288,60921
2022-12-23,13.83,14.09,13.83,14.05,13.7798,48081
2022-12-22,14.06,14.08,13.82,13.96,13.6915,73469
2022-12-21,13.94,14.25,13.94,14.15,13.8779,80213
2022-12-20,13.8,13.94,13.8,13.89,13.6229,76745
2022-12-19,13.76,13.88,13.72,13.83,13.564,89097
2022-12-16,13.77,13.885,13.62,13.77,13.5052,337733
2022-12-15,14.05,14.06,13.7,13.76,13.4954,178087
2022-12-14,14.39,14.45,13.99,14.14,13.8681,157942
2022-12-13,14.54,14.75,14.24,14.38,14.1034,143575
2022-12-12,14.31,14.45,14.21,14.38,14.1034,111031
2022-12-09,14.15,14.37,14.12,14.34,14.0642,74265
2022-12-08,14.25,14.285,14.06,14.22,13.9465,106880
2022-12-07,14.23,14.38,14.17,14.25,13.9759,76704
2022-12-06,14.59,14.66,14.26,14.31,14.0348,172412
2022-12-05,14.82,14.82,14.46,14.55,14.2702,231331
2022-12-02,14.82,14.89,14.405,14.79,14.5056,77930
2022-12-01,14.76,14.93,14.485,14.88,14.5938,99439
2022-11-30,14.34,14.67,14.09,14.63,14.3486,167015
2022-11-29,14.38,14.44,14.32,14.36,14.0838,51447
2022-11-28,14.64,14.69,14.36,14.4,14.1231,78055
2022-11-25,14.69,14.75,14.62,14.69,14.4075,22993
2022-11-23,14.53,14.68,14.485,14.6,14.3192,75414
2022-11-22,14.48,14.66,14.385,14.6,14.3192,78690
2022-11-21,14.3,14.5,14.21,14.46,14.1819,117544
2022-11-18,14.53,14.53,14.255,14.29,14.0152,122325
2022-11-17,14.27,14.41,14.02,14.25,13.9759,129357
2022-11-16,14.6,14.69,14.35,14.41,14.1329,146811
2022-11-15,14.5,14.71,14.46,14.63,14.3486,132084
2022-11-14,14.21,14.57,14.16,14.37,14.0936,110278
2022-11-11,14.54,14.58,14.21,14.24,13.9661,115347
2022-11-10,14.48,14.76,14.46,14.55,14.2702,150172
2022-11-09,14.32,14.49,14.13,14.15,13.8779,149679
2022-11-08,14.64,14.64,13.221,14.3,14.025,124520
2022-11-07,14.64,14.92,14.58,14.6,14.3192,133714
2022-11-04,14.6,14.75,14.47,14.67,14.3879,227701
2022-11-03,14.68,14.7062,14.47,14.56,14.28,106209
2022-11-02,15.14,15.17,14.67,14.74,14.4565,182507
2022-11-01,15.33,15.505,15.2,15.28,14.9861,160476
2022-10-31,15.01,15.565,14.9496,15.23,14.9371,489801
2022-10-28,14.48,15.17,14.44,15.1,14.8096,257968
2022-10-27,14.37,14.975,14.37,14.61,14.329,222255
2022-10-26,13.74,14.28,13.68,14.23,13.9563,300817
2022-10-25,13.66,13.72,13.58,13.64,13.3777,159920
2022-10-24,13.33,13.69,13.33,13.64,13.3777,208667
2022-10-21,13.0,13.38,12.82,13.29,13.0344,240848
2022-10-20,14.08,14.145,12.87,12.94,12.6911,420980
2022-10-19,14.33,14.49,14.205,14.31,14.0348,168492
2022-10-18,14.56,14.64,14.37,14.43,14.1525,89158
2022-10-17,14.45,14.59,14.39,14.49,14.2113,118961
2022-10-14,14.42,14.56,14.24,14.26,13.9858,100828
2022-10-13,13.66,14.4,13.64,14.37,14.0936,138355
2022-10-12,13.78,13.96,13.56,13.77,13.5052,183641
2022-10-11,13.63,13.84,13.62,13.78,13.515,138222
2022-10-10,13.86,13.885,13.74,13.77,13.4365,135591
2022-10-07,13.84,13.93,13.64,13.76,13.4267,158764
2022-10-06,13.84,13.91,13.75,13.86,13.5243,112029
2022-10-05,13.76,13.92,13.71,13.85,13.5145,91244
2022-10-04,13.88,14.03,13.88,13.96,13.6219,137071
2022-10-03,13.38,13.84,13.38,13.79,13.456,196381
2022-09-30,13.61,13.71,13.41,13.42,13.0949,182153
2022-09-29,13.68,13.68,13.55,13.63,13.2999,163870
2022-09-28,13.77,13.895,13.7111,13.77,13.4365,116303
2022-09-27,13.85,13.92,13.715,13.77,13.4365,187578
2022-09-26,13.96,14.11,13.83,13.83,13.495,154950
2022-09-23,14.08,14.08,13.845,14.02,13.6804,147008
2022-09-22,14.23,14.46,14.125,14.16,13.817,208826
2022-09-21,14.19,14.26,14.03,14.06,13.7194,143369
2022-09-20,14.18,14.18,13.94,14.11,13.7682,128208
2022-09-19,13.84,14.2,13.78,14.19,13.8463,137605
2022-09-16,13.8,13.86,13.71,13.84,13.5048,698862
2022-09-15,13.73,13.9,13.67,13.84,13.5048,125417
2022-09-14,13.49,13.72,13.49,13.72,13.3877,159141
2022-09-13,13.7,13.78,13.47,13.56,13.2316,184588
2022-09-12,13.85,13.93,13.78,13.85,13.5145,112456
2022-09-09,13.84,13.88,13.76,13.84,13.5048,81830
2022-09-08,13.73,13.822,13.59,13.73,13.3974,137296
2022-09-07,13.45,13.74,13.42,13.73,13.3974,131332
2022-09-06,13.78,13.78,13.44,13.5,13.173,130778
2022-09-02,13.9,13.91,13.61,13.68,13.3487,117472
2022-09-01,13.6,13.75,13.57,13.74,13.4072,118478
2022-08-31,13.76,13.82,13.62,13.64,13.3096,173434
2022-08-30,13.75,13.91,13.71,13.79,13.456,161966
2022-08-29,13.81,13.87,13.75,13.8,13.4657,147664
2022-08-26,13.97,13.97,13.87,13.92,13.5828,122688
2022-08-25,14.07,14.08,13.93,13.99,13.6511,118258
2022-08-24,14.13,14.13,13.96,14.04,13.6999,155285
2022-08-23,14.24,14.24,14.12,14.13,13.7878,96976
2022-08-22,14.47,14.47,14.12,14.2,13.8561,153226
2022-08-19,14.55,14.57,14.33,14.55,14.1976,187140
2022-08-18,14.74,14.74,14.57,14.59,14.2366,70641
2022-08-17,14.59,14.72,14.56,14.7,14.3439,73401
2022-08-16,14.67,14.79,14.67,14.7,14.3439,129295
2022-08-15,14.63,14.74,14.54,14.72,14.3635,82765
2022-08-12,14.57,14.74,14.55,14.71,14.3537,103364
2022-08-11,14.49,14.5603,14.41,14.52,14.1683,85975
2022-08-10,14.38,14.45,14.32,14.36,14.0122,100025
2022-08-09,14.2,14.25,14.03,14.23,13.8853,118568
2022-08-08,14.05,14.21,13.99,14.16,13.817,199559
2022-08-05,14.05,14.13,14.03,14.04,13.6999,134126
2022-08-04,14.25,14.25,14.01,14.05,13.7097,132425
2022-08-03,14.31,14.31,14.14,14.25,13.9048,118130
2022-08-02,14.46,14.489,14.21,14.23,13.8853,72852
2022-08-01,14.39,14.6,14.35,14.5,14.1488,198420
2022-07-29,14.54,14.54,14.43,14.5,14.1488,175435
2022-07-28,14.5,14.53,14.38,14.45,14.1,129717
2022-07-27,14.63,14.63,14.42,14.53,14.1781,186310
2022-07-26,14.36,14.54,14.34,14.43,14.0805,199346
2022-07-25,14.49,14.61,14.38,14.39,14.0415,138691
2022-07-22,14.3,14.38,14.18,14.38,14.0317,131742
2022-07-21,14.45,14.57,14.26,14.33,13.9829,154828
2022-07-20,14.33,14.57,14.29,14.53,14.1781,113954
2022-07-19,14.26,14.52,14.26,14.43,14.0805,138429
2022-07-18,14.23,14.32,14.09,14.13,13.7878,109084
2022-07-15,14.09,14.2,13.97,14.12,13.778,142999
2022-07-14,13.81,13.91,13.78,13.89,13.5536,133378
