date,open,high,low,close,adjusted_close,volume
2023-07-31,23.46,23.46,21.91,22.54,22.54,54300
2023-07-28,21.27,23.71,21.26,23.07,23.07,86100
2023-07-27,19.95,21.39,19.95,21.16,21.16,86900
2023-07-26,19.36,20.75,19.36,20.48,20.48,90400
2023-07-25,19.14,19.51,18.88,19.35,19.35,148419
2023-07-24,18.17,19.05,18.17,19.0,19.0,48940
2023-07-21,18.29,18.77,17.98,18.23,18.23,59000
2023-07-20,18.18,18.56,17.87,18.25,18.25,50600
2023-07-19,17.73,18.56,17.73,18.39,18.39,54100
2023-07-18,16.37,17.98,16.37,17.77,17.77,61300
2023-07-17,16.14,16.75,15.97,16.58,16.58,49600
2023-07-14,16.13,16.13,15.76,16.11,16.11,40600
2023-07-13,16.14,16.44,16.0,16.1,16.1,72600
2023-07-12,15.57,16.41,15.57,16.14,16.14,68500
2023-07-11,15.36,15.41,15.18,15.33,15.33,32200
2023-07-10,15.46,15.76,15.05,15.33,15.33,48400
2023-07-07,14.65,15.51,14.4,15.38,15.38,47700
2023-07-06,14.85,14.96,14.18,14.78,14.78,82400
2023-07-05,15.04,15.41,14.9,14.9,14.9,42700
2023-07-03,14.78,15.27,14.69,15.25,15.25,68300
2023-06-30,15.5,15.54,14.8,14.85,14.85,83300
2023-06-29,14.99,15.78,14.99,15.5,15.5,66800
2023-06-28,15.44,15.44,14.61,14.75,14.69,78600
2023-06-27,15.6,16.0,15.21,15.44,15.3772,107400
2023-06-26,14.86,15.61,14.86,15.47,15.4071,118000
2023-06-23,14.43,15.285,14.3761,14.82,14.7597,1302882
2023-06-22,14.42,15.005,13.975,14.73,14.6701,212934
2023-06-21,14.68,14.68,14.29,14.53,14.4709,74375
2023-06-20,14.59,14.7,14.01,14.64,14.5804,126899
2023-06-16,15.12,15.12,14.28,14.68,14.6203,127777
2023-06-15,14.74,15.15,14.72,14.95,14.8892,90490
2023-06-14,15.59,15.6,14.51,14.75,14.69,183637
2023-06-13,14.89,16.12,14.56,15.45,15.3872,202898
2023-06-12,14.38,14.9,14.29,14.9,14.8394,171945
2023-06-09,14.55,14.79,14.1225,14.36,14.3016,125332
