date,open,high,low,close,adjusted_close,volume
2023-07-31,4.49,4.58,4.43,4.5,4.5,3175200
2023-07-28,4.7,4.75,4.48,4.48,4.48,1853300
2023-07-27,4.74,4.83,4.68,4.69,4.69,1931300
2023-07-26,4.69,4.74,4.63,4.71,4.71,1122800
2023-07-25,4.72,4.79,4.62,4.71,4.71,1310800
2023-07-24,4.72,4.82,4.65,4.72,4.72,2223200
2023-07-21,4.66,4.74,4.63,4.74,4.74,4681500
2023-07-20,4.63,4.65,4.51,4.62,4.62,1499800
2023-07-19,4.7,4.77,4.67,4.68,4.68,1163400
2023-07-18,4.64,4.75,4.58,4.71,4.71,1499600
2023-07-17,4.72,4.84,4.64,4.65,4.65,1416600
2023-07-14,4.96,4.97,4.63,4.71,4.71,3416400
2023-07-13,5.14,5.24,5.03,5.06,5.06,1921800
2023-07-12,5.14,5.19,5.05,5.14,5.14,3091000
2023-07-11,4.83,5.05,4.83,5.03,5.03,3744900
2023-07-10,4.62,4.89,4.6,4.85,4.85,2146700
2023-07-07,4.51,4.7,4.49,4.64,4.64,1494100
2023-07-06,4.46,4.57,4.45,4.52,4.52,1683200
2023-07-05,4.67,4.69,4.59,4.61,4.61,1664000
2023-07-03,4.78,4.8,4.68,4.69,4.69,1128400
2023-06-30,4.68,4.88,4.64,4.83,4.83,3666000
2023-06-29,4.61,4.72,4.59,4.64,4.64,1459400
2023-06-28,4.54,4.62,4.45,4.61,4.61,1337400
2023-06-27,4.52,4.61,4.42,4.55,4.55,1630800
2023-06-26,4.49,4.61,4.49,4.51,4.51,1623800
2023-06-23,4.6,4.62,4.49,4.52,4.52,5292600
2023-06-22,4.68,4.72,4.6,4.66,4.66,1503500
2023-06-21,4.89,4.94,4.65,4.7,4.7,1917900
2023-06-20,5.07,5.23,4.8,4.89,4.89,4293400
2023-06-16,5.0,5.14,4.88,5.07,5.07,5303900
2023-06-15,4.87,4.99,4.76,4.94,4.94,1788000
2023-06-14,4.73,4.93,4.71,4.87,4.87,3488400
2023-06-13,4.66,4.86,4.65,4.75,4.75,3955600
2023-06-12,4.55,4.65,4.52,4.64,4.64,3937100
2023-06-09,4.52,4.58,4.44,4.51,4.51,2256600
2023-06-08,4.74,4.74,4.52,4.52,4.52,2638800
2023-06-07,4.65,4.89,4.65,4.72,4.72,3817400
2023-06-06,4.66,4.75,4.48,4.65,4.65,7119400
2023-06-05,4.84,4.89,4.74,4.76,4.76,2735800
2023-06-02,4.83,4.89,4.73,4.88,4.88,3706700
2023-06-01,4.9,4.93,4.69,4.79,4.79,3643900
2023-05-31,5.09,5.11,4.8,4.9,4.9,7550200
2023-05-30,5.1,5.18,4.98,5.15,5.15,3944500
2023-05-26,4.68,5.01,4.68,4.92,4.92,3772000
2023-05-25,4.82,4.89,4.7,4.72,4.72,2389900
2023-05-24,4.89,4.92,4.72,4.79,4.79,3005200
2023-05-23,4.97,5.09,4.89,4.94,4.94,2532000
2023-05-22,4.98,5.03,4.88,4.95,4.95,2683600
2023-05-19,5.14,5.15,5.0,5.01,5.01,2214900
2023-05-18,4.99,5.09,4.97,5.07,5.07,3161100
2023-05-17,4.9,5.14,4.9,5.06,5.06,5387800
2023-05-16,4.89,5.0,4.86,4.86,4.86,2136900
2023-05-15,4.86,4.97,4.84,4.93,4.93,1974500
2023-05-12,4.92,4.96,4.81,4.86,4.86,2709700
2023-05-11,5.08,5.11,4.9,4.91,4.91,2122500
2023-05-10,5.21,5.21,5.07,5.13,5.13,2134000
2023-05-09,5.15,5.22,5.05,5.13,5.13,2625600
2023-05-08,5.41,5.47,5.14,5.2,5.2,2406100
2023-05-05,5.46,5.54,5.39,5.41,5.41,2599100
2023-05-04,5.55,5.69,5.23,5.38,5.38,5552100
2023-05-03,5.88,5.93,5.71,5.72,5.72,3022300
2023-05-02,6.05,6.16,5.8,5.87,5.87,3246600
2023-05-01,6.33,6.38,6.17,6.21,6.21,1173300
2023-04-28,6.18,6.35,6.14,6.33,6.33,1992500
2023-04-27,6.25,6.29,6.05,6.22,6.22,2101500
2023-04-26,6.09,6.26,6.05,6.2,6.2,2499300
2023-04-25,6.17,6.25,6.01,6.02,6.02,2177400
2023-04-24,6.28,6.34,6.21,6.24,6.24,1059900
2023-04-21,6.33,6.36,6.25,6.28,6.28,1482300
2023-04-20,6.38,6.42,6.28,6.34,6.34,2647400
2023-04-19,6.5,6.54,6.35,6.48,6.48,3328000
2023-04-18,6.88,6.88,6.56,6.57,6.57,2317800
2023-04-17,6.9,6.95,6.82,6.83,6.83,1395700
2023-04-14,7.02,7.05,6.94,6.95,6.95,1266100
2023-04-13,7.08,7.08,6.96,7.0,7.0,1411900
2023-04-12,7.12,7.15,6.98,7.02,7.02,2132100
2023-04-11,7.35,7.35,7.04,7.05,7.05,2686400
2023-04-10,7.25,7.39,7.22,7.35,7.35,1327300
2023-04-06,6.95,7.37,6.95,7.31,7.31,1719600
2023-04-05,7.45,7.5,7.28,7.34,7.34,1711700
2023-04-04,7.6,7.62,7.46,7.51,7.51,1131500
2023-04-03,7.73,7.73,7.46,7.59,7.59,1716000
2023-03-31,7.62,7.8,7.55,7.76,7.76,2392900
2023-03-30,7.72,7.78,7.58,7.62,7.62,1811600
2023-03-29,7.74,7.74,7.56,7.6,7.6,2142600
2023-03-28,7.49,7.68,7.49,7.68,7.68,1933600
2023-03-27,7.44,7.51,7.32,7.5,7.5,3080400
2023-03-24,7.13,7.41,7.05,7.39,7.39,3069900
2023-03-23,7.3,7.42,7.11,7.19,7.19,1570600
2023-03-22,7.45,7.53,7.22,7.22,7.22,2917500
2023-03-21,7.57,7.59,7.4,7.46,7.46,2044000
2023-03-20,7.36,7.51,7.32,7.43,7.43,2046900
2023-03-17,7.53,7.62,7.37,7.39,7.39,2075800
2023-03-16,7.29,7.64,7.18,7.59,7.59,1933600
2023-03-15,7.27,7.54,7.13,7.36,7.36,4953200
2023-03-14,7.02,7.8,6.95,7.38,7.38,11082500
2023-03-13,7.05,7.11,6.7,6.85,6.85,3221600
2023-03-10,7.4,7.45,7.06,7.19,7.19,2603000
2023-03-09,7.42,7.5,7.33,7.38,7.38,2776000
2023-03-08,6.99,7.45,6.92,7.41,7.41,3526000
2023-03-07,7.22,7.24,6.84,6.84,6.84,4179600
2023-03-06,7.43,7.54,7.19,7.25,7.25,3766300
2023-03-03,7.42,7.56,7.29,7.33,7.33,3290000
2023-03-02,7.01,7.3,6.95,7.28,7.28,3274800
2023-03-01,7.08,7.2,7.05,7.06,7.06,2404900
2023-02-28,6.95,7.18,6.91,7.07,7.07,3520600
2023-02-27,6.85,7.17,6.77,6.99,6.99,2175600
2023-02-24,7.31,7.31,6.81,6.83,6.83,3788900
2023-02-23,7.0,7.25,7.0,7.21,7.21,4650400
2023-02-22,6.95,7.05,6.84,6.89,6.89,1931200
2023-02-21,7.1,7.16,6.93,6.95,6.95,2148600
2023-02-17,7.33,7.33,7.12,7.19,7.19,2848000
2023-02-16,7.01,7.42,6.97,7.33,7.33,2673900
2023-02-15,7.15,7.24,7.03,7.18,7.18,1883600
2023-02-14,7.15,7.25,7.06,7.16,7.16,2737000
2023-02-13,7.21,7.26,7.14,7.21,7.21,1327400
2023-02-10,7.25,7.33,7.15,7.19,7.19,1112400
2023-02-09,7.45,7.52,7.3,7.3,7.3,1594000
2023-02-08,7.36,7.43,7.29,7.38,7.38,1093400
2023-02-07,7.47,7.57,7.27,7.41,7.41,1405300
2023-02-06,7.42,7.57,7.42,7.52,7.52,2058600
2023-02-03,7.45,7.72,7.42,7.54,7.54,1694000
2023-02-02,7.73,7.74,7.49,7.56,7.56,3702100
2023-02-01,7.28,7.64,7.08,7.62,7.62,2234800
2023-01-31,7.07,7.38,6.98,7.32,7.32,3358600
2023-01-30,7.36,7.39,7.06,7.07,7.07,2194200
2023-01-27,7.48,7.53,7.3,7.46,7.46,1098900
2023-01-26,7.58,7.67,7.33,7.5,7.5,1294400
2023-01-25,7.5,7.56,7.37,7.47,7.47,1237700
2023-01-24,7.69,7.74,7.39,7.58,7.58,1740600
2023-01-23,7.36,7.77,7.36,7.77,7.77,2961600
2023-01-20,7.2,7.34,7.03,7.34,7.34,1487500
2023-01-19,7.1,7.26,7.01,7.17,7.17,1872500
2023-01-18,7.44,7.51,7.18,7.19,7.19,1716500
2023-01-17,7.06,7.42,7.06,7.39,7.39,2215900
2023-01-13,6.91,7.13,6.91,7.13,7.13,5454500
2023-01-12,7.17,7.17,6.97,6.99,6.99,1117400
2023-01-11,7.12,7.13,6.92,7.11,7.11,1540900
2023-01-10,7.05,7.18,7.02,7.1,7.1,1441100
2023-01-09,7.1,7.25,7.06,7.1,7.1,1862500
2023-01-06,6.7,7.01,6.7,7.01,7.01,1689700
2023-01-05,6.77,6.9,6.66,6.83,6.83,1840400
2023-01-04,6.87,6.97,6.69,6.82,6.82,2219800
2023-01-03,6.83,6.98,6.63,6.77,6.77,1001100
2022-12-30,6.65,6.79,6.65,6.74,6.74,1093700
2022-12-29,6.65,6.78,6.59,6.73,6.73,1063300
2022-12-28,6.44,6.58,6.43,6.56,6.56,814800
2022-12-27,6.5,6.59,6.44,6.46,6.46,807100
2022-12-23,6.54,6.62,6.43,6.51,6.51,1236900
2022-12-22,6.69,6.69,6.4,6.56,6.56,1310600
2022-12-21,6.72,6.85,6.69,6.74,6.74,1169000
2022-12-20,6.4,6.74,6.39,6.68,6.68,2098100
2022-12-19,6.69,6.75,6.3,6.41,6.41,4023600
2022-12-16,6.55,6.75,6.55,6.68,6.68,2811500
2022-12-15,6.87,6.93,6.7,6.74,6.74,1552200
2022-12-14,7.01,7.22,6.93,7.0,7.0,3859100
2022-12-13,7.38,7.38,6.92,7.0,7.0,1781600
2022-12-12,6.93,7.12,6.9,7.01,7.01,1752200
2022-12-09,7.24,7.24,6.92,6.93,6.93,2821500
2022-12-08,6.63,7.39,6.63,7.23,7.23,6339600
2022-12-07,6.55,6.61,6.37,6.39,6.39,1282400
2022-12-06,6.64,6.7,6.48,6.57,6.57,2003500
2022-12-05,6.66,6.79,6.57,6.78,6.78,986300
2022-12-02,6.61,6.76,6.5,6.72,6.72,988800
2022-12-01,6.76,6.85,6.65,6.74,6.74,1143000
2022-11-30,6.52,6.79,6.39,6.75,6.75,2678000
2022-11-29,6.4,6.51,6.33,6.47,6.47,929800
2022-11-28,6.41,6.51,6.31,6.37,6.37,1631400
2022-11-25,6.4,6.59,6.4,6.5,6.5,418300
2022-11-23,6.4,6.54,6.38,6.43,6.43,665700
2022-11-22,6.53,6.53,6.34,6.39,6.39,846700
2022-11-21,6.47,6.55,6.37,6.51,6.51,1278600
2022-11-18,6.57,6.66,6.43,6.47,6.47,1526500
2022-11-17,6.43,6.52,6.33,6.43,6.43,1706100
2022-11-16,6.69,6.7,6.49,6.53,6.53,1642400
2022-11-15,6.59,6.89,6.59,6.81,6.81,1185200
2022-11-14,6.86,6.9,6.52,6.53,6.53,2816400
2022-11-11,6.73,7.0,6.64,6.9,6.9,2963600
2022-11-10,6.67,6.71,6.42,6.67,6.67,3940100
2022-11-09,6.53,6.53,6.18,6.32,6.32,3310300
2022-11-08,6.64,6.73,6.37,6.65,6.65,4162800
2022-11-07,6.29,6.62,6.23,6.6,6.6,3479000
2022-11-04,6.39,6.5,6.15,6.4,6.4,5764700
2022-11-03,5.84,6.33,5.71,6.25,6.25,7679800
2022-11-02,5.68,5.68,5.23,5.23,5.23,1970000
2022-11-01,5.7,5.81,5.64,5.71,5.71,1799900
2022-10-31,5.67,5.74,5.6,5.61,5.61,2119200
2022-10-28,5.7,5.76,5.64,5.71,5.71,1837800
2022-10-27,5.56,5.7,5.53,5.6,5.6,1570000
2022-10-26,5.45,5.58,5.33,5.5,5.5,2558500
2022-10-25,4.96,5.51,4.93,5.49,5.49,3177100
2022-10-24,4.96,4.99,4.82,4.93,4.93,1192300
2022-10-21,4.72,4.98,4.66,4.94,4.94,2158400
2022-10-20,4.79,4.93,4.69,4.71,4.71,1245000
2022-10-19,4.9,4.92,4.73,4.81,4.81,816300
2022-10-18,4.94,5.02,4.78,4.88,4.88,1253300
2022-10-17,4.52,4.86,4.51,4.84,4.84,2019300
2022-10-14,4.62,4.62,4.44,4.49,4.49,1933900
