date,open,high,low,close,adjusted_close,volume
2023-07-31,44.0,44.04,43.13,43.93,43.93,27500
2023-07-28,43.49,45.02,43.49,43.9,43.9,23500
2023-07-27,45.79,45.9,42.97,43.33,43.33,43200
2023-07-26,46.5,46.57,45.05,45.8,45.8,31800
2023-07-25,45.68,47.13,45.41,46.54,46.54,62400
2023-07-24,46.05,46.25,44.19,45.36,45.36,56000
2023-07-21,46.61,46.75,46.06,46.17,46.17,27500
2023-07-20,46.99,47.3,46.14,46.54,46.54,45800
2023-07-19,46.42,46.9,45.989,46.41,46.41,45900
2023-07-18,45.74,47.34,45.53,46.4,46.4,60500
2023-07-17,46.045,46.52,44.83,45.69,45.69,77300
2023-07-14,46.29,46.98,46.19,46.6,46.6,35900
2023-07-13,46.86,47.13,46.3,46.31,46.31,31500
2023-07-12,46.03,46.995,45.55,46.47,46.47,46700
2023-07-11,47.44,47.44,45.37,45.51,45.51,41100
2023-07-10,46.46,47.61,46.46,47.47,47.47,12200
2023-07-07,45.71,47.02,45.66,46.65,46.65,27600
2023-07-06,46.34,46.34,44.91,45.71,45.71,25600
2023-07-05,47.85,47.85,46.34,46.61,46.61,21300
2023-07-03,47.36,47.97,47.36,47.88,47.88,11900
2023-06-30,48.97,49.175,47.33,47.74,47.74,25700
2023-06-29,47.5,48.975,47.5,48.65,48.65,18400
2023-06-28,48.02,48.83,46.75,47.72,47.72,39700
2023-06-27,48.89,49.45,48.0,48.14,48.14,32800
2023-06-26,47.38,49.415,47.17,49.19,49.19,42400
2023-06-23,47.05,47.72,47.01,47.38,47.38,136500
2023-06-22,47.4,48.375,46.66,47.7,47.7,50800
2023-06-21,47.38,48.325,47.13,47.61,47.61,39500
2023-06-20,50.87,51.037,47.76,47.88,47.88,34500
2023-06-16,50.65,51.0,49.615,50.61,50.61,38900
2023-06-15,49.45,50.68,48.915,50.09,50.09,28200
2023-06-14,49.95,50.44,49.02,49.2,49.2,43900
2023-06-13,47.506,49.82,47.506,49.5,49.5,20900
2023-06-12,46.85,47.762,46.55,47.53,47.53,27600
2023-06-09,46.225,48.06,46.225,47.57,47.57,13700
2023-06-08,48.47,48.6,47.81,48.21,48.21,14200
2023-06-07,47.31,48.38,47.31,48.07,48.07,28000
2023-06-06,46.475,47.26,46.46,47.07,47.07,39500
2023-06-05,48.44,48.86,47.2,47.45,47.45,16800
2023-06-02,47.621,48.94,46.091,48.75,48.75,18900
2023-06-01,47.47,48.382,46.97,48.0,48.0,17200
2023-05-31,45.89,48.055,45.03,47.03,47.03,30200
2023-05-30,48.55,48.99,45.21,46.24,46.24,36200
2023-05-26,48.67,49.275,48.34,48.49,48.49,28800
2023-05-25,48.56,48.75,47.83,48.26,48.26,24200
2023-05-24,47.02,48.48,45.86,48.2,48.2,25500
2023-05-23,45.77,48.22,45.77,46.91,46.91,38200
2023-05-22,45.47,46.76,45.46,45.86,45.86,37300
2023-05-19,46.15,46.35,44.71,45.41,45.41,22900
2023-05-18,45.91,45.91,44.532,45.77,45.77,25900
2023-05-17,44.54,46.21,44.54,45.84,45.84,26300
2023-05-16,45.48,45.74,44.0,44.45,44.45,36100
2023-05-15,46.04,47.11,45.64,45.83,45.83,32600
2023-05-12,46.19,47.99,45.26,46.25,46.25,23300
2023-05-11,47.01,47.88,45.915,46.19,46.19,25300
2023-05-10,47.37,47.98,45.66,47.41,47.41,51100
2023-05-09,47.68,49.3,46.71,46.71,46.71,53000
2023-05-08,46.82,47.88,45.9,47.54,47.54,27000
2023-05-05,46.59,47.1,45.569,46.82,46.82,65400
2023-05-04,44.0,46.47,42.73,46.2,46.2,56700
2023-05-03,41.54,43.89,41.54,43.15,43.15,40800
2023-05-02,41.61,42.25,41.21,41.57,41.57,35700
2023-05-01,41.37,42.06,41.1,41.96,41.96,22300
2023-04-28,40.61,42.28,40.61,41.63,41.63,20200
2023-04-27,40.901,41.759,40.6,40.83,40.83,16800
2023-04-26,40.01,41.51,40.01,40.86,40.86,22700
2023-04-25,40.71,41.325,40.06,40.19,40.19,15700
2023-04-24,41.01,42.28,40.97,41.14,41.14,35500
2023-04-21,41.35,42.17,41.13,41.44,41.44,31300
2023-04-20,40.67,41.88,40.31,41.49,41.49,13300
2023-04-19,40.4,41.28,40.4,41.05,41.05,17600
2023-04-18,40.33,40.72,39.96,40.36,40.36,11900
2023-04-17,39.79,40.305,39.32,40.07,40.07,34500
2023-04-14,40.84,40.98,39.36,39.45,39.45,36900
2023-04-13,40.77,41.44,40.51,40.63,40.63,25200
2023-04-12,41.68,42.0,40.64,40.64,40.64,32000
2023-04-11,41.06,41.95,39.839,41.11,41.11,32600
2023-04-10,40.53,41.34,39.6,41.21,41.21,81500
2023-04-06,39.07,41.0,38.61,40.92,40.92,26600
2023-04-05,38.33,39.19,38.3,39.04,39.04,45400
2023-04-04,38.73,39.37,36.83,38.88,38.88,41600
2023-04-03,39.48,39.529,38.31,38.97,38.97,53200
2023-03-31,39.28,40.2,38.91,39.35,39.35,59000
2023-03-30,39.44,40.15,38.95,39.28,39.28,33600
2023-03-29,38.02,39.57,37.89,39.44,39.44,24900
2023-03-28,38.24,38.82,38.06,38.12,38.12,26800
2023-03-27,38.04,38.92,37.3,38.585,38.585,45400
2023-03-24,37.068,38.05,37.068,38.04,38.04,16400
2023-03-23,37.22,38.01,36.96,37.6,37.6,26200
2023-03-22,38.28,38.58,37.03,37.07,37.07,21400
2023-03-21,37.97,38.64,37.89,38.4,38.4,19100
2023-03-20,37.96,38.07,36.98,37.49,37.49,52600
2023-03-17,38.34,38.36,37.47,37.76,37.76,61000
2023-03-16,37.69,39.015,37.4,38.64,38.64,31200
2023-03-15,38.76,39.1,37.62,37.99,37.99,39800
2023-03-14,38.26,39.71,38.23,39.32,39.32,41800
2023-03-13,37.51,38.715,37.33,37.68,37.68,54800
2023-03-10,38.19,38.5,37.81,38.06,38.06,40300
2023-03-09,40.73,40.94,37.78,38.3,38.3,77400
2023-03-08,39.15,40.68,38.69,40.4,40.4,37700
2023-03-07,38.09,39.26,38.03,39.16,39.16,48400
2023-03-06,38.4,38.585,37.79,38.33,38.33,29900
2023-03-03,39.17,40.0,38.64,38.84,38.84,52600
2023-03-02,38.17,39.35,38.06,39.19,39.19,32700
2023-03-01,37.92,38.925,37.71,38.8,38.8,46400
2023-02-28,37.51,38.53,37.51,37.96,37.96,40200
2023-02-27,37.49,38.99,37.27,37.47,37.47,49800
2023-02-24,37.109,37.835,36.5,37.48,37.48,34100
2023-02-23,37.88,38.37,37.11,37.42,37.42,33800
2023-02-22,36.89,38.26,36.6,37.6,37.6,39900
2023-02-21,37.1,37.1,36.37,36.74,36.74,41400
2023-02-17,38.11,38.6,37.15,37.38,37.38,49000
2023-02-16,37.09,38.72,36.85,38.03,38.03,55500
2023-02-15,35.02,37.18,35.02,37.15,37.15,44900
2023-02-14,34.84,35.9,34.84,35.44,35.44,45800
2023-02-13,35.61,36.0,34.85,35.24,35.24,51800
2023-02-10,34.36,36.12,34.17,36.06,36.06,50200
2023-02-09,36.49,37.34,35.075,35.295,34.245,61500
2023-02-08,36.26,37.84,35.34,35.92,34.8514,78500
2023-02-07,39.92,41.334,33.47,37.35,36.2389,226700
2023-02-06,41.77,41.77,38.78,39.92,38.7324,105200
2023-02-03,41.9,42.1435,40.56,41.26,40.0325,32150
2023-02-02,39.34,42.29,38.5,42.14,40.8864,69910
2023-02-01,36.697,37.46,36.697,37.46,36.3456,24503
2023-01-31,36.755,37.96,36.755,37.4,36.2874,36201
2023-01-30,35.95,37.07,35.5687,36.7,35.6082,20428
2023-01-27,36.3,36.68,36.15,36.3,35.2201,9773
2023-01-26,36.61,36.66,35.095,36.58,35.4918,28631
2023-01-25,37.21,38.36,35.9502,36.27,35.191,49825
2023-01-24,35.52,37.21,35.26,37.21,36.103,33149
2023-01-23,35.0,35.57,34.57,35.36,34.3081,27122
2023-01-20,33.48,35.27,32.95,35.0,33.9588,37740
2023-01-19,33.28,33.4083,32.71,33.21,32.222,20296
2023-01-18,30.45,33.35,30.45,33.3,32.3093,44638
2023-01-17,30.89,30.93,29.955,30.52,29.6121,18424
2023-01-13,30.26,31.54,29.1019,31.08,30.1554,22773
2023-01-12,28.69,30.54,28.21,30.51,29.6024,60162
2023-01-11,29.16,29.57,28.3664,29.05,28.1858,76817
2023-01-10,29.89,30.25,29.0,29.17,28.3022,29223
2023-01-09,30.0,30.4892,29.835,30.15,29.2531,19178
2023-01-06,29.26,29.99,28.87,29.95,29.059,17287
2023-01-05,28.45,29.74,28.21,29.35,28.4769,27003
2023-01-04,28.29,28.79,28.225,28.65,27.7977,20539
2023-01-03,28.4609,28.69,27.8728,28.48,27.6327,13062
2022-12-30,28.37,29.02,28.19,28.29,27.4484,20741
2022-12-29,28.04,29.12,27.8983,28.81,27.9529,27404
2022-12-28,28.0,28.22,27.6286,27.8,26.973,21384
2022-12-27,28.13,28.36,27.626,28.07,27.2349,17871
2022-12-23,28.36,28.5,27.83,27.99,27.1573,10559
2022-12-22,27.66,28.73,27.66,28.43,27.5842,17577
2022-12-21,28.42,28.51,27.61,28.05,27.2155,73303
2022-12-20,29.0,29.2,28.3,28.45,27.6036,20050
2022-12-19,28.57,29.48,27.98,29.3,28.4283,29776
2022-12-16,28.19,29.36,27.87,28.5,27.6521,108118
2022-12-15,28.49,28.78,27.83,28.59,27.7395,27599
2022-12-14,29.23,29.7384,28.54,28.72,27.8656,18434
2022-12-13,29.1,29.9232,28.72,29.48,28.603,32700
2022-12-12,28.41,28.98,27.5739,28.59,27.7395,29786
2022-12-09,28.29,28.99,28.066,28.44,27.5939,17373
2022-12-08,28.53,29.155,28.286,28.41,27.5648,21458
2022-12-07,28.86,29.0,28.25,28.56,27.7104,20707
2022-12-06,28.41,28.99,28.28,28.78,27.9238,21856
2022-12-05,29.4,29.4,28.4,28.57,27.7201,24140
2022-12-02,29.83,30.04,29.53,29.82,28.9329,14404
2022-12-01,29.33,30.44,29.01,30.21,29.3113,21545
2022-11-30,28.5,29.73,27.78,29.56,28.6806,35907
2022-11-29,28.25,28.6707,27.4101,28.27,27.429,31760
2022-11-28,28.39,28.74,27.84,28.32,27.4775,30862
2022-11-25,28.99,29.69,28.4,28.52,27.6716,14835
2022-11-23,29.33,30.3699,28.46,29.0,28.1373,17531
2022-11-22,28.935,29.53,28.935,29.33,28.4575,17240
2022-11-21,29.03,30.0,28.8907,29.22,28.3507,16788
