date,open,high,low,close,adjusted_close,volume
2023-07-31,3.86,4.18,3.86,4.16,4.16,191800
2023-07-28,3.85,3.9,3.84,3.87,3.87,48900
2023-07-27,3.93,3.94,3.82,3.86,3.86,72100
2023-07-26,3.95,3.99,3.9,3.93,3.93,71700
2023-07-25,4.0,4.02,3.95,3.97,3.97,63900
2023-07-24,3.92,4.01,3.9,4.0,4.0,110200
2023-07-21,4.04,4.04,3.93,3.94,3.94,94800
2023-07-20,4.0,4.05,3.95,4.04,4.04,95400
2023-07-19,3.96,4.04,3.95,3.99,3.99,75500
2023-07-18,3.92,4.01,3.92,4.0,4.0,206900
2023-07-17,3.93,3.94,3.8,3.86,3.86,141900
2023-07-14,3.94,3.96,3.82,3.9,3.9,104700
2023-07-13,3.97,4.0,3.93,3.94,3.94,58500
2023-07-12,3.95,4.02,3.95,3.95,3.95,200500
2023-07-11,3.9,3.97,3.87,3.96,3.96,108700
2023-07-10,3.85,3.95,3.84,3.89,3.89,102400
2023-07-07,3.81,3.9,3.81,3.87,3.87,153700
2023-07-06,3.92,3.95,3.72,3.82,3.82,240500
2023-07-05,4.0,4.05,3.95,3.95,3.95,174000
2023-07-03,3.95,4.06,3.95,4.06,4.06,190600
2023-06-30,4.0,4.03,3.92,3.96,3.96,174600
2023-06-29,4.01,4.08,3.96,4.0,4.0,185100
2023-06-28,4.05,4.09,3.92,4.02,4.02,292800
2023-06-27,4.2,4.26,4.07,4.08,4.08,135600
2023-06-26,4.16,4.31,4.13,4.21,4.21,148300
2023-06-23,4.26,4.33,4.1,4.22,4.22,4629800
2023-06-22,4.37,4.49,4.28,4.29,4.29,131800
2023-06-21,4.34,4.43,4.21,4.37,4.37,135500
2023-06-20,4.21,4.49,4.21,4.36,4.36,189500
2023-06-16,4.19,4.34,4.16,4.24,4.24,127900
2023-06-15,4.16,4.35,4.1,4.23,4.23,148800
2023-06-14,4.4,4.45,4.1,4.26,4.26,480500
2023-06-13,5.0,5.0,4.63,4.69,4.69,537900
2023-06-12,4.7,4.83,4.65,4.72,4.72,128000
2023-06-09,4.92,4.92,4.7,4.73,4.73,73100
2023-06-08,4.97,4.97,4.82,4.9,4.9,87500
2023-06-07,4.74,4.94,4.72,4.92,4.92,85000
2023-06-06,4.47,4.75,4.47,4.7,4.7,56700
2023-06-05,4.38,4.6,4.34,4.51,4.51,53600
2023-06-02,4.51,4.54,4.25,4.39,4.39,101000
2023-06-01,4.55,4.69,4.4,4.52,4.52,116700
2023-05-31,4.47,4.6,4.47,4.59,4.59,81900
2023-05-30,4.53,4.58,4.47,4.51,4.51,23200
2023-05-26,4.32,4.51,4.24,4.5,4.5,80000
2023-05-25,4.33,4.36,4.26,4.32,4.32,29100
2023-05-24,4.37,4.5,4.31,4.33,4.33,28800
2023-05-23,4.4,4.53,4.35,4.45,4.45,22100
2023-05-22,4.56,4.56,4.29,4.35,4.35,115300
2023-05-19,4.47,4.62,4.42,4.57,4.57,52400
2023-05-18,4.59,4.62,4.37,4.47,4.47,67200
2023-05-17,4.6,4.64,4.47,4.55,4.55,134300
2023-05-16,4.58,4.62,4.53,4.59,4.59,36800
2023-05-15,4.47,4.68,4.46,4.6,4.6,123200
2023-05-12,4.46,4.53,4.46,4.52,4.52,46700
2023-05-11,4.26,4.49,4.26,4.47,4.47,71500
2023-05-10,4.37,4.5,4.37,4.4,4.4,44400
2023-05-09,4.4,4.48,4.12,4.46,4.46,125800
2023-05-08,4.36,4.49,4.31,4.45,4.45,32900
2023-05-05,4.46,4.46,4.31,4.35,4.35,57800
2023-05-04,4.42,4.47,4.38,4.44,4.44,31500
2023-05-03,4.33,4.48,4.33,4.42,4.42,55500
2023-05-02,4.4,4.47,4.31,4.43,4.43,40000
2023-05-01,4.64,4.65,4.33,4.43,4.43,56600
2023-04-28,4.41,4.61,4.41,4.61,4.61,116700
2023-04-27,4.23,4.44,4.21,4.41,4.41,107600
2023-04-26,4.03,4.25,3.99,4.2,4.2,85400
2023-04-25,4.12,4.15,3.91,4.04,4.04,117500
2023-04-24,4.18,4.18,4.02,4.16,4.16,166500
2023-04-21,4.31,4.31,4.12,4.22,4.22,185100
2023-04-20,4.45,4.47,4.34,4.34,4.34,85000
2023-04-19,4.56,4.56,4.46,4.49,4.49,78100
2023-04-18,4.69,4.74,4.57,4.57,4.57,88400
2023-04-17,4.85,4.88,4.68,4.68,4.68,110100
2023-04-14,4.93,4.94,4.86,4.88,4.88,121800
2023-04-13,4.82,4.96,4.75,4.91,4.91,212900
2023-04-12,4.7,4.82,4.64,4.8,4.8,99200
2023-04-11,4.61,4.77,4.53,4.69,4.69,162800
2023-04-10,4.45,4.67,4.45,4.63,4.63,52300
2023-04-06,4.58,4.64,4.46,4.55,4.55,50700
2023-04-05,4.63,4.63,4.55,4.61,4.61,42300
2023-04-04,4.69,4.73,4.61,4.66,4.66,104100
2023-04-03,4.79,4.79,4.58,4.69,4.69,178600
2023-03-31,4.47,4.7,4.45,4.69,4.69,170800
2023-03-30,4.49,4.62,4.32,4.44,4.44,179600
2023-03-29,4.57,4.59,4.44,4.46,4.46,76200
2023-03-28,4.49,4.57,4.47,4.54,4.54,73900
