date,open,high,low,close,adjusted_close,volume
2023-07-31,17.51,17.6,17.01,17.53,17.53,30000
2023-07-28,17.26,17.72,17.19,17.35,17.35,34700
2023-07-27,16.97,17.45,16.85,17.28,17.28,33700
2023-07-26,16.54,17.26,16.54,16.84,16.84,22100
2023-07-25,16.85,16.99,16.56,16.57,16.57,22300
2023-07-24,16.25,17.47,16.25,16.75,16.75,35800
2023-07-21,16.38,16.47,15.33,16.29,16.29,31800
2023-07-20,15.47,16.44,15.38,16.3,16.3,58400
2023-07-19,14.92,15.5,14.78,15.5,15.5,29100
2023-07-18,14.69,14.99,14.69,14.92,14.92,30000
2023-07-17,14.49,14.74,14.36,14.69,14.69,23100
2023-07-14,14.57,14.71,14.35,14.49,14.49,20400
2023-07-13,14.58,14.64,14.46,14.5,14.5,13800
2023-07-12,14.64,14.84,14.45,14.53,14.53,19900
2023-07-11,14.82,14.82,14.44,14.49,14.49,12900
2023-07-10,14.55,14.81,14.36,14.36,14.36,13400
2023-07-07,14.32,14.69,14.32,14.5,14.5,54600
2023-07-06,14.03,14.56,14.03,14.4,14.4,34700
2023-07-05,14.76,14.78,14.59,14.63,14.63,20700
2023-07-03,14.67,14.88,14.67,14.75,14.75,10900
2023-06-30,14.86,14.86,14.51,14.76,14.76,17700
2023-06-29,14.75,14.84,14.7,14.83,14.83,16400
2023-06-28,14.67,14.96,14.4,14.72,14.72,15500
2023-06-27,14.83,14.94,14.56,14.59,14.59,33400
2023-06-26,14.95,15.24,14.85,15.09,15.09,45100
2023-06-23,15.05,15.22,14.87,15.02,15.02,1109600
2023-06-22,14.98,15.23,14.82,15.18,15.18,38500
2023-06-21,14.94,15.23,14.87,14.97,14.97,45800
2023-06-20,15.22,15.3,14.91,14.91,14.91,37500
2023-06-16,15.1,15.31,14.96,15.01,15.01,47700
2023-06-15,15.25,15.42,14.97,15.12,15.12,42900
2023-06-14,15.35,15.4,15.07,15.07,15.07,22600
2023-06-13,15.5,15.5,15.2,15.21,15.21,16700
2023-06-12,15.3,15.49,15.14,15.38,15.38,21400
2023-06-09,15.25,15.45,15.01,15.3,15.3,45600
2023-06-08,14.83,15.23,14.47,15.19,15.19,40200
2023-06-07,14.47,14.97,14.08,14.7,14.7,45900
2023-06-06,13.87,14.5,13.87,14.34,14.34,24800
2023-06-05,14.02,14.24,13.77,13.77,13.77,36400
2023-06-02,13.5,14.18,13.49,13.92,13.92,43000
2023-06-01,13.73,13.74,13.33,13.4,13.4,45500
2023-05-31,14.15,14.2,13.54,13.59,13.59,26800
2023-05-30,14.47,14.55,14.23,14.42,14.21,14000
2023-05-26,14.45,14.6,14.26,14.325,14.1163,25848
2023-05-25,14.43,14.58,14.35,14.36,14.1508,12841
2023-05-24,14.45,15.14,14.26,14.43,14.2198,25495
2023-05-23,14.78,15.19,14.57,14.57,14.3577,64230
2023-05-22,14.6,14.79,14.51,14.59,14.3775,17682
2023-05-19,14.9,15.0362,14.48,14.64,14.4267,13818
2023-05-18,15.5,15.5,14.77,14.95,14.7322,23306
2023-05-17,15.51,15.695,15.2201,15.65,15.422,15202
2023-05-16,15.49,15.49,15.01,15.05,14.8307,10636
2023-05-15,15.72,15.83,15.25,15.35,15.1264,16263
2023-05-12,15.305,15.305,15.07,15.07,14.8505,17556
2023-05-11,15.01,15.25,15.01,15.05,14.8307,9405
2023-05-10,14.67,15.129,14.67,14.97,14.7519,19471
2023-05-09,14.46,14.57,14.25,14.56,14.3479,20305
2023-05-08,15.0,15.1484,14.71,14.73,14.5154,17344
2023-05-05,14.82,15.48,14.82,15.1,14.88,20785
2023-05-04,14.97,15.05,14.6,14.6,14.3873,21297
2023-05-03,15.03,15.1958,15.01,15.01,14.7913,13646
2023-05-02,15.42,15.575,14.84,15.05,14.8307,31250
2023-05-01,15.43,15.68,15.3,15.33,15.1067,16139
2023-04-28,15.48,15.8,15.1768,15.3,15.0771,22577
2023-04-27,15.3,15.74,15.3,15.48,15.2545,13478
2023-04-26,15.39,15.73,15.2,15.27,15.0475,19037
2023-04-25,15.83,15.95,15.17,15.38,15.1559,23957
2023-04-24,16.0,16.75,15.8501,16.05,15.8162,23585
2023-04-21,16.69,16.8799,16.38,16.46,16.2202,11290
2023-04-20,16.9,17.355,16.61,16.79,16.5454,14152
2023-04-19,16.95,17.375,16.86,17.11,16.8607,11473
2023-04-18,17.1,17.3499,16.7201,16.76,16.5158,12831
2023-04-17,17.08,17.28,17.0,17.15,16.9002,11059
2023-04-14,17.37,17.3799,17.11,17.11,16.8607,12166
2023-04-13,17.24,17.38,16.96,17.25,16.9987,18793
2023-04-12,17.02,17.25,16.6701,17.25,16.9987,11537
2023-04-11,16.41,17.25,16.41,17.11,16.8607,33938
2023-04-10,16.11,16.62,16.11,16.42,16.1808,16149
2023-04-06,16.1025,16.35,16.0,16.24,16.0034,48651
2023-04-05,15.98,16.33,15.79,16.24,16.0034,16153
