date,open,high,low,close,adjusted_close,volume
2023-07-31,5.25,5.258,4.95,5.06,5.06,30500
2023-07-28,5.15,5.29,5.09,5.21,5.21,14500
2023-07-27,5.1,5.15,5.055,5.09,5.09,11400
2023-07-26,4.95,5.25,4.95,5.15,5.15,19500
2023-07-25,4.9,5.089,4.895,4.95,4.95,17000
2023-07-24,4.72,4.99,4.661,4.94,4.94,19000
2023-07-21,4.93,4.94,4.71,4.73,4.73,17000
2023-07-20,4.96,5.054,4.83,4.84,4.84,25500
2023-07-19,4.93,4.99,4.855,4.99,4.99,22100
2023-07-18,4.7,4.95,4.664,4.77,4.77,15100
2023-07-17,4.41,4.7,4.41,4.65,4.65,22900
2023-07-14,4.63,4.69,4.41,4.47,4.47,39100
2023-07-13,4.67,4.7,4.52,4.66,4.66,17200
2023-07-12,4.7,4.7,4.51,4.66,4.66,14900
2023-07-11,4.28,4.755,4.22,4.74,4.74,28600
2023-07-10,4.34,4.501,4.2,4.22,4.22,21100
2023-07-07,4.37,4.42,4.2,4.325,4.325,6700
2023-07-06,4.37,4.45,4.29,4.42,4.42,10500
2023-07-05,4.43,4.59,4.34,4.34,4.34,23500
2023-07-03,4.37,4.63,4.37,4.61,4.61,13500
2023-06-30,4.24,4.36,4.2,4.35,4.35,21000
2023-06-29,4.29,4.45,4.22,4.23,4.23,33600
2023-06-28,4.37,4.416,4.28,4.33,4.33,22100
2023-06-27,4.19,4.47,4.18,4.43,4.43,19200
2023-06-26,4.44,4.47,4.18,4.18,4.18,30600
2023-06-23,4.81,4.86,4.48,4.5,4.5,48200
2023-06-22,5.0,5.0,4.77,4.93,4.93,35800
2023-06-21,5.03,5.09,4.96,5.0,5.0,9800
2023-06-20,5.01,5.299,4.98,5.015,5.015,63800
2023-06-16,5.26,5.43,5.098,5.15,5.15,43500
2023-06-15,5.71,5.74,5.19,5.26,5.26,58100
2023-06-14,5.31,5.74,5.285,5.5,5.5,45300
2023-06-13,5.25,5.3,5.14,5.3,5.3,32100
2023-06-12,5.0,5.19,4.98,5.14,5.14,40300
2023-06-09,4.8,5.07,4.77,4.91,4.91,24500
2023-06-08,4.94,5.38,4.7,4.7,4.7,108600
2023-06-07,4.91,5.01,4.9,4.93,4.93,48600
2023-06-06,4.79,4.9,4.79,4.8,4.8,27500
2023-06-05,4.79,4.97,4.51,4.77,4.77,42700
2023-06-02,4.65,4.91,4.62,4.72,4.72,32000
2023-06-01,4.63,4.92,4.56,4.63,4.63,39200
2023-05-31,4.53,4.7,4.53,4.66,4.66,17900
2023-05-30,4.5,4.71,4.412,4.6,4.565,87400
2023-05-26,4.19,4.59,4.08,4.56,4.5253,52961
2023-05-25,4.15,4.28,4.1,4.13,4.0986,48598
2023-05-24,4.14,4.5,4.0,4.06,4.0291,110428
