date,open,high,low,close,adjusted_close,volume
2023-07-31,137.47,138.89,134.49,138.75,138.75,251000
2023-07-28,133.24,137.4,133.24,136.88,136.88,158400
2023-07-27,135.4,136.21,131.84,132.01,132.01,132700
2023-07-26,135.99,137.61,133.19,134.02,134.02,182500
2023-07-25,135.43,138.23,135.43,136.75,136.75,135900
2023-07-24,134.65,136.4,133.38,136.23,136.23,117900
2023-07-21,137.83,137.83,134.2,135.13,135.13,155500
2023-07-20,141.91,141.91,134.2,136.61,136.61,238100
2023-07-19,139.0,141.51,135.59,140.79,140.79,260800
2023-07-18,139.5,141.17,138.5,139.11,139.11,100500
2023-07-17,137.1,139.36,136.49,138.93,138.93,133000
2023-07-14,135.41,137.86,134.31,137.78,137.78,158000
2023-07-13,134.78,136.22,133.52,134.67,134.67,220000
2023-07-12,131.18,134.26,129.84,133.79,133.79,176600
2023-07-11,129.9,131.66,128.17,128.43,128.43,344000
2023-07-10,124.18,129.73,124.18,129.71,129.71,269900
2023-07-07,121.52,124.25,121.52,123.42,123.42,140700
2023-07-06,126.0,126.0,120.4,121.37,121.37,241300
2023-07-05,132.13,132.22,128.01,128.53,128.53,176700
2023-07-03,134.91,135.49,130.39,132.27,132.27,74600
2023-06-30,132.7,135.41,131.69,134.89,134.89,185400
2023-06-29,131.75,131.89,129.58,131.56,131.56,178400
2023-06-28,132.25,133.5,131.06,131.74,131.74,122000
2023-06-27,128.71,135.0,128.71,132.71,132.71,194300
2023-06-26,128.83,131.41,127.06,128.24,128.24,199700
2023-06-23,127.76,129.8,126.83,128.78,128.78,250200
2023-06-22,129.06,130.39,128.24,129.58,129.58,184400
2023-06-21,130.51,131.9,129.33,130.41,130.41,237600
2023-06-20,129.74,132.88,129.41,131.02,131.02,205400
2023-06-16,132.37,132.53,129.38,130.57,130.57,320100
2023-06-15,129.42,132.17,128.69,131.93,131.93,185200
2023-06-14,134.5,134.5,128.03,129.06,129.06,357600
2023-06-13,132.04,134.53,131.6,132.9,132.9,144300
2023-06-12,128.63,132.73,127.69,132.2,132.2,150800
2023-06-09,129.0,130.74,127.57,128.78,128.78,174100
2023-06-08,129.97,132.11,128.9,129.22,129.22,190400
2023-06-07,128.57,132.37,127.39,130.28,130.28,291000
2023-06-06,118.65,128.08,118.08,128.01,128.01,199100
2023-06-05,119.8,119.97,116.5,119.26,119.26,118300
2023-06-02,115.83,121.69,115.49,121.57,121.57,237000
2023-06-01,113.6,115.73,113.6,114.84,114.84,109800
2023-05-31,116.3,116.4,112.75,113.77,113.77,211100
2023-05-30,116.27,117.78,115.98,117.36,117.36,81600
2023-05-26,115.32,116.18,112.71,115.79,115.79,141200
2023-05-25,115.37,117.71,115.36,115.62,115.62,127700
2023-05-24,114.2,115.91,114.16,115.19,115.19,158600
2023-05-23,117.59,118.95,114.41,115.05,115.05,206300
2023-05-22,121.29,122.32,118.25,119.04,119.04,169200
2023-05-19,124.74,124.74,119.62,121.7,121.7,128400
2023-05-18,122.53,124.62,121.45,124.04,124.04,187900
2023-05-17,120.3,122.49,119.27,122.39,122.39,149300
2023-05-16,118.39,120.14,115.91,119.86,119.86,130000
2023-05-15,117.82,119.72,116.96,118.92,118.92,135100
2023-05-12,120.0,120.71,116.44,117.82,117.82,188300
2023-05-11,116.57,119.58,116.41,119.43,119.43,177600
2023-05-10,117.36,117.36,115.19,116.78,116.78,129800
2023-05-09,114.87,117.1,114.86,115.51,115.51,150000
2023-05-08,114.51,116.49,114.03,116.27,116.27,106800
2023-05-05,115.85,116.25,112.8,115.5,115.5,117100
2023-05-04,116.45,117.33,112.04,114.16,114.16,195800
2023-05-03,115.18,119.35,115.18,116.67,116.67,249700
2023-05-02,116.61,116.61,108.75,115.17,115.17,433700
2023-05-01,118.14,119.77,116.64,118.55,118.55,238200
2023-04-28,114.48,120.11,114.48,118.8,118.8,231400
2023-04-27,114.06,115.49,112.73,115.0,115.0,132000
2023-04-26,115.61,115.71,111.75,112.62,112.62,164200
2023-04-25,115.24,117.65,115.24,115.87,115.87,121100
2023-04-24,113.91,116.82,110.98,116.61,116.61,116300
2023-04-21,113.97,114.45,112.69,114.0,114.0,106600
2023-04-20,114.58,120.74,113.63,113.99,113.99,453500
2023-04-19,114.09,114.65,112.96,114.17,114.17,164700
2023-04-18,111.93,115.05,111.89,114.73,114.73,171400
2023-04-17,109.07,111.23,108.29,111.22,111.22,170200
2023-04-14,109.83,110.92,108.5,109.32,109.32,175400
2023-04-13,111.71,111.8,109.49,110.33,110.33,153900
2023-04-12,113.87,113.87,110.69,110.9,110.9,131800
2023-04-11,109.82,114.37,109.82,112.85,112.85,155000
2023-04-10,107.3,109.48,107.3,109.12,109.12,133400
2023-04-06,110.12,110.34,104.49,107.65,107.65,290300
2023-04-05,111.38,111.41,108.85,110.67,110.67,149400
2023-04-04,113.67,113.67,110.22,111.43,111.43,155700
2023-04-03,113.11,114.59,112.13,114.0,114.0,152300
2023-03-31,110.58,114.19,110.58,114.03,114.03,278200
2023-03-30,113.15,114.49,109.63,110.27,110.27,203800
2023-03-29,113.21,113.27,110.25,112.39,112.39,124000
2023-03-28,110.84,112.74,110.54,112.36,112.36,162600
2023-03-27,114.26,114.47,110.33,111.03,111.03,223000
2023-03-24,110.72,114.24,109.7,113.77,113.77,337900
2023-03-23,107.3,112.5,107.3,111.17,111.17,387500
2023-03-22,107.48,109.44,105.86,106.08,106.08,139400
2023-03-21,107.37,108.83,106.58,107.75,107.75,152100
2023-03-20,106.79,107.8,104.58,105.58,105.58,198200
2023-03-17,106.4,108.47,105.31,105.7,105.7,430000
2023-03-16,103.95,108.68,103.61,107.48,107.48,203200
2023-03-15,102.78,106.79,102.78,105.44,105.44,415300
2023-03-14,103.37,104.04,101.1,103.66,103.66,211800
2023-03-13,98.06,101.81,97.48,100.67,100.67,161500
2023-03-10,103.51,103.51,98.49,99.77,99.77,216200
2023-03-09,104.79,107.93,102.48,102.63,102.63,167300
2023-03-08,102.55,104.47,101.12,104.36,104.36,191500
2023-03-07,103.86,104.45,101.54,101.55,101.55,188900
2023-03-06,107.17,107.33,102.48,103.19,103.19,217900
2023-03-03,104.44,107.3,103.47,106.71,106.71,179800
2023-03-02,102.71,103.86,100.7,103.51,103.51,116100
2023-03-01,104.24,105.89,103.33,103.61,103.61,143500
2023-02-28,103.31,105.47,103.31,104.31,104.31,325900
2023-02-27,106.16,106.9,103.52,104.11,104.11,194700
2023-02-24,104.1,107.55,103.93,105.18,105.18,337400
2023-02-23,104.11,107.41,103.2,107.07,107.07,234600
2023-02-22,101.59,105.65,100.22,104.39,104.39,428600
2023-02-21,108.81,112.82,103.52,104.66,104.66,427200
2023-02-17,116.83,116.83,111.95,114.29,114.29,219200
2023-02-16,116.07,118.21,115.42,116.92,116.92,179800
2023-02-15,115.96,118.84,115.79,118.07,118.07,214500
2023-02-14,116.58,118.08,114.7,117.1,117.1,196200
2023-02-13,113.85,118.47,112.36,118.35,118.35,184000
2023-02-10,114.62,116.12,113.46,113.53,113.53,192600
2023-02-09,117.27,117.49,114.79,115.6,115.6,131700
2023-02-08,119.39,120.0,115.41,115.68,115.68,207700
2023-02-07,117.66,121.5,116.0,120.71,120.71,170700
2023-02-06,119.09,120.25,117.56,118.57,118.57,191400
2023-02-03,121.51,123.67,119.75,121.8,121.8,325700
2023-02-02,119.34,126.37,118.36,124.75,124.75,482400
2023-02-01,113.21,118.75,111.45,117.04,117.04,293700
2023-01-31,109.72,113.99,109.15,113.85,113.85,207000
2023-01-30,109.38,110.59,107.9,107.98,107.98,144000
2023-01-27,109.57,111.9,109.57,110.63,110.63,136300
2023-01-26,109.61,111.81,107.19,110.18,110.18,142800
2023-01-25,107.23,110.28,107.23,109.19,109.19,164100
2023-01-24,109.82,110.64,108.65,109.15,109.15,161800
