date,open,high,low,close,adjusted_close,volume
2023-07-31,8.25,8.44,8.23,8.32,8.32,814700
2023-07-28,8.25,8.38,8.21,8.24,8.24,458100
2023-07-27,8.23,8.38,8.14,8.15,8.15,539800
2023-07-26,8.0,8.17,7.93,8.15,8.15,675600
2023-07-25,8.47,8.47,8.02,8.03,8.03,793100
2023-07-24,8.41,8.57,8.4,8.5,8.5,717400
2023-07-21,8.5,8.58,8.39,8.41,8.41,695200
2023-07-20,8.4,8.47,8.29,8.45,8.45,646300
2023-07-19,8.27,8.5,8.27,8.38,8.38,716300
2023-07-18,8.09,8.475,8.05,8.27,8.27,576300
2023-07-17,8.13,8.345,8.06,8.08,8.08,823000
2023-07-14,8.46,8.46,8.15,8.17,8.17,625000
2023-07-13,8.38,8.53,8.2,8.51,8.51,787000
2023-07-12,8.38,8.44,8.245,8.31,8.31,717400
2023-07-11,8.51,8.575,8.16,8.2,8.2,572700
2023-07-10,8.51,8.66,8.4,8.46,8.46,616900
2023-07-07,8.32,8.64,8.32,8.56,8.56,651800
2023-07-06,8.4,8.48,8.27,8.31,8.31,572500
2023-07-05,8.59,8.61,8.29,8.55,8.55,662200
2023-07-03,8.57,8.78,8.57,8.63,8.63,348600
2023-06-30,8.87,8.87,8.61,8.62,8.62,699300
2023-06-29,8.6,8.76,8.55,8.67,8.67,905900
2023-06-28,8.54,8.76,8.51,8.61,8.61,1106900
2023-06-27,8.22,8.6,8.05,8.56,8.56,1280800
2023-06-26,8.11,8.335,8.04,8.11,8.11,888700
2023-06-23,8.0,8.225,8.0,8.08,8.08,2022300
2023-06-22,8.12,8.15,8.04,8.09,8.09,889300
2023-06-21,8.17,8.28,8.16,8.17,8.17,1248400
2023-06-20,8.31,8.325,8.16,8.27,8.27,783300
2023-06-16,8.57,8.57,8.295,8.32,8.32,1572300
2023-06-15,8.3,8.56,8.3,8.48,8.48,1157600
2023-06-14,8.4,8.58,8.293,8.38,8.38,890200
2023-06-13,8.14,8.42,8.095,8.36,8.36,1260600
2023-06-12,7.88,8.145,7.85,8.14,8.14,853800
2023-06-09,8.42,8.45,7.85,7.9,7.9,1156200
2023-06-08,8.41,8.568,8.26,8.39,8.39,949300
2023-06-07,8.37,8.53,8.27,8.45,8.45,1716100
2023-06-06,7.79,8.3,7.79,8.27,8.27,1185800
2023-06-05,7.64,7.885,7.6,7.84,7.84,886200
2023-06-02,7.29,7.698,7.29,7.66,7.66,1176600
2023-06-01,7.29,7.51,7.23,7.27,7.27,946800
2023-05-31,7.36,7.47,7.175,7.3,7.3,1854900
2023-05-30,7.46,7.64,7.25,7.27,7.27,978300
2023-05-26,7.29,7.51,7.23,7.44,7.44,1200400
2023-05-25,7.59,7.665,7.28,7.29,7.29,1366900
2023-05-24,8.06,8.13,7.65,7.68,7.68,1228100
2023-05-23,8.06,8.435,8.06,8.18,8.18,833100
2023-05-22,8.16,8.29,7.99,8.11,8.11,1039800
2023-05-19,7.84,8.33,7.805,8.07,8.07,1265200
2023-05-18,8.22,8.22,7.58,7.75,7.75,1723900
2023-05-17,8.22,8.3,7.995,8.24,8.24,1011200
2023-05-16,8.21,8.35,8.09,8.12,8.12,1047600
2023-05-15,7.7,8.29,7.69,8.28,8.28,1392300
2023-05-12,7.73,7.74,7.57,7.64,7.64,948000
2023-05-11,7.62,7.748,7.545,7.63,7.63,1148900
2023-05-10,8.41,8.44,7.74,7.75,7.75,1259700
2023-05-09,8.27,8.37,7.38,8.33,8.33,2116600
2023-05-08,8.19,8.375,8.165,8.35,8.35,828800
2023-05-05,8.25,8.315,8.19,8.22,8.22,974700
2023-05-04,8.37,8.41,8.025,8.15,8.15,949300
2023-05-03,8.44,8.74,8.43,8.48,8.48,756900
2023-05-02,8.56,8.57,8.33,8.39,8.39,877100
2023-05-01,8.85,8.96,8.56,8.59,8.59,745300
2023-04-28,8.56,9.05,8.53,8.88,8.88,1402400
2023-04-27,8.18,8.61,8.18,8.61,8.61,1401000
2023-04-26,7.95,8.165,7.88,8.08,8.08,908400
2023-04-25,8.12,8.265,7.96,7.97,7.97,898100
2023-04-24,8.3,8.47,8.21,8.22,8.22,972700
2023-04-21,8.47,8.66,8.33,8.33,8.33,736300
2023-04-20,8.85,8.87,8.42,8.48,8.48,887800
2023-04-19,8.83,9.03,8.78,8.96,8.96,893500
2023-04-18,8.91,9.01,8.85,8.94,8.94,962200
2023-04-17,8.68,8.96,8.645,8.92,8.92,730500
2023-04-14,8.84,8.85,8.62,8.7,8.7,1171200
2023-04-13,8.82,9.01,8.8,8.82,8.82,1064200
2023-04-12,8.98,9.12,8.765,8.81,8.81,1189800
2023-04-11,8.19,8.89,8.14,8.83,8.83,1673700
2023-04-10,7.94,8.115,7.92,8.11,8.11,1434000
2023-04-06,8.01,8.095,7.92,7.98,7.98,615900
2023-04-05,7.81,7.99,7.74,7.93,7.93,629900
2023-04-04,8.0,8.1,7.725,7.85,7.85,656000
2023-04-03,8.26,8.32,7.87,7.96,7.96,1120500
2023-03-31,8.16,8.355,8.14,8.26,8.26,1121500
2023-03-30,8.22,8.32,8.1,8.14,8.14,723700
2023-03-29,8.0,8.225,7.92,8.17,8.17,914800
2023-03-28,7.88,8.08,7.84,7.88,7.88,956600
2023-03-27,7.86,8.03,7.86,7.92,7.92,896000
2023-03-24,7.62,7.91,7.61,7.85,7.85,899400
2023-03-23,7.84,8.03,7.705,7.72,7.72,1136400
2023-03-22,8.12,8.13,7.78,7.82,7.82,1310000
2023-03-21,7.97,8.175,7.97,8.15,8.15,1270981
2023-03-20,7.86,7.892,7.715,7.78,7.78,999403
2023-03-17,7.7,7.87,7.67,7.81,7.81,3871000
2023-03-16,7.75,7.875,7.6,7.81,7.81,1509700
2023-03-15,8.02,8.105,7.83,7.96,7.96,1499300
2023-03-14,8.21,8.415,8.085,8.23,8.23,1095700
2023-03-13,7.98,8.21,7.94,8.01,8.01,1483700
2023-03-10,8.37,8.4,8.015,8.14,8.14,1835000
2023-03-09,8.79,8.895,8.385,8.41,8.41,1110000
2023-03-08,8.65,8.86,8.57,8.81,8.81,841400
2023-03-07,8.87,9.04,8.58,8.58,8.58,1288300
2023-03-06,8.99,9.125,8.82,8.9,8.9,872500
2023-03-03,8.91,9.12,8.87,9.02,9.02,843900
2023-03-02,8.7,8.87,8.64,8.82,8.82,845200
2023-03-01,8.8,8.82,8.65,8.75,8.75,909200
2023-02-28,8.78,9.045,8.76,8.78,8.78,1365100
2023-02-27,8.7,9.0,8.67,8.73,8.73,1444300
2023-02-24,9.05,9.05,8.55,8.64,8.64,1882900
2023-02-23,8.62,9.55,8.61,9.21,9.21,2166000
2023-02-22,8.53,8.905,8.52,8.89,8.89,1530200
2023-02-21,9.13,9.17,8.57,8.58,8.58,1323300
2023-02-17,9.09,9.27,8.925,9.26,9.26,824800
2023-02-16,8.72,9.085,8.67,9.03,9.03,1122300
2023-02-15,9.13,9.13,8.785,8.88,8.88,1128500
2023-02-14,9.38,9.46,9.15,9.17,9.17,945600
2023-02-13,9.39,9.5,9.33,9.41,9.41,714300
2023-02-10,9.34,9.44,9.27,9.34,9.34,559700
2023-02-09,9.5,9.55,9.28,9.36,9.36,855500
2023-02-08,9.54,9.55,9.27,9.38,9.38,1032000
2023-02-07,9.58,9.63,9.425,9.61,9.61,928500
2023-02-06,9.61,9.67,9.41,9.58,9.58,1020900
2023-02-03,9.81,9.91,9.665,9.7,9.7,796400
2023-02-02,9.95,9.98,9.68,9.94,9.94,1494300
2023-02-01,9.82,9.95,9.69,9.95,9.95,1458000
2023-01-31,9.79,9.885,9.7,9.85,9.85,780400
2023-01-30,9.56,9.795,9.53,9.78,9.78,742000
2023-01-27,9.81,9.85,9.63,9.66,9.66,829600
2023-01-26,9.48,9.84,9.39,9.82,9.82,2092700
2023-01-25,9.02,9.375,8.98,9.37,9.37,1978000
2023-01-24,9.08,9.2,9.02,9.07,9.07,693100
