date,open,high,low,close,adjusted_close,volume
2023-07-31,52.29,52.97,51.779,52.36,52.36,870300
2023-07-28,53.27,53.75,52.27,52.36,52.36,1095800
2023-07-27,53.46,53.71,52.37,52.76,52.76,1188800
2023-07-26,53.36,53.36,52.34,52.79,52.79,989700
2023-07-25,52.16,53.5,51.42,53.0,53.0,1657300
2023-07-24,52.17,52.58,51.66,51.89,51.89,798100
2023-07-21,53.08,53.08,51.66,51.85,51.85,879200
2023-07-20,51.93,52.83,50.74,52.46,52.46,1819300
2023-07-19,52.85,53.795,52.2,52.98,52.98,1430500
2023-07-18,51.03,52.2,50.02,52.1,52.1,2421300
2023-07-17,51.64,52.98,51.27,52.39,52.39,1371600
2023-07-14,54.93,54.93,51.18,51.92,51.92,3227400
2023-07-13,55.06,55.6,54.48,55.58,55.58,1247500
2023-07-12,55.27,55.27,53.045,54.48,54.48,1441000
2023-07-11,55.05,55.18,53.55,54.82,54.82,1634400
2023-07-10,53.83,54.635,53.81,54.55,54.55,1040700
2023-07-07,53.17,55.92,53.17,54.4,54.4,1597400
2023-07-06,53.7,54.25,52.99,53.6,53.6,1532500
2023-07-05,55.14,55.59,54.145,54.62,54.62,2063600
2023-07-03,57.51,58.09,57.1,57.4,57.4,601300
2023-06-30,57.69,58.125,56.72,56.73,56.73,1313000
2023-06-29,56.4,57.18,55.87,56.92,56.92,1175700
2023-06-28,56.7,56.96,55.173,56.31,56.31,1920300
2023-06-27,55.76,58.33,54.952,57.91,57.91,1575400
2023-06-26,55.37,56.29,54.69,55.71,55.71,1617400
2023-06-23,55.18,56.06,54.64,55.29,55.29,1936100
2023-06-22,55.63,57.85,55.28,56.63,56.63,1808800
2023-06-21,59.8,60.19,54.94,55.8,55.8,4449500
2023-06-20,60.0,65.16,59.94,61.37,61.37,7399700
2023-06-16,59.11,59.74,56.58,57.8,57.8,3545500
2023-06-15,55.8,57.38,54.76,56.4,56.4,2519000
2023-06-14,53.95,57.94,53.75,56.43,56.43,10266900
2023-06-13,54.02,54.95,52.56,53.49,53.49,2578300
2023-06-12,51.46,53.86,51.3,53.29,53.29,1616400
2023-06-09,51.52,51.83,50.42,51.06,51.06,784300
2023-06-08,51.05,51.22,49.65,51.08,51.08,1259500
2023-06-07,50.6,52.12,50.481,50.8,50.8,1212600
2023-06-06,50.09,50.65,49.19,50.09,50.09,2308400
2023-06-05,52.59,52.92,50.97,51.42,51.42,1303600
2023-06-02,52.63,53.74,52.29,53.0,53.0,1509800
2023-06-01,52.94,53.61,52.21,52.22,52.22,795400
2023-05-31,53.94,54.62,52.568,52.9,52.9,1801400
2023-05-30,55.11,55.29,52.385,54.86,54.86,3046400
2023-05-26,48.6,53.89,48.365,53.63,53.63,3605900
2023-05-25,46.23,48.375,45.66,47.99,47.99,1318300
2023-05-24,46.67,46.76,45.35,45.53,45.53,853500
2023-05-23,48.3,48.5,46.97,47.06,47.06,928700
2023-05-22,46.38,48.36,46.26,48.27,48.27,965700
2023-05-19,47.64,48.04,46.69,46.69,46.69,967300
2023-05-18,45.98,47.38,45.62,47.37,47.37,1109800
2023-05-17,44.66,46.14,44.54,46.1,46.1,931200
2023-05-16,44.5,44.765,44.18,44.33,44.33,1384200
2023-05-15,42.3,45.55,42.25,45.12,45.12,1706900
