date,open,high,low,close,adjusted_close,volume
2023-07-31,123.61,124.63,121.73,122.3,122.3,783600
2023-07-28,118.26,123.81,117.13,123.24,123.24,1110200
2023-07-27,120.75,121.0,116.29,117.5,117.5,1183000
2023-07-26,115.0,121.2,114.67,119.86,119.86,1330600
2023-07-25,112.68,115.56,112.29,115.5,115.5,813700
2023-07-24,113.9,114.23,111.81,112.72,112.72,983200
2023-07-21,112.1,114.99,110.35,114.3,114.3,1993500
2023-07-20,113.0,113.87,110.76,112.03,112.03,1270100
2023-07-19,117.97,118.15,111.62,112.28,112.28,2512500
2023-07-18,107.0,120.8,105.5,117.73,117.73,7134400
2023-07-17,149.04,149.04,146.76,147.16,147.16,528600
2023-07-14,148.36,152.09,146.67,149.57,149.57,505800
2023-07-13,147.0,147.96,145.19,147.29,147.29,677000
2023-07-12,155.67,156.3,145.93,146.33,146.33,1048000
2023-07-11,159.23,161.2,154.45,154.76,154.76,802400
2023-07-10,159.04,162.0,158.53,159.62,159.62,315400
2023-07-07,158.11,159.04,155.04,158.61,158.61,429300
2023-07-06,159.46,159.84,157.12,158.23,158.23,553100
2023-07-05,160.71,161.31,159.82,161.17,161.17,454900
2023-07-03,164.16,164.16,160.7,160.95,160.95,189000
2023-06-30,166.0,167.04,164.32,164.55,164.55,439800
2023-06-29,162.5,165.93,160.51,165.63,165.63,475600
2023-06-28,162.2,162.28,159.92,160.2,160.2,300400
2023-06-27,161.94,162.49,158.72,162.2,162.2,560700
2023-06-26,161.35,164.41,159.7,162.76,162.76,614400
2023-06-23,162.13,163.86,160.5,162.0,162.0,691000
2023-06-22,162.89,164.49,161.17,162.13,162.13,211500
2023-06-21,164.33,165.34,162.53,163.1,163.1,309500
2023-06-20,159.93,164.83,159.39,164.34,164.34,325300
2023-06-16,164.82,165.08,160.65,161.47,161.47,545600
2023-06-15,161.44,164.2,160.84,163.27,163.27,388100
2023-06-14,161.0,165.65,160.75,161.35,161.35,409100
2023-06-13,156.64,160.92,156.15,160.02,160.02,473700
2023-06-12,156.56,157.58,155.28,156.88,156.88,386900
2023-06-09,157.37,158.71,154.87,156.34,156.34,620800
2023-06-08,164.17,164.84,156.8,157.4,157.4,657900
2023-06-07,166.1,167.33,164.05,164.17,164.17,399900
2023-06-06,165.13,169.58,165.13,166.18,166.18,565500
2023-06-05,160.8,164.8,160.77,164.71,164.71,320800
2023-06-02,165.42,166.3,162.54,163.3,163.3,373200
2023-06-01,161.82,166.02,160.86,165.32,165.32,471700
2023-05-31,157.9,162.31,157.7,161.84,161.84,1044800
2023-05-30,157.87,159.12,155.37,156.13,156.13,325000
2023-05-26,158.5,158.54,156.65,157.35,157.35,368200
2023-05-25,158.03,158.3,155.88,157.97,157.97,390600
2023-05-24,153.9,158.65,153.35,158.51,158.51,593500
2023-05-23,161.59,161.79,155.1,155.24,155.24,625600
2023-05-22,163.91,165.18,162.59,162.87,162.87,390100
2023-05-19,163.99,166.39,162.94,163.46,163.46,573900
2023-05-18,167.81,168.5,162.91,163.3,163.3,562200
2023-05-17,170.63,171.12,167.0,167.92,167.92,484600
2023-05-16,171.94,172.57,170.3,170.38,170.38,386800
2023-05-15,172.63,173.92,171.6,173.3,173.3,276100
2023-05-12,172.54,174.69,170.34,172.63,172.63,605200
2023-05-11,173.0,174.06,170.05,172.76,172.76,870100
2023-05-10,175.79,176.29,160.38,174.55,174.55,1527600
2023-05-09,186.2,188.14,183.54,184.25,184.25,436200
2023-05-08,187.05,188.13,184.63,187.69,187.69,304400
2023-05-05,185.55,188.76,183.95,187.9,187.9,295200
2023-05-04,186.27,186.31,183.48,184.7,184.7,285900
2023-05-03,183.62,189.3,183.17,186.76,186.76,330600
2023-05-02,180.0,183.98,178.51,183.34,183.34,691400
2023-05-01,189.02,190.82,188.31,189.06,189.06,268000
2023-04-28,186.66,190.56,186.66,189.14,189.14,395500
2023-04-27,187.0,188.65,185.74,187.85,187.85,525400
2023-04-26,190.19,191.0,186.53,186.91,186.91,453900
2023-04-25,195.27,195.82,190.5,190.94,190.94,260800
2023-04-24,196.03,196.83,195.0,196.06,196.06,199100
2023-04-21,196.63,198.0,195.59,196.03,196.03,177600
2023-04-20,195.41,196.91,193.05,195.61,195.61,142900
2023-04-19,191.67,196.55,191.22,196.47,196.47,278500
2023-04-18,193.03,194.1,191.77,192.11,192.11,253900
2023-04-17,192.45,194.31,190.9,192.21,192.21,274500
2023-04-14,195.86,195.86,191.0,191.67,191.67,473900
2023-04-13,191.83,196.91,191.69,196.3,196.3,493900
2023-04-12,190.39,192.55,189.72,191.16,191.16,406200
2023-04-11,187.0,190.69,187.0,189.07,189.07,212100
2023-04-10,185.77,186.87,183.02,186.83,186.83,144400
2023-04-06,182.32,186.88,181.42,186.8,186.8,206600
2023-04-05,181.75,183.53,181.05,182.8,182.8,337600
2023-04-04,185.03,185.55,181.04,182.2,182.2,298000
2023-04-03,184.96,185.77,183.8,184.49,184.49,307200
2023-03-31,179.96,184.71,178.51,184.54,184.54,323500
2023-03-30,177.9,179.5,177.18,178.54,178.54,219900
2023-03-29,173.9,176.3,173.31,176.29,176.29,219200
2023-03-28,173.33,173.99,171.87,172.64,172.64,141200
2023-03-27,173.67,174.79,173.27,173.57,173.57,167500
2023-03-24,173.72,174.15,172.34,172.88,172.88,150700
2023-03-23,175.01,175.99,172.74,174.42,174.42,197300
2023-03-22,176.37,178.32,174.01,174.14,174.14,254600
2023-03-21,175.35,177.09,175.3,176.63,176.63,282900
2023-03-20,171.73,175.24,171.73,174.72,174.72,345100
2023-03-17,175.19,175.21,171.37,171.73,171.73,569400
2023-03-16,172.42,176.27,170.89,175.16,175.16,343700
2023-03-15,176.41,176.84,171.11,173.14,173.14,331300
2023-03-14,178.0,179.1,175.19,178.88,178.88,268800
2023-03-13,170.4,176.57,170.4,175.66,175.66,334600
2023-03-10,174.0,174.81,170.13,172.87,172.87,396900
2023-03-09,176.95,176.95,173.59,174.25,174.25,256700
2023-03-08,176.72,177.17,175.26,175.84,175.84,193000
2023-03-07,181.28,181.58,176.22,177.04,177.04,270400
2023-03-06,181.93,183.06,180.06,181.01,181.01,347700
2023-03-03,180.77,182.74,180.34,182.43,182.43,306100
2023-03-02,174.38,180.63,173.7,179.92,179.92,566700
2023-03-01,180.87,184.97,172.65,175.93,175.93,641800
2023-02-28,167.43,170.69,166.56,167.31,167.31,576900
2023-02-27,167.71,169.45,167.45,169.08,169.08,386500
2023-02-24,164.19,166.75,164.19,166.09,166.09,384600
2023-02-23,166.65,168.18,163.51,166.51,166.51,224900
2023-02-22,165.11,168.38,163.89,166.15,166.15,336700
2023-02-21,163.02,163.18,160.48,160.89,160.89,228200
2023-02-17,163.67,165.01,162.84,164.75,164.75,210100
2023-02-16,166.1,167.62,164.67,164.9,164.9,209800
2023-02-15,165.49,168.29,163.59,167.85,167.85,163700
2023-02-14,163.52,167.54,162.75,165.18,165.18,193300
2023-02-13,164.8,166.76,164.0,165.4,165.4,173300
2023-02-10,164.8,166.2,163.41,164.72,164.72,234800
2023-02-09,170.19,171.8,163.58,165.32,165.32,432400
2023-02-08,172.77,173.26,169.72,169.72,169.72,199100
2023-02-07,168.64,173.43,167.53,173.19,173.19,188600
2023-02-06,168.92,170.76,168.12,169.07,169.07,240400
2023-02-03,171.32,173.6,168.49,169.45,169.45,402000
2023-02-02,173.95,176.42,173.72,174.72,174.72,499600
2023-02-01,171.39,172.73,167.76,171.32,171.32,340400
2023-01-31,170.71,172.48,168.42,170.08,170.08,351000
2023-01-30,170.69,173.85,168.9,170.07,170.07,471800
2023-01-27,169.95,171.96,169.45,171.39,171.39,241800
2023-01-26,168.76,170.16,165.9,170.01,170.01,225700
2023-01-25,165.71,166.66,162.71,166.45,166.45,233900
2023-01-24,172.14,174.6,167.21,167.58,167.58,511300
2023-01-23,168.5,173.29,167.87,172.76,172.76,533600
2023-01-20,163.56,169.48,162.94,168.48,168.48,403500
2023-01-19,161.84,165.02,161.32,163.0,163.0,584400
2023-01-18,162.78,167.16,162.78,163.66,163.66,617600
2023-01-17,156.9,162.12,155.01,162.0,162.0,513000
2023-01-13,153.45,156.85,151.89,156.75,156.75,264000
2023-01-12,156.44,156.86,152.82,154.91,154.91,449300
2023-01-11,156.31,161.42,155.5,156.76,156.76,911900
2023-01-10,154.5,155.12,152.31,153.45,153.45,486700
2023-01-09,154.74,155.81,152.87,154.64,154.64,420400
2023-01-06,152.26,155.94,149.29,154.35,154.35,392900
2023-01-05,150.98,152.19,148.98,151.59,151.59,391000
2023-01-04,147.85,151.53,147.13,151.36,151.36,289300
2023-01-03,149.47,151.29,144.51,146.03,146.03,398000
2022-12-30,146.0,148.27,144.01,147.95,147.95,268500
2022-12-29,146.12,148.3,145.89,146.85,146.85,239900
2022-12-28,145.77,147.85,144.6,145.01,145.01,252000
2022-12-27,147.46,147.61,144.78,145.35,145.35,234000
2022-12-23,149.11,149.41,146.63,148.09,148.09,221200
2022-12-22,145.55,150.21,145.0,149.77,149.77,498500
2022-12-21,146.19,149.25,145.91,146.83,146.83,550200
2022-12-20,140.04,145.85,140.04,145.72,145.72,508200
2022-12-19,142.16,142.16,138.51,138.72,138.72,441800
2022-12-16,142.35,144.7,141.14,142.59,142.59,851200
2022-12-15,145.79,146.7,140.29,144.31,144.31,686300
2022-12-14,145.69,149.35,144.25,145.0,145.0,844400
2022-12-13,148.2,150.87,145.37,150.36,150.36,1000500
2022-12-12,139.27,143.62,138.98,143.36,143.36,382200
2022-12-09,137.78,140.38,137.72,138.49,138.49,656500
2022-12-08,140.52,141.81,137.94,138.87,138.87,266000
2022-12-07,138.37,140.34,137.15,139.39,139.39,273300
2022-12-06,142.55,142.55,136.82,138.65,138.65,316500
2022-12-05,145.04,146.09,141.35,142.55,142.55,495800
2022-12-02,144.0,146.19,143.43,145.5,145.5,299000
2022-12-01,146.19,149.27,144.31,145.74,145.74,619700
2022-11-30,140.38,145.06,139.82,144.94,144.94,703700
2022-11-29,142.76,144.1,140.19,140.65,140.65,275800
2022-11-28,144.0,145.22,140.79,141.96,141.96,342800
2022-11-25,142.51,145.74,142.14,144.85,144.85,181600
2022-11-23,142.99,144.39,141.91,143.02,143.02,441600
2022-11-22,138.47,142.53,137.33,142.03,142.03,758400
2022-11-21,140.74,142.15,138.85,138.97,138.97,775100
2022-11-18,137.77,142.42,137.77,141.46,141.46,676500
2022-11-17,129.91,138.78,129.91,137.02,137.02,1005200
2022-11-16,130.01,137.04,130.0,132.45,132.45,940200
2022-11-15,124.45,129.2,123.5,126.58,126.58,792000
2022-11-14,129.06,130.08,122.06,122.13,122.13,688900
2022-11-11,121.38,130.82,121.11,130.0,130.0,1012200
2022-11-10,117.63,121.61,117.11,121.58,121.58,849800
2022-11-09,115.21,119.6,108.89,110.88,110.88,1699000
2022-11-08,125.83,127.48,122.32,123.07,123.07,787100
2022-11-07,124.35,126.99,122.8,126.13,126.13,602800
2022-11-04,127.72,127.72,122.31,125.09,125.09,660700
2022-11-03,124.53,125.29,122.94,125.14,125.14,652000
2022-11-02,131.42,132.05,126.75,126.8,126.8,417400
2022-11-01,133.07,133.75,129.18,131.63,131.63,377600
2022-10-31,133.87,135.16,130.59,131.6,131.6,423700
2022-10-28,132.91,135.26,131.13,134.03,134.03,359700
2022-10-27,135.58,136.18,131.7,132.71,132.71,528900
2022-10-26,135.89,140.24,134.11,134.55,134.55,927800
2022-10-25,137.79,138.88,134.2,134.98,134.98,778100
2022-10-24,137.05,137.05,133.83,136.0,136.0,1124600
2022-10-21,135.2,136.56,131.11,135.96,135.96,1079800
2022-10-20,135.69,137.42,133.98,135.19,135.19,394400
2022-10-19,138.25,139.59,134.09,135.08,135.08,522800
2022-10-18,141.36,143.1,138.18,138.72,138.72,605500
2022-10-17,134.35,138.82,134.21,137.93,137.93,1030900
2022-10-14,137.82,139.14,131.95,132.33,132.33,1074200
2022-10-13,129.57,136.85,128.76,135.95,135.95,357300
2022-10-12,130.99,134.35,128.58,133.63,133.63,629900
2022-10-11,130.26,130.65,125.34,129.63,129.63,872300
2022-10-10,134.14,134.25,130.02,130.34,130.34,1017800
2022-10-07,141.18,141.18,133.97,134.29,134.29,1035800
2022-10-06,146.14,147.19,141.91,143.0,143.0,613700
2022-10-05,145.04,146.97,143.77,146.0,146.0,387300
2022-10-04,146.05,148.97,145.73,146.93,146.93,981400
2022-10-03,141.77,145.53,140.3,144.54,144.54,545400
2022-09-30,143.04,146.57,140.95,141.16,141.16,404100
2022-09-29,144.55,145.09,142.04,142.42,142.42,390900
2022-09-28,142.19,145.07,141.08,144.33,144.33,359900
2022-09-27,142.6,142.97,138.3,140.01,140.01,1092100
2022-09-26,141.43,144.15,139.41,140.07,140.07,936200
2022-09-23,141.43,142.78,139.55,142.28,142.28,579700
2022-09-22,146.96,147.34,142.25,142.42,142.42,435900
2022-09-21,152.04,154.28,147.7,148.16,148.16,380700
2022-09-20,151.68,152.69,149.6,151.64,151.64,1193000
2022-09-19,152.68,152.8,147.14,152.72,152.72,692500
2022-09-16,152.9,153.73,150.91,153.55,153.55,1365500
2022-09-15,153.08,156.99,151.55,155.25,155.25,851300
2022-09-14,148.39,150.95,146.39,150.67,150.67,1211600
2022-09-13,151.28,151.73,146.03,146.37,146.37,1277200
2022-09-12,156.72,157.69,155.7,156.5,156.5,1285700
2022-09-09,154.94,157.33,153.93,156.25,156.25,609600
2022-09-08,143.07,154.21,143.07,154.01,154.01,511400
2022-09-07,142.16,147.51,141.27,147.44,147.44,842800
2022-09-06,143.25,143.42,140.91,142.13,142.13,1442100
2022-09-02,147.21,147.77,143.22,144.27,144.27,420400
2022-09-01,146.38,146.38,142.61,146.17,146.17,512400
2022-08-31,149.53,152.69,146.74,146.89,146.89,756700
2022-08-30,150.68,151.54,147.55,149.53,149.53,772500
2022-08-29,150.02,151.2,148.77,150.29,150.29,1115200
2022-08-26,156.48,157.2,151.04,151.79,151.79,733800
2022-08-25,153.49,157.6,152.22,157.35,157.35,588700
2022-08-24,149.91,154.0,149.59,153.02,153.02,769000
2022-08-23,151.69,152.1,147.64,149.67,149.67,792300
2022-08-22,154.11,155.32,152.08,152.61,152.61,1446400
2022-08-19,158.98,160.4,154.19,155.72,155.72,651000
2022-08-18,165.36,165.98,159.51,159.93,159.93,1084100
2022-08-17,167.63,169.45,164.83,165.54,165.54,956800
2022-08-16,164.56,172.74,164.55,169.38,169.38,2139400
2022-08-15,154.5,160.3,153.9,159.77,159.77,2249500
2022-08-12,152.45,155.26,150.67,154.37,154.37,1680100
2022-08-11,156.77,158.53,152.57,153.21,153.21,1878400
2022-08-10,153.19,160.48,153.0,157.78,157.78,2406800
2022-08-09,153.33,154.24,147.7,148.17,148.17,1076400
2022-08-08,152.87,157.89,152.87,154.61,154.61,1922300
2022-08-05,148.37,153.6,147.86,153.46,153.46,925700
2022-08-04,149.99,151.54,148.41,150.76,150.76,684500
2022-08-03,146.22,151.51,146.03,150.26,150.26,1532300
2022-08-02,144.48,147.17,144.16,145.64,145.64,713605
2022-08-01,144.15,145.62,140.9,144.79,144.79,902076
2022-07-29,144.1,144.95,141.45,144.58,144.58,586800
2022-07-28,143.63,145.29,139.36,145.15,145.15,518400
2022-07-27,140.54,143.31,138.74,142.6,142.6,734400
2022-07-26,139.58,140.91,136.62,139.88,139.88,889100
2022-07-25,138.1,139.55,134.99,138.82,138.82,1272400
2022-07-22,142.84,143.9,136.37,138.92,138.92,683800
2022-07-21,138.84,143.28,136.25,142.45,142.45,680400
2022-07-20,134.77,140.13,134.77,138.04,138.04,1324000
2022-07-19,128.14,133.63,127.48,133.58,133.58,932600
2022-07-18,128.19,129.26,124.84,126.31,126.31,1079900
2022-07-15,127.47,128.21,125.05,127.85,127.85,489900
2022-07-14,126.05,126.78,123.0,125.58,125.58,459100
2022-07-13,128.27,129.5,122.68,126.05,126.05,674900
2022-07-12,131.82,133.4,129.67,131.45,131.45,453300
2022-07-11,135.07,136.25,131.54,131.82,131.82,320100
2022-07-08,136.59,138.79,135.39,136.5,136.5,305400
2022-07-07,136.56,140.22,135.93,137.7,137.7,354600
2022-07-06,136.8,138.16,135.28,137.44,137.44,530900
2022-07-05,133.11,136.78,130.86,136.65,136.65,503000
2022-07-01,131.87,136.14,130.75,135.9,135.9,456500
2022-06-30,134.09,136.05,126.52,130.67,130.67,822100
2022-06-29,137.52,138.28,134.96,136.11,136.11,621000
2022-06-28,139.53,140.77,136.23,137.07,137.07,550600
2022-06-27,140.17,141.08,138.01,139.8,139.8,755700
2022-06-24,136.54,139.34,135.29,138.6,138.6,449700
2022-06-23,128.02,136.04,127.77,135.63,135.63,472500
2022-06-22,125.75,129.84,125.74,127.69,127.69,367100
2022-06-21,127.68,128.46,125.88,126.88,126.88,654400
2022-06-17,122.04,127.46,122.04,124.75,124.75,1196900
2022-06-16,122.63,123.51,120.72,122.02,122.02,525200
2022-06-15,124.19,128.39,122.85,126.53,126.53,509300
2022-06-14,129.11,130.17,121.74,123.06,123.06,1055600
2022-06-13,133.78,135.44,128.31,129.42,129.42,1068500
2022-06-10,136.52,139.52,136.01,138.64,138.64,674800
2022-06-09,138.3,141.62,137.46,139.42,139.42,539200
2022-06-08,140.66,142.44,139.55,140.01,140.01,433300
2022-06-07,138.52,142.29,137.98,141.26,141.26,513400
2022-06-06,142.57,143.54,139.62,140.59,140.59,485600
2022-06-03,140.46,141.15,137.61,140.0,140.0,650300
2022-06-02,142.44,142.75,136.49,142.72,142.72,411500
2022-06-01,142.36,144.37,136.07,136.89,136.89,530900
2022-05-31,143.0,143.97,139.33,140.43,140.43,1850600
2022-05-27,140.83,144.64,140.15,143.5,143.5,950700
2022-05-26,138.91,140.4,137.05,139.34,139.34,664000
2022-05-25,139.79,142.56,135.8,137.81,137.81,1429600
2022-05-24,140.12,142.85,137.64,141.46,141.46,916600
2022-05-23,142.18,144.14,138.35,142.31,142.31,1094100
2022-05-20,142.38,143.16,137.33,141.23,141.23,1525900
2022-05-19,135.57,143.81,135.0,141.38,141.38,1427400
2022-05-18,137.18,140.8,136.55,136.85,136.85,1086600
2022-05-17,136.91,140.57,136.5,139.98,139.98,1371200
2022-05-16,133.97,137.55,133.23,134.93,134.93,859500
2022-05-13,129.71,137.18,128.95,136.04,136.04,1030000
2022-05-12,121.9,128.63,121.9,128.18,128.18,1168900
2022-05-11,126.25,127.55,122.34,122.72,122.72,1735300
2022-05-10,123.08,129.33,120.99,127.99,127.99,1334900
2022-05-09,125.28,126.82,119.81,120.51,120.51,1916300
2022-05-06,124.19,129.72,121.51,129.23,129.23,1475900
2022-05-05,126.06,126.74,121.33,124.8,124.8,1106300
2022-05-04,115.0,130.47,112.7,128.1,128.1,2462400
2022-05-03,119.32,121.42,116.99,117.97,117.97,952100
2022-05-02,112.54,119.37,112.07,119.15,119.15,1657800
2022-04-29,118.48,120.26,112.81,112.97,112.97,917900
2022-04-28,119.84,120.35,113.65,118.26,118.26,1078700
2022-04-27,118.69,120.51,116.75,117.1,117.1,714400
2022-04-26,123.52,124.5,118.15,118.64,118.64,861800
2022-04-25,125.23,126.82,122.72,123.79,123.79,826000
2022-04-22,130.3,130.67,124.65,124.92,124.92,663200
2022-04-21,137.42,138.14,130.17,130.39,130.39,414700
2022-04-20,139.29,139.55,135.05,136.22,136.22,454100
2022-04-19,130.36,137.64,130.36,136.33,136.33,780000
2022-04-18,134.12,134.75,129.68,130.06,130.06,545600
2022-04-14,138.89,138.89,134.62,134.87,134.87,413400
2022-04-13,136.76,138.87,136.15,137.78,137.78,841600
2022-04-12,140.96,143.12,137.11,137.45,137.45,870700
2022-04-11,142.47,143.36,139.53,139.73,139.73,316400
2022-04-08,147.22,147.22,143.9,144.0,144.0,311500
