date,open,high,low,close,adjusted_close,volume
2023-07-31,1.82,1.95,1.81,1.92,1.92,1385400
2023-07-28,1.85,1.92,1.83,1.84,1.84,1664300
2023-07-27,1.98,1.98,1.79,1.795,1.795,2812600
2023-07-26,1.91,2.0,1.904,2.0,2.0,3128900
2023-07-25,1.94,1.975,1.89,1.92,1.92,2234600
2023-07-24,2.01,2.03,1.93,1.96,1.96,1444700
2023-07-21,1.85,2.02,1.82,2.01,2.01,2868700
2023-07-20,1.89,1.9,1.8,1.82,1.82,1540800
2023-07-19,1.81,1.9,1.8,1.88,1.88,3060700
2023-07-18,1.8,1.85,1.79,1.81,1.81,1173700
2023-07-17,1.76,1.81,1.74,1.8,1.8,1137100
2023-07-14,1.82,1.85,1.75,1.77,1.77,1243100
2023-07-13,1.77,1.85,1.75,1.83,1.83,1757900
2023-07-12,1.77,1.79,1.73,1.77,1.77,1432700
2023-07-11,1.76,1.76,1.68,1.75,1.75,1574200
2023-07-10,1.68,1.77,1.67,1.76,1.76,1699200
2023-07-07,1.65,1.71,1.64,1.69,1.69,1005800
2023-07-06,1.65,1.66,1.59,1.63,1.63,1903100
2023-07-05,1.68,1.71,1.63,1.67,1.67,1274900
2023-07-03,1.75,1.75,1.68,1.69,1.69,684100
2023-06-30,1.73,1.77,1.7,1.75,1.75,1562000
2023-06-29,1.73,1.76,1.7,1.72,1.72,1219200
2023-06-28,1.62,1.71,1.61,1.71,1.71,1511900
2023-06-27,1.61,1.66,1.57,1.64,1.64,1559500
2023-06-26,1.64,1.689,1.61,1.61,1.61,1768100
2023-06-23,1.6,1.65,1.57,1.64,1.64,7607100
2023-06-22,1.65,1.65,1.57,1.59,1.59,2822200
2023-06-21,1.67,1.67,1.6,1.615,1.615,3441300
2023-06-20,1.8,1.805,1.625,1.675,1.675,4468200
2023-06-16,1.93,1.93,1.8,1.81,1.81,4426600
2023-06-15,1.85,1.92,1.83,1.89,1.89,2413100
2023-06-14,1.95,1.97,1.84,1.86,1.86,2377600
2023-06-13,1.9,1.98,1.875,1.96,1.96,2487400
2023-06-12,1.89,1.96,1.855,1.88,1.88,2833000
2023-06-09,1.98,2.04,1.92,1.93,1.93,3026400
2023-06-08,2.0,2.03,1.92,2.01,2.01,6627700
2023-06-07,2.03,2.11,1.98,2.0,2.0,3286800
2023-06-06,2.05,2.08,1.98,2.06,2.06,3394100
2023-06-05,2.04,2.12,2.02,2.08,2.08,1657600
2023-06-02,2.01,2.06,1.95,2.05,2.05,2658800
2023-06-01,1.92,1.99,1.86,1.98,1.98,2403900
2023-05-31,1.91,1.96,1.85,1.92,1.92,2940400
2023-05-30,2.04,2.069,1.92,1.94,1.94,3145400
2023-05-26,2.03,2.1,1.834,2.08,2.08,4210900
2023-05-25,2.12,2.15,2.02,2.04,2.04,2998200
2023-05-24,2.11,2.15,2.01,2.09,2.09,4936000
2023-05-23,2.03,2.2,2.02,2.16,2.16,3018700
2023-05-22,1.93,2.07,1.93,2.06,2.06,5132700
2023-05-19,2.03,2.04,1.92,1.94,1.94,1700200
2023-05-18,1.99,2.08,1.97,2.03,2.03,4391000
2023-05-17,1.96,2.0,1.915,1.98,1.98,2044200
2023-05-16,2.03,2.05,1.91,1.93,1.93,1824500
2023-05-15,2.03,2.07,2.01,2.02,2.02,1977300
2023-05-12,2.12,2.12,2.0,2.02,2.02,2217100
2023-05-11,2.12,2.12,2.03,2.1,2.1,1459300
2023-05-10,2.18,2.21,2.09,2.11,2.11,1484100
2023-05-09,2.09,2.19,2.08,2.16,2.16,995000
2023-05-08,2.08,2.17,2.06,2.16,2.16,1354000
2023-05-05,2.05,2.11,2.035,2.11,2.11,1472400
2023-05-04,1.97,2.025,1.94,2.02,2.02,1012300
2023-05-03,1.92,2.055,1.9,2.0,2.0,1647400
2023-05-02,2.0,2.0,1.9,1.91,1.91,1559700
2023-05-01,1.95,2.02,1.93,2.02,2.02,1278900
2023-04-28,1.85,1.99,1.825,1.97,1.97,1349100
2023-04-27,1.9,1.905,1.74,1.88,1.88,3047500
2023-04-26,1.98,2.0,1.84,1.87,1.87,2016400
2023-04-25,2.0,2.03,1.955,1.97,1.97,1474700
2023-04-24,2.1,2.11,1.99,2.0,2.0,2103100
2023-04-21,2.04,2.1,2.01,2.09,2.09,1213300
2023-04-20,2.07,2.1,2.01,2.03,2.03,1088700
2023-04-19,2.05,2.08,2.0,2.08,2.08,1373400
2023-04-18,2.13,2.13,2.03,2.06,2.06,2002600
2023-04-17,2.21,2.26,2.06,2.09,2.09,2342800
2023-04-14,2.28,2.3,2.19,2.2,2.2,946500
2023-04-13,2.22,2.32,2.21,2.29,2.29,966300
2023-04-12,2.2,2.28,2.19,2.21,2.21,1246200
2023-04-11,2.26,2.32,2.18,2.19,2.19,1620500
2023-04-10,2.24,2.26,2.2,2.25,2.25,1190500
2023-04-06,2.24,2.27,2.2,2.25,2.25,780200
2023-04-05,2.24,2.24,2.17,2.24,2.24,990800
2023-04-04,2.28,2.29,2.2,2.23,2.23,980300
2023-04-03,2.28,2.3,2.22,2.26,2.26,1184900
2023-03-31,2.27,2.3,2.23,2.28,2.28,1516300
2023-03-30,2.26,2.29,2.215,2.25,2.25,942400
2023-03-29,2.22,2.27,2.18,2.25,2.25,1252000
2023-03-28,2.23,2.255,2.17,2.18,2.18,814600
2023-03-27,2.23,2.275,2.22,2.25,2.25,1028500
2023-03-24,2.16,2.24,2.16,2.23,2.23,1177300
2023-03-23,2.2,2.27,2.16,2.19,2.19,1505600
2023-03-22,2.26,2.29,2.17,2.19,2.19,1595400
2023-03-21,2.2,2.3,2.17,2.28,2.28,1386800
2023-03-20,2.27,2.27,2.14,2.16,2.16,2249200
2023-03-17,2.3,2.32,2.225,2.29,2.29,2517900
2023-03-16,2.25,2.355,2.22,2.33,2.33,1601600
2023-03-15,2.24,2.335,2.18,2.29,2.29,3112200
2023-03-14,2.34,2.39,2.21,2.23,2.23,2394200
2023-03-13,2.2,2.38,2.19,2.31,2.31,2286300
2023-03-10,2.27,2.31,2.195,2.25,2.25,1657800
2023-03-09,2.36,2.39,2.25,2.26,2.26,1566900
2023-03-08,2.39,2.42,2.31,2.33,2.33,1456500
2023-03-07,2.46,2.52,2.38,2.39,2.39,1850200
2023-03-06,2.54,2.6,2.42,2.43,2.43,2475800
