date,open,high,low,close,adjusted_close,volume
2023-07-31,4.165,4.17,4.01,4.15,4.15,1600
2023-07-28,4.1,4.1,4.01,4.09,4.09,2100
2023-07-27,4.02,4.15,4.0,4.15,4.15,2500
2023-07-26,4.05,4.12,4.05,4.12,4.12,1200
2023-07-25,4.11,4.2,3.91,4.0,4.0,22100
2023-07-24,4.265,4.265,4.15,4.15,4.15,1600
2023-07-21,4.3,4.3,3.94,4.13,4.13,13800
2023-07-20,4.31,4.31,4.28,4.3,4.3,1500
2023-07-19,4.39,4.39,4.3,4.3,4.3,1900
2023-07-18,4.25,4.4,4.21,4.39,4.39,4400
2023-07-17,4.255,4.303,4.19,4.19,4.19,1100
2023-07-14,4.37,4.37,4.19,4.19,4.19,1300
2023-07-13,4.21,4.4,4.2,4.2,4.2,5100
2023-07-12,4.14,4.21,4.14,4.16,4.16,3300
2023-07-11,4.19,4.29,4.12,4.13,4.13,6100
2023-07-10,4.26,4.32,4.24,4.24,4.24,2000
2023-07-07,4.2,4.25,4.15,4.22,4.22,4100
2023-07-06,4.28,4.39,4.06,4.06,4.06,6600
2023-07-05,4.39,4.39,4.23,4.28,4.28,2800
2023-07-03,4.42,4.49,4.42,4.49,4.49,2400
2023-06-30,4.57,4.57,4.41,4.49,4.49,3600
2023-06-29,4.27,4.5,4.27,4.5,4.5,15700
2023-06-28,4.5,4.55,4.36,4.36,4.36,4200
2023-06-27,4.4,4.5,4.25,4.5,4.5,1100
2023-06-26,4.51,4.58,4.22,4.51,4.51,9400
2023-06-23,4.3,4.568,4.22,4.48,4.48,16000
2023-06-22,4.3,4.4,4.17,4.25,4.25,8800
2023-06-21,4.4,4.56,4.35,4.38,4.38,22700
2023-06-20,4.55,4.55,3.94,4.15,4.15,60000
2023-06-16,4.822,4.9,4.665,4.7,4.7,25900
2023-06-15,4.325,4.66,4.16,4.5,4.5,17500
2023-06-14,4.44,4.5,4.09,4.2,4.2,18400
2023-06-13,4.11,4.4,3.979,4.11,4.11,8900
2023-06-12,4.09,4.26,4.08,4.26,4.26,6600
2023-06-09,4.11,4.17,4.07,4.08,4.08,7700
2023-06-08,4.05,4.2,4.01,4.15,4.15,8900
2023-06-07,4.18,4.29,3.8,4.2,4.2,21900
2023-06-06,4.07,4.37,4.07,4.37,4.37,2400
2023-06-05,4.12,4.17,3.8,3.98,3.98,37400
2023-06-02,4.35,4.43,4.0,4.11,4.11,21000
2023-06-01,4.4,4.4,4.4,4.4,4.4,1000
2023-05-31,4.282,4.5,4.282,4.45,4.45,2000
2023-05-30,4.34,4.57,4.26,4.41,4.41,6900
2023-05-26,4.43,4.525,4.35,4.5,4.5,7700
2023-05-25,4.6,4.62,4.5,4.5,4.5,4900
2023-05-24,4.51,4.83,4.31,4.515,4.515,3900
2023-05-23,4.66,4.66,4.34,4.5,4.5,7000
2023-05-22,4.4,4.66,4.35,4.66,4.66,7900
2023-05-19,4.25,4.55,4.24,4.5,4.5,8300
2023-05-18,4.08,4.3,4.05,4.24,4.24,6000
2023-05-17,3.91,4.32,3.91,4.3,4.3,5200
2023-05-16,3.909,4.29,3.909,4.27,4.27,2900
2023-05-15,4.19,4.26,3.861,4.1,4.1,5800
2023-05-12,4.5,4.5,4.12,4.26,4.26,8300
2023-05-11,4.75,4.75,4.45,4.45,4.45,4000
2023-05-10,4.68,4.93,4.62,4.8,4.8,3800
2023-05-09,5.01,5.01,4.69,4.69,4.69,4400
2023-05-08,4.79,5.26,4.6,5.125,5.125,72900
2023-05-05,5.12,5.5,4.91,4.95,4.95,67400
2023-05-04,4.72,5.2,4.56,4.99,4.99,22900
2023-05-03,4.97,4.97,4.86,4.86,4.86,2700
2023-05-02,4.81,4.98,4.8,4.94,4.94,23500
2023-05-01,5.03,5.03,4.73,4.9,4.9,28400
2023-04-28,4.95,5.01,4.79,5.0,5.0,15600
2023-04-27,4.5,5.02,4.14,5.02,5.02,12600
2023-04-26,4.36,4.505,3.795,4.49,4.49,40700
2023-04-25,4.24,4.44,4.069,4.44,4.44,2500
2023-04-24,4.31,4.6,4.12,4.14,4.14,4300
2023-04-21,4.52,4.67,4.24,4.25,4.25,13300
2023-04-20,4.84,5.0,4.6,4.62,4.62,50500
2023-04-19,4.67,4.87,4.6,4.75,4.75,112200
2023-04-18,4.71,4.98,4.537,4.62,4.62,51700
2023-04-17,4.8,4.8,4.705,4.76,4.76,6500
2023-04-14,4.73,5.1,4.53,4.8,4.8,9200
2023-04-13,4.61,4.99,4.51,4.63,4.63,18900
2023-04-12,4.79,5.08,4.51,4.6,4.6,13200
2023-04-11,4.97,4.97,4.55,4.6,4.6,9900
2023-04-10,4.61,5.2,4.61,4.81,4.81,4500
2023-04-06,5.1,5.1,5.1,5.1,5.1,900
2023-04-05,4.65,5.09,4.61,4.815,4.815,4700
2023-04-04,4.86,5.05,4.6,4.6,4.6,6100
2023-04-03,4.51,5.2,4.49,4.85,4.85,6300
2023-03-31,4.88,5.23,4.28,4.64,4.64,22300
2023-03-30,4.65,5.13,4.52,4.92,4.92,60500
2023-03-29,4.65,4.91,4.494,4.6,4.6,12300
2023-03-28,4.65,4.85,4.19,4.56,4.56,4100
2023-03-27,4.15,4.65,4.15,4.53,4.53,8800
2023-03-24,3.89,4.08,3.89,4.08,4.08,1000
2023-03-23,3.86,3.93,3.713,3.93,3.93,4800
2023-03-22,3.56,3.76,3.53,3.76,3.76,1500
2023-03-21,3.63,3.77,3.54,3.56,3.56,8100
2023-03-20,3.52,3.58,3.42,3.44,3.44,19200
2023-03-17,3.48,3.54,3.45,3.45,3.45,17500
2023-03-16,3.32,3.84,3.32,3.5,3.5,12000
2023-03-15,3.45,3.76,3.4,3.4,3.4,25300
2023-03-14,3.57,4.19,3.56,3.56,3.56,11500
2023-03-13,3.53,3.66,3.18,3.52,3.52,60200
2023-03-10,4.1,4.11,3.66,3.66,3.66,19400
2023-03-09,4.18,4.426,3.97,4.28,4.28,18300
2023-03-08,4.23,4.36,3.9,4.18,4.18,11300
2023-03-07,4.43,4.544,4.35,4.36,4.36,12200
2023-03-06,3.95,4.89,3.95,4.6,4.6,133900
2023-03-03,4.36,4.56,3.01,4.1,4.1,152700
2023-03-02,4.63,4.63,4.06,4.2,4.2,35900
2023-03-01,4.96,5.07,4.69,4.73,4.73,20800
2023-02-28,4.88,5.16,4.75,5.13,5.13,21400
2023-02-27,4.93,5.34,4.76,5.0,5.0,28900
2023-02-24,4.99,5.19,4.75,4.97,4.97,13900
2023-02-23,4.72,5.1,4.37,4.96,4.96,32400
2023-02-22,5.48,5.854,4.38,4.75,4.75,121800
2023-02-21,4.7,5.49,4.7,5.34,5.34,29000
2023-02-17,4.47,4.75,4.27,4.75,4.75,7100
2023-02-16,4.51,4.73,4.23,4.375,4.375,11300
2023-02-15,4.65,4.73,4.407,4.66,4.66,17300
2023-02-14,4.43,4.75,4.3,4.75,4.75,13900
2023-02-13,4.1,4.553,3.98,4.48,4.48,24000
2023-02-10,4.04,4.34,4.04,4.175,4.175,14700
2023-02-09,4.057,4.52,4.03,4.16,4.16,12400
2023-02-08,3.62,3.93,3.33,3.87,3.87,53900
2023-02-07,4.214,4.214,3.66,3.66,3.66,15400
2023-02-06,4.3,4.63,4.02,4.02,4.02,16000
2023-02-03,4.49,4.57,4.33,4.33,4.33,13600
2023-02-02,4.66,4.74,4.33,4.4,4.4,19900
2023-02-01,4.67,4.75,4.484,4.62,4.62,18100
2023-01-31,3.93,4.69,3.93,4.68,4.68,29000
2023-01-30,4.0,4.0,3.64,3.9,3.9,10400
2023-01-27,3.96,4.3,3.89,4.09,4.09,24800
2023-01-26,3.57,3.84,3.57,3.83,3.83,7600
2023-01-25,3.42,3.6,3.39,3.6,3.6,17500
2023-01-24,3.47,3.52,3.272,3.52,3.52,20200
2023-01-23,2.85,3.34,2.85,3.34,3.34,40600
2023-01-20,3.26,3.46,2.77,2.98,2.98,58500
2023-01-19,2.865,3.01,2.744,2.86,2.86,7100
2023-01-18,3.04,3.24,2.88,3.02,3.02,38400
2023-01-17,3.45,3.55,2.91,3.24,3.24,106300
2023-01-13,2.68,3.53,2.68,3.4,3.4,59100
2023-01-12,2.33,2.7,2.33,2.65,2.65,33000
2023-01-11,2.27,2.54,2.16,2.35,2.35,46100
2023-01-10,1.78,2.38,1.68,2.21,2.21,149000
2023-01-09,1.68,1.76,1.62,1.63,1.63,16400
2023-01-06,1.62,1.635,1.56,1.58,1.58,31200
2023-01-05,1.51,1.55,1.43,1.535,1.535,9200
2023-01-04,1.41,1.565,1.41,1.52,1.52,21700
2023-01-03,1.38,1.62,1.38,1.44,1.44,23600
2022-12-30,1.51,1.58,1.38,1.49,1.49,18900
2022-12-29,1.26,1.535,1.26,1.535,1.535,24500
2022-12-28,1.27,1.399,1.22,1.29,1.29,70300
2022-12-27,1.39,1.4,1.31,1.34,1.34,31100
2022-12-23,1.51,1.53,1.35,1.36,1.36,36000
2022-12-22,1.46,1.61,1.46,1.5,1.5,28500
2022-12-21,1.53,1.53,1.46,1.51,1.51,2197200
2022-12-20,1.55,1.685,1.5,1.5,1.5,9800
2022-12-19,1.62,1.62,1.51,1.52,1.52,9400
2022-12-16,1.56,1.848,1.56,1.64,1.64,7400
2022-12-15,1.59,1.725,1.55,1.59,1.59,6500
2022-12-14,1.58,1.71,1.51,1.6,1.6,31700
2022-12-13,1.6,1.65,1.55,1.605,1.605,42300
2022-12-12,1.71,1.8,1.645,1.65,1.65,17300
2022-12-09,1.75,1.91,1.66,1.76,1.76,33500
2022-12-08,1.6,1.74,1.54,1.64,1.64,17500
2022-12-07,1.79,1.99,1.63,1.72,1.72,30000
2022-12-06,1.7,1.83,1.59,1.83,1.83,58100
2022-12-05,1.69,1.75,1.57,1.58,1.58,44800
2022-12-02,1.58,1.68,1.58,1.58,1.58,18900
2022-12-01,1.62,1.695,1.575,1.59,1.59,23200
2022-11-30,1.616,1.65,1.593,1.61,1.61,34500
2022-11-29,1.87,1.87,1.61,1.61,1.61,30600
2022-11-28,1.99,1.99,1.64,1.68,1.68,27300
2022-11-25,1.66,1.895,1.6,1.61,1.61,42900
2022-11-23,1.54,1.565,1.51,1.55,1.55,9600
2022-11-22,1.5,1.55,1.451,1.5,1.5,87200
2022-11-21,1.52,1.62,1.38,1.5,1.5,369600
2022-11-18,1.49,1.64,1.45,1.475,1.475,19500
2022-11-17,1.72,1.79,1.48,1.51,1.51,33300
2022-11-16,2.01,2.06,1.52,1.52,1.52,31000
2022-11-15,2.06,2.36,1.78,1.95,1.95,111500
2022-11-14,1.94,2.05,1.81,1.98,1.98,7000
2022-11-11,2.01,2.254,1.92,1.92,1.92,2199500
2022-11-10,2.24,2.494,2.0,2.0,2.0,56100
2022-11-09,2.5,2.645,2.1,2.1,2.1,54400
2022-11-08,2.575,2.81,2.35,2.53,2.53,3000
2022-11-07,2.38,2.4,2.33,2.33,2.33,1000
2022-11-04,2.319,2.48,2.319,2.34,2.34,4800
2022-11-03,2.4,2.44,2.3,2.36,2.36,9000
2022-11-02,2.75,2.88,2.34,2.34,2.34,18700
2022-11-01,2.9,2.9,2.87,2.87,2.87,800
2022-10-31,3.04,3.155,2.96,3.0,3.0,10700
2022-10-28,2.84,3.0,2.84,3.0,3.0,14900
2022-10-27,3.03,3.03,2.74,2.8,2.8,4800
2022-10-26,3.05,3.1,2.79,2.8,2.8,55000
2022-10-25,2.91,3.14,2.65,3.1,3.1,27100
2022-10-24,3.03,3.12,2.99,3.0,3.0,8000
2022-10-21,3.27,3.35,3.005,3.02,3.02,91900
2022-10-20,3.4,3.46,3.26,3.26,3.26,2900
2022-10-19,3.33,3.62,3.33,3.4,3.4,3800
2022-10-18,3.21,3.41,3.21,3.26,3.26,17900
2022-10-17,3.2,3.34,3.11,3.25,3.25,11900
2022-10-14,3.12,3.29,3.11,3.15,3.15,10000
2022-10-13,3.06,3.37,3.06,3.15,3.15,57400
2022-10-12,3.14,3.49,3.02,3.15,3.15,42800
2022-10-11,3.05,3.227,3.02,3.17,3.17,74700
2022-10-10,3.15,3.18,3.07,3.09,3.09,18000
2022-10-07,3.21,3.35,3.09,3.09,3.09,9000
2022-10-06,3.75,3.75,3.19,3.21,3.21,70900
2022-10-05,3.47,3.685,3.47,3.61,3.61,7700
2022-10-04,3.79,3.81,3.65,3.65,3.65,4600
2022-10-03,3.75,3.78,3.66,3.67,3.67,16100
2022-09-30,3.44,3.825,3.44,3.75,3.75,75700
