date,open,high,low,close,adjusted_close,volume
2023-07-31,189.45,189.59,186.85,187.46,187.46,5688218
2023-07-28,190.14,191.37,189.79,190.31,190.31,5602369
2023-07-27,192.0,192.2925,188.4,188.53,188.53,4141834
2023-07-26,191.12,192.38,190.06,191.6,191.6,3898895
2023-07-25,190.41,192.01,190.06,191.36,191.36,3521616
2023-07-24,190.59,191.43,190.14,190.92,190.92,4226701
2023-07-21,190.105,191.47,189.3,190.16,190.16,15022090
2023-07-20,187.5,189.99,186.81,189.3,189.3,5056531
2023-07-19,185.0,186.6,184.424,186.26,186.26,4140799
2023-07-18,185.44,186.82,183.82,184.45,184.45,5684103
2023-07-17,186.34,187.005,185.42,185.63,185.63,5637931
2023-07-14,187.86,188.625,187.085,188.21,188.21,4467604
2023-07-13,185.8,188.06,183.26,187.53,187.53,8223095
2023-07-12,183.98,184.61,182.975,183.17,183.17,6080078
2023-07-11,184.38,184.726,182.415,183.98,183.98,3915229
2023-07-10,184.07,185.91,183.775,184.3,184.3,5508816
2023-07-07,185.82,185.88,183.03,183.08,183.08,6310132
2023-07-06,185.81,186.75,184.8925,186.6,186.6,5592489
2023-07-05,185.0,186.69,184.97,186.58,186.58,5277266
2023-07-03,184.3,185.64,183.47,185.6,185.6,2387512
2023-06-30,184.04,185.52,183.88,185.22,185.22,7635186
2023-06-29,183.25,183.89,181.39,183.88,183.88,5770445
2023-06-28,186.25,186.74,183.38,183.7,183.7,5194077
2023-06-27,184.67,186.61,183.96,186.22,186.22,5763039
2023-06-26,186.16,186.43,184.1203,184.89,184.89,3706278
2023-06-23,188.0,188.0,185.95,186.07,186.07,7592675
2023-06-22,186.73,187.58,185.87,187.35,187.35,3186126
2023-06-21,185.72,186.88,184.188,185.43,185.43,3832395
2023-06-20,186.54,187.87,185.24,185.31,185.31,4155059
2023-06-16,186.14,187.585,185.7,186.04,186.04,8925706
2023-06-15,184.26,186.17,183.52,185.71,185.71,4326317
2023-06-14,182.0,183.65,181.435,183.17,183.17,3559268
2023-06-13,182.13,182.19,181.08,181.54,181.54,2838752
2023-06-12,182.49,182.73,180.69,181.9,181.9,4207398
2023-06-09,181.71,182.83,181.0,182.35,182.35,3200319
2023-06-08,179.7,182.3,179.33,182.1,182.1,4036711
2023-06-07,180.71,181.74,179.7,180.11,180.11,5162657
2023-06-06,184.98,185.12,180.43,181.56,181.56,3975572
2023-06-05,183.85,186.17,183.61,184.19,184.19,4311675
2023-06-02,182.02,184.29,181.7,184.06,184.06,4288433
2023-06-01,182.42,182.69,180.8,182.19,182.19,5277433
2023-05-31,182.86,184.62,181.46,182.35,181.085,20414801
2023-05-30,182.055,183.09,180.7,181.61,180.3501,4331831
2023-05-26,183.71,184.25,182.395,183.58,182.3065,4449346
2023-05-25,182.7,184.22,181.95,183.8,182.5249,4712884
2023-05-24,186.27,186.74,184.37,184.89,183.6074,3721022
2023-05-23,186.49,186.63,184.59,186.07,184.7792,6382250
2023-05-22,191.19,191.39,186.41,186.64,185.3452,5786972
2023-05-19,192.46,192.86,191.1,191.84,190.5092,3883181
2023-05-18,191.32,191.71,190.41,191.56,190.2311,3709407
2023-05-17,193.31,193.585,190.84,192.06,190.7276,4878900
2023-05-16,194.48,194.48,192.54,193.43,192.0881,5803757
2023-05-15,196.57,196.88,194.0,194.27,192.9223,2946589
2023-05-12,195.34,196.22,194.95,196.12,194.7595,2740969
2023-05-11,194.28,195.52,192.9975,195.34,193.9849,3690431
2023-05-10,194.11,195.58,192.6749,194.27,192.9223,4352899
2023-05-09,193.86,194.67,192.71,194.14,192.7932,3087644
2023-05-08,193.4,194.0,192.65,193.35,192.0087,2249855
2023-05-05,192.82,194.48,192.39,194.27,192.9223,4146515
2023-05-04,193.08,193.95,192.155,193.38,192.0385,4267611
2023-05-03,192.58,193.25,191.78,192.18,190.8468,3389644
2023-05-02,191.36,192.5,189.75,192.25,190.9163,3712247
2023-05-01,190.45,192.325,190.28,191.68,190.3503,3137839
2023-04-28,189.9,191.62,189.64,190.89,189.5658,4608944
2023-04-27,188.18,189.95,187.51,189.69,188.3741,4574524
2023-04-26,188.48,189.42,187.87,188.54,187.2321,4481737
2023-04-25,186.56,190.18,186.24,189.71,188.3939,6231626
2023-04-24,186.5,186.57,185.02,185.5,184.2131,3540199
2023-04-21,185.99,186.38,185.13,185.41,184.1238,3781932
2023-04-20,184.84,186.035,184.2,185.33,184.0443,3868174
2023-04-19,185.24,185.32,184.255,184.72,183.4386,2209904
2023-04-18,184.77,185.2199,183.74,184.83,183.5478,2438554
2023-04-17,184.19,184.75,183.4808,184.45,183.1704,3224527
2023-04-14,183.335,184.02,182.9201,183.51,182.237,2573142
2023-04-13,182.62,184.61,182.105,184.38,183.1009,4303630
2023-04-12,182.69,183.78,182.25,182.56,181.2935,3620885
2023-04-11,183.42,183.88,182.76,182.92,181.651,3586784
2023-04-10,183.83,183.895,181.69,183.2,181.9291,2408256
2023-04-06,183.302,184.74,183.1,184.36,183.0811,3389758
2023-04-05,183.25,184.96,183.0604,183.64,182.3661,3826373
2023-04-04,182.18,183.36,181.1,181.85,180.5885,3306483
2023-04-03,181.9,182.76,180.4,182.5,181.234,3902505
2023-03-31,182.16,182.49,181.32,182.3,181.0353,4480030
2023-03-30,181.0,181.33,180.075,180.83,179.5755,2742969
2023-03-29,180.65,180.91,179.985,180.67,179.4167,4495971
2023-03-28,179.33,180.46,179.33,179.43,178.1853,2850005
2023-03-27,179.575,180.65,179.31,179.49,178.2448,4078583
2023-03-24,176.53,179.34,176.39,179.09,177.8476,3713938
2023-03-23,176.06,177.22,175.02,175.65,174.4315,4655692
2023-03-22,177.84,179.37,176.42,176.51,175.2855,4380780
2023-03-21,177.66,178.17,176.28,178.01,176.7751,3812191
2023-03-20,176.5,177.68,175.51,177.59,176.358,4366983
2023-03-17,176.51,176.69,174.23,175.13,173.9151,8854570
2023-03-16,176.61,177.0,175.32,176.51,175.2855,4734372
2023-03-15,173.53,176.66,173.185,176.63,175.4047,7099919
2023-03-14,172.49,173.81,171.57,173.53,172.3262,6480773
2023-03-13,172.76,177.23,172.61,173.71,172.5049,8265278
2023-03-10,172.53,174.24,170.96,172.03,170.8366,4129912
2023-03-09,173.62,174.36,171.2,171.8,170.6082,4042139
2023-03-08,172.68,173.36,171.78,173.11,171.9091,2920414
2023-03-07,173.67,174.255,171.87,172.64,171.4424,4095127
2023-03-06,172.22,173.66,172.22,173.5,172.2964,3611369
2023-03-03,173.0,173.45,171.33,173.15,171.9488,3627092
2023-03-02,170.51,173.76,169.78,173.32,172.1176,4476403
2023-03-01,172.32,172.46,169.12,171.33,168.9994,5359107
2023-02-28,174.88,175.06,173.195,173.53,171.1695,4317286
2023-02-27,176.97,177.25,175.65,175.91,173.5171,3208625
2023-02-24,175.46,176.33,174.29,175.96,173.5664,2959174
2023-02-23,176.66,176.99,174.99,176.31,173.9117,3801421
2023-02-22,176.72,177.43,175.77,176.12,173.7243,5299484
2023-02-21,175.58,177.41,174.67,176.18,173.7835,5797271
2023-02-17,175.155,176.42,174.83,176.28,173.8821,3952139
2023-02-16,174.74,176.9,174.54,175.51,173.1226,4973168
2023-02-15,175.0,176.05,174.59,176.01,173.6158,4125761
2023-02-14,177.1,177.245,174.79,175.77,173.379,5203003
2023-02-13,176.26,178.225,176.04,177.77,175.3518,5205130
2023-02-10,173.12,176.59,172.65,176.2,173.8032,6176023
2023-02-09,175.32,176.49,172.04,172.78,170.4297,9619391
2023-02-08,171.0,171.33,170.24,171.16,168.8317,5687332
2023-02-07,170.29,172.03,169.26,171.56,169.2263,6044700
2023-02-06,169.74,172.38,169.59,171.82,169.4828,5640124
2023-02-03,170.955,171.29,167.05,169.12,166.8195,5308238
2023-02-02,169.46,170.56,168.5101,169.97,167.6579,5653796
2023-02-01,170.88,172.32,169.51,171.56,169.2263,4147699
2023-01-31,170.2,171.07,169.32,171.02,168.6936,4665460
2023-01-30,169.78,171.455,169.14,169.48,167.1746,5191504
2023-01-27,169.77,170.23,168.58,169.62,167.3127,5451407
2023-01-26,171.635,171.67,170.04,170.22,167.9045,4558394
2023-01-25,170.34,171.98,169.34,171.93,169.5913,3852843
2023-01-24,169.61,170.87,168.45,170.69,168.3681,4125624
2023-01-23,170.01,170.755,168.715,169.12,166.8195,5440358
2023-01-20,168.945,169.89,167.46,169.88,167.5691,5779109
2023-01-19,171.28,172.17,169.4775,169.63,167.3226,4720383
2023-01-18,175.24,175.7384,171.33,171.62,169.2855,5032620
2023-01-17,176.15,177.5525,175.49,176.06,173.6651,5032644
2023-01-13,175.4,175.73,174.165,175.24,172.8562,4720397
2023-01-12,177.66,178.37,175.32,175.78,173.3889,4246606
2023-01-11,179.39,179.71,175.68,178.05,175.628,4370110
2023-01-10,178.79,179.53,177.09,177.85,175.4307,3817303
2023-01-09,180.44,182.77,178.81,179.33,176.8906,3319247
2023-01-06,178.81,181.83,178.8,181.1,178.6365,3713163
2023-01-05,177.96,178.77,176.86,177.1,174.6909,3647074
2023-01-04,179.41,180.54,177.55,178.97,176.5355,4771321
2023-01-03,180.59,180.75,176.57,179.41,176.9695,5137404
2022-12-30,181.38,181.96,179.29,180.66,178.2025,3136222
2022-12-29,181.92,182.86,181.89,181.98,179.5046,2549240
2022-12-28,184.1,184.5442,181.64,181.75,179.2777,2694335
2022-12-27,183.282,183.61,182.27,183.07,180.5797,3045045
2022-12-23,180.91,182.55,180.45,182.26,179.7807,2197807
2022-12-22,181.86,182.05,178.9166,181.09,178.6267,4305729
2022-12-21,181.55,183.68,181.4,182.5,180.0175,4237039
2022-12-20,181.815,182.25,180.64,181.23,178.7648,3249006
2022-12-19,180.86,183.47,180.35,181.34,178.8733,4447962
2022-12-16,180.08,181.19,178.48,180.34,177.8869,15708090
2022-12-15,181.98,182.712,178.39,180.25,177.7981,6128214
2022-12-14,184.07,185.88,182.13,183.36,180.8658,5392483
2022-12-13,186.48,186.84,182.94,183.87,181.3688,5634889
2022-12-12,184.18,184.18,182.355,183.97,181.4675,4691428
2022-12-09,184.21,184.21,183.05,183.1,180.6093,3116234
2022-12-08,181.81,183.98,181.26,183.78,181.2801,3800879
2022-12-07,181.81,182.45,180.69,182.18,179.7018,4241812
2022-12-06,183.75,184.29,180.695,181.63,179.1593,5835166
2022-12-05,183.43,183.94,182.32,183.12,180.629,4083270
2022-12-02,184.0,186.31,183.8394,185.69,183.1641,3547756
2022-12-01,185.48,186.33,184.155,185.9,183.3712,4683431
2022-11-30,181.9,185.7,180.24,185.51,181.8522,7915639
2022-11-29,183.3,183.42,181.02,182.59,178.9898,4375521
2022-11-28,184.4,185.4925,183.51,183.89,180.2641,6411433
2022-11-25,184.58,185.0,183.94,184.11,180.4798,1836993
2022-11-23,185.0,186.08,184.5,185.08,181.4307,2511122
2022-11-22,185.81,186.62,184.37,184.84,181.1954,4109601
2022-11-21,182.27,185.13,182.09,184.82,181.1758,4397577
2022-11-18,180.21,181.84,180.02,181.33,177.7546,4498176
2022-11-17,177.49,180.16,177.43,180.03,176.4802,3921298
2022-11-16,178.3,179.63,177.72,178.33,174.8138,4701109
2022-11-15,178.04,178.7,175.42,177.19,173.6962,5153752
2022-11-14,178.67,179.18,176.5,176.73,173.2453,5633044
