date,open,high,low,close,adjusted_close,volume
2023-07-31,14.19,14.98,14.19,14.27,14.27,2171
2023-07-28,14.61,14.62,14.17,14.31,14.31,6651
2023-07-27,14.09,14.71,14.09,14.5,14.5,7779
2023-07-26,13.53,14.6,13.4,14.39,14.39,13732
2023-07-25,14.15,14.16,13.99,13.99,13.99,4023
2023-07-24,14.185,14.185,14.09,14.17,14.17,4227
2023-07-21,13.93,14.0207,13.65,13.95,13.95,4828
2023-07-20,13.9,13.9,13.9,13.9,13.9,577
2023-07-19,13.94,13.9466,13.9,13.9,13.9,4275
2023-07-18,13.53,14.315,13.53,13.96,13.96,10554
2023-07-17,13.7088,13.75,13.7088,13.75,13.75,882
2023-07-14,13.2237,13.77,13.2237,13.71,13.71,18186
2023-07-13,13.225,13.41,13.17,13.355,13.355,3140
2023-07-12,12.85,13.311,12.85,13.25,13.25,18349
2023-07-11,12.83,13.2,12.67,12.85,12.85,6451
2023-07-10,12.2571,12.88,12.2571,12.83,12.83,6665
2023-07-07,12.6132,12.93,12.6132,12.93,12.93,2246
2023-07-06,12.87,12.93,12.7,12.7,12.7,2789
2023-07-05,12.75,13.04,12.75,12.9,12.9,2267
2023-07-03,12.75,12.75,12.75,12.75,12.75,30
2023-06-30,13.15,13.15,12.75,12.75,12.75,4519
2023-06-29,12.854,13.21,12.76,12.88,12.88,4911
2023-06-28,12.6,12.78,12.5999,12.78,12.78,12950
2023-06-27,12.45,12.74,12.45,12.74,12.74,5068
2023-06-26,12.28,12.42,12.27,12.42,12.42,1574
2023-06-23,12.177,12.39,12.17,12.27,12.27,10016
2023-06-22,12.15,12.2,12.1,12.145,12.145,2643
2023-06-21,12.52,12.6,12.01,12.06,12.06,9519
2023-06-20,12.4,12.4221,12.4,12.4,12.4,906
2023-06-16,12.44,12.5318,12.44,12.5,12.5,2279
2023-06-15,12.11,12.3354,12.06,12.29,12.29,4670
2023-06-14,12.31,12.31,12.11,12.29,12.29,1859
2023-06-13,12.32,12.45,12.1899,12.36,12.36,6432
2023-06-12,12.1,12.45,12.1,12.45,12.45,2451
2023-06-09,12.4678,12.6899,12.4678,12.51,12.51,8696
2023-06-08,12.44,12.59,12.22,12.59,12.59,3538
2023-06-07,12.04,12.37,12.04,12.36,12.36,1382
2023-06-06,12.27,12.3899,11.95,11.95,11.95,3569
2023-06-05,11.91,12.19,11.91,12.19,12.19,4704
2023-06-02,11.9,12.1527,11.9,12.11,12.11,16269
2023-06-01,11.8601,12.0524,11.8601,11.9,11.9,2170
2023-05-31,11.84,11.84,11.84,11.84,11.84,658
2023-05-30,12.0,12.0,12.0,12.0,12.0,1102
2023-05-26,12.0,12.0,12.0,12.0,12.0,648
2023-05-25,11.96,11.99,11.91,11.99,11.99,1778
2023-05-24,11.95,11.95,11.95,11.95,11.95,402
2023-05-23,11.63,11.82,11.61,11.81,11.81,1831
2023-05-22,11.66,11.94,11.65,11.75,11.75,6343
2023-05-19,11.94,12.0,11.72,11.72,11.72,3812
2023-05-18,12.03,12.04,11.72,11.72,11.72,6348
2023-05-17,12.26,12.4,11.93,11.93,11.93,6804
2023-05-16,12.52,12.52,12.2828,12.29,12.15,3139
2023-05-15,12.59,12.59,12.405,12.46,12.3181,4784
2023-05-12,12.4392,12.59,12.4392,12.58,12.4367,3633
2023-05-11,12.76,12.88,12.64,12.76,12.6146,3652
2023-05-10,12.5,12.78,12.46,12.66,12.5158,4009
2023-05-09,12.65,12.771,12.6,12.65,12.5059,2380
2023-05-08,12.75,12.97,12.62,12.62,12.4762,8109
2023-05-05,13.01,13.01,12.64,12.89,12.7432,3771
2023-05-04,13.0399,13.0399,12.75,12.815,12.669,2950
2023-05-03,13.12,13.2987,13.0,13.0,12.8519,6250
2023-05-02,13.4194,13.6255,13.11,13.25,13.0991,9537
2023-05-01,13.58,13.7717,13.35,13.35,13.1979,6028
2023-04-28,13.7461,13.8,13.7461,13.8,13.6428,2825
2023-04-27,13.89,13.89,13.6,13.81,13.6527,9546
2023-04-26,13.5,13.85,13.5,13.82,13.6626,13385
2023-04-25,13.55,13.55,13.55,13.55,13.3956,164
2023-04-24,13.41,13.55,13.41,13.55,13.3956,1554
2023-04-21,13.51,13.5765,13.51,13.52,13.366,2086
2023-04-20,13.536,13.55,13.33,13.36,13.2078,3343
2023-04-19,13.5,13.5095,13.5,13.5,13.3462,2810
2023-04-18,13.45,13.6,13.45,13.52,13.366,2194
2023-04-17,13.69,13.7,13.39,13.39,13.2375,4984
2023-04-14,13.43,13.69,13.43,13.57,13.4154,4438
2023-04-13,13.5,13.65,13.42,13.43,13.277,2173
2023-04-12,13.37,13.65,13.37,13.65,13.4945,781
2023-04-11,13.45,13.45,13.45,13.45,13.2968,245
2023-04-10,13.36,13.6,13.36,13.5,13.3462,2776
2023-04-06,13.5,13.5,13.489,13.49,13.3363,4041
2023-04-05,13.55,13.55,13.42,13.42,13.2671,3303
2023-04-04,13.67,13.67,13.53,13.53,13.3759,2151
2023-04-03,13.7,13.7958,13.51,13.51,13.3561,2120
2023-03-31,13.73,13.8375,13.63,13.63,13.4747,4173
2023-03-30,13.7,13.9,13.51,13.525,13.3709,2784
2023-03-29,13.62,13.86,13.411,13.69,13.5341,4988
2023-03-28,13.57,13.76,13.55,13.55,13.3956,1458
2023-03-27,13.68,13.68,13.35,13.65,13.4945,1490
2023-03-24,13.6883,13.6883,13.55,13.625,13.4698,2533
2023-03-23,13.36,13.44,13.36,13.44,13.2869,953
2023-03-22,13.713,13.75,13.4,13.42,13.2671,5654
2023-03-21,13.7,13.76,13.7,13.76,13.6033,1570
2023-03-20,13.85,13.9799,13.385,13.53,13.3759,7320
2023-03-17,13.6,13.72,13.5,13.51,13.3561,13256
2023-03-16,13.8,14.07,13.58,13.61,13.455,11845
2023-03-15,13.89,13.98,13.89,13.94,13.7812,4031
2023-03-14,14.245,14.245,13.8,13.8,13.6428,21654
2023-03-13,14.01,14.01,13.5,13.569,13.4144,16187
2023-03-10,14.12,14.4,13.81,14.17,14.0086,12011
2023-03-09,14.31,14.31,14.12,14.125,13.9641,6409
2023-03-08,14.18,14.3,14.12,14.27,14.1074,5856
2023-03-07,14.21,14.215,14.12,14.18,14.0185,5679
2023-03-06,14.25,14.26,14.12,14.17,14.0086,2959
2023-03-03,14.17,14.22,14.08,14.08,13.9196,26034
2023-03-02,14.12,14.12,14.12,14.12,13.9592,404
2023-03-01,14.0814,14.12,14.0814,14.12,13.9592,2393
