date,open,high,low,close,adjusted_close,volume
2023-07-31,6.46,6.47,6.32,6.36,6.36,2814500
2023-07-28,6.55,6.56,6.43,6.46,6.46,2410900
2023-07-27,6.57,6.6,6.52,6.53,6.53,1009200
2023-07-26,6.54,6.59,6.51,6.57,6.57,1161700
2023-07-25,6.61,6.67,6.6,6.6,6.54,1872300
2023-07-24,6.6,6.69,6.59,6.65,6.5895,1766600
2023-07-21,6.55,6.61,6.52,6.59,6.5301,1138505
2023-07-20,6.56,6.57,6.5,6.55,6.4905,1374017
2023-07-19,6.55,6.57,6.51,6.55,6.4905,1097003
2023-07-18,6.47,6.57,6.47,6.51,6.4508,1066185
2023-07-17,6.42,6.49,6.4,6.47,6.4112,920707
2023-07-14,6.53,6.53,6.37,6.42,6.3616,1258777
2023-07-13,6.48,6.52,6.47,6.5,6.4409,1090089
2023-07-12,6.46,6.51,6.46,6.46,6.4013,1017812
2023-07-11,6.37,6.45,6.37,6.43,6.3715,1324517
2023-07-10,6.31,6.39,6.27,6.34,6.2824,1115943
2023-07-07,6.2,6.31,6.2,6.3,6.2427,1004949
2023-07-06,6.22,6.22,6.14,6.19,6.1337,1364254
2023-07-05,6.22,6.26,6.19,6.23,6.1734,1211094
2023-07-03,6.2,6.25,6.185,6.23,6.1734,656228
2023-06-30,6.25,6.29,6.19,6.2,6.1436,1106483
2023-06-29,6.17,6.23,6.165,6.22,6.1635,842401
2023-06-28,6.15,6.19,6.13,6.17,6.1139,1126454
2023-06-27,6.14,6.19,6.115,6.16,6.104,1159518
2023-06-26,6.12,6.22,6.11,6.2,6.0842,1111500
2023-06-23,6.12,6.1392,6.09,6.1,5.986,1288323
2023-06-22,6.16,6.1986,6.13,6.15,6.0351,1452505
2023-06-21,6.18,6.21,6.15,6.17,6.0547,1242247
2023-06-20,6.21,6.235,6.19,6.2,6.0842,1114962
2023-06-16,6.28,6.3,6.22,6.23,6.1136,1795824
2023-06-15,6.24,6.3,6.22,6.28,6.1627,1231086
2023-06-14,6.3,6.33,6.23,6.23,6.1136,1128177
2023-06-13,6.27,6.31,6.25,6.29,6.1725,1020937
2023-06-12,6.26,6.29,6.24,6.26,6.1431,1002914
2023-06-09,6.35,6.35,6.24,6.26,6.1431,1155738
2023-06-08,6.38,6.38,6.3,6.32,6.2019,975041
2023-06-07,6.3,6.41,6.295,6.38,6.2608,1464640
2023-06-06,6.27,6.32,6.24,6.29,6.1725,1087699
2023-06-05,6.26,6.32,6.25,6.28,6.1627,1423512
2023-06-02,6.23,6.29,6.21,6.27,6.1529,1370254
2023-06-01,6.19,6.23,6.17,6.22,6.1038,1270046
2023-05-31,6.22,6.24,6.09,6.16,6.0449,1489689
2023-05-30,6.27,6.27,6.2,6.24,6.1234,1387068
2023-05-26,6.22,6.28,6.195,6.26,6.1431,1157802
2023-05-25,6.27,6.285,6.17,6.21,6.094,1387472
2023-05-24,6.42,6.45,6.33,6.36,6.1823,1223995
2023-05-23,6.47,6.55,6.45,6.46,6.2795,1509235
2023-05-22,6.38,6.44,6.3315,6.43,6.2504,1380471
2023-05-19,6.39,6.43,6.32,6.34,6.1629,1413740
2023-05-18,6.35,6.39,6.28,6.36,6.1823,1556277
2023-05-17,6.17,6.37,6.15,6.36,6.1823,1964458
2023-05-16,6.09,6.16,6.08,6.11,5.9393,1134818
2023-05-15,6.09,6.19,6.07,6.11,5.9393,1208950
2023-05-12,6.23,6.2411,6.05,6.08,5.9101,1936107
2023-05-11,6.25,6.32,6.18,6.23,6.0559,1453067
2023-05-10,6.36,6.36,6.2,6.27,6.0948,1223484
2023-05-09,6.33,6.39,6.22,6.33,6.1532,1312801
2023-05-08,6.31,6.43,6.29,6.38,6.2018,1073805
2023-05-05,6.2199,6.32,6.1899,6.29,6.1143,1290100
2023-05-04,6.21,6.225,6.05,6.1,5.9296,2112098
2023-05-03,6.22,6.35,6.205,6.28,6.1045,1893958
2023-05-02,6.59,6.59,5.92,6.22,6.0462,6916183
2023-05-01,6.82,6.83,6.59,6.59,6.4059,3078088
2023-04-28,6.77,6.84,6.74,6.81,6.6197,980263
2023-04-27,6.7,6.78,6.68,6.77,6.5809,1090427
2023-04-26,6.71,6.74,6.65,6.68,6.4934,1056500
2023-04-25,6.77,6.8,6.7,6.7,6.5128,1264476
2023-04-24,6.87,6.9,6.765,6.88,6.6295,1596224
2023-04-21,6.81,6.88,6.78,6.87,6.6198,1277417
2023-04-20,6.85,6.885,6.79,6.82,6.5716,1186083
2023-04-19,6.82,6.9,6.79,6.88,6.6295,1172733
2023-04-18,6.96,6.96,6.76,6.83,6.5813,1376231
2023-04-17,6.88,6.95,6.85,6.94,6.6873,796054
2023-04-14,6.94,6.99,6.85,6.89,6.6391,1107992
2023-04-13,6.82,6.91,6.7932,6.91,6.6584,923140
2023-04-12,6.85,6.9,6.81,6.81,6.562,1025486
2023-04-11,6.77,6.83,6.74,6.81,6.562,1214595
2023-04-10,6.81,6.8799,6.7,6.75,6.5042,1498065
2023-04-06,6.8,6.87,6.7823,6.84,6.5909,1068188
2023-04-05,6.77,6.82,6.75,6.78,6.5331,1057623
2023-04-04,6.94,6.94,6.76,6.79,6.5427,1610970
2023-04-03,6.95,6.99,6.89,6.91,6.6584,1332810
2023-03-31,6.955,6.97,6.91,6.96,6.7065,1427485
2023-03-30,6.92,6.9366,6.86,6.89,6.6391,1056026
2023-03-29,6.91,6.93,6.85,6.9,6.6487,1241271
2023-03-28,6.9,6.94,6.8401,6.88,6.6295,1002374
2023-03-27,6.89,7.01,6.89,7.0,6.6873,1358444
2023-03-24,6.74,6.865,6.665,6.85,6.544,1285148
2023-03-23,6.81,6.935,6.755,6.78,6.4771,1357984
2023-03-22,7.02,7.04,6.81,6.81,6.5058,1593268
2023-03-21,6.96,7.025,6.92,7.01,6.6968,1570302
2023-03-20,6.74,6.9,6.74,6.82,6.5153,2049531
2023-03-17,6.8,6.83,6.66,6.72,6.4198,2614865
2023-03-16,6.73,6.86,6.565,6.8,6.4962,1544834
2023-03-15,6.68,6.76,6.63,6.7,6.4007,2294668
2023-03-14,6.83,6.97,6.76,6.82,6.5153,1627425
2023-03-13,6.65,6.795,6.41,6.67,6.372,3222283
2023-03-10,6.99,6.99,6.68,6.78,6.4771,4471770
2023-03-09,7.27,7.3139,6.98,6.98,6.6682,2044948
2023-03-08,7.3,7.31,7.25,7.3,6.9739,903007
2023-03-07,7.37,7.3899,7.28,7.29,6.9643,1095147
2023-03-06,7.41,7.44,7.36,7.37,7.0407,873591
2023-03-03,7.35,7.41,7.335,7.4,7.0694,918409
2023-03-02,7.28,7.33,7.24,7.32,6.993,1174691
2023-03-01,7.4,7.44,7.265,7.3,6.9739,1718091
2023-02-28,7.44,7.49,7.3908,7.41,7.079,1016397
2023-02-27,7.49,7.56,7.44,7.46,7.1267,1047169
2023-02-24,7.47,7.5599,7.41,7.43,7.0981,1051761
2023-02-23,7.53,7.59,7.47,7.52,7.184,1030379
2023-02-22,7.5,7.62,7.5,7.55,7.1554,1344198
2023-02-21,7.64,7.68,7.49,7.54,7.1459,2032226
2023-02-17,7.62,7.695,7.5811,7.66,7.2596,1074413
2023-02-16,7.6,7.68,7.5731,7.63,7.2312,1453777
2023-02-15,7.6,7.65,7.56,7.65,7.2502,872170
2023-02-14,7.62,7.68,7.58,7.62,7.2217,1006354
2023-02-13,7.56,7.66,7.56,7.64,7.2407,1128732
2023-02-10,7.47,7.56,7.42,7.55,7.1554,989367
2023-02-09,7.52,7.68,7.41,7.46,7.0701,1455514
2023-02-08,7.46,7.51,7.38,7.38,6.9943,1176885
2023-02-07,7.48,7.53,7.44,7.51,7.1175,1081907
2023-02-06,7.61,7.61,7.41,7.46,7.0701,1515204
2023-02-03,7.6,7.64,7.57,7.63,7.2312,1061661
2023-02-02,7.61,7.69,7.57,7.65,7.2502,1477393
2023-02-01,7.49,7.63,7.45,7.57,7.1743,1263934
2023-01-31,7.49,7.505,7.42,7.5,7.108,963907
2023-01-30,7.5,7.5692,7.42,7.43,7.0417,1053106
2023-01-27,7.51,7.59,7.505,7.55,7.1554,1354330
2023-01-26,7.51,7.54,7.475,7.52,7.127,1107037
2023-01-25,7.53,7.55,7.5,7.53,7.0796,1049394
2023-01-24,7.55,7.62,7.5308,7.57,7.1172,1195670
2023-01-23,7.52,7.59,7.481,7.58,7.1266,1169374
2023-01-20,7.37,7.48,7.3284,7.48,7.0326,1240574
2023-01-19,7.37,7.44,7.33,7.34,6.9009,1342199
2023-01-18,7.43,7.47,7.3691,7.39,6.9479,1090823
2023-01-17,7.4,7.48,7.3293,7.42,6.9761,1493728
2023-01-13,7.29,7.4,7.245,7.36,6.9197,1042504
