date,open,high,low,close,adjusted_close,volume
2023-07-31,15.82,15.99,15.82,15.98,15.98,112800
2023-07-28,15.94,16.2,15.8,15.82,15.82,166500
2023-07-27,16.34,16.42,15.76,15.84,15.84,180100
2023-07-26,16.62,16.87,16.29,16.31,16.31,327400
2023-07-25,16.4,17.0,16.34,16.72,16.72,299100
2023-07-24,15.85,16.43,15.76,16.4,16.4,467200
2023-07-21,16.47,16.47,15.91,15.95,15.95,130200
2023-07-20,16.65,16.65,16.23,16.34,16.34,146300
2023-07-19,16.56,16.67,16.35,16.59,16.59,123400
2023-07-18,16.43,16.82,16.43,16.56,16.56,127400
2023-07-17,16.39,16.62,16.39,16.48,16.48,121400
2023-07-14,16.22,16.51,16.09,16.47,16.47,120400
2023-07-13,16.08,16.26,16.02,16.22,16.22,129400
2023-07-12,16.39,16.48,16.02,16.04,16.04,213800
2023-07-11,15.98,16.24,15.98,16.21,16.21,102800
2023-07-10,15.9,16.25,15.79,15.98,15.98,113300
2023-07-07,15.88,16.06,15.88,15.97,15.97,179100
2023-07-06,15.8,15.8,15.54,15.78,15.78,130900
2023-07-05,15.87,16.03,15.71,15.91,15.91,208800
2023-07-03,15.65,16.0,15.63,15.95,15.95,113300
2023-06-30,15.98,15.98,15.7,15.71,15.71,122300
2023-06-29,15.73,16.08,15.73,15.8,15.8,142200
2023-06-28,15.68,15.81,15.52,15.73,15.73,109100
2023-06-27,15.8,16.07,15.62,15.64,15.64,133100
2023-06-26,15.82,16.0,15.71,15.71,15.71,126300
2023-06-23,16.06,16.36,15.82,15.89,15.89,296600
2023-06-22,16.16,16.34,15.84,16.19,16.19,222300
2023-06-21,16.17,16.36,16.0,16.14,16.14,149300
2023-06-20,16.01,16.41,15.99,16.14,16.14,213000
2023-06-16,16.12,16.15,15.75,16.01,16.01,1209100
2023-06-15,15.92,16.08,15.71,15.9,15.9,235800
2023-06-14,16.63,16.72,15.83,15.94,15.94,213300
2023-06-13,17.0,17.03,16.7,16.71,16.71,138200
2023-06-12,16.85,16.95,16.82,16.85,16.85,162000
2023-06-09,16.82,17.07,16.62,16.88,16.88,171100
2023-06-08,17.2,17.2,16.79,16.82,16.82,152100
2023-06-07,16.65,17.24,16.65,17.2,17.2,208500
2023-06-06,16.05,16.65,16.05,16.58,16.58,141100
2023-06-05,16.03,16.32,15.94,15.98,15.98,154100
2023-06-02,15.63,16.2,15.6,16.17,16.17,194100
2023-06-01,15.33,15.54,15.2,15.46,15.46,135200
2023-05-31,15.38,15.46,15.22,15.28,15.28,221300
2023-05-30,15.57,15.59,15.34,15.42,15.42,113900
2023-05-26,15.34,15.68,15.34,15.57,15.57,81800
2023-05-25,15.59,15.71,15.34,15.37,15.37,74400
2023-05-24,15.87,15.99,15.7,15.71,15.71,175700
2023-05-23,15.8,16.22,15.71,15.95,15.95,163300
2023-05-22,15.48,15.89,15.45,15.77,15.77,103100
2023-05-19,15.6,15.6,15.3,15.47,15.47,127600
2023-05-18,15.14,15.41,15.01,15.39,15.39,112700
2023-05-17,14.93,15.19,14.78,15.13,15.13,154000
2023-05-16,15.14,15.26,14.89,15.0,14.86,108000
2023-05-15,15.07,15.24,15.02,15.23,15.0879,174200
2023-05-12,14.84,15.08,14.84,15.06,14.9194,110600
2023-05-11,14.78,14.92,14.48,14.85,14.7114,157300
2023-05-10,14.66,14.9,14.42,14.83,14.6916,225400
2023-05-09,14.45,14.64,14.16,14.48,14.3449,184800
2023-05-08,14.6,14.6,14.28,14.46,14.325,112800
2023-05-05,14.43,14.64,14.28,14.59,14.4538,148400
2023-05-04,14.23,14.35,14.03,14.28,14.1467,153700
2023-05-03,14.37,14.64,14.32,14.36,14.226,194100
2023-05-02,14.53,14.75,14.03,14.29,14.1566,419400
2023-05-01,14.46,14.8,14.35,14.54,14.4043,299200
2023-04-28,14.53,14.76,14.44,14.59,14.4538,194900
2023-04-27,14.33,14.55,14.29,14.5,14.3647,157900
2023-04-26,14.39,14.6,14.22,14.33,14.1963,196200
2023-04-25,14.86,14.92,14.41,14.46,14.325,285400
2023-04-24,15.02,15.2,14.88,14.9,14.7609,350100
2023-04-21,15.27,15.27,15.01,15.03,14.8897,311300
2023-04-20,15.31,15.5,15.13,15.27,15.1275,164700
2023-04-19,15.59,15.6,15.3,15.34,15.1968,133900
2023-04-18,15.92,16.04,15.57,15.59,15.4445,214100
2023-04-17,15.79,16.05,15.79,15.87,15.7219,190600
2023-04-14,15.89,16.08,15.62,15.76,15.6129,232100
2023-04-13,15.73,16.03,15.6,15.89,15.7417,194900
2023-04-12,15.91,15.91,15.58,15.63,15.4841,217400
2023-04-11,15.85,16.01,15.54,15.8,15.6525,353700
2023-04-10,15.63,16.08,15.61,15.89,15.7417,214100
2023-04-06,15.27,16.09,15.27,15.71,15.5634,308800
2023-04-05,15.1,15.85,14.11,15.29,15.1473,801600
2023-04-04,17.15,17.15,16.46,16.62,16.4649,269200
2023-04-03,17.13,17.23,16.88,17.09,16.9305,149200
2023-03-31,16.9,17.1,16.88,17.06,16.9008,256100
2023-03-30,16.97,17.02,16.8,16.87,16.7125,152400
2023-03-29,17.16,17.18,16.74,16.84,16.6828,212200
2023-03-28,17.34,17.49,17.03,17.14,16.98,126400
2023-03-27,17.3,17.45,17.27,17.35,17.1881,186900
2023-03-24,16.93,17.24,16.72,17.09,16.9305,264600
2023-03-23,17.52,17.83,16.88,16.9,16.7423,187900
2023-03-22,17.63,17.99,17.5,17.51,17.3466,244800
2023-03-21,17.49,17.73,17.37,17.61,17.4456,212000
2023-03-20,17.32,17.6,17.28,17.32,17.1583,210700
2023-03-17,17.65,17.85,17.1,17.15,16.9899,1430200
2023-03-16,17.41,17.89,17.13,17.79,17.624,313300
2023-03-15,17.81,17.81,17.34,17.55,17.3862,284000
2023-03-14,17.83,18.26,17.74,17.86,17.6933,260300
2023-03-13,17.5,18.23,17.29,17.49,17.3268,296500
2023-03-10,17.75,17.87,17.57,17.64,17.4754,185000
2023-03-09,17.79,18.03,17.79,17.84,17.6735,124300
2023-03-08,17.82,17.91,17.56,17.74,17.5744,127300
2023-03-07,17.99,17.99,17.57,17.78,17.6141,160200
2023-03-06,18.25,18.45,17.79,17.92,17.7527,142300
2023-03-03,18.06,18.34,17.88,18.27,18.0995,160600
2023-03-02,18.19,18.19,17.87,18.02,17.8518,126400
2023-03-01,18.1,18.26,17.96,18.13,17.9608,113400
2023-02-28,17.95,18.2,17.95,18.06,17.8914,218400
2023-02-27,18.17,18.39,17.93,17.95,17.7825,163700
2023-02-24,18.12,18.12,17.88,18.05,17.8815,276200
2023-02-23,18.17,18.38,18.11,18.3,18.1292,142800
2023-02-22,17.99,18.14,17.92,18.05,17.8815,242600
2023-02-21,18.14,18.22,18.0,18.01,17.8419,140900
2023-02-17,18.36,18.48,18.17,18.3,18.1292,137200
2023-02-16,17.96,18.36,17.93,18.26,18.0896,163500
2023-02-15,17.82,18.17,17.72,18.15,17.9806,104100
2023-02-14,18.09,18.27,17.95,18.07,17.7627,113400
2023-02-13,17.84,18.16,17.76,18.1,17.7921,175400
2023-02-10,17.62,17.86,17.62,17.78,17.4776,123500
2023-02-09,17.95,18.04,17.59,17.69,17.3891,165400
2023-02-08,18.04,18.04,17.78,17.8,17.4972,124000
2023-02-07,17.97,18.12,17.67,18.04,17.7332,189100
2023-02-06,18.02,18.16,17.8,18.09,17.7823,205000
2023-02-03,18.01,18.33,17.78,18.1,17.7921,222600
2023-02-02,17.69,18.08,17.37,18.08,17.7725,249600
2023-02-01,17.27,17.9,17.11,17.73,17.4284,315600
2023-01-31,16.77,17.29,16.75,17.27,16.9763,273200
2023-01-30,16.76,16.94,16.62,16.63,16.3471,130700
2023-01-27,16.93,16.99,16.83,16.85,16.5634,111000
2023-01-26,16.9,16.94,16.64,16.93,16.642,121000
2023-01-25,16.72,16.81,16.49,16.8,16.5143,107600
2023-01-24,16.5,16.84,16.44,16.78,16.4946,110700
2023-01-23,16.71,16.84,16.47,16.64,16.357,209700
2023-01-20,16.96,17.0,16.39,16.57,16.2882,277000
2023-01-19,16.84,17.21,16.82,16.88,16.5929,257600
2023-01-18,17.48,17.8,16.95,16.99,16.701,330400
2023-01-17,17.82,17.82,17.41,17.48,17.1827,196900
2023-01-13,17.55,17.79,17.48,17.64,17.34,124900
2023-01-12,17.71,17.97,17.51,17.67,17.3695,272200
2023-01-11,17.47,17.66,17.34,17.62,17.3203,230000
2023-01-10,17.02,17.55,17.01,17.41,17.1139,320400
2023-01-09,17.12,17.57,17.01,17.04,16.7502,273800
2023-01-06,15.39,16.99,15.39,16.95,16.6617,388100
2023-01-05,17.88,17.88,15.38,15.42,15.1577,774000
2023-01-04,18.67,18.74,18.48,18.62,18.3033,158200
2023-01-03,18.6,18.74,18.39,18.54,18.2247,184800
2022-12-30,18.44,18.46,18.26,18.38,18.0674,85500
2022-12-29,18.47,18.63,18.41,18.5,18.1853,83600
2022-12-28,18.64,18.68,18.27,18.32,18.0084,81400
2022-12-27,18.57,18.68,18.4,18.56,18.2443,101400
2022-12-23,18.46,18.61,18.46,18.52,18.205,84300
2022-12-22,18.47,18.58,18.15,18.46,18.146,84000
2022-12-21,18.59,18.88,18.55,18.65,18.3328,89300
2022-12-20,18.25,18.66,18.1,18.49,18.1755,107500
2022-12-19,18.46,18.69,18.16,18.24,17.9298,118800
2022-12-16,18.56,18.77,18.24,18.36,18.0477,568700
2022-12-15,19.02,19.05,18.14,18.63,18.3131,397300
2022-12-14,18.82,19.44,18.76,19.18,18.8538,208600
2022-12-13,19.13,19.38,18.73,18.8,18.4802,258900
2022-12-12,19.05,19.08,18.7,18.72,18.4016,194600
2022-12-09,19.19,19.54,18.99,19.0,18.6768,123300
2022-12-08,19.09,19.39,19.0,19.24,18.9128,174400
2022-12-07,19.16,19.35,19.03,19.04,18.7162,140500
2022-12-06,19.25,19.54,19.2,19.28,18.9521,136600
2022-12-05,19.12,19.26,18.96,19.22,18.8931,101400
2022-12-02,19.11,19.41,19.06,19.24,18.9128,67200
2022-12-01,19.39,19.48,19.06,19.36,19.0307,89500
2022-11-30,19.11,19.34,18.69,19.3,18.9717,285100
2022-11-29,19.17,19.27,19.03,19.05,18.726,92400
2022-11-28,19.27,19.42,19.04,19.11,18.785,132300
2022-11-25,19.21,19.55,19.21,19.3,18.9717,40100
2022-11-23,19.59,19.59,19.15,19.18,18.8538,78700
2022-11-22,19.49,19.56,19.19,19.49,19.1585,109900
2022-11-21,19.21,19.72,19.1,19.38,19.0504,155100
2022-11-18,19.53,19.74,18.99,19.03,18.7063,141500
2022-11-17,18.55,19.16,18.51,19.14,18.8145,102500
2022-11-16,18.94,18.94,18.58,18.74,18.4213,109300
2022-11-15,19.54,19.83,19.0,19.03,18.5687,181700
2022-11-14,18.39,18.91,18.18,18.59,18.1394,144100
2022-11-11,19.0,19.1,18.31,18.4,17.954,125400
2022-11-10,18.6,19.07,18.56,18.93,18.4711,124200
2022-11-09,18.09,18.44,18.05,18.24,17.7979,165700
2022-11-08,18.35,18.55,17.97,18.14,17.7003,198000
2022-11-07,18.09,18.39,18.05,18.2,17.7588,132400
2022-11-04,18.1,18.1,17.67,18.04,17.6027,170300
2022-11-03,17.92,18.16,17.74,17.82,17.388,106800
2022-11-02,18.64,18.64,17.9,18.06,17.6222,147800
2022-11-01,18.61,18.9,18.45,18.64,18.1882,178200
2022-10-31,18.21,18.51,18.21,18.27,17.8271,161400
2022-10-28,17.96,18.6,17.9,18.55,18.1003,121900
2022-10-27,17.89,18.26,17.57,17.96,17.5246,115700
2022-10-26,17.98,18.2,17.63,17.87,17.4368,106100
2022-10-25,17.82,18.06,17.64,17.83,17.3978,174800
2022-10-24,17.88,17.98,17.67,17.81,17.3783,99600
2022-10-21,17.76,17.88,17.45,17.76,17.3295,189000
2022-10-20,18.2,18.32,17.55,17.73,17.3002,153400
2022-10-19,17.98,18.28,17.87,18.23,17.7881,171600
2022-10-18,18.05,18.29,18.01,18.13,17.6905,138800
2022-10-17,17.85,18.04,17.5,17.72,17.2905,168900
2022-10-14,17.66,17.72,17.29,17.57,17.1441,264300
2022-10-13,16.76,17.65,16.24,17.58,17.1539,243500
2022-10-12,16.6,17.36,16.52,17.07,16.6562,239400
2022-10-11,16.22,16.62,16.12,16.48,16.0805,341800
2022-10-10,15.91,16.97,15.88,16.32,15.9244,440300
2022-10-07,16.07,16.2,15.7,15.85,15.4658,505700
2022-10-06,17.0,17.51,15.69,16.18,15.7878,587100
2022-10-05,18.41,18.59,17.95,17.96,17.5246,427400
2022-10-04,18.61,18.91,18.61,18.73,18.276,190800
2022-10-03,18.27,18.43,18.07,18.34,17.8954,218800
2022-09-30,17.86,18.34,17.79,18.07,17.632,220400
2022-09-29,17.81,17.95,17.43,17.88,17.4466,182800
2022-09-28,17.61,18.12,17.55,17.95,17.5149,163600
2022-09-27,17.89,18.09,17.54,17.63,17.2026,106900
2022-09-26,17.42,18.05,17.42,17.67,17.2417,144900
2022-09-23,17.78,17.8,17.42,17.53,17.1051,223300
2022-09-22,18.86,18.86,18.09,18.13,17.6905,203800
2022-09-21,19.02,19.36,18.97,19.06,18.598,176800
2022-09-20,19.08,19.08,18.69,18.93,18.4711,180700
2022-09-19,18.79,19.39,18.79,19.35,18.8809,120900
2022-09-16,19.07,19.18,18.69,18.96,18.5004,466200
2022-09-15,19.22,19.43,18.97,19.15,18.6858,159700
2022-09-14,19.02,19.47,19.02,19.33,18.8614,177700
2022-09-13,19.61,19.61,18.88,18.98,18.5199,175700
2022-09-12,19.52,19.74,19.37,19.69,19.2127,141300
2022-09-09,19.31,19.59,19.31,19.5,19.0273,103500
2022-09-08,19.37,19.53,19.12,19.18,18.7151,111400
2022-09-07,19.67,19.75,19.39,19.47,18.998,239700
2022-09-06,19.41,19.63,19.13,19.53,19.0566,219500
2022-09-02,19.83,19.86,19.24,19.39,18.92,108300
2022-09-01,19.49,20.05,19.49,19.64,19.1639,225500
2022-08-31,19.87,19.95,19.46,19.54,19.0663,345400
2022-08-30,20.34,20.34,19.69,19.87,19.3883,161100
2022-08-29,20.25,20.58,20.11,20.36,19.8665,99900
2022-08-26,21.0,21.23,20.42,20.47,19.9738,130200
2022-08-25,20.75,21.24,20.63,21.12,20.608,180500
2022-08-24,20.61,20.81,20.27,20.69,20.1885,166600
2022-08-23,20.76,21.18,20.47,20.47,19.9738,231300
2022-08-22,21.13,21.29,20.87,20.97,20.3251,211000
2022-08-19,21.51,21.67,21.08,21.24,20.5868,237100
2022-08-18,21.46,21.72,21.41,21.6,20.9357,135400
2022-08-17,21.27,21.89,21.12,21.39,20.7322,141900
2022-08-16,21.31,21.8,21.05,21.48,20.8194,377700
2022-08-15,20.93,21.31,20.71,21.27,20.6158,195100
2022-08-12,20.96,21.35,20.69,21.28,20.6255,178300
2022-08-11,20.55,21.18,20.5,20.79,20.1506,264100
2022-08-10,20.31,20.78,20.31,20.48,19.8501,182400
2022-08-09,20.57,20.75,19.94,20.05,19.4334,325300
2022-08-08,21.09,21.1,20.44,20.62,19.9858,206800
2022-08-05,21.13,21.41,20.9,20.95,20.3057,296700
2022-08-04,21.49,21.74,21.2,21.3,20.6449,204700
2022-08-03,22.09,22.11,21.17,21.69,21.0229,249400
2022-08-02,21.55,22.03,21.45,21.89,21.2168,369500
2022-08-01,21.25,22.2,20.36,22.0,21.3234,750600
2022-07-29,20.72,23.18,20.4,21.46,20.8,1002300
2022-07-28,20.73,20.75,20.2,20.25,19.6272,284100
2022-07-27,20.17,20.59,20.02,20.49,19.8598,257500
2022-07-26,19.93,20.21,19.87,19.99,19.3752,179500
2022-07-25,20.1,20.29,19.71,20.09,19.4721,207600
2022-07-22,20.15,20.23,19.69,19.81,19.2007,170900
2022-07-21,20.0,20.19,19.62,20.19,19.5691,178800
2022-07-20,20.23,20.34,19.93,20.14,19.5206,229000
2022-07-19,20.04,20.65,19.75,20.36,19.7338,296100
2022-07-18,19.8,20.31,19.74,19.8,19.1911,143000
2022-07-15,19.76,19.88,19.27,19.62,19.0166,164300
2022-07-14,19.8,19.89,19.11,19.43,18.8324,196100
2022-07-13,19.52,20.04,19.23,19.98,19.3655,261000
2022-07-12,20.74,20.93,19.63,19.72,19.1135,350500
2022-07-11,21.05,21.21,20.65,20.75,20.1118,215800
2022-07-08,20.94,21.27,20.77,21.13,20.4802,289600
2022-07-07,20.8,21.34,20.65,21.05,20.4026,331300
2022-07-06,20.57,21.07,20.27,20.77,20.1312,249600
2022-07-05,20.35,20.59,19.76,20.58,19.9471,430300
2022-07-01,20.34,20.93,20.01,20.67,20.0343,291300
2022-06-30,19.05,20.54,19.05,20.37,19.7435,359900
2022-06-29,20.09,20.17,19.09,19.44,18.8421,416500
2022-06-28,21.41,21.62,20.1,20.17,19.5497,512000
