date,open,high,low,close,adjusted_close,volume
2023-07-31,7.11,7.395,7.09,7.37,7.37,4813200
2023-07-28,6.85,7.13,6.85,7.1,7.1,4367000
2023-07-27,7.29,7.29,6.71,6.73,6.73,6190700
2023-07-26,7.5,7.53,6.98,7.14,7.14,7082600
2023-07-25,7.52,7.79,7.52,7.62,7.62,5847500
2023-07-24,7.47,7.5,7.27,7.39,7.39,4193600
2023-07-21,7.87,7.89,7.36,7.5,7.5,6223300
2023-07-20,7.86,8.03,7.56,7.81,7.81,6236500
2023-07-19,7.88,8.05,7.61,7.93,7.93,10581600
2023-07-18,7.06,7.87,7.0,7.83,7.83,13228900
2023-07-17,6.33,6.935,6.202,6.89,6.89,4946700
2023-07-14,6.73,6.84,6.285,6.32,6.32,5061500
2023-07-13,6.12,6.82,6.12,6.64,6.64,8664500
2023-07-12,6.35,6.42,5.9,6.07,6.07,5752300
2023-07-11,6.01,6.25,5.85,6.18,6.18,7450700
2023-07-10,5.7,5.98,5.68,5.97,5.97,3618500
2023-07-07,5.62,5.8,5.62,5.73,5.73,2238600
2023-07-06,5.76,5.77,5.53,5.6,5.6,2776700
2023-07-05,5.98,6.02,5.825,5.86,5.86,3347300
2023-07-03,6.03,6.065,5.94,5.98,5.98,2923900
2023-06-30,6.06,6.14,5.95,6.0,6.0,5653400
2023-06-29,5.88,6.06,5.795,5.98,5.98,3801800
2023-06-28,5.56,6.005,5.51,5.87,5.87,4342900
2023-06-27,5.38,5.525,5.31,5.5,5.5,2327600
2023-06-26,5.55,5.665,5.36,5.37,5.37,3081300
2023-06-23,5.72,5.736,5.52,5.54,5.54,12057800
2023-06-22,5.86,5.87,5.57,5.79,5.79,2934600
2023-06-21,5.75,5.945,5.65,5.9,5.9,3378000
2023-06-20,5.65,5.94,5.61,5.81,5.81,4308000
2023-06-16,5.8,5.825,5.48,5.6,5.6,10211900
2023-06-15,5.64,5.79,5.48,5.68,5.68,3923400
2023-06-14,5.96,6.04,5.585,5.69,5.69,5355800
2023-06-13,5.34,6.1,5.335,5.94,5.94,8253900
2023-06-12,5.24,5.36,5.102,5.32,5.32,3243400
2023-06-09,5.3,5.37,5.17,5.22,5.22,3176600
2023-06-08,5.14,5.28,5.04,5.28,5.28,2828900
2023-06-07,5.24,5.41,5.12,5.13,5.13,4077800
2023-06-06,4.9,5.19,4.895,5.18,5.18,3947700
2023-06-05,4.85,4.95,4.79,4.9,4.9,3029200
2023-06-02,4.8,4.925,4.762,4.9,4.9,2959600
2023-06-01,4.62,4.78,4.525,4.74,4.74,3076800
2023-05-31,4.56,4.61,4.47,4.58,4.58,4964600
2023-05-30,4.51,4.66,4.5,4.59,4.59,2618600
2023-05-26,4.59,4.6,4.38,4.45,4.45,3199700
2023-05-25,4.65,4.7,4.455,4.59,4.59,3260800
2023-05-24,4.55,4.65,4.36,4.63,4.63,4342300
2023-05-23,4.8,4.897,4.45,4.52,4.52,7344700
2023-05-22,4.7,5.015,4.69,4.95,4.95,4460200
2023-05-19,4.7,4.7,4.55,4.67,4.67,3957700
2023-05-18,4.51,4.68,4.45,4.65,4.65,4189500
2023-05-17,4.33,4.61,4.26,4.5,4.5,5290100
2023-05-16,4.22,4.36,4.22,4.28,4.28,3354800
2023-05-15,4.2,4.38,4.07,4.34,4.34,4372600
2023-05-12,4.14,4.26,4.05,4.12,4.12,3621600
2023-05-11,4.12,4.39,4.04,4.1,4.1,4852900
2023-05-10,4.05,4.2,3.85,4.12,4.12,6138700
2023-05-09,3.83,4.02,3.76,3.94,3.94,4784500
2023-05-08,3.92,3.94,3.83,3.85,3.85,4072000
2023-05-05,3.8,3.91,3.78,3.85,3.85,3307700
2023-05-04,3.9,3.93,3.83,3.88,3.88,2563400
2023-05-03,3.81,4.01,3.77,3.91,3.91,3924200
2023-05-02,3.86,3.86,3.755,3.77,3.77,2227600
2023-05-01,3.92,3.985,3.84,3.88,3.88,1657100
2023-04-28,3.87,3.945,3.84,3.92,3.92,1862000
2023-04-27,3.82,3.9,3.78,3.9,3.9,1889900
2023-04-26,3.82,3.88,3.74,3.77,3.77,2392800
2023-04-25,3.88,3.9,3.762,3.81,3.81,2263500
2023-04-24,4.01,4.07,3.88,3.92,3.92,2156500
2023-04-21,3.95,4.011,3.93,4.0,4.0,2113300
