date,open,high,low,close,adjusted_close,volume
2023-07-31,24.51,24.9,24.29,24.47,24.1368,226132
2023-07-28,24.88,25.02,24.51,24.53,24.196,412321
2023-07-27,25.26,25.3599,24.44,24.57,24.2354,439904
2023-07-26,24.43,25.24,24.43,25.14,24.7977,251446
2023-07-25,23.99,24.99,23.97,24.11,23.7817,401038
2023-07-24,24.24,25.46,24.24,25.34,24.995,387063
2023-07-21,24.62,24.62,24.01,24.33,23.9987,368549
2023-07-20,24.66,24.69,23.84,24.38,24.048,334344
2023-07-19,24.12,24.775,23.87,24.69,24.3538,378043
2023-07-18,23.06,24.025,23.06,23.88,23.5548,611805
2023-07-17,22.89,23.27,22.79,23.05,22.7361,334425
2023-07-14,23.69,23.69,22.69,22.9,22.5882,294363
2023-07-13,23.31,23.815,23.005,23.42,23.1011,344026
2023-07-12,23.07,23.6,22.87,23.13,22.8151,268533
2023-07-11,22.82,23.07,22.46,22.49,22.1838,268116
2023-07-10,22.46,23.66,22.46,22.73,22.4205,440246
2023-07-07,22.05,22.86,22.05,22.47,22.164,705210
2023-07-06,22.51,22.51,21.785,22.1,21.7991,302606
2023-07-05,23.06,23.255,22.72,22.81,22.4994,229779
2023-07-03,22.72,23.24,22.72,23.21,22.894,117198
2023-06-30,23.53,23.74,22.67,22.68,22.3712,232449
2023-06-29,23.05,23.53,22.955,23.22,22.9038,247184
2023-06-28,23.02,23.03,22.305,22.71,22.4008,232502
2023-06-27,23.37,23.67,23.01,23.2,22.8841,215222
2023-06-26,23.14,23.75,23.09,23.3,22.9827,218930
2023-06-23,23.28,23.74,22.76,23.0,22.6868,457457
2023-06-22,24.05,24.55,23.43,23.69,23.3674,254867
2023-06-21,24.26,24.64,24.07,24.2,23.8705,192015
2023-06-20,24.79,24.8,24.28,24.41,24.0776,236428
2023-06-16,25.01,25.03,24.39,24.88,24.5412,1438917
2023-06-15,24.67,25.02,24.62,24.93,24.5905,343205
2023-06-14,25.78,25.925,24.74,24.92,24.5807,292745
2023-06-13,25.18,26.25,25.04,25.86,25.5079,311103
2023-06-12,25.55,26.23,25.1,25.18,24.8371,316737
2023-06-09,25.34,25.46,24.91,25.43,25.0837,207617
2023-06-08,25.33,25.52,24.64,25.4,25.0541,284339
2023-06-07,24.59,25.72,24.25,25.44,25.0936,402749
2023-06-06,22.76,24.8,22.76,24.28,23.9494,328985
2023-06-05,23.55,23.55,22.554,22.69,22.381,211669
2023-06-02,22.03,23.5,21.705,23.46,23.1406,304543
