date,open,high,low,close,adjusted_close,volume
2023-07-31,0.7,0.925,0.69,0.86,0.86,11211300
2023-07-28,0.617,0.7,0.61,0.7,0.7,1989400
2023-07-27,0.698,0.7,0.6,0.601,0.601,2418600
2023-07-26,0.63,0.67,0.623,0.653,0.653,1362900
2023-07-25,0.707,0.71,0.64,0.64,0.64,1240300
2023-07-24,0.714,0.714,0.67,0.684,0.684,1022200
2023-07-21,0.678,0.7,0.64,0.689,0.689,973000
2023-07-20,0.69,0.713,0.613,0.67,0.67,1641300
2023-07-19,0.724,0.74,0.69,0.69,0.69,1602900
2023-07-18,0.75,0.769,0.675,0.682,0.682,1931200
2023-07-17,0.71,0.75,0.67,0.743,0.743,2643600
2023-07-14,0.794,0.794,0.68,0.69,0.69,2319500
2023-07-13,0.73,0.78,0.68,0.779,0.779,3366500
2023-07-12,0.745,0.748,0.662,0.712,0.712,3308400
2023-07-11,0.6,0.74,0.595,0.716,0.716,5286100
2023-07-10,0.55,0.597,0.533,0.584,0.584,1197400
2023-07-07,0.5,0.56,0.5,0.549,0.549,1112000
2023-07-06,0.567,0.567,0.485,0.496,0.496,1444100
2023-07-05,0.545,0.6,0.531,0.55,0.55,1934000
2023-07-03,0.53,0.55,0.51,0.543,0.543,733100
2023-06-30,0.5,0.53,0.49,0.53,0.53,2037700
2023-06-29,0.479,0.49,0.47,0.49,0.49,772100
2023-06-28,0.443,0.488,0.441,0.488,0.488,1244700
2023-06-27,0.446,0.46,0.44,0.453,0.453,529000
2023-06-26,0.459,0.47,0.43,0.445,0.445,665800
2023-06-23,0.42,0.48,0.415,0.45,0.45,1331300
2023-06-22,0.435,0.45,0.415,0.428,0.428,1344400
2023-06-21,0.47,0.48,0.44,0.44,0.44,809400
2023-06-20,0.48,0.48,0.44,0.459,0.459,1504800
2023-06-16,0.448,0.52,0.44,0.48,0.48,4792000
2023-06-15,0.398,0.45,0.398,0.43,0.43,1966700
2023-06-14,0.4,0.417,0.395,0.4,0.4,861900
2023-06-13,0.4,0.42,0.4,0.403,0.403,1474200
2023-06-12,0.386,0.42,0.383,0.406,0.406,1589300
2023-06-09,0.395,0.41,0.391,0.394,0.394,517500
2023-06-08,0.4,0.42,0.398,0.405,0.405,1134100
2023-06-07,0.391,0.42,0.39,0.403,0.403,857900
2023-06-06,0.4,0.41,0.391,0.41,0.41,691300
2023-06-05,0.395,0.415,0.387,0.406,0.406,790900
2023-06-02,0.386,0.4,0.375,0.4,0.4,814200
2023-06-01,0.355,0.388,0.355,0.381,0.381,1446100
2023-05-31,0.364,0.37,0.352,0.355,0.355,921200
2023-05-30,0.35,0.37,0.35,0.37,0.37,890700
2023-05-26,0.35,0.36,0.35,0.358,0.358,970300
2023-05-25,0.36,0.375,0.35,0.35,0.35,952500
2023-05-24,0.38,0.388,0.352,0.361,0.361,1433000
2023-05-23,0.382,0.395,0.37,0.38,0.38,620400
2023-05-22,0.35,0.388,0.35,0.382,0.382,1017100
2023-05-19,0.358,0.366,0.35,0.352,0.352,877200
2023-05-18,0.36,0.368,0.35,0.357,0.357,1137100
2023-05-17,0.36,0.37,0.35,0.37,0.37,1109200
2023-05-16,0.429,0.429,0.351,0.354,0.354,1787600
2023-05-15,0.38,0.39,0.374,0.384,0.384,880200
2023-05-12,0.39,0.4,0.38,0.38,0.38,850200
2023-05-11,0.432,0.447,0.39,0.394,0.394,1639300
2023-05-10,0.422,0.475,0.413,0.438,0.438,3384800
2023-05-09,0.38,0.41,0.38,0.4,0.4,1824800
2023-05-08,0.391,0.4,0.376,0.39,0.39,771500
2023-05-05,0.375,0.394,0.375,0.394,0.394,675900
2023-05-04,0.38,0.404,0.375,0.38,0.38,487800
2023-05-03,0.391,0.395,0.38,0.38,0.38,705200
2023-05-02,0.41,0.41,0.389,0.39,0.39,733900
2023-05-01,0.4,0.412,0.39,0.4,0.4,476900
2023-04-28,0.418,0.428,0.398,0.4,0.4,635300
2023-04-27,0.418,0.423,0.405,0.423,0.423,446900
2023-04-26,0.403,0.418,0.4,0.41,0.41,291400
2023-04-25,0.402,0.418,0.39,0.415,0.415,1197300
2023-04-24,0.4,0.429,0.4,0.403,0.403,377300
2023-04-21,0.418,0.44,0.406,0.41,0.41,479700
2023-04-20,0.433,0.46,0.401,0.41,0.41,419400
2023-04-19,0.451,0.46,0.44,0.451,0.451,676200
2023-04-18,0.44,0.46,0.437,0.45,0.45,570400
2023-04-17,0.44,0.47,0.437,0.449,0.449,982100
2023-04-14,0.439,0.45,0.43,0.432,0.432,684700
2023-04-13,0.41,0.44,0.41,0.435,0.435,1030100
2023-04-12,0.419,0.43,0.395,0.416,0.416,504100
2023-04-11,0.375,0.43,0.375,0.42,0.42,1600000
2023-04-10,0.386,0.396,0.379,0.38,0.38,1142900
2023-04-06,0.39,0.403,0.38,0.39,0.39,555400
2023-04-05,0.39,0.415,0.39,0.39,0.39,451000
2023-04-04,0.403,0.415,0.389,0.399,0.399,950400
2023-04-03,0.44,0.44,0.393,0.405,0.405,1054000
2023-03-31,0.385,0.43,0.385,0.43,0.43,2366000
2023-03-30,0.375,0.395,0.375,0.384,0.384,941100
2023-03-29,0.39,0.4,0.375,0.379,0.379,1638200
2023-03-28,0.4,0.4,0.39,0.393,0.393,756700
2023-03-27,0.42,0.42,0.392,0.395,0.395,1229400
2023-03-24,0.409,0.42,0.401,0.42,0.42,410300
2023-03-23,0.42,0.438,0.404,0.414,0.414,950700
2023-03-22,0.42,0.44,0.413,0.418,0.418,681400
2023-03-21,0.405,0.44,0.402,0.413,0.413,1567900
2023-03-20,0.412,0.424,0.397,0.397,0.397,1580900
2023-03-17,0.44,0.44,0.411,0.411,0.411,1202000
2023-03-16,0.43,0.44,0.4,0.42,0.42,1419200
2023-03-15,0.44,0.45,0.41,0.413,0.413,1809500
2023-03-14,0.453,0.47,0.44,0.44,0.44,966100
2023-03-13,0.446,0.468,0.431,0.444,0.444,1136500
2023-03-10,0.464,0.475,0.431,0.444,0.444,1204100
2023-03-09,0.49,0.503,0.45,0.452,0.452,1255700
2023-03-08,0.51,0.51,0.49,0.49,0.49,935000
2023-03-07,0.53,0.54,0.5,0.51,0.51,969800
2023-03-06,0.503,0.54,0.496,0.54,0.54,1991100
2023-03-03,0.522,0.522,0.484,0.5,0.5,1414100
2023-03-02,0.51,0.52,0.48,0.486,0.486,1536700
2023-03-01,0.56,0.57,0.493,0.509,0.509,2925000
2023-02-28,0.57,0.633,0.522,0.6,0.6,3502200
2023-02-27,0.5,0.569,0.49,0.532,0.532,2234700
2023-02-24,0.5,0.51,0.461,0.49,0.49,1261500
2023-02-23,0.52,0.529,0.452,0.493,0.493,2420400
2023-02-22,0.53,0.547,0.512,0.514,0.514,1619200
2023-02-21,0.59,0.6,0.53,0.53,0.53,1958600
2023-02-17,0.65,0.66,0.581,0.59,0.59,1230500
2023-02-16,0.629,0.67,0.611,0.64,0.64,1027400
2023-02-15,0.585,0.66,0.585,0.641,0.641,911400
2023-02-14,0.58,0.614,0.571,0.59,0.59,944600
2023-02-13,0.56,0.586,0.53,0.579,0.579,1365500
2023-02-10,0.58,0.6,0.56,0.56,0.56,1355800
2023-02-09,0.661,0.669,0.592,0.597,0.597,1818100
2023-02-08,0.652,0.69,0.645,0.661,0.661,1061400
2023-02-07,0.652,0.678,0.641,0.67,0.67,1327600
2023-02-06,0.704,0.725,0.628,0.656,0.656,1921800
2023-02-03,0.67,0.74,0.66,0.698,0.698,3360500
2023-02-02,0.695,0.75,0.64,0.703,0.703,7402200
2023-02-01,0.58,0.65,0.58,0.637,0.637,6041500
2023-01-31,0.563,0.6,0.556,0.57,0.57,1745900
2023-01-30,0.588,0.59,0.53,0.553,0.553,1754500
2023-01-27,0.512,0.6,0.512,0.581,0.581,3491500
2023-01-26,0.533,0.56,0.521,0.53,0.53,913100
2023-01-25,0.521,0.6,0.505,0.533,0.533,2169300
2023-01-24,0.58,0.608,0.53,0.537,0.537,3423100
2023-01-23,0.531,0.59,0.52,0.572,0.572,4040600
2023-01-20,0.52,0.56,0.52,0.537,0.537,2369000
2023-01-19,0.55,0.55,0.51,0.519,0.519,2811000
2023-01-18,0.65,0.69,0.56,0.56,0.56,7409000
2023-01-17,0.71,0.739,0.58,0.595,0.595,9370400
2023-01-13,0.5,0.888,0.471,0.705,0.705,29731200
2023-01-12,0.44,0.48,0.44,0.48,0.48,1177400
2023-01-11,0.445,0.468,0.44,0.46,0.46,1335700
2023-01-10,0.431,0.454,0.42,0.44,0.44,1480600
2023-01-09,0.41,0.433,0.41,0.422,0.422,1274000
2023-01-06,0.5,0.5,0.411,0.411,0.411,2708700
2023-01-05,0.409,0.5,0.405,0.475,0.475,3101600
2023-01-04,0.405,0.42,0.37,0.415,0.415,2751700
2023-01-03,0.36,0.4,0.345,0.377,0.377,1901800
2022-12-30,0.36,0.369,0.33,0.352,0.352,2337800
2022-12-29,0.338,0.369,0.338,0.358,0.358,2074100
2022-12-28,0.316,0.348,0.316,0.335,0.335,1853300
2022-12-27,0.35,0.356,0.315,0.315,0.315,2713700
2022-12-23,0.383,0.4,0.35,0.35,0.35,1962300
2022-12-22,0.42,0.429,0.39,0.39,0.39,1099600
2022-12-21,0.388,0.43,0.38,0.424,0.424,2452700
2022-12-20,0.39,0.401,0.352,0.352,0.352,2523100
2022-12-19,0.448,0.448,0.393,0.393,0.393,2256300
2022-12-16,0.473,0.5,0.35,0.443,0.443,3073100
2022-12-15,0.52,0.533,0.47,0.478,0.478,3345500
2022-12-14,0.528,0.543,0.51,0.52,0.52,1111300
2022-12-13,0.529,0.554,0.511,0.519,0.519,1774800
2022-12-12,0.53,0.539,0.502,0.52,0.52,1418900
2022-12-09,0.53,0.559,0.511,0.521,0.521,2211900
2022-12-08,0.5,0.541,0.491,0.528,0.528,1155600
2022-12-07,0.5,0.527,0.494,0.502,0.502,1820900
2022-12-06,0.521,0.53,0.492,0.498,0.498,2185900
2022-12-05,0.57,0.575,0.521,0.523,0.523,2095500
2022-12-02,0.6,0.611,0.555,0.56,0.56,3255600
2022-12-01,0.61,0.628,0.589,0.6,0.6,2951800
2022-11-30,0.614,0.631,0.59,0.608,0.608,1267300
2022-11-29,0.591,0.624,0.591,0.6,0.6,1610000
2022-11-28,0.614,0.647,0.59,0.598,0.598,2111500
2022-11-25,0.632,0.668,0.621,0.623,0.623,445900
2022-11-23,0.62,0.665,0.62,0.645,0.645,935700
2022-11-22,0.659,0.669,0.615,0.622,0.622,1527600
2022-11-21,0.677,0.68,0.626,0.65,0.65,1292800
2022-11-18,0.676,0.679,0.63,0.66,0.66,1227900
2022-11-17,0.673,0.695,0.642,0.65,0.65,1240700
2022-11-16,0.765,0.783,0.681,0.69,0.69,1485100
2022-11-15,0.78,0.798,0.76,0.763,0.763,1408100
2022-11-14,0.758,0.828,0.731,0.752,0.752,2464000
2022-11-11,0.692,0.746,0.68,0.721,0.721,2628400
2022-11-10,0.61,0.7,0.61,0.699,0.699,3734000
2022-11-09,0.655,0.655,0.585,0.592,0.592,2794000
2022-11-08,0.74,0.74,0.63,0.64,0.64,3555900
2022-11-07,0.652,0.88,0.65,0.719,0.719,5114700
2022-11-04,0.675,0.675,0.622,0.64,0.64,2100100
2022-11-03,0.705,0.72,0.66,0.66,0.66,1846100
2022-11-02,0.73,0.749,0.7,0.7,0.7,1169700
2022-11-01,0.752,0.763,0.725,0.726,0.726,1049600
2022-10-31,0.72,0.745,0.72,0.72,0.72,772700
2022-10-28,0.76,0.783,0.704,0.717,0.717,1914100
2022-10-27,0.831,0.835,0.754,0.76,0.76,1182100
2022-10-26,0.763,0.845,0.761,0.816,0.816,1092900
2022-10-25,0.71,0.79,0.71,0.777,0.777,1453000
2022-10-24,0.78,0.796,0.704,0.712,0.712,1995600
2022-10-21,0.811,0.82,0.77,0.779,0.779,1359000
2022-10-20,0.84,0.861,0.8,0.81,0.81,1838200
2022-10-19,0.866,0.87,0.833,0.836,0.836,1590800
2022-10-18,0.904,0.919,0.852,0.865,0.865,1547500
2022-10-17,0.884,0.919,0.872,0.878,0.878,912400
