date,open,high,low,close,adjusted_close,volume
2023-07-31,7.14,7.36,7.05,7.35,7.35,299200
2023-07-28,6.71,7.11,6.7,7.1,7.1,198700
2023-07-27,7.06,7.07,6.65,6.66,6.66,232500
2023-07-26,7.08,7.13,6.75,7.0,7.0,295500
2023-07-25,7.34,7.34,7.09,7.1,7.1,432600
2023-07-24,7.24,7.37,7.02,7.36,7.36,639700
2023-07-21,7.41,7.445,7.03,7.23,7.23,411400
2023-07-20,7.3,7.51,7.14,7.29,7.29,359700
2023-07-19,7.05,7.335,7.03,7.31,7.31,495200
2023-07-18,6.96,7.2,6.86,7.05,7.05,276500
2023-07-17,6.86,6.96,6.81,6.94,6.94,465600
2023-07-14,6.84,6.92,6.67,6.83,6.83,616600
2023-07-13,6.74,6.94,6.53,6.88,6.88,592900
2023-07-12,6.52,6.82,6.39,6.7,6.7,566400
2023-07-11,6.32,6.51,6.2,6.48,6.48,584400
2023-07-10,6.22,6.44,6.1,6.32,6.32,521500
2023-07-07,6.39,6.57,6.08,6.13,6.13,341400
2023-07-06,6.39,6.455,6.09,6.43,6.43,385200
2023-07-05,6.67,6.75,6.2,6.49,6.49,382900
2023-07-03,6.7,6.81,6.62,6.73,6.73,328200
2023-06-30,6.64,6.82,6.51,6.7,6.7,757000
2023-06-29,6.56,6.68,6.3,6.61,6.61,484500
2023-06-28,6.51,6.68,6.43,6.58,6.58,508100
2023-06-27,6.32,6.57,6.1,6.5,6.5,511700
2023-06-26,6.21,6.4,6.15,6.33,6.33,830100
2023-06-23,6.36,6.57,6.25,6.28,6.28,3788400
2023-06-22,6.38,6.6,6.2,6.42,6.42,1009500
2023-06-21,6.24,6.36,5.99,6.35,6.35,667200
2023-06-20,6.23,6.505,6.02,6.26,6.26,933200
2023-06-16,6.08,6.46,6.05,6.22,6.22,809700
2023-06-15,6.19,6.308,5.97,6.05,6.05,447500
2023-06-14,6.31,6.51,6.14,6.14,6.14,658200
2023-06-13,6.26,6.56,6.24,6.31,6.31,698500
2023-06-12,6.65,6.659,6.11,6.255,6.255,924100
2023-06-09,6.79,6.8,6.51,6.61,6.61,491700
2023-06-08,6.65,6.81,6.48,6.79,6.79,323000
2023-06-07,6.85,7.02,6.62,6.62,6.62,552500
2023-06-06,6.9,7.12,6.77,6.82,6.82,587200
2023-06-05,7.23,7.23,6.76,6.94,6.94,863100
2023-06-02,7.0,7.4,6.72,7.24,7.24,769300
2023-06-01,6.9,7.07,6.6,6.87,6.87,812900
2023-05-31,6.95,7.52,6.75,6.96,6.96,1871600
2023-05-30,7.35,7.39,6.74,6.92,6.92,902600
2023-05-26,7.58,7.789,6.97,7.37,7.37,1256400
2023-05-25,8.52,8.57,7.455,7.63,7.63,1282400
2023-05-24,8.48,8.72,8.07,8.51,8.51,881400
2023-05-23,9.04,9.2,8.33,8.4,8.4,1118500
2023-05-22,8.64,9.27,8.16,9.09,9.09,1190400
2023-05-19,7.85,8.62,7.67,8.57,8.57,804700
2023-05-18,8.29,8.53,7.74,7.75,7.75,793000
2023-05-17,8.11,9.19,8.047,8.29,8.29,1986000
2023-05-16,7.71,8.455,7.533,8.17,8.17,1562900
2023-05-15,8.11,8.39,7.67,7.81,7.81,4074800
2023-05-12,6.96,9.65,6.51,8.04,8.04,57633300
2023-05-11,4.52,4.52,4.52,4.52,4.52,400
2023-05-10,5.19,5.19,3.99,4.52,4.52,1778800
2023-05-09,5.91,5.98,4.865,5.15,5.15,2164600
2023-05-08,6.41,6.453,6.0,6.01,6.01,609500
2023-05-05,6.21,6.44,6.09,6.31,6.31,267000
2023-05-04,6.6,6.6,5.965,6.12,6.12,341100
2023-05-03,6.52,6.74,6.315,6.6,6.6,179500
2023-05-02,6.51,6.55,6.4,6.52,6.52,162700
2023-05-01,6.56,6.66,6.47,6.51,6.51,222700
2023-04-28,6.29,6.56,6.275,6.5,6.5,186200
2023-04-27,6.44,6.44,6.221,6.32,6.32,229900
2023-04-26,6.52,6.52,6.33,6.46,6.46,249300
2023-04-25,6.5,6.72,6.15,6.5,6.5,385900
2023-04-24,6.48,6.65,6.33,6.53,6.53,244400
2023-04-21,6.55,6.695,6.475,6.54,6.54,252600
2023-04-20,6.59,6.811,6.5,6.6,6.6,189600
2023-04-19,6.81,7.09,6.57,6.6,6.6,264700
2023-04-18,6.6,6.96,6.545,6.86,6.86,360700
2023-04-17,6.01,6.51,6.01,6.49,6.49,594200
2023-04-14,6.11,6.28,5.9,5.98,5.98,159100
2023-04-13,5.9,6.29,5.9,6.11,6.11,250300
2023-04-12,5.99,6.0,5.79,5.87,5.87,145300
2023-04-11,5.87,6.05,5.82,5.96,5.96,217000
2023-04-10,5.77,5.92,5.68,5.88,5.88,187600
2023-04-06,5.77,5.9,5.61,5.82,5.82,135500
2023-04-05,5.81,5.84,5.49,5.78,5.78,387000
2023-04-04,6.32,6.34,5.72,5.88,5.88,517200
2023-04-03,6.58,6.67,6.29,6.33,6.33,306800
2023-03-31,6.71,6.977,6.41,6.51,6.51,489300
2023-03-30,6.8,7.025,6.65,6.73,6.73,369500
2023-03-29,6.63,7.09,6.57,6.76,6.76,317500
2023-03-28,6.7,6.7,6.3,6.635,6.635,546900
2023-03-27,7.56,7.56,6.48,6.66,6.66,542700
2023-03-24,7.88,8.28,7.54,7.59,7.59,194300
2023-03-23,8.01,8.14,7.78,7.91,7.91,117700
2023-03-22,8.46,8.46,7.97,7.99,7.99,107800
2023-03-21,8.43,8.69,8.325,8.46,8.46,125600
2023-03-20,8.4,8.45,8.03,8.395,8.395,156500
2023-03-17,8.25,8.6,8.0,8.41,8.41,218300
2023-03-16,8.11,8.35,7.92,8.29,8.29,108200
2023-03-15,8.18,8.25,8.002,8.19,8.19,86400
2023-03-14,8.29,8.66,8.06,8.3,8.3,185900
2023-03-13,7.84,8.27,7.74,8.08,8.08,199700
2023-03-10,8.91,8.91,7.86,7.86,7.86,267300
2023-03-09,9.06,9.12,8.61,8.97,8.97,325800
2023-03-08,8.86,9.05,8.73,9.03,9.03,222200
2023-03-07,8.87,8.97,8.74,8.89,8.89,142300
2023-03-06,9.08,9.08,8.59,8.82,8.82,218200
2023-03-03,9.01,9.21,8.765,9.11,9.11,146100
2023-03-02,9.03,9.2,8.75,9.0,9.0,215800
2023-03-01,9.06,9.17,8.864,9.07,9.07,263400
2023-02-28,8.47,8.98,8.0,8.92,8.92,455600
2023-02-27,8.42,8.625,8.31,8.5,8.5,180400
2023-02-24,8.2,8.48,8.0,8.27,8.27,170800
2023-02-23,8.42,9.23,8.28,8.29,8.29,431600
2023-02-22,8.25,8.59,8.12,8.43,8.43,175300
2023-02-21,8.45,8.75,8.18,8.3,8.3,204200
2023-02-17,8.23,8.71,8.21,8.63,8.63,236200
2023-02-16,8.28,8.31,8.06,8.29,8.29,192600
2023-02-15,7.9,8.36,7.75,8.305,8.305,259100
2023-02-14,7.84,8.115,7.75,7.86,7.86,159400
2023-02-13,7.63,8.05,7.6,7.8,7.8,206100
2023-02-10,7.9,7.99,7.44,7.67,7.67,387700
2023-02-09,7.53,7.97,7.48,7.9,7.9,206900
2023-02-08,7.62,7.885,7.24,7.47,7.47,259800
2023-02-07,7.04,7.7,6.99,7.65,7.65,350900
2023-02-06,7.04,7.19,6.9,7.01,7.01,315300
2023-02-03,6.96,7.23,6.96,7.12,7.12,200800
2023-02-02,6.98,7.12,6.8,7.05,7.05,149900
2023-02-01,6.88,7.14,6.76,6.95,6.95,164900
2023-01-31,6.74,6.89,6.4,6.86,6.86,216300
2023-01-30,6.25,6.39,5.97,6.34,6.34,295600
2023-01-27,6.36,6.435,6.16,6.32,6.32,278400
2023-01-26,6.51,6.65,6.325,6.4,6.4,145500
2023-01-25,6.45,6.545,6.31,6.48,6.48,164700
2023-01-24,6.27,6.55,6.27,6.49,6.49,129000
2023-01-23,6.68,6.68,6.33,6.35,6.35,172400
2023-01-20,6.75,6.82,6.56,6.69,6.69,146900
2023-01-19,7.02,7.44,6.75,6.75,6.75,75500
2023-01-18,7.65,7.805,6.91,7.08,7.08,246600
2023-01-17,7.38,7.64,7.28,7.61,7.61,190000
2023-01-13,7.31,7.73,7.29,7.45,7.45,114600
2023-01-12,7.23,7.55,7.13,7.32,7.32,271800
2023-01-11,7.09,7.58,6.66,7.25,7.25,167100
2023-01-10,6.87,7.21,6.71,7.1,7.1,628200
2023-01-09,7.21,7.28,6.67,6.91,6.91,421500
2023-01-06,7.21,7.43,7.02,7.23,7.23,165800
2023-01-05,7.87,8.01,7.15,7.15,7.15,473500
2023-01-04,8.63,8.71,7.92,8.02,8.02,197800
2023-01-03,8.9,8.99,8.285,8.42,8.42,226800
2022-12-30,8.49,8.715,8.24,8.53,8.53,363700
2022-12-29,8.26,8.68,7.97,8.5,8.5,190300
2022-12-28,7.75,8.22,7.65,8.22,8.22,197000
2022-12-27,8.08,8.2,7.655,7.75,7.75,151300
2022-12-23,8.38,8.5,8.01,8.08,8.08,129800
2022-12-22,7.87,8.26,7.71,8.24,8.24,99000
2022-12-21,7.96,8.16,7.66,7.88,7.88,147700
2022-12-20,7.85,8.12,7.53,7.95,7.95,185500
2022-12-19,8.07,8.13,7.53,7.86,7.86,279400
2022-12-16,8.26,8.435,7.38,8.08,8.08,918500
2022-12-15,8.85,9.03,8.26,8.47,8.47,505600
2022-12-14,8.35,9.17,8.26,9.03,9.03,636700
2022-12-13,7.43,8.28,7.18,8.24,8.24,463500
2022-12-12,7.38,7.38,7.01,7.12,7.12,135900
2022-12-09,7.53,7.93,7.13,7.2,7.2,227200
2022-12-08,7.49,7.74,7.32,7.54,7.54,169800
2022-12-07,7.11,7.6,6.864,7.34,7.34,120800
2022-12-06,7.27,7.38,7.03,7.06,7.06,104900
2022-12-05,7.09,7.79,6.99,7.2,7.2,250800
2022-12-02,6.59,7.38,6.54,6.98,6.98,237500
2022-12-01,6.13,6.54,6.13,6.48,6.48,115000
2022-11-30,6.08,6.33,5.96,6.22,6.22,69900
2022-11-29,6.05,6.33,5.98,6.04,6.04,72600
2022-11-28,6.18,6.36,6.0,6.13,6.13,106100
2022-11-25,6.53,6.53,6.114,6.18,6.18,48800
2022-11-23,6.31,6.47,6.11,6.47,6.47,92900
2022-11-22,6.08,6.5,6.08,6.3,6.3,217800
2022-11-21,6.05,6.4,5.87,6.28,6.28,126700
2022-11-18,6.07,6.4,5.92,5.94,5.94,193500
2022-11-17,6.01,6.083,5.86,6.05,6.05,118800
2022-11-16,6.51,6.61,5.94,6.04,6.04,155500
