date,open,high,low,close,adjusted_close,volume
2023-07-31,12.81,12.9,12.66,12.73,12.73,310300
2023-07-28,12.93,13.13,12.77,12.81,12.81,266000
2023-07-27,13.06,13.2,12.83,12.91,12.91,272900
2023-07-26,12.9,13.03,12.85,13.03,13.03,199400
2023-07-25,12.99,13.03,12.8,12.9,12.9,264100
2023-07-24,12.79,12.97,12.71,12.95,12.95,258900
2023-07-21,12.98,13.0,12.71,12.79,12.79,270300
2023-07-20,12.87,12.97,12.71,12.9,12.9,240900
2023-07-19,12.77,12.95,12.76,12.86,12.86,465100
2023-07-18,12.74,13.01,12.57,12.72,12.72,380900
2023-07-17,13.12,13.12,12.73,12.75,12.75,371200
2023-07-14,13.33,13.33,12.99,13.15,13.15,286600
2023-07-13,13.38,13.46,13.28,13.33,13.33,288400
2023-07-12,13.28,13.43,13.19,13.36,13.36,376500
2023-07-11,13.25,13.31,13.15,13.31,13.19,293700
2023-07-10,13.13,13.39,13.09,13.22,13.1008,387400
2023-07-07,13.09,13.21,13.02,13.11,12.9918,504700
2023-07-06,12.87,13.18,12.79,13.09,12.972,544900
2023-07-05,13.04,13.1,12.81,12.94,12.8233,375100
2023-07-03,13.07,13.26,13.05,13.16,13.0414,212600
2023-06-30,13.45,13.45,13.0,13.04,12.9224,521500
2023-06-29,12.88,13.58,12.88,13.2,13.081,546600
2023-06-28,12.63,12.9,12.56,12.82,12.7044,676100
2023-06-27,13.17,13.33,12.68,12.68,12.5657,1354100
2023-06-26,13.57,13.69,13.1,13.1,12.9819,1294500
2023-06-23,12.0,13.63,11.9,13.51,13.3882,7122400
2023-06-22,11.65,11.68,11.18,11.24,11.1387,1188500
2023-06-21,11.62,11.74,11.42,11.7,11.5945,536200
2023-06-20,11.93,11.98,11.53,11.64,11.5351,544600
2023-06-16,12.23,12.23,11.81,11.93,11.8224,611600
2023-06-15,12.29,12.3,11.86,12.12,12.0107,589000
2023-06-14,12.49,12.59,12.25,12.33,12.2188,398100
2023-06-13,12.55,12.7,12.45,12.49,12.3774,337800
2023-06-12,12.59,12.61,12.47,12.51,12.3972,301700
2023-06-09,12.65,12.7,12.48,12.51,12.3972,278200
2023-06-08,12.6,12.71,12.53,12.66,12.5459,325200
2023-06-07,12.52,12.87,12.5,12.59,12.4765,660500
2023-06-06,11.94,12.54,11.94,12.49,12.3774,501600
2023-06-05,12.05,12.13,11.87,11.98,11.872,260100
2023-06-02,11.72,12.11,11.72,12.11,12.0008,388200
2023-06-01,11.73,11.75,11.53,11.61,11.5053,266200
2023-05-31,12.02,12.1,11.54,11.73,11.6242,429300
2023-05-30,12.32,12.32,12.0,12.1,11.9909,248300
2023-05-26,12.07,12.26,12.03,12.25,12.1396,222500
2023-05-25,12.02,12.1,11.96,12.08,11.9711,252800
2023-05-24,12.13,12.19,11.92,12.07,11.9612,302000
2023-05-23,12.11,12.44,12.06,12.14,12.0305,392500
2023-05-22,12.05,12.18,11.94,12.1,11.9909,333900
2023-05-19,12.03,12.1,11.91,12.05,11.9414,399300
2023-05-18,11.86,12.01,11.76,12.01,11.9017,278700
2023-05-17,11.82,11.91,11.72,11.86,11.7531,239800
2023-05-16,11.8,11.85,11.62,11.8,11.6936,222100
2023-05-15,12.06,12.07,11.82,11.86,11.7531,235700
2023-05-12,12.02,12.13,11.95,12.03,11.9215,168000
2023-05-11,11.77,12.03,11.75,12.02,11.9116,319300
2023-05-10,12.14,12.17,11.66,11.83,11.7233,402200
2023-05-09,11.91,12.07,11.85,11.99,11.8819,218600
2023-05-08,12.11,12.15,11.89,11.91,11.8026,228600
2023-05-05,11.75,12.11,11.74,12.09,11.981,342400
2023-05-04,11.76,11.88,11.51,11.56,11.4558,426000
2023-05-03,12.02,12.14,11.82,11.82,11.7134,328000
2023-05-02,12.0,12.05,11.81,12.02,11.9116,345900
2023-05-01,11.96,12.13,11.89,12.08,11.9711,252900
2023-04-28,11.94,12.09,11.81,12.02,11.9116,343800
2023-04-27,12.44,12.44,11.91,11.96,11.8522,408400
2023-04-26,12.32,12.45,12.27,12.39,12.2783,356500
