date,open,high,low,close,adjusted_close,volume
2023-07-31,1.75,1.75,1.66,1.73,1.73,453600
2023-07-28,1.7,1.81,1.59,1.75,1.75,2293400
2023-07-27,1.59,1.81,1.48,1.7,1.7,6107200
2023-07-26,1.27,1.43,1.27,1.42,1.42,342300
2023-07-25,1.31,1.31,1.21,1.29,1.29,426400
2023-07-24,1.31,1.32,1.25,1.28,1.28,282900
2023-07-21,1.3,1.35,1.27,1.3,1.3,223100
2023-07-20,1.35,1.36,1.28,1.31,1.31,311400
2023-07-19,1.4,1.4,1.313,1.33,1.33,311500
2023-07-18,1.41,1.44,1.36,1.39,1.39,281600
2023-07-17,1.37,1.44,1.37,1.4,1.4,453300
2023-07-14,1.37,1.39,1.33,1.37,1.37,364700
2023-07-13,1.38,1.4,1.35,1.37,1.37,276200
2023-07-12,1.35,1.4,1.35,1.38,1.38,316000
2023-07-11,1.38,1.39,1.32,1.35,1.35,284000
2023-07-10,1.29,1.38,1.28,1.37,1.37,472800
2023-07-07,1.21,1.305,1.16,1.29,1.29,467000
2023-07-06,1.27,1.29,1.19,1.23,1.23,551900
2023-07-05,1.29,1.31,1.25,1.3,1.3,431900
2023-07-03,1.28,1.31,1.28,1.28,1.28,362700
2023-06-30,1.28,1.3,1.25,1.27,1.27,274700
2023-06-29,1.29,1.32,1.27,1.28,1.28,337600
2023-06-28,1.25,1.3,1.24,1.29,1.29,667300
2023-06-27,1.26,1.29,1.17,1.26,1.26,1063800
2023-06-26,1.24,1.29,1.23,1.26,1.26,348700
2023-06-23,1.24,1.31,1.21,1.22,1.22,1121100
2023-06-22,1.2,1.26,1.2,1.24,1.24,342900
2023-06-21,1.21,1.24,1.17,1.2,1.2,208400
2023-06-20,1.24,1.26,1.17,1.22,1.22,523300
2023-06-16,1.23,1.26,1.205,1.25,1.25,483400
2023-06-15,1.2,1.25,1.2,1.22,1.22,496100
2023-06-14,1.22,1.269,1.18,1.19,1.19,598500
2023-06-13,1.3,1.3,1.175,1.24,1.24,1073600
2023-06-12,1.25,1.285,1.22,1.26,1.26,967100
2023-06-09,1.15,1.23,1.13,1.21,1.21,1740000
2023-06-08,1.05,1.15,1.045,1.13,1.13,1275700
2023-06-07,1.09,1.09,1.025,1.06,1.06,916400
2023-06-06,1.08,1.09,1.0,1.07,1.07,955900
2023-06-05,1.03,1.08,1.02,1.08,1.08,585000
2023-06-02,1.09,1.09,1.02,1.03,1.03,733100
2023-06-01,1.14,1.15,1.02,1.04,1.04,892800
2023-05-31,1.08,1.1,1.0,1.07,1.07,1055800
2023-05-30,1.1,1.1,1.01,1.07,1.07,508200
2023-05-26,1.07,1.09,1.01,1.08,1.08,519400
2023-05-25,1.08,1.08,1.0,1.05,1.05,454800
2023-05-24,1.07,1.11,1.063,1.09,1.09,464600
2023-05-23,1.08,1.1,1.04,1.08,1.08,831500
2023-05-22,1.0,1.08,0.98,1.07,1.07,1080900
2023-05-19,1.0,1.07,0.97,1.04,1.04,940800
2023-05-18,0.873,1.04,0.86,1.0,1.0,1027000
2023-05-17,0.88,0.91,0.86,0.9,0.9,242900
2023-05-16,0.89,0.89,0.838,0.885,0.885,348400
2023-05-15,0.83,0.92,0.811,0.865,0.865,671100
2023-05-12,0.85,0.88,0.82,0.84,0.84,250900
2023-05-11,0.828,0.87,0.8,0.86,0.86,261000
2023-05-10,0.84,0.89,0.82,0.827,0.827,262100
2023-05-09,0.86,0.86,0.82,0.85,0.85,200300
2023-05-08,0.832,0.895,0.81,0.878,0.878,167200
2023-05-05,0.84,0.88,0.74,0.841,0.841,825300
2023-05-04,0.848,0.9,0.758,0.845,0.845,471400
2023-05-03,0.88,0.907,0.825,0.848,0.848,1909100
2023-05-02,0.76,0.83,0.76,0.793,0.793,392500
2023-05-01,0.8,0.821,0.766,0.782,0.782,133800
2023-04-28,0.8,0.83,0.755,0.8,0.8,400500
2023-04-27,0.79,0.824,0.789,0.81,0.81,291500
2023-04-26,0.8,0.823,0.77,0.8,0.8,124500
2023-04-25,0.79,0.835,0.784,0.802,0.802,279400
2023-04-24,0.79,0.82,0.788,0.808,0.808,294800
2023-04-21,0.81,0.82,0.761,0.8,0.8,341200
2023-04-20,0.795,0.824,0.792,0.811,0.811,50100
2023-04-19,0.81,0.85,0.795,0.82,0.82,156700
2023-04-18,0.8,0.825,0.768,0.803,0.803,1031700
2023-04-17,0.799,0.826,0.748,0.788,0.788,132500
2023-04-14,0.763,0.83,0.763,0.8,0.8,396100
2023-04-13,0.72,0.78,0.72,0.78,0.78,558200
2023-04-12,0.71,0.74,0.7,0.717,0.717,331400
2023-04-11,0.721,0.721,0.702,0.715,0.715,106400
2023-04-10,0.69,0.73,0.69,0.72,0.72,108300
2023-04-06,0.69,0.718,0.69,0.709,0.709,72400
2023-04-05,0.682,0.72,0.682,0.694,0.694,49900
2023-04-04,0.706,0.73,0.692,0.699,0.699,87300
2023-04-03,0.68,0.72,0.68,0.71,0.71,127600
2023-03-31,0.69,0.724,0.665,0.695,0.695,258800
2023-03-30,0.686,0.702,0.663,0.701,0.701,120800
2023-03-29,0.684,0.734,0.676,0.684,0.684,83800
2023-03-28,0.684,0.72,0.668,0.7,0.7,83600
2023-03-27,0.7,0.72,0.66,0.705,0.705,253300
2023-03-24,0.73,0.73,0.705,0.716,0.716,64000
2023-03-23,0.72,0.765,0.71,0.72,0.72,50800
2023-03-22,0.696,0.723,0.685,0.717,0.717,82900
2023-03-21,0.638,0.718,0.625,0.687,0.687,158800
2023-03-20,0.65,0.7,0.58,0.625,0.625,620600
2023-03-17,0.73,0.76,0.623,0.623,0.623,338100
2023-03-16,0.73,0.735,0.69,0.71,0.71,123800
2023-03-15,0.71,0.76,0.708,0.72,0.72,152700
2023-03-14,0.75,0.8,0.725,0.74,0.74,188100
2023-03-13,0.754,0.758,0.69,0.749,0.749,190800
2023-03-10,0.813,0.859,0.67,0.719,0.719,704500
2023-03-09,0.9,0.927,0.79,0.835,0.835,138900
2023-03-08,0.88,0.913,0.847,0.876,0.876,269800
2023-03-07,0.92,0.937,0.865,0.929,0.929,90400
2023-03-06,0.915,0.956,0.915,0.94,0.94,249300
2023-03-03,0.87,0.909,0.855,0.902,0.902,71300
2023-03-02,0.87,0.902,0.846,0.883,0.883,330100
2023-03-01,0.92,0.92,0.863,0.877,0.877,103400
2023-02-28,0.9,0.928,0.88,0.91,0.91,84000
2023-02-27,0.95,0.98,0.854,0.92,0.92,840000
2023-02-24,0.94,0.952,0.884,0.915,0.915,168800
