date,open,high,low,close,adjusted_close,volume
2023-07-31,7.52,7.54,7.4,7.44,7.44,5500
2023-07-28,7.76,7.8,7.49,7.52,7.52,28200
2023-07-27,7.46,7.69,7.46,7.61,7.61,5000
2023-07-26,7.44,7.55,7.33,7.45,7.45,10500
2023-07-25,7.47,7.63,7.31,7.32,7.32,12800
2023-07-24,7.38,7.47,7.2,7.41,7.41,39600
2023-07-21,7.09,7.09,6.91,6.92,6.92,14100
2023-07-20,7.08,7.35,7.0,7.12,7.12,11000
2023-07-19,6.85,7.18,6.83,7.14,7.14,53100
2023-07-18,6.81,6.84,6.76,6.84,6.84,9100
2023-07-17,6.76,6.81,6.75,6.8,6.8,38400
2023-07-14,6.68,6.75,6.53,6.74,6.74,7500
2023-07-13,6.53,6.66,6.53,6.66,6.66,8600
2023-07-12,6.46,6.58,6.44,6.5,6.5,39800
2023-07-11,6.64,6.67,6.46,6.46,6.46,34400
2023-07-10,6.67,6.72,6.67,6.68,6.68,8400
2023-07-07,6.75,6.94,6.72,6.75,6.75,9900
2023-07-06,6.74,6.93,6.74,6.84,6.72,27400
2023-07-05,6.8,6.9,6.66,6.73,6.6119,24100
2023-07-03,6.66,6.8,6.66,6.8,6.6807,3200
2023-06-30,6.836,6.84,6.66,6.66,6.5432,11821
2023-06-29,6.55,6.78,6.55,6.71,6.5923,10672
2023-06-28,6.46,6.5,6.46,6.46,6.3467,1978
2023-06-27,6.44,6.49,6.37,6.42,6.3074,22591
2023-06-26,6.5,6.55,6.45,6.45,6.3368,2654
2023-06-23,6.58,6.59,6.51,6.51,6.3958,14482
2023-06-22,6.755,6.755,6.56,6.65,6.5333,11455
2023-06-21,6.76,6.83,6.62,6.64,6.5235,9542
2023-06-20,6.7,6.955,6.5,6.87,6.7495,13622
2023-06-16,6.73,6.73,6.5201,6.69,6.5726,22270
2023-06-15,6.8,6.8,6.7001,6.72,6.6021,3838
2023-06-14,6.75,6.795,6.53,6.64,6.5235,31966
2023-06-13,6.81,6.81,6.682,6.73,6.6119,4445
2023-06-12,6.74,6.78,6.65,6.71,6.5923,5511
2023-06-09,6.83,6.84,6.7001,6.8,6.6807,22587
2023-06-08,6.73,6.85,6.64,6.79,6.6709,43882
2023-06-07,6.51,6.7399,6.51,6.62,6.5039,35372
2023-06-06,6.24,6.47,6.24,6.4,6.2877,5740
2023-06-05,6.37,6.4016,6.21,6.24,6.1305,13499
2023-06-02,6.21,6.41,6.21,6.35,6.2386,6680
2023-06-01,6.36,6.37,6.19,6.22,6.1109,17582
2023-05-31,6.37,6.42,6.25,6.25,6.1404,79021
2023-05-30,6.3901,6.45,6.3315,6.36,6.2484,15305
2023-05-26,6.345,6.5,6.3408,6.49,6.3761,27843
2023-05-25,6.19,6.52,6.15,6.48,6.3663,42015
2023-05-24,6.34,6.34,6.09,6.15,6.0421,14985
2023-05-23,6.064,6.4,6.05,6.32,6.2091,17046
2023-05-22,5.9,6.0,5.81,5.98,5.8751,18643
2023-05-19,5.9683,6.0092,5.9,5.9,5.7965,13801
2023-05-18,5.96,6.02,5.89,5.89,5.7867,32688
2023-05-17,5.695,5.93,5.695,5.93,5.826,16951
2023-05-16,5.77,5.78,5.69,5.69,5.5902,15343
2023-05-15,5.845,5.88,5.77,5.79,5.6884,14297
2023-05-12,5.96,5.99,5.75,5.83,5.7277,16368
2023-05-11,5.855,5.94,5.855,5.94,5.8358,1810
2023-05-10,5.97,6.0,5.8393,5.99,5.8849,20046
2023-05-09,5.78,5.91,5.6172,5.86,5.7572,40945
2023-05-08,5.78,5.79,5.63,5.7,5.6,16449
2023-05-05,5.55,5.85,5.55,5.83,5.7277,23591
2023-05-04,5.59,5.69,5.5,5.52,5.4232,23783
2023-05-03,5.63,5.86,5.6,5.6,5.5018,29241
2023-05-02,5.82,5.82,5.59,5.66,5.5607,50309
2023-05-01,6.02,6.02,5.85,5.85,5.7474,20636
2023-04-28,5.9628,6.06,5.9628,6.02,5.9144,7025
2023-04-27,6.107,6.15,5.93,6.09,5.9832,13559
2023-04-26,6.04,6.1108,5.91,6.02,5.9144,6494
2023-04-25,6.0307,6.0307,5.88,5.89,5.7867,23855
2023-04-24,6.05,6.18,5.9782,6.09,5.9832,24327
2023-04-21,6.09,6.19,6.06,6.11,6.0028,57049
2023-04-20,6.0,6.15,5.94,5.99,5.8849,42838
2023-04-19,5.935,6.12,5.92,6.1,5.993,7368
2023-04-18,5.93,5.98,5.92,5.95,5.8456,14365
2023-04-17,6.0,6.01,5.85,5.99,5.8849,27264
2023-04-14,6.0789,6.1435,6.0,6.02,5.9144,23084
2023-04-13,6.26,6.26,6.06,6.11,6.0028,13193
2023-04-12,6.21,6.32,6.0801,6.16,6.0519,29878
2023-04-11,6.0898,6.4,6.0898,6.18,6.0716,19669
2023-04-10,6.18,6.2083,6.08,6.11,6.0028,7961
2023-04-06,6.15,6.25,6.115,6.17,6.0618,8534
2023-04-05,6.205,6.2641,6.07,6.14,6.0323,29776
2023-04-04,6.4,6.43,6.26,6.26,6.0421,29947
2023-04-03,6.36,6.54,6.36,6.39,6.1676,58855
2023-03-31,6.392,6.48,6.301,6.38,6.1579,48046
2023-03-30,6.34,6.49,6.2801,6.4,6.1772,44756
2023-03-29,6.2198,6.36,6.2198,6.34,6.1193,6380
2023-03-28,6.4024,6.4024,6.31,6.31,6.0904,6474
2023-03-27,6.26,6.4,6.18,6.35,6.129,15394
2023-03-24,6.27,6.32,6.23,6.26,6.0421,4937
