date,open,high,low,close,adjusted_close,volume
2023-07-31,4.49,4.6,4.44,4.45,4.45,36100
2023-07-28,4.45,4.5,4.41,4.47,4.47,29000
2023-07-27,4.5,4.5,4.33,4.4,4.4,19900
2023-07-26,4.39,4.5,4.37,4.46,4.46,17800
2023-07-25,4.25,4.45,4.25,4.35,4.35,50100
2023-07-24,4.29,4.44,4.25,4.28,4.28,58600
2023-07-21,4.23,4.45,4.23,4.24,4.24,28900
2023-07-20,4.16,4.37,4.15,4.29,4.29,25600
2023-07-19,4.12,4.23,4.12,4.19,4.19,53000
2023-07-18,4.1,4.2,4.02,4.12,4.12,28900
2023-07-17,4.0,4.1,3.97,4.1,4.1,17800
2023-07-14,3.97,4.06,3.95,4.01,4.01,8300
2023-07-13,4.05,4.09,3.96,4.03,4.03,4200
2023-07-12,4.06,4.14,3.99,4.11,4.11,8700
2023-07-11,4.05,4.13,4.0,4.05,4.05,9800
2023-07-10,4.01,4.08,3.85,3.97,3.97,25800
2023-07-07,3.99,4.01,3.91,3.99,3.99,9800
2023-07-06,4.01,4.05,4.01,4.01,4.01,6500
2023-07-05,4.02,4.1,4.01,4.02,4.02,6200
2023-07-03,4.07,4.15,4.0,4.01,4.01,8400
2023-06-30,3.99,4.17,3.99,4.17,4.17,10500
2023-06-29,4.01,4.1,4.0,4.1,4.1,8200
2023-06-28,4.11,4.2,4.01,4.01,4.01,10100
2023-06-27,3.91,4.18,3.91,4.15,4.15,82300
2023-06-26,3.82,4.0,3.82,3.88,3.88,15700
2023-06-23,3.95,4.06,3.86,3.88,3.88,17200
2023-06-22,4.07,4.11,3.98,4.02,4.02,10400
2023-06-21,4.03,4.17,4.0,4.02,4.02,25100
2023-06-20,3.95,4.11,3.85,3.9,3.9,43700
2023-06-16,3.97,3.98,3.88,3.88,3.88,13600
2023-06-15,4.06,4.1,3.93,3.98,3.98,39100
2023-06-14,4.22,4.32,4.13,4.13,4.13,29100
2023-06-13,4.27,4.27,4.06,4.22,4.22,41900
2023-06-12,3.95,4.25,3.95,4.03,4.03,85500
2023-06-09,3.9,3.91,3.7,3.71,3.71,14200
2023-06-08,3.82,3.84,3.73,3.84,3.84,21100
2023-06-07,3.91,3.91,3.75,3.79,3.79,8900
2023-06-06,3.92,3.92,3.75,3.75,3.75,21600
2023-06-05,3.95,3.95,3.84,3.87,3.87,11500
2023-06-02,3.87,3.98,3.82,3.91,3.91,11600
2023-06-01,3.81,3.9,3.78,3.79,3.79,22700
2023-05-31,3.88,3.9,3.81,3.81,3.81,13500
2023-05-30,3.78,3.89,3.78,3.89,3.89,13600
2023-05-26,3.85,3.92,3.76,3.79,3.79,6700
2023-05-25,3.83,3.89,3.82,3.82,3.82,1800
2023-05-24,3.9,3.9,3.83,3.84,3.84,2600
2023-05-23,3.97,3.97,3.88,3.88,3.88,6700
2023-05-22,3.97,4.05,3.97,4.04,4.04,1800
2023-05-19,3.89,4.03,3.89,3.97,3.97,8700
2023-05-18,3.9,3.99,3.88,3.88,3.88,21100
2023-05-17,3.92,3.93,3.85,3.93,3.93,9500
2023-05-16,3.96,3.98,3.89,3.89,3.89,2600
2023-05-15,3.81,4.08,3.73,3.82,3.82,47000
2023-05-12,3.87,3.87,3.73,3.73,3.73,28400
2023-05-11,3.87,3.87,3.71,3.78,3.78,6800
2023-05-10,3.75,3.8,3.67,3.8,3.8,15100
2023-05-09,3.72,3.86,3.68,3.75,3.75,54900
2023-05-08,3.74,3.82,3.65,3.72,3.72,34900
2023-05-05,3.65,3.84,3.65,3.83,3.83,27200
2023-05-04,3.85,3.88,3.65,3.72,3.72,57000
2023-05-03,3.82,3.94,3.81,3.86,3.86,19500
2023-05-02,3.68,3.84,3.54,3.83,3.83,94000
2023-05-01,3.72,4.04,3.67,3.7,3.7,157200
2023-04-28,3.85,3.85,3.58,3.72,3.72,54700
2023-04-27,3.99,3.99,3.87,3.87,3.87,7100
2023-04-26,4.12,4.13,4.0,4.0,4.0,20100
2023-04-25,4.11,4.15,4.11,4.13,4.13,2000
2023-04-24,4.11,4.19,4.01,4.11,4.11,11900
2023-04-21,4.24,4.25,4.04,4.11,4.11,21800
2023-04-20,4.33,4.38,4.28,4.34,4.34,7100
2023-04-19,4.32,4.42,4.32,4.37,4.37,3100
2023-04-18,4.4,4.4,4.34,4.34,4.34,5200
2023-04-17,4.4,4.53,4.36,4.37,4.37,30000
2023-04-14,4.4,4.42,4.28,4.38,4.38,15400
2023-04-13,4.34,4.4,4.3,4.33,4.33,15300
2023-04-12,4.37,4.37,4.28,4.34,4.34,8600
2023-04-11,4.36,4.45,4.36,4.37,4.37,8400
2023-04-10,4.08,4.26,3.92,4.26,4.26,17100
2023-04-06,3.95,4.03,3.89,4.03,4.03,14500
2023-04-05,3.88,3.89,3.75,3.89,3.89,4700
2023-04-04,3.96,3.96,3.87,3.89,3.89,4400
2023-04-03,3.97,3.97,3.96,3.96,3.96,8400
2023-03-31,3.93,3.97,3.84,3.96,3.96,16300
2023-03-30,3.98,3.98,3.9,3.97,3.97,4400
2023-03-29,3.99,4.0,3.95,3.96,3.96,7300
2023-03-28,3.94,4.0,3.84,3.93,3.93,19100
2023-03-27,3.66,3.89,3.66,3.86,3.86,28700
2023-03-24,3.85,3.85,3.62,3.66,3.66,10100
2023-03-23,3.86,3.9,3.85,3.85,3.85,15100
