date,open,high,low,close,adjusted_close,volume
2023-07-31,8.94,9.25,8.92,9.24,9.24,59700
2023-07-28,8.95,9.07,8.88,8.94,8.94,66100
2023-07-27,9.37,9.46,8.87,8.95,8.95,78200
2023-07-26,9.31,9.47,9.27,9.36,9.36,61200
2023-07-25,9.33,9.48,9.3,9.34,9.34,69400
2023-07-24,9.36,9.55,9.21,9.32,9.32,85000
2023-07-21,9.78,9.78,9.36,9.37,9.37,73500
2023-07-20,10.24,10.24,9.53,9.68,9.68,94700
2023-07-19,10.53,10.58,10.1,10.24,10.24,126700
2023-07-18,10.83,10.95,10.53,10.57,10.57,64600
2023-07-17,10.96,10.99,10.53,10.96,10.96,104600
2023-07-14,10.5,11.3,10.5,11.0,11.0,116700
2023-07-13,9.76,10.52,9.76,10.44,10.44,141000
2023-07-12,9.75,9.99,9.67,9.76,9.76,161500
2023-07-11,9.53,10.42,9.13,9.54,9.54,422100
2023-07-10,12.66,12.66,11.25,11.34,11.34,169200
2023-07-07,12.87,13.23,12.54,12.64,12.64,152100
2023-07-06,12.44,12.89,12.41,12.8,12.8,108800
2023-07-05,12.62,12.78,12.3,12.51,12.51,90600
2023-07-03,12.53,12.82,11.96,12.8,12.8,33800
2023-06-30,12.37,12.54,12.21,12.48,12.48,103700
2023-06-29,11.99,12.4,11.95,12.28,12.28,63900
2023-06-28,11.99,12.05,11.78,11.93,11.93,52600
2023-06-27,11.46,12.14,11.46,11.89,11.89,78700
2023-06-26,11.0,11.69,10.88,11.57,11.57,107000
2023-06-23,11.33,11.51,11.12,11.27,11.27,1692900
2023-06-22,11.56,11.9,11.5,11.54,11.54,89400
2023-06-21,11.4,11.87,11.4,11.67,11.67,96300
2023-06-20,11.52,11.66,11.14,11.47,11.47,98400
2023-06-16,12.03,12.09,11.59,11.65,11.65,70100
2023-06-15,11.8,12.15,11.75,12.04,12.04,65400
2023-06-14,11.94,12.17,11.76,11.83,11.83,89400
2023-06-13,11.82,12.18,11.74,11.79,11.79,125200
2023-06-12,12.1,12.26,11.67,11.75,11.75,86100
2023-06-09,11.95,12.17,11.2,12.09,12.09,70500
2023-06-08,11.46,12.07,11.41,11.82,11.82,95500
2023-06-07,11.1,11.78,11.08,11.45,11.45,99400
2023-06-06,10.47,11.18,10.47,11.09,11.09,56700
2023-06-05,10.27,10.53,10.1,10.42,10.42,71000
2023-06-02,9.95,10.52,9.95,10.37,10.37,90800
2023-06-01,9.72,10.08,9.72,9.82,9.82,88200
2023-05-31,9.67,9.99,9.4,9.68,9.68,85500
2023-05-30,9.3,9.84,9.19,9.76,9.76,63800
2023-05-26,9.2,9.31,9.02,9.23,9.23,54600
2023-05-25,8.83,9.15,8.77,9.02,9.02,67600
2023-05-24,9.21,9.25,8.75,8.99,8.99,48700
2023-05-23,9.49,9.69,9.08,9.29,9.29,59300
2023-05-22,9.48,9.72,9.15,9.54,9.54,94000
2023-05-19,8.56,9.52,8.55,9.48,9.48,117800
2023-05-18,8.25,8.76,8.25,8.56,8.56,161600
2023-05-17,9.2,9.2,8.23,8.26,8.26,191200
2023-05-16,9.89,10.5,8.46,8.67,8.67,467600
2023-05-15,11.94,12.26,11.94,12.0,12.0,63100
2023-05-12,12.15,12.3,11.99,12.03,12.03,53000
2023-05-11,12.25,12.29,11.67,12.07,12.07,98800
2023-05-10,13.0,13.0,12.3,12.42,12.42,51000
2023-05-09,12.86,13.18,12.75,13.02,13.02,55900
2023-05-08,12.69,13.0,12.55,12.92,12.92,38600
2023-05-05,12.77,12.9,12.42,12.7,12.7,42800
2023-05-04,12.81,13.05,12.52,12.67,12.67,34600
2023-05-03,12.92,13.35,12.92,12.92,12.92,49000
2023-05-02,12.36,13.1,12.36,12.92,12.92,46700
2023-05-01,12.73,12.91,12.31,12.51,12.51,63200
2023-04-28,12.24,12.92,12.2,12.77,12.77,54400
2023-04-27,12.31,12.64,12.28,12.33,12.33,37800
2023-04-26,12.31,12.58,12.25,12.25,12.25,48300
2023-04-25,12.72,12.75,12.13,12.41,12.41,123600
2023-04-24,13.6,13.64,12.41,12.92,12.92,103500
2023-04-21,14.42,14.6,13.58,13.61,13.61,153900
2023-04-20,14.57,14.59,14.34,14.46,14.46,64000
2023-04-19,14.17,14.75,14.12,14.7,14.7,90353
2023-04-18,13.86,14.18,13.755,14.17,14.17,67946
2023-04-17,13.92,14.0,13.6,13.93,13.93,54503
2023-04-14,13.77,13.99,13.7,13.92,13.92,46490
2023-04-13,14.03,14.1,13.665,13.85,13.85,48662
2023-04-12,13.88,14.35,13.3402,14.07,14.07,77399
2023-04-11,13.12,14.15,13.12,13.81,13.81,215218
2023-04-10,12.32,13.3,12.1,13.24,13.24,71502
2023-04-06,12.31,12.46,12.25,12.39,12.39,22069
2023-04-05,12.38,12.42,12.14,12.3,12.3,43575
2023-04-04,12.98,12.9801,12.375,12.54,12.54,34904
2023-04-03,12.36,12.98,12.21,12.92,12.92,82872
2023-03-31,12.03,12.35,11.9301,12.33,12.33,33945
2023-03-30,12.18,12.18,11.87,11.94,11.94,32069
2023-03-29,12.1,12.14,11.97,12.03,12.03,29440
2023-03-28,11.99,12.18,11.91,11.91,11.91,30069
2023-03-27,12.19,12.19,12.04,12.11,12.11,15603
2023-03-24,11.95,12.17,11.93,12.1,12.1,33874
2023-03-23,12.03,12.24,11.99,12.1,12.1,50769
2023-03-22,11.76,12.17,11.7,11.85,11.85,59922
2023-03-21,11.88,12.11,11.76,11.76,11.76,45121
2023-03-20,11.71,11.82,11.55,11.71,11.71,78176
2023-03-17,11.87,12.04,11.39,11.59,11.59,82009
2023-03-16,11.54,12.13,11.42,12.06,12.06,55949
2023-03-15,11.71,11.8,11.38,11.72,11.72,70722
2023-03-14,11.48,12.14,11.41,12.09,12.09,93357
2023-03-13,11.36,11.57,11.15,11.5,11.5,62050
2023-03-10,11.74,11.89,11.45,11.61,11.61,74907
2023-03-09,11.7,12.0,11.7,11.77,11.77,73152
2023-03-08,11.9,12.09,11.45,11.69,11.69,128266
2023-03-07,11.87,12.05,11.515,11.91,11.91,68369
2023-03-06,12.15,12.24,11.84,11.97,11.97,77268
2023-03-03,11.9,12.225,11.87,12.15,12.15,72350
2023-03-02,11.62,12.05,11.49,11.77,11.77,66709
2023-03-01,11.25,11.86,11.25,11.71,11.71,73393
2023-02-28,11.35,11.7499,11.35,11.43,11.43,46099
2023-02-27,11.27,11.48,11.181,11.37,11.37,38353
2023-02-24,11.05,11.37,11.05,11.25,11.25,48086
2023-02-23,11.37,11.37,11.02,11.25,11.25,44780
2023-02-22,11.15,11.32,11.0,11.31,11.31,49403
2023-02-21,11.0,11.2599,10.9,11.07,11.07,91262
2023-02-17,10.64,11.14,10.64,11.1,11.1,86955
2023-02-16,10.29,10.95,10.28,10.7,10.7,58843
2023-02-15,10.33,10.7099,10.33,10.49,10.49,35526
2023-02-14,10.45,10.69,10.245,10.48,10.48,40394
2023-02-13,10.41,10.7,10.4027,10.54,10.54,25188
2023-02-10,10.44,10.67,10.3,10.48,10.48,32291
2023-02-09,10.75,10.9,10.501,10.55,10.55,46430
2023-02-08,10.74,10.91,10.54,10.59,10.59,44344
2023-02-07,10.24,11.12,10.24,10.89,10.89,111120
2023-02-06,10.27,10.38,10.0,10.26,10.26,58081
2023-02-03,10.5,10.79,10.41,10.42,10.42,48801
2023-02-02,10.72,10.9,10.47,10.56,10.56,60829
2023-02-01,10.63,10.89,10.4,10.7,10.7,96035
2023-01-31,10.2,10.77,10.0753,10.545,10.545,114627
2023-01-30,10.01,10.28,9.92,10.24,10.24,35242
2023-01-27,10.13,10.41,10.0837,10.19,10.19,42894
2023-01-26,10.45,10.45,10.05,10.25,10.25,81342
2023-01-25,10.12,10.46,10.11,10.315,10.315,68500
2023-01-24,10.3,10.67,9.5,10.27,10.27,102129
2023-01-23,10.08,10.5,9.8,10.44,10.44,80093
2023-01-20,9.59,10.19,9.59,10.08,10.08,70661
2023-01-19,9.33,9.685,9.2,9.44,9.44,48446
2023-01-18,10.16,10.16,9.1,9.53,9.53,84458
2023-01-17,10.29,10.29,9.97,10.07,10.07,38005
2023-01-13,10.09,10.46,10.09,10.29,10.29,46095
2023-01-12,10.28,10.49,9.96,10.33,10.33,59910
2023-01-11,9.55,10.27,9.5,10.17,10.17,99486
2023-01-10,8.1,9.531,8.1,9.48,9.48,82523
2023-01-09,9.03,9.37,8.9675,9.07,9.07,88697
2023-01-06,8.68,9.06,8.6,9.02,9.02,28126
2023-01-05,8.73,8.73,8.4,8.63,8.63,39282
2023-01-04,8.47,8.76,8.42,8.72,8.72,42948
2023-01-03,8.59,8.8,8.375,8.47,8.47,55935
2022-12-30,8.3,8.51,8.21,8.38,8.38,91817
2022-12-29,8.08,8.59,8.0709,8.33,8.33,65834
2022-12-28,8.07,8.18,7.85,7.99,7.99,86905
2022-12-27,8.32,8.58,8.09,8.13,8.13,74592
2022-12-23,8.3,8.42,8.3,8.32,8.32,21568
2022-12-22,8.5,8.605,8.06,8.29,8.29,32518
2022-12-21,8.54,8.87,8.51,8.6,8.6,49586
2022-12-20,8.47,8.85,8.43,8.51,8.51,62406
2022-12-19,8.53,8.98,8.4471,8.5,8.5,74163
2022-12-16,8.64,9.0,8.11,8.64,8.64,69276
2022-12-15,9.0,9.0977,8.5,8.71,8.71,115258
2022-12-14,9.27,9.622,9.05,9.1,9.1,74457
2022-12-13,9.7,9.94,9.2242,9.3,9.3,126092
2022-12-12,9.34,9.51,9.24,9.34,9.34,29094
2022-12-09,9.61,9.645,9.32,9.41,9.41,29933
2022-12-08,9.72,9.88,9.5453,9.68,9.68,30345
2022-12-07,9.69,9.88,9.52,9.65,9.65,44224
2022-12-06,9.83,9.83,9.49,9.71,9.71,40186
2022-12-05,10.02,10.125,9.74,9.83,9.83,54819
2022-12-02,10.4,10.495,9.91,10.3,10.3,74033
2022-12-01,11.08,11.39,10.61,10.67,10.67,81315
2022-11-30,10.95,11.15,10.7,10.99,10.99,101656
2022-11-29,10.77,10.96,10.625,10.75,10.75,56360
2022-11-28,10.9,11.09,10.61,10.66,10.66,94077
2022-11-25,10.99,11.18,10.88,10.94,10.94,67224
2022-11-23,10.97,11.23,10.79,10.9,10.9,84896
2022-11-22,10.89,11.08,10.555,10.9,10.9,71632
2022-11-21,10.61,10.88,10.24,10.77,10.77,84951
2022-11-18,10.66,10.73,10.09,10.55,10.55,79759
2022-11-17,10.49,10.6,10.07,10.43,10.43,96249
2022-11-16,11.04,11.17,10.5,10.65,10.65,76373
2022-11-15,10.88,11.24,10.88,11.1,11.1,132070
2022-11-14,10.19,10.87,9.985,10.75,10.75,135092
2022-11-11,10.8,11.13,10.2,10.28,10.28,247438
2022-11-10,10.49,10.98,10.355,10.8,10.8,193286
2022-11-09,10.09,10.41,9.88,10.12,10.12,146375
2022-11-08,10.12,10.3984,9.82,10.21,10.21,124020
2022-11-07,9.91,10.36,9.6629,10.05,10.05,132071
2022-11-04,9.68,10.1,9.2,9.91,9.91,128163
2022-11-03,9.27,10.092,9.22,9.43,9.43,155791
2022-11-02,9.64,9.9,9.26,9.46,9.46,163774
2022-11-01,9.39,9.78,9.19,9.4,9.4,127611
2022-10-31,8.77,9.36,8.735,9.25,9.25,64913
2022-10-28,8.49,9.01,8.27,8.86,8.86,91788
2022-10-27,8.83,8.87,8.46,8.47,8.47,41742
2022-10-26,8.73,8.9,8.62,8.78,8.78,47362
2022-10-25,8.5,8.95,8.5,8.77,8.77,61894
2022-10-24,8.29,8.59,8.09,8.46,8.46,111242
2022-10-21,7.61,8.27,7.555,8.13,8.13,117649
2022-10-20,7.42,7.66,7.305,7.49,7.49,91398
2022-10-19,7.18,7.38,7.04,7.36,7.36,103528
2022-10-18,7.1,7.42,7.01,7.16,7.16,160141
2022-10-17,6.49,7.02,6.49,6.91,6.91,225925
2022-10-14,7.07,7.17,6.25,6.275,6.275,192122
2022-10-13,6.5,7.28,6.23,7.06,7.06,291317
2022-10-12,6.5,7.07,6.5,6.55,6.55,485729
2022-10-11,6.91,7.47,6.85,7.22,7.22,156573
2022-10-10,7.16,7.24,6.79,7.025,7.025,116080
2022-10-07,7.65,7.66,7.14,7.19,7.19,80097
2022-10-06,8.0,8.08,7.655,7.75,7.75,56958
2022-10-05,7.89,8.25,7.79,8.02,8.02,77439
2022-10-04,8.02,8.2,7.97,8.06,8.06,53645
2022-10-03,7.71,8.01,7.61,7.88,7.88,89246
2022-09-30,7.94,8.1,7.56,7.61,7.61,120230
2022-09-29,7.71,7.95,7.595,7.9,7.9,92429
2022-09-28,7.39,7.84,7.39,7.76,7.76,113055
2022-09-27,7.15,7.4,7.08,7.3,7.3,75062
2022-09-26,6.66,7.24,6.66,6.95,6.95,95014
2022-09-23,7.02,7.0896,6.69,6.77,6.77,139522
2022-09-22,7.31,7.3524,7.06,7.07,7.07,51997
2022-09-21,7.55,7.62,7.35,7.38,7.38,63142
2022-09-20,7.27,7.52,7.18,7.45,7.45,71776
2022-09-19,7.23,7.4899,7.07,7.35,7.35,61306
2022-09-16,7.32,7.51,7.26,7.36,7.36,95870
2022-09-15,7.36,7.62,7.345,7.5,7.5,36499
2022-09-14,7.72,7.72,7.33,7.45,7.45,61121
2022-09-13,7.89,7.97,7.685,7.78,7.78,82422
2022-09-12,8.41,8.55,8.14,8.19,8.19,38581
2022-09-09,8.33,8.46,8.27,8.43,8.43,37722
2022-09-08,8.25,8.3,8.01,8.28,8.28,42744
2022-09-07,8.0,8.36,7.92,8.33,8.33,71541
2022-09-06,8.46,8.46,8.02,8.11,8.11,58382
2022-09-02,9.02,9.02,8.55,8.56,8.56,38245
2022-09-01,9.56,9.6,8.6501,8.96,8.96,103130
2022-08-31,9.68,9.7,9.415,9.64,9.64,64039
2022-08-30,9.82,9.96,9.35,9.57,9.57,97164
2022-08-29,9.71,9.89,9.7,9.8,9.8,43515
2022-08-26,10.18,10.4,9.71,9.74,9.74,68110
2022-08-25,9.92,10.24,9.88,10.17,10.17,73444
2022-08-24,9.79,9.96,9.695,9.85,9.85,53864
2022-08-23,9.88,10.0,9.63,9.73,9.73,83349
2022-08-22,9.66,10.0,9.475,9.6,9.6,102963
2022-08-19,9.97,10.25,9.6157,9.86,9.86,116304
2022-08-18,9.89,10.18,9.7501,10.11,10.11,102220
2022-08-17,9.92,10.03,9.67,9.86,9.86,110846
2022-08-16,9.87,10.33,9.72,9.96,9.96,170175
2022-08-15,9.52,9.9,9.4201,9.83,9.83,95718
2022-08-12,9.52,9.7,9.275,9.52,9.52,78660
2022-08-11,9.55,9.58,9.3,9.34,9.34,108944
2022-08-10,9.16,9.42,8.97,9.31,9.31,44398
2022-08-09,9.35,9.36,8.91,8.95,8.95,90822
2022-08-08,8.97,9.3,8.96,9.28,9.28,108464
2022-08-05,9.21,9.21,8.87,8.91,8.91,73610
2022-08-04,9.19,9.4247,9.1,9.1,9.1,76952
2022-08-03,9.01,9.16,8.94,9.01,9.01,65883
