date,open,high,low,close,adjusted_close,volume
2023-07-31,12.86,13.26,12.82,13.07,13.07,13445200
2023-07-28,12.55,12.86,12.45,12.79,12.79,16138300
2023-07-27,13.0,13.02,12.24,12.29,12.29,16434600
2023-07-26,12.55,12.81,12.47,12.76,12.76,12544500
2023-07-25,12.58,12.79,12.42,12.53,12.53,15816500
2023-07-24,13.01,13.11,12.56,12.61,12.61,16752300
2023-07-21,13.24,13.4,12.87,12.93,12.93,40073700
2023-07-20,13.16,13.42,13.04,13.11,13.11,15620900
2023-07-19,12.84,13.36,12.83,13.28,13.28,19700900
2023-07-18,12.33,13.05,12.32,12.77,12.77,20815500
2023-07-17,12.36,12.36,12.14,12.31,12.31,17472100
2023-07-14,13.05,13.09,12.37,12.4,12.4,17652800
2023-07-13,13.23,13.27,12.55,13.1,13.1,22969600
2023-07-12,13.5,13.59,13.07,13.16,13.16,14585600
2023-07-11,12.94,13.34,12.92,13.3,13.3,16808500
2023-07-10,12.51,13.03,12.44,12.95,12.95,15047900
2023-07-07,12.25,12.82,12.25,12.54,12.54,13769200
2023-07-06,12.64,12.7,12.4,12.67,12.67,14078800
2023-07-05,12.87,13.04,12.54,12.83,12.83,14367600
2023-07-03,12.52,13.03,12.51,13.01,13.01,11593100
2023-06-30,12.53,12.58,12.41,12.54,12.54,17328000
2023-06-29,12.3,12.5,12.23,12.42,12.42,13587800
2023-06-28,12.27,12.5,12.13,12.45,12.45,17592500
2023-06-27,11.83,12.44,11.78,12.27,12.27,31123900
2023-06-26,11.79,12.0,11.6,11.78,11.78,27227300
2023-06-23,11.94,11.97,11.67,11.79,11.79,57381300
2023-06-22,12.37,12.41,12.02,12.09,12.09,19138500
2023-06-21,12.19,12.48,12.06,12.37,12.37,27539200
2023-06-20,12.65,12.74,12.15,12.19,12.19,30172600
2023-06-16,13.09,13.11,12.58,12.8,12.8,46119100
2023-06-15,13.61,13.62,12.85,13.13,13.13,43427100
2023-06-14,13.85,14.14,13.5,13.67,13.67,26280000
2023-06-13,14.12,14.48,13.75,13.79,13.79,19999500
2023-06-12,13.92,14.23,13.81,13.97,13.97,16927000
2023-06-09,14.11,14.17,13.6,13.84,13.84,25204100
2023-06-08,13.12,14.21,13.09,14.02,14.02,43172300
2023-06-07,12.12,13.34,12.12,13.12,13.12,47243100
2023-06-06,11.54,12.2,11.54,12.1,12.1,18359800
2023-06-05,11.75,11.88,11.47,11.63,11.63,15053800
2023-06-02,11.53,11.85,11.44,11.75,11.75,19190600
2023-06-01,11.3,11.61,10.9,11.35,11.35,20503000
2023-05-31,11.34,11.52,11.22,11.28,11.28,35876700
2023-05-30,11.5,11.57,11.13,11.3,11.3,19895200
2023-05-26,11.17,11.49,11.01,11.44,11.44,21299200
2023-05-25,11.57,11.57,11.04,11.09,11.09,21466800
2023-05-24,11.7,11.9,11.37,11.66,11.66,17325000
2023-05-23,12.13,12.24,11.66,11.69,11.69,20315300
2023-05-22,12.22,12.32,11.97,12.16,12.16,15850000
2023-05-19,12.4,12.46,12.16,12.2,12.2,13194200
2023-05-18,12.51,12.58,12.19,12.4,12.4,16779300
2023-05-17,12.29,12.68,12.18,12.51,12.51,15072200
2023-05-16,12.78,12.82,12.09,12.15,12.15,20245000
2023-05-15,12.62,12.82,12.46,12.81,12.81,13879700
2023-05-12,12.38,12.63,12.25,12.51,12.51,18620800
