date,open,high,low,close,adjusted_close,volume
2023-07-31,228.24,230.96,227.81,229.5,229.5,108100
2023-07-28,228.29,229.95,227.69,228.7,228.7,107800
2023-07-27,227.41,228.99,226.29,227.46,227.46,121000
2023-07-26,225.58,229.75,224.17,226.25,226.25,175200
2023-07-25,222.4,227.54,221.81,226.65,226.65,96300
2023-07-24,218.46,223.2,218.46,222.37,222.37,76300
2023-07-21,217.41,219.27,214.13,218.57,218.57,168800
2023-07-20,222.03,222.09,212.21,216.69,216.69,164900
2023-07-19,224.91,225.48,221.71,222.58,222.58,60600
2023-07-18,223.81,224.67,221.67,224.67,224.67,59600
2023-07-17,224.56,226.04,221.98,224.54,224.54,89400
2023-07-14,223.03,226.44,221.59,224.56,224.56,120800
2023-07-13,223.63,225.07,220.52,222.8,222.8,170600
2023-07-12,231.58,233.44,221.5,222.73,221.9,379400
2023-07-11,209.0,234.69,207.89,229.63,228.7743,1078800
2023-07-10,189.45,196.87,189.45,193.8,193.0778,275700
2023-07-07,185.6,191.22,185.15,189.86,189.1525,159600
2023-07-06,185.03,187.34,182.87,185.09,184.4003,69300
2023-07-05,188.91,189.87,185.47,186.25,185.5559,83900
2023-07-03,188.65,189.29,187.45,189.29,188.5846,26700
2023-06-30,188.46,190.77,186.3,188.65,187.947,85700
2023-06-29,184.95,188.31,184.27,186.54,185.8449,57300
2023-06-28,185.97,185.97,183.72,184.94,184.2508,62200
2023-06-27,185.08,187.92,184.05,185.94,185.2471,56700
2023-06-26,184.12,187.56,182.53,185.05,184.3604,73200
2023-06-23,187.93,190.21,183.7,184.12,183.4339,113300
2023-06-22,191.54,193.32,188.94,188.99,188.2857,94000
2023-06-21,194.41,195.12,191.3,191.62,190.9059,107700
2023-06-20,201.1,201.59,193.96,194.67,193.9446,91300
2023-06-16,203.71,204.24,198.61,201.11,200.3606,223100
2023-06-15,199.52,202.98,198.63,202.69,201.9347,112600
2023-06-14,195.79,200.31,195.78,198.81,198.0691,83100
2023-06-13,194.79,196.62,194.08,195.09,194.363,49700
2023-06-12,191.29,195.38,191.13,194.91,194.1837,74900
2023-06-09,191.02,191.02,189.71,190.92,190.2085,42300
2023-06-08,190.77,192.77,188.72,192.02,191.3044,70900
2023-06-07,189.23,192.37,188.54,190.54,189.83,107900
2023-06-06,187.55,190.08,187.52,188.99,188.2857,80600
2023-06-05,196.14,196.14,186.51,187.81,187.1101,91300
2023-06-02,192.11,198.8,191.5,197.55,196.8138,106000
2023-06-01,189.65,192.57,189.16,192.11,191.3941,80700
2023-05-31,191.62,193.87,188.88,189.65,188.9433,62200
2023-05-30,190.44,193.95,188.55,191.62,190.9059,61000
2023-05-26,189.14,191.92,188.82,190.45,189.7403,53000
2023-05-25,190.2,191.5,189.38,189.93,189.2222,68300
2023-05-24,188.52,190.95,188.5,190.6,189.8897,42300
2023-05-23,192.56,192.56,187.66,189.18,188.475,89900
2023-05-22,191.75,193.25,191.19,192.8,192.0815,77700
2023-05-19,193.82,193.82,191.13,192.44,191.7229,57400
2023-05-18,189.66,192.81,188.94,191.99,191.2746,55200
2023-05-17,189.46,191.35,186.8,191.03,190.3181,60900
2023-05-16,188.77,190.23,188.45,189.49,188.7839,42000
2023-05-15,192.56,193.28,189.54,189.9,189.1923,51200
2023-05-12,194.75,195.29,192.13,192.49,191.7727,117900
2023-05-11,199.08,199.12,192.38,194.49,193.7652,84900
2023-05-10,191.03,199.31,189.88,198.91,198.1688,184400
2023-05-09,183.6,189.83,183.21,189.49,188.7839,92700
2023-05-08,184.43,186.24,183.4,184.58,183.8922,59000
2023-05-05,189.94,189.94,184.26,184.49,183.8025,106500
2023-05-04,184.0,189.6,184.0,189.39,188.6842,82800
2023-05-03,182.27,185.54,182.27,183.94,183.2546,166600
2023-05-02,186.36,188.26,181.38,181.63,180.9532,127000
2023-05-01,189.75,192.01,187.22,187.36,186.6618,108300
2023-04-28,192.78,194.51,190.3,190.4,189.6905,108100
2023-04-27,192.22,195.19,191.09,192.62,191.9022,61900
2023-04-26,196.85,197.5,190.96,191.55,190.8362,131900
2023-04-25,195.55,197.42,195.16,197.1,196.3655,86400
2023-04-24,196.26,197.77,194.55,196.71,195.977,79100
2023-04-21,190.93,199.7,190.93,197.3,196.5648,135500
2023-04-20,189.31,190.08,187.93,189.43,188.7241,101300
2023-04-19,187.42,190.16,185.56,189.55,188.8436,86600
2023-04-18,185.95,187.96,183.89,187.61,186.9109,121500
2023-04-17,182.45,189.54,182.36,186.41,185.7153,192500
2023-04-14,178.73,180.81,176.56,180.6,179.927,135100
2023-04-13,177.01,179.55,175.79,179.38,178.7115,112700
2023-04-12,174.9,177.29,172.97,177.08,175.5932,99800
2023-04-11,173.22,176.68,171.15,173.95,172.4895,157900
2023-04-10,169.99,173.24,163.82,172.35,170.9029,415400
2023-04-06,179.11,180.0,177.15,178.61,177.1104,162100
2023-04-05,176.9,179.14,176.2,178.67,177.1699,84400
2023-04-04,177.11,178.83,176.18,176.47,174.9883,75200
2023-04-03,177.58,178.11,174.34,176.95,175.4643,186800
2023-03-31,176.66,181.16,176.35,178.05,176.5551,124800
2023-03-30,172.73,175.44,172.73,175.36,173.8876,60500
2023-03-29,173.78,174.72,172.25,172.53,171.0814,62000
2023-03-28,171.75,173.36,171.4,172.52,171.0715,64900
2023-03-27,174.5,175.11,172.73,172.76,171.3095,70300
2023-03-24,169.99,173.84,168.13,173.29,171.835,77900
2023-03-23,170.29,173.21,169.1,170.22,168.7908,89500
2023-03-22,173.49,175.77,170.0,170.38,168.9495,98700
2023-03-21,177.22,178.9,171.83,174.01,172.549,118700
2023-03-20,172.57,177.28,172.57,176.49,175.0082,132800
2023-03-17,174.68,175.0,171.37,171.89,170.4468,220000
2023-03-16,171.96,176.85,170.6,175.7,174.2248,111700
2023-03-15,170.78,173.83,168.35,173.71,172.2515,84600
2023-03-14,173.58,175.0,170.49,172.91,171.4582,92900
2023-03-13,168.37,173.6,166.4,170.43,168.999,88900
2023-03-10,168.04,170.71,166.9,169.33,167.9083,83600
2023-03-09,169.88,170.74,167.99,168.7,167.2836,147200
2023-03-08,171.36,172.0,169.16,169.51,168.0868,111900
2023-03-07,169.67,171.42,167.7,171.12,169.6832,89400
2023-03-06,173.05,173.83,168.1,169.67,168.2454,107000
2023-03-03,171.89,173.07,169.88,172.95,171.4979,57200
2023-03-02,170.24,172.58,169.77,171.63,170.189,61700
2023-03-01,173.74,174.8,168.38,171.55,170.1096,113800
2023-02-28,172.26,174.43,171.4,173.43,171.9739,56600
2023-02-27,173.47,175.22,171.82,173.28,171.8251,53900
2023-02-24,172.59,173.78,171.0,172.51,171.0616,55400
2023-02-23,175.26,176.49,171.51,174.44,172.9754,67600
2023-02-22,173.88,176.5,172.4,174.96,173.491,70200
2023-02-21,174.87,175.5,170.92,173.35,171.8945,74600
2023-02-17,175.82,177.87,175.0,175.79,174.314,60200
2023-02-16,175.73,177.12,173.62,175.0,173.5307,56400
2023-02-15,176.5,178.32,175.5,177.7,176.208,53000
2023-02-14,177.76,178.76,175.29,177.7,176.208,82500
2023-02-13,174.48,178.99,174.18,178.65,177.15,58000
2023-02-10,170.52,174.11,170.35,173.47,172.0135,40700
2023-02-09,174.2,176.0,171.29,171.3,169.8617,64700
2023-02-08,176.09,177.52,172.84,173.54,172.0829,55400
2023-02-07,174.57,178.13,173.4,177.62,176.1287,79100
2023-02-06,181.2,182.0,175.49,175.85,174.3735,84900
2023-02-03,184.63,186.49,178.15,181.46,179.9364,99800
2023-02-02,179.66,186.93,178.5,186.26,184.6961,133800
2023-02-01,173.2,179.28,173.2,178.12,176.6245,88900
2023-01-31,173.53,175.39,172.53,174.54,173.0745,71700
2023-01-30,172.37,175.4,171.48,171.94,170.4964,64800
2023-01-27,173.1,173.79,170.25,172.96,171.5078,65700
2023-01-26,174.06,175.1,171.41,172.71,171.2599,52200
2023-01-25,172.26,174.41,171.26,173.37,171.9144,109500
2023-01-24,174.12,175.6,172.1,173.89,172.43,57600
2023-01-23,177.13,179.1,173.61,174.78,173.3125,93800
2023-01-20,169.52,176.71,168.5,176.71,175.2263,107200
2023-01-19,169.4,170.73,167.65,168.0,166.5894,112500
2023-01-18,174.08,175.35,169.29,169.59,168.1661,102300
2023-01-17,175.48,177.39,172.36,174.64,173.1737,94500
2023-01-13,171.3,176.43,170.5,174.64,173.1737,81300
2023-01-12,169.71,171.93,167.5,171.62,170.1791,103500
2023-01-11,165.94,173.86,165.94,169.42,167.1745,132600
2023-01-10,162.0,166.76,158.6,164.29,162.1125,249500
2023-01-09,161.55,167.89,160.46,162.6,160.4449,271800
2023-01-06,163.93,165.79,160.71,161.13,158.9944,91100
2023-01-05,161.18,163.32,159.78,162.59,160.435,88600
2023-01-04,163.55,164.44,160.76,161.18,159.0437,85800
2023-01-03,162.44,163.47,160.36,163.05,160.8889,122800
2022-12-30,160.76,161.84,160.0,161.21,159.0733,69200
2022-12-29,160.76,163.39,160.5,162.64,160.4844,102300
2022-12-28,160.98,162.38,160.0,160.18,158.057,70000
2022-12-27,160.85,163.82,159.75,160.9,158.7674,63800
2022-12-23,160.34,162.41,160.32,160.85,158.7181,62300
2022-12-22,162.78,163.65,159.81,161.18,159.0437,128000
2022-12-21,160.75,163.0,160.22,163.0,160.8396,76000
2022-12-20,159.39,161.27,158.85,160.33,158.205,83600
2022-12-19,160.28,160.97,159.48,159.72,157.6031,100500
2022-12-16,158.44,161.61,157.52,160.43,158.3036,186000
2022-12-15,164.14,164.18,160.2,160.32,158.1951,94100
2022-12-14,166.52,170.0,165.05,165.62,163.4249,87200
2022-12-13,171.86,172.78,165.78,166.52,164.3129,87500
2022-12-12,166.39,169.36,165.16,168.57,166.3358,59600
2022-12-09,167.66,169.07,166.07,166.28,164.0761,64500
2022-12-08,167.0,169.69,165.58,167.92,165.6944,64000
2022-12-07,167.14,171.21,165.73,166.85,164.6386,46200
2022-12-06,172.0,172.0,166.45,167.36,165.1418,57600
2022-12-05,170.69,172.64,165.9,172.5,170.2137,74100
2022-12-02,169.08,173.45,168.24,173.01,170.7169,73300
2022-12-01,167.71,171.48,164.38,171.02,168.7533,93900
2022-11-30,167.62,170.9,164.03,167.5,165.2799,175900
2022-11-29,172.0,172.97,168.11,168.56,166.3259,111200
2022-11-28,173.75,175.1,171.01,171.95,169.671,73900
2022-11-25,173.16,176.59,172.61,175.33,173.0062,46700
2022-11-23,173.78,177.65,172.89,174.08,171.7727,101800
