date,open,high,low,close,adjusted_close,volume
2023-07-31,157.7,157.99,154.53,157.89,157.89,22100
2023-07-28,156.0,160.07,155.45,156.28,156.28,28200
2023-07-27,149.01,154.24,147.8,153.67,153.67,44600
2023-07-26,151.75,153.31,148.55,148.6,148.6,29800
2023-07-25,151.1,154.05,149.93,152.89,152.89,26500
2023-07-24,150.05,155.94,150.05,150.99,150.99,38800
2023-07-21,144.0,152.65,141.2,150.86,150.86,93700
2023-07-20,139.64,140.0,135.9,136.75,136.75,36900
2023-07-19,143.44,143.54,136.57,140.6,140.6,38100
2023-07-18,139.21,142.44,137.94,141.81,141.81,32000
2023-07-17,136.01,143.76,135.17,140.37,140.37,37000
2023-07-14,138.5,139.28,135.29,136.75,136.75,49100
2023-07-13,139.06,139.71,137.29,139.08,139.08,32500
2023-07-12,140.04,140.04,136.6,139.25,139.25,34900
2023-07-11,137.49,139.61,136.52,138.68,138.68,39100
2023-07-10,134.21,137.66,133.92,136.7,136.7,22400
2023-07-07,134.32,136.2,132.83,133.92,133.92,21700
2023-07-06,127.24,131.03,126.26,130.66,130.66,84400
2023-07-05,135.64,135.64,129.44,130.08,130.08,54200
2023-07-03,134.01,136.73,134.01,135.03,135.03,8000
2023-06-30,138.18,138.18,133.35,134.01,134.01,28000
2023-06-29,134.94,139.31,134.94,136.88,136.88,29700
2023-06-28,132.67,135.97,131.15,133.99,133.99,17500
2023-06-27,129.77,134.61,129.77,132.7,132.7,30600
2023-06-26,128.63,132.58,128.63,129.93,129.93,24100
2023-06-23,129.78,131.93,127.25,128.63,128.63,122800
2023-06-22,136.0,138.86,122.8,131.37,131.37,64000
2023-06-21,135.62,147.31,135.12,135.24,135.24,211300
2023-06-20,125.41,126.75,123.86,125.43,125.43,51900
2023-06-16,130.73,130.73,125.32,126.2,126.2,70400
2023-06-15,128.88,131.29,126.98,129.43,129.43,47400
2023-06-14,128.87,130.79,127.51,130.59,130.59,68200
2023-06-13,125.42,129.01,125.37,128.74,128.74,47100
2023-06-12,123.99,125.32,121.61,123.61,123.61,26000
2023-06-09,126.25,126.51,121.08,123.02,123.02,43000
2023-06-08,125.03,126.62,123.3,126.23,126.23,35600
2023-06-07,123.99,128.2,123.0,124.81,124.81,45100
2023-06-06,115.42,121.72,115.3,121.14,121.14,52300
2023-06-05,115.84,117.44,113.38,115.66,115.66,40000
2023-06-02,111.03,117.42,111.03,117.23,117.23,40400
2023-06-01,111.5,111.5,106.95,110.22,110.22,57000
2023-05-31,110.73,114.51,108.35,111.19,111.19,75800
2023-05-30,110.41,111.61,109.51,110.73,110.73,23700
2023-05-26,112.7,113.81,110.41,110.43,110.43,26100
2023-05-25,113.56,115.53,111.02,112.58,112.58,25600
