date,open,high,low,close,adjusted_close,volume
2023-07-31,20.57,20.86,19.9,20.06,19.8026,15617
2023-07-28,20.9,20.9,20.42,20.42,20.1579,16317
2023-07-27,20.9,20.91,20.4638,20.68,20.4146,17715
2023-07-26,20.06,20.475,19.9685,20.32,20.0592,20394
2023-07-25,19.5951,20.13,19.56,19.56,19.309,9404
2023-07-24,19.62,19.835,19.375,19.79,19.536,10220
2023-07-21,19.86,19.98,19.4267,19.58,19.3287,16618
2023-07-20,19.88,20.1451,19.55,19.71,19.457,18362
2023-07-19,19.34,19.88,19.26,19.88,19.6249,14858
2023-07-18,18.7,19.49,18.7,19.38,19.1313,21208
2023-07-17,18.33,18.77,18.33,18.64,18.4008,11367
2023-07-14,18.86,18.86,18.29,18.47,18.233,18185
2023-07-13,18.695,18.81,18.635,18.81,18.5686,10535
2023-07-12,18.43,18.53,18.3003,18.37,18.1342,23911
2023-07-11,18.25,18.4095,18.01,18.1,17.8677,12218
2023-07-10,18.34,18.87,18.0,18.09,17.8578,18716
2023-07-07,18.13,18.6499,18.13,18.53,18.2922,63303
2023-07-06,17.78,18.105,17.78,18.09,17.8578,12220
2023-07-05,18.75,18.75,18.28,18.4,18.1639,18024
2023-07-03,18.55,18.86,18.345,18.79,18.5489,7846
2023-06-30,18.88,18.88,18.2,18.41,18.1737,26550
2023-06-29,18.3744,18.625,18.3744,18.57,18.3317,14081
2023-06-28,18.36,18.4,18.15,18.26,18.0257,14825
2023-06-27,18.289,18.57,18.2,18.27,18.0355,18644
2023-06-26,18.57,18.72,18.225,18.33,18.0948,32881
2023-06-23,17.87,19.02,17.71,18.72,18.4798,193029
2023-06-22,18.16,18.28,17.9027,18.07,17.8381,18987
2023-06-21,18.651,18.785,18.51,18.51,18.2724,17020
2023-06-20,19.9,19.9,18.84,18.89,18.6476,33977
2023-06-16,19.13,19.96,18.47,19.96,19.7038,169906
2023-06-15,18.52,18.96,18.48,18.96,18.7167,20003
2023-06-14,19.0,19.31,18.66,18.66,18.4205,39450
2023-06-13,18.6812,19.0,18.6812,18.93,18.6871,21818
2023-06-12,19.2,19.65,18.81,18.99,18.7463,37081
2023-06-09,19.198,19.3999,19.04,19.13,18.8845,13155
2023-06-08,19.45,19.5599,19.1354,19.455,19.2053,19427
2023-06-07,18.56,19.61,18.56,19.49,19.2399,56495
2023-06-06,17.69,18.82,17.69,18.34,18.1046,37150
2023-06-05,18.35,18.3599,17.47,17.69,17.463,65508
