date,open,high,low,close,adjusted_close,volume
2023-07-31,41.18,41.53,41.0,41.52,41.52,1664500
2023-07-28,41.14,41.24,40.68,41.03,41.03,1085500
2023-07-27,40.88,41.65,40.66,40.66,40.66,1642600
2023-07-26,40.38,40.71,40.22,40.47,40.47,1402700
2023-07-25,40.31,40.69,40.15,40.57,40.57,1099200
2023-07-24,40.77,40.88,40.32,40.46,40.46,2204700
2023-07-21,40.74,40.95,40.62,40.76,40.76,1200900
2023-07-20,40.81,40.91,40.53,40.59,40.59,1678000
2023-07-19,40.55,40.86,40.33,40.67,40.67,3250100
2023-07-18,40.35,40.75,40.03,40.55,40.55,824500
2023-07-17,40.63,40.81,40.17,40.57,40.57,944200
2023-07-14,41.43,41.56,40.77,40.91,40.91,1291000
2023-07-13,40.88,41.53,40.73,41.43,41.43,1641500
2023-07-12,40.95,41.11,40.63,40.83,40.83,1609900
2023-07-11,39.75,40.52,39.52,40.48,40.48,2013400
2023-07-10,38.87,39.95,38.74,39.58,39.58,2046600
2023-07-07,38.49,38.97,38.28,38.83,38.83,1196900
2023-07-06,38.36,38.58,38.08,38.56,38.56,1045700
2023-07-05,39.26,39.37,38.79,38.89,38.89,1210900
2023-07-03,39.72,39.8,39.33,39.6,39.6,657500
2023-06-30,39.81,40.14,39.59,40.02,40.02,1218300
2023-06-29,39.37,39.77,39.29,39.51,39.51,995300
2023-06-28,39.95,40.0,39.39,39.58,39.44,1263100
2023-06-27,39.28,39.98,38.87,39.91,39.7688,1602500
2023-06-26,38.52,39.36,38.5,39.31,39.171,1000800
2023-06-23,38.57,38.74,38.3,38.44,38.304,2223138
2023-06-22,39.01,39.2,38.745,38.89,38.7524,1286356
2023-06-21,39.55,40.3,38.89,38.97,38.8322,2652408
2023-06-20,39.39,39.73,38.96,39.22,39.0813,1682847
2023-06-16,38.67,39.92,38.59,39.73,39.5895,5337119
2023-06-15,38.06,38.6,37.72,38.39,38.2542,1926961
2023-06-14,39.32,39.4599,37.96,38.06,37.9254,1723994
2023-06-13,38.84,39.3,38.77,39.07,38.9318,1018375
2023-06-12,38.35,38.8,38.16,38.7,38.5631,1309272
2023-06-09,38.73,38.8,38.25,38.42,38.2841,944792
2023-06-08,39.39,39.43,38.34,38.71,38.5731,2004923
2023-06-07,39.05,39.58,38.97,39.39,39.2507,1118573
2023-06-06,39.04,39.355,38.82,39.13,38.9916,1162518
2023-06-05,38.77,39.11,38.64,38.92,38.7823,1298164
2023-06-02,37.65,38.87,37.62,38.79,38.6528,2331636
2023-06-01,37.45,37.67,36.0,37.66,37.5268,2723256
2023-05-31,36.25,36.43,35.525,36.12,35.9922,5745658
2023-05-30,36.97,37.04,36.215,36.46,36.331,1788782
2023-05-26,36.89,37.78,36.54,36.96,36.8293,1655764
2023-05-25,37.02,37.07,36.42,36.91,36.7794,1440837
2023-05-24,37.87,38.075,36.905,37.13,36.9987,1554986
2023-05-23,39.24,39.24,37.83,38.05,37.9154,2093905
2023-05-22,40.16,40.32,39.29,39.41,39.2706,2880768
2023-05-19,40.63,40.695,40.08,40.19,40.0478,1023909
2023-05-18,40.05,40.62,39.82,40.5,40.3567,938898
2023-05-17,40.56,40.726,39.75,40.14,39.998,2938827
2023-05-16,40.77,40.77,40.245,40.42,40.277,690493
2023-05-15,41.13,41.13,40.74,40.94,40.7952,1053656
2023-05-12,41.01,41.09,40.635,40.88,40.7354,794012
2023-05-11,40.95,41.285,40.55,40.99,40.845,932623
2023-05-10,41.26,41.48,40.46,41.03,40.8849,1026994
2023-05-09,41.03,41.16,40.54,40.92,40.7753,1670946
2023-05-08,41.14,41.4,40.725,41.32,41.1738,974437
2023-05-05,41.02,41.49,40.81,41.3,41.1539,1419363
2023-05-04,40.48,41.09,39.35,40.85,40.7055,2571081
2023-05-03,42.62,43.24,40.255,40.48,40.3368,3006184
2023-05-02,42.24,42.575,41.89,42.1,41.9511,3066812
2023-05-01,41.72,42.43,41.5812,42.39,42.2401,1524663
