index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,1.04,0.84,0.2,23.8095,
336,2023-07-30,USD,1.04,0.84,0.2,23.8095,
337,2023-07-29,USD,1.04,0.84,0.2,23.8095,
338,2023-07-28,USD,1.04,0.84,0.2,23.8095,
339,2023-07-27,USD,1.04,0.84,0.2,23.8095,
340,2023-07-26,USD,1.04,0.84,0.2,23.8095,
341,2023-07-25,USD,1.04,0.84,0.2,23.8095,
342,2023-07-24,USD,1.04,0.84,0.2,23.8095,
343,2023-07-23,USD,1.04,0.84,0.2,23.8095,
344,2023-07-22,USD,1.04,0.84,0.2,23.8095,
345,2023-07-21,USD,1.04,0.84,0.2,23.8095,
346,2023-07-20,USD,1.04,0.84,0.2,23.8095,
347,2023-07-19,USD,1.04,0.84,0.2,23.8095,
348,2023-07-18,USD,1.04,0.84,0.2,23.8095,
349,2023-07-17,USD,1.04,0.84,0.2,23.8095,
350,2023-07-16,USD,1.04,0.84,0.2,23.8095,
351,2023-07-15,USD,1.04,0.84,0.2,23.8095,
352,2023-07-14,USD,1.04,0.84,0.2,23.8095,
353,2023-07-13,USD,1.04,0.84,0.2,23.8095,
354,2023-07-12,USD,1.04,0.84,0.2,23.8095,
355,2023-07-11,USD,1.04,0.84,0.2,23.8095,
356,2023-07-10,USD,1.04,0.84,0.2,23.8095,
357,2023-07-09,USD,1.04,0.84,0.2,23.8095,
358,2023-07-08,USD,1.04,0.84,0.2,23.8095,
359,2023-07-07,USD,1.04,0.84,0.2,23.8095,
360,2023-07-06,USD,1.04,0.84,0.2,23.8095,
361,2023-07-05,USD,1.04,0.84,0.2,23.8095,
362,2023-07-04,USD,1.04,0.84,0.2,23.8095,
363,2023-07-03,USD,1.04,0.84,0.2,23.8095,
364,2023-07-02,USD,1.04,0.84,0.2,23.8095,
365,2023-07-01,USD,1.04,0.84,0.2,23.8095,
366,2023-06-30,USD,1.04,0.84,0.2,23.8095,162171000
367,2023-06-29,USD,1.08,0.8,0.28,35,163179000
368,2023-06-28,USD,1.08,0.8,0.28,35,163179000
369,2023-06-27,USD,1.08,0.8,0.28,35,163179000
370,2023-06-26,USD,1.08,0.8,0.28,35,163179000
371,2023-06-25,USD,1.08,0.8,0.28,35,163179000
372,2023-06-24,USD,1.08,0.8,0.28,35,163179000
373,2023-06-23,USD,1.08,0.8,0.28,35,163179000
374,2023-06-22,USD,1.08,0.8,0.28,35,163179000
375,2023-06-21,USD,1.08,0.8,0.28,35,163179000
376,2023-06-20,USD,1.08,0.8,0.28,35,163179000
