index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
61,2023-07-31,USD,-0.08,-0.11,0.03,27.2727,
62,2023-07-30,USD,-0.08,-0.11,0.03,27.2727,
63,2023-07-29,USD,-0.08,-0.11,0.03,27.2727,
64,2023-07-28,USD,-0.08,-0.11,0.03,27.2727,
65,2023-07-27,USD,-0.08,-0.11,0.03,27.2727,
66,2023-07-26,USD,-0.08,-0.11,0.03,27.2727,
67,2023-07-25,USD,-0.08,-0.11,0.03,27.2727,
68,2023-07-24,USD,-0.08,-0.11,0.03,27.2727,
69,2023-07-23,USD,-0.08,-0.11,0.03,27.2727,
70,2023-07-22,USD,-0.08,-0.11,0.03,27.2727,
71,2023-07-21,USD,-0.08,-0.11,0.03,27.2727,
72,2023-07-20,USD,-0.08,-0.11,0.03,27.2727,
73,2023-07-19,USD,-0.08,-0.11,0.03,27.2727,
74,2023-07-18,USD,-0.08,-0.11,0.03,27.2727,
75,2023-07-17,USD,-0.08,-0.11,0.03,27.2727,
76,2023-07-16,USD,-0.08,-0.11,0.03,27.2727,
77,2023-07-15,USD,-0.08,-0.11,0.03,27.2727,
78,2023-07-14,USD,-0.08,-0.11,0.03,27.2727,
79,2023-07-13,USD,-0.08,-0.11,0.03,27.2727,
80,2023-07-12,USD,-0.08,-0.11,0.03,27.2727,
81,2023-07-11,USD,-0.08,-0.11,0.03,27.2727,
82,2023-07-10,USD,-0.08,-0.11,0.03,27.2727,
83,2023-07-09,USD,-0.08,-0.11,0.03,27.2727,
84,2023-07-08,USD,-0.08,-0.11,0.03,27.2727,
85,2023-07-07,USD,-0.08,-0.11,0.03,27.2727,
86,2023-07-06,USD,-0.08,-0.11,0.03,27.2727,
87,2023-07-05,USD,-0.08,-0.11,0.03,27.2727,
88,2023-07-04,USD,-0.08,-0.11,0.03,27.2727,
89,2023-07-03,USD,-0.08,-0.11,0.03,27.2727,
90,2023-07-02,USD,-0.08,-0.11,0.03,27.2727,
91,2023-07-01,USD,-0.08,-0.11,0.03,27.2727,
92,2023-06-30,USD,-0.08,-0.11,0.03,27.2727,24249700
93,2023-06-29,USD,-0.05,-0.06,0.01,16.6667,25885800
94,2023-06-28,USD,-0.05,-0.06,0.01,16.6667,25885800
95,2023-06-27,USD,-0.05,-0.06,0.01,16.6667,25885800
96,2023-06-26,USD,-0.05,-0.06,0.01,16.6667,25885800
97,2023-06-25,USD,-0.05,-0.06,0.01,16.6667,25885800
98,2023-06-24,USD,-0.05,-0.06,0.01,16.6667,25885800
99,2023-06-23,USD,-0.05,-0.06,0.01,16.6667,25885800
100,2023-06-22,USD,-0.05,-0.06,0.01,16.6667,25885800
101,2023-06-21,USD,-0.05,-0.06,0.01,16.6667,25885800
102,2023-06-20,USD,-0.05,-0.06,0.01,16.6667,25885800
103,2023-06-19,USD,-0.05,-0.06,0.01,16.6667,25885800
104,2023-06-18,USD,-0.05,-0.06,0.01,16.6667,25885800
105,2023-06-17,USD,-0.05,-0.06,0.01,16.6667,25885800
106,2023-06-16,USD,-0.05,-0.06,0.01,16.6667,25885800
107,2023-06-15,USD,-0.05,-0.06,0.01,16.6667,25885800
108,2023-06-14,USD,-0.05,-0.06,0.01,16.6667,25885800
109,2023-06-13,USD,-0.05,-0.06,0.01,16.6667,25885800
110,2023-06-12,USD,-0.05,-0.06,0.01,16.6667,25885800
111,2023-06-11,USD,-0.05,-0.06,0.01,16.6667,25885800
112,2023-06-10,USD,-0.05,-0.06,0.01,16.6667,25885800
113,2023-06-09,USD,-0.05,-0.06,0.01,16.6667,25885800
114,2023-06-08,USD,-0.05,-0.06,0.01,16.6667,25885800
115,2023-06-07,USD,-0.05,-0.06,0.01,16.6667,25885800
116,2023-06-06,USD,-0.05,-0.06,0.01,16.6667,25885800
117,2023-06-05,USD,-0.05,-0.06,0.01,16.6667,25885800
118,2023-06-04,USD,-0.05,-0.06,0.01,16.6667,25885800
119,2023-06-03,USD,-0.05,-0.06,0.01,16.6667,25885800
120,2023-06-02,USD,-0.05,-0.06,0.01,16.6667,25885800
121,2023-06-01,USD,-0.05,-0.06,0.01,16.6667,25885800
122,2023-05-31,USD,-0.05,-0.06,0.01,16.6667,25885800
123,2023-05-30,USD,-0.05,-0.06,0.01,16.6667,25885800
124,2023-05-29,USD,-0.05,-0.06,0.01,16.6667,25885800
125,2023-05-28,USD,-0.05,-0.06,0.01,16.6667,25885800
126,2023-05-27,USD,-0.05,-0.06,0.01,16.6667,25885800
127,2023-05-26,USD,-0.05,-0.06,0.01,16.6667,25885800
128,2023-05-25,USD,-0.05,-0.06,0.01,16.6667,25885800
129,2023-05-24,USD,-0.05,-0.06,0.01,16.6667,25885800
130,2023-05-23,USD,-0.05,-0.06,0.01,16.6667,25885800
131,2023-05-22,USD,-0.05,-0.06,0.01,16.6667,25885800
132,2023-05-21,USD,-0.05,-0.06,0.01,16.6667,25885800
133,2023-05-20,USD,-0.05,-0.06,0.01,16.6667,25885800
134,2023-05-19,USD,-0.05,-0.06,0.01,16.6667,25885800
135,2023-05-18,USD,-0.05,-0.06,0.01,16.6667,25885800
136,2023-05-17,USD,-0.05,-0.06,0.01,16.6667,25885800
137,2023-05-16,USD,-0.05,-0.06,0.01,16.6667,25885800
138,2023-05-15,USD,-0.05,-0.06,0.01,16.6667,25885800
139,2023-05-14,USD,-0.05,-0.06,0.01,16.6667,25885800
