index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.06,0.07,-0.01,-14.2857,
336,2023-07-30,USD,0.06,0.07,-0.01,-14.2857,
337,2023-07-29,USD,0.06,0.07,-0.01,-14.2857,
338,2023-07-28,USD,0.06,0.07,-0.01,-14.2857,
339,2023-07-27,USD,0.06,0.07,-0.01,-14.2857,
340,2023-07-26,USD,0.06,0.07,-0.01,-14.2857,
341,2023-07-25,USD,0.06,0.07,-0.01,-14.2857,
342,2023-07-24,USD,0.06,0.07,-0.01,-14.2857,
343,2023-07-23,USD,0.06,0.07,-0.01,-14.2857,
344,2023-07-22,USD,0.06,0.07,-0.01,-14.2857,
345,2023-07-21,USD,0.06,0.07,-0.01,-14.2857,
346,2023-07-20,USD,0.06,0.07,-0.01,-14.2857,
347,2023-07-19,USD,0.06,0.07,-0.01,-14.2857,
348,2023-07-18,USD,0.06,0.07,-0.01,-14.2857,
349,2023-07-17,USD,0.06,0.07,-0.01,-14.2857,
350,2023-07-16,USD,0.06,0.07,-0.01,-14.2857,
351,2023-07-15,USD,0.06,0.07,-0.01,-14.2857,
352,2023-07-14,USD,0.06,0.07,-0.01,-14.2857,
353,2023-07-13,USD,0.06,0.07,-0.01,-14.2857,
354,2023-07-12,USD,0.06,0.07,-0.01,-14.2857,
355,2023-07-11,USD,0.06,0.07,-0.01,-14.2857,
356,2023-07-10,USD,0.06,0.07,-0.01,-14.2857,
357,2023-07-09,USD,0.06,0.07,-0.01,-14.2857,
358,2023-07-08,USD,0.06,0.07,-0.01,-14.2857,
359,2023-07-07,USD,0.06,0.07,-0.01,-14.2857,
360,2023-07-06,USD,0.06,0.07,-0.01,-14.2857,
361,2023-07-05,USD,0.06,0.07,-0.01,-14.2857,
362,2023-07-04,USD,0.06,0.07,-0.01,-14.2857,
363,2023-07-03,USD,0.06,0.07,-0.01,-14.2857,
364,2023-07-02,USD,0.06,0.07,-0.01,-14.2857,
365,2023-07-01,USD,0.06,0.07,-0.01,-14.2857,
366,2023-06-30,USD,0.06,0.07,-0.01,-14.2857,156694000
367,2023-06-29,USD,0.01,-0.07,0.08,114.2857,155668700
368,2023-06-28,USD,0.01,-0.07,0.08,114.2857,155668700
369,2023-06-27,USD,0.01,-0.07,0.08,114.2857,155668700
370,2023-06-26,USD,0.01,-0.07,0.08,114.2857,155668700
371,2023-06-25,USD,0.01,-0.07,0.08,114.2857,155668700
372,2023-06-24,USD,0.01,-0.07,0.08,114.2857,155668700
373,2023-06-23,USD,0.01,-0.07,0.08,114.2857,155668700
374,2023-06-22,USD,0.01,-0.07,0.08,114.2857,155668700
375,2023-06-21,USD,0.01,-0.07,0.08,114.2857,155668700
376,2023-06-20,USD,0.01,-0.07,0.08,114.2857,155668700
377,2023-06-19,USD,0.01,-0.07,0.08,114.2857,155668700
378,2023-06-18,USD,0.01,-0.07,0.08,114.2857,155668700
379,2023-06-17,USD,0.01,-0.07,0.08,114.2857,155668700
380,2023-06-16,USD,0.01,-0.07,0.08,114.2857,155668700
381,2023-06-15,USD,0.01,-0.07,0.08,114.2857,155668700
382,2023-06-14,USD,0.01,-0.07,0.08,114.2857,155668700
383,2023-06-13,USD,0.01,-0.07,0.08,114.2857,155668700
384,2023-06-12,USD,0.01,-0.07,0.08,114.2857,155668700
385,2023-06-11,USD,0.01,-0.07,0.08,114.2857,155668700
386,2023-06-10,USD,0.01,-0.07,0.08,114.2857,155668700
387,2023-06-09,USD,0.01,-0.07,0.08,114.2857,155668700
388,2023-06-08,USD,0.01,-0.07,0.08,114.2857,155668700
389,2023-06-07,USD,0.01,-0.07,0.08,114.2857,155668700
390,2023-06-06,USD,0.01,-0.07,0.08,114.2857,155668700
391,2023-06-05,USD,0.01,-0.07,0.08,114.2857,155668700
392,2023-06-04,USD,0.01,-0.07,0.08,114.2857,155668700
393,2023-06-03,USD,0.01,-0.07,0.08,114.2857,155668700
394,2023-06-02,USD,0.01,-0.07,0.08,114.2857,155668700
395,2023-06-01,USD,0.01,-0.07,0.08,114.2857,155668700
396,2023-05-31,USD,0.01,-0.07,0.08,114.2857,155668700
397,2023-05-30,USD,0.01,-0.07,0.08,114.2857,155668700
398,2023-05-29,USD,0.01,-0.07,0.08,114.2857,155668700
399,2023-05-28,USD,0.01,-0.07,0.08,114.2857,155668700
400,2023-05-27,USD,0.01,-0.07,0.08,114.2857,155668700
401,2023-05-26,USD,0.01,-0.07,0.08,114.2857,155668700
402,2023-05-25,USD,0.01,-0.07,0.08,114.2857,155668700
403,2023-05-24,USD,0.01,-0.07,0.08,114.2857,155668700
404,2023-05-23,USD,0.01,-0.07,0.08,114.2857,155668700
405,2023-05-22,USD,0.01,-0.07,0.08,114.2857,155668700
406,2023-05-21,USD,0.01,-0.07,0.08,114.2857,155668700
407,2023-05-20,USD,0.01,-0.07,0.08,114.2857,155668700
408,2023-05-19,USD,0.01,-0.07,0.08,114.2857,155668700
409,2023-05-18,USD,0.01,-0.07,0.08,114.2857,155668700
410,2023-05-17,USD,0.01,-0.07,0.08,114.2857,155668700
411,2023-05-16,USD,0.01,-0.07,0.08,114.2857,155668700
412,2023-05-15,USD,0.01,-0.07,0.08,114.2857,155668700
413,2023-05-14,USD,0.01,-0.07,0.08,114.2857,155668700
414,2023-05-13,USD,0.01,-0.07,0.08,114.2857,155668700
415,2023-05-12,USD,0.01,-0.07,0.08,114.2857,155668700
416,2023-05-11,USD,0.01,-0.07,0.08,114.2857,155668700
417,2023-05-10,USD,0.01,-0.07,0.08,114.2857,155668700
418,2023-05-09,USD,0.01,-0.07,0.08,114.2857,155668700
419,2023-05-08,USD,0.01,-0.07,0.08,114.2857,155668700
420,2023-05-07,USD,0.01,-0.07,0.08,114.2857,155668700
421,2023-05-06,USD,0.01,-0.07,0.08,114.2857,155668700
422,2023-05-05,USD,0.01,-0.07,0.08,114.2857,155668700
423,2023-05-04,USD,0.01,-0.07,0.08,114.2857,155668700
424,2023-05-03,USD,0.01,-0.07,0.08,114.2857,155668700
