index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,,-0.61,,,
245,2023-07-30,USD,,-0.61,,,
246,2023-07-29,USD,,-0.61,,,
247,2023-07-28,USD,,-0.61,,,
248,2023-07-27,USD,,-0.61,,,
249,2023-07-26,USD,,-0.61,,,
250,2023-07-25,USD,,-0.61,,,
251,2023-07-24,USD,,-0.61,,,
252,2023-07-23,USD,,-0.61,,,
253,2023-07-22,USD,,-0.61,,,
254,2023-07-21,USD,,-0.61,,,
255,2023-07-20,USD,,-0.61,,,
256,2023-07-19,USD,,-0.61,,,
257,2023-07-18,USD,,-0.61,,,
258,2023-07-17,USD,,-0.61,,,
259,2023-07-16,USD,,-0.61,,,
260,2023-07-15,USD,,-0.61,,,
261,2023-07-14,USD,,-0.61,,,
262,2023-07-13,USD,,-0.61,,,
263,2023-07-12,USD,,-0.61,,,
264,2023-07-11,USD,,-0.61,,,
265,2023-07-10,USD,,-0.61,,,
266,2023-07-09,USD,,-0.61,,,
267,2023-07-08,USD,,-0.61,,,
268,2023-07-07,USD,,-0.61,,,
269,2023-07-06,USD,,-0.61,,,
270,2023-07-05,USD,,-0.61,,,
271,2023-07-04,USD,,-0.61,,,
272,2023-07-03,USD,,-0.61,,,
273,2023-07-02,USD,,-0.61,,,
274,2023-07-01,USD,,-0.61,,,
275,2023-06-30,USD,,-0.61,,,
276,2023-06-29,USD,-0.57,-0.4,-0.17,-42.5,
277,2023-06-28,USD,-0.57,-0.4,-0.17,-42.5,
278,2023-06-27,USD,-0.57,-0.4,-0.17,-42.5,
279,2023-06-26,USD,-0.57,-0.4,-0.17,-42.5,
280,2023-06-25,USD,-0.57,-0.4,-0.17,-42.5,
281,2023-06-24,USD,-0.57,-0.4,-0.17,-42.5,
282,2023-06-23,USD,-0.57,-0.4,-0.17,-42.5,
283,2023-06-22,USD,-0.57,-0.4,-0.17,-42.5,
284,2023-06-21,USD,-0.57,-0.4,-0.17,-42.5,
285,2023-06-20,USD,-0.57,-0.4,-0.17,-42.5,
286,2023-06-19,USD,-0.57,-0.4,-0.17,-42.5,
287,2023-06-18,USD,-0.57,-0.4,-0.17,-42.5,
288,2023-06-17,USD,-0.57,-0.4,-0.17,-42.5,
289,2023-06-16,USD,-0.57,-0.4,-0.17,-42.5,
290,2023-06-15,USD,-0.57,-0.4,-0.17,-42.5,
291,2023-06-14,USD,-0.57,-0.4,-0.17,-42.5,
292,2023-06-13,USD,-0.57,-0.4,-0.17,-42.5,
293,2023-06-12,USD,-0.57,-0.4,-0.17,-42.5,
294,2023-06-11,USD,-0.57,-0.4,-0.17,-42.5,
295,2023-06-10,USD,-0.57,-0.4,-0.17,-42.5,
296,2023-06-09,USD,-0.57,-0.4,-0.17,-42.5,
297,2023-06-08,USD,-0.57,-0.4,-0.17,-42.5,
298,2023-06-07,USD,-0.57,-0.4,-0.17,-42.5,
299,2023-06-06,USD,-0.57,-0.4,-0.17,-42.5,
300,2023-06-05,USD,-0.57,-0.4,-0.17,-42.5,
301,2023-06-04,USD,-0.57,-0.4,-0.17,-42.5,
302,2023-06-03,USD,-0.57,-0.4,-0.17,-42.5,
303,2023-06-02,USD,-0.57,-0.4,-0.17,-42.5,
304,2023-06-01,USD,-0.57,-0.4,-0.17,-42.5,
305,2023-05-31,USD,-0.57,-0.4,-0.17,-42.5,
306,2023-05-30,USD,-0.57,-0.4,-0.17,-42.5,
307,2023-05-29,USD,-0.57,-0.4,-0.17,-42.5,
308,2023-05-28,USD,-0.57,-0.4,-0.17,-42.5,
309,2023-05-27,USD,-0.57,-0.4,-0.17,-42.5,
310,2023-05-26,USD,-0.57,-0.4,-0.17,-42.5,
311,2023-05-25,USD,-0.57,-0.4,-0.17,-42.5,
312,2023-05-24,USD,-0.57,-0.4,-0.17,-42.5,
313,2023-05-23,USD,-0.57,-0.4,-0.17,-42.5,
314,2023-05-22,USD,-0.57,-0.4,-0.17,-42.5,
315,2023-05-21,USD,-0.57,-0.4,-0.17,-42.5,
316,2023-05-20,USD,-0.57,-0.4,-0.17,-42.5,
317,2023-05-19,USD,-0.57,-0.4,-0.17,-42.5,
318,2023-05-18,USD,-0.57,-0.4,-0.17,-42.5,
319,2023-05-17,USD,-0.57,-0.4,-0.17,-42.5,
320,2023-05-16,USD,-0.57,-0.4,-0.17,-42.5,
321,2023-05-15,USD,-0.57,-0.4,-0.17,-42.5,
322,2023-05-14,USD,-0.57,-0.4,-0.17,-42.5,
323,2023-05-13,USD,-0.57,-0.4,-0.17,-42.5,
324,2023-05-12,USD,-0.57,-0.4,-0.17,-42.5,
325,2023-05-11,USD,-0.57,-0.4,-0.17,-42.5,
326,2023-05-10,USD,-0.57,-0.4,-0.17,-42.5,
327,2023-05-09,USD,-0.57,-0.4,-0.17,-42.5,
328,2023-05-08,USD,-0.57,-0.4,-0.17,-42.5,
329,2023-05-07,USD,-0.57,-0.4,-0.17,-42.5,
330,2023-05-06,USD,-0.57,-0.4,-0.17,-42.5,
331,2023-05-05,USD,-0.57,-0.4,-0.17,-42.5,
332,2023-05-04,USD,-0.57,-0.4,-0.17,-42.5,
333,2023-05-03,USD,-0.57,-0.4,-0.17,-42.5,
334,2023-05-02,USD,-0.57,-0.4,-0.17,-42.5,
335,2023-05-01,USD,-0.57,-0.4,-0.17,-42.5,
336,2023-04-30,USD,-0.57,-0.4,-0.17,-42.5,
337,2023-04-29,USD,-0.57,-0.4,-0.17,-42.5,
338,2023-04-28,USD,-0.57,-0.4,-0.17,-42.5,
339,2023-04-27,USD,-0.57,-0.4,-0.17,-42.5,
340,2023-04-26,USD,-0.57,-0.4,-0.17,-42.5,
341,2023-04-25,USD,-0.57,-0.4,-0.17,-42.5,
342,2023-04-24,USD,-0.57,-0.4,-0.17,-42.5,
343,2023-04-23,USD,-0.57,-0.4,-0.17,-42.5,
344,2023-04-22,USD,-0.57,-0.4,-0.17,-42.5,
345,2023-04-21,USD,-0.57,-0.4,-0.17,-42.5,
346,2023-04-20,USD,-0.57,-0.4,-0.17,-42.5,
347,2023-04-19,USD,-0.57,-0.4,-0.17,-42.5,
348,2023-04-18,USD,-0.57,-0.4,-0.17,-42.5,
349,2023-04-17,USD,-0.57,-0.4,-0.17,-42.5,
350,2023-04-16,USD,-0.57,-0.4,-0.17,-42.5,
