index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.8,0.73,0.07,9.589,
336,2023-07-30,USD,0.8,0.73,0.07,9.589,
337,2023-07-29,USD,0.8,0.73,0.07,9.589,
338,2023-07-28,USD,0.8,0.73,0.07,9.589,
339,2023-07-27,USD,0.8,0.73,0.07,9.589,
340,2023-07-26,USD,0.8,0.73,0.07,9.589,
341,2023-07-25,USD,0.8,0.73,0.07,9.589,
342,2023-07-24,USD,0.8,0.73,0.07,9.589,
343,2023-07-23,USD,0.8,0.73,0.07,9.589,
344,2023-07-22,USD,0.8,0.73,0.07,9.589,
345,2023-07-21,USD,0.8,0.73,0.07,9.589,
346,2023-07-20,USD,0.8,0.73,0.07,9.589,
347,2023-07-19,USD,0.8,0.73,0.07,9.589,
348,2023-07-18,USD,0.8,0.73,0.07,9.589,
349,2023-07-17,USD,0.8,0.73,0.07,9.589,
350,2023-07-16,USD,0.8,0.73,0.07,9.589,
351,2023-07-15,USD,0.8,0.73,0.07,9.589,
352,2023-07-14,USD,0.8,0.73,0.07,9.589,
353,2023-07-13,USD,0.8,0.73,0.07,9.589,
354,2023-07-12,USD,0.8,0.73,0.07,9.589,
355,2023-07-11,USD,0.8,0.73,0.07,9.589,
356,2023-07-10,USD,0.8,0.73,0.07,9.589,
357,2023-07-09,USD,0.8,0.73,0.07,9.589,
358,2023-07-08,USD,0.8,0.73,0.07,9.589,
359,2023-07-07,USD,0.8,0.73,0.07,9.589,
360,2023-07-06,USD,0.8,0.73,0.07,9.589,
361,2023-07-05,USD,0.8,0.73,0.07,9.589,
362,2023-07-04,USD,0.8,0.73,0.07,9.589,
363,2023-07-03,USD,0.8,0.73,0.07,9.589,
364,2023-07-02,USD,0.8,0.73,0.07,9.589,
365,2023-07-01,USD,0.8,0.73,0.07,9.589,
366,2023-06-30,USD,0.8,0.73,0.07,9.589,20628200
367,2023-06-29,USD,0.93,0.86,0.07,8.1395,20564000
368,2023-06-28,USD,0.93,0.86,0.07,8.1395,20564000
369,2023-06-27,USD,0.93,0.86,0.07,8.1395,20564000
370,2023-06-26,USD,0.93,0.86,0.07,8.1395,20564000
371,2023-06-25,USD,0.93,0.86,0.07,8.1395,20564000
372,2023-06-24,USD,0.93,0.86,0.07,8.1395,20564000
373,2023-06-23,USD,0.93,0.86,0.07,8.1395,20564000
374,2023-06-22,USD,0.93,0.86,0.07,8.1395,20564000
375,2023-06-21,USD,0.93,0.86,0.07,8.1395,20564000
376,2023-06-20,USD,0.93,0.86,0.07,8.1395,20564000
377,2023-06-19,USD,0.93,0.86,0.07,8.1395,20564000
378,2023-06-18,USD,0.93,0.86,0.07,8.1395,20564000
379,2023-06-17,USD,0.93,0.86,0.07,8.1395,20564000
380,2023-06-16,USD,0.93,0.86,0.07,8.1395,20564000
381,2023-06-15,USD,0.93,0.86,0.07,8.1395,20564000
382,2023-06-14,USD,0.93,0.86,0.07,8.1395,20564000
383,2023-06-13,USD,0.93,0.86,0.07,8.1395,20564000
384,2023-06-12,USD,0.93,0.86,0.07,8.1395,20564000
385,2023-06-11,USD,0.93,0.86,0.07,8.1395,20564000
386,2023-06-10,USD,0.93,0.86,0.07,8.1395,20564000
387,2023-06-09,USD,0.93,0.86,0.07,8.1395,20564000
388,2023-06-08,USD,0.93,0.86,0.07,8.1395,20564000
389,2023-06-07,USD,0.93,0.86,0.07,8.1395,20564000
390,2023-06-06,USD,0.93,0.86,0.07,8.1395,20564000
391,2023-06-05,USD,0.93,0.86,0.07,8.1395,20564000
392,2023-06-04,USD,0.93,0.86,0.07,8.1395,20564000
393,2023-06-03,USD,0.93,0.86,0.07,8.1395,20564000
394,2023-06-02,USD,0.93,0.86,0.07,8.1395,20564000
395,2023-06-01,USD,0.93,0.86,0.07,8.1395,20564000
396,2023-05-31,USD,0.93,0.86,0.07,8.1395,20564000
397,2023-05-30,USD,0.93,0.86,0.07,8.1395,20564000
398,2023-05-29,USD,0.93,0.86,0.07,8.1395,20564000
399,2023-05-28,USD,0.93,0.86,0.07,8.1395,20564000
400,2023-05-27,USD,0.93,0.86,0.07,8.1395,20564000
401,2023-05-26,USD,0.93,0.86,0.07,8.1395,20564000
402,2023-05-25,USD,0.93,0.86,0.07,8.1395,20564000
403,2023-05-24,USD,0.93,0.86,0.07,8.1395,20564000
404,2023-05-23,USD,0.93,0.86,0.07,8.1395,20564000
405,2023-05-22,USD,0.93,0.86,0.07,8.1395,20564000
406,2023-05-21,USD,0.93,0.86,0.07,8.1395,20564000
407,2023-05-20,USD,0.93,0.86,0.07,8.1395,20564000
408,2023-05-19,USD,0.93,0.86,0.07,8.1395,20564000
409,2023-05-18,USD,0.93,0.86,0.07,8.1395,20564000
410,2023-05-17,USD,0.93,0.86,0.07,8.1395,20564000
411,2023-05-16,USD,0.93,0.86,0.07,8.1395,20564000
412,2023-05-15,USD,0.93,0.86,0.07,8.1395,20564000
413,2023-05-14,USD,0.93,0.86,0.07,8.1395,20564000
414,2023-05-13,USD,0.93,0.86,0.07,8.1395,20564000
415,2023-05-12,USD,0.93,0.86,0.07,8.1395,20564000
416,2023-05-11,USD,0.93,0.86,0.07,8.1395,20564000
417,2023-05-10,USD,0.93,0.86,0.07,8.1395,20564000
418,2023-05-09,USD,0.93,0.86,0.07,8.1395,20564000
419,2023-05-08,USD,0.93,0.86,0.07,8.1395,20564000
420,2023-05-07,USD,0.93,0.86,0.07,8.1395,20564000
421,2023-05-06,USD,0.93,0.86,0.07,8.1395,20564000
422,2023-05-05,USD,0.93,0.86,0.07,8.1395,20564000
423,2023-05-04,USD,0.93,0.86,0.07,8.1395,20564000
424,2023-05-03,USD,0.93,0.86,0.07,8.1395,20564000
425,2023-05-02,USD,0.93,0.86,0.07,8.1395,20564000
426,2023-05-01,USD,0.93,0.86,0.07,8.1395,20564000
427,2023-04-30,USD,0.93,0.86,0.07,8.1395,20564000
428,2023-04-29,USD,0.93,0.86,0.07,8.1395,20564000
429,2023-04-28,USD,0.93,0.86,0.07,8.1395,20564000
430,2023-04-27,USD,0.93,0.86,0.07,8.1395,20564000
431,2023-04-26,USD,0.93,0.86,0.07,8.1395,20564000
432,2023-04-25,USD,0.93,0.86,0.07,8.1395,20564000
433,2023-04-24,USD,0.93,0.86,0.07,8.1395,20564000
434,2023-04-23,USD,0.93,0.86,0.07,8.1395,20564000
435,2023-04-22,USD,0.93,0.86,0.07,8.1395,20564000
436,2023-04-21,USD,0.93,0.86,0.07,8.1395,20564000
437,2023-04-20,USD,0.93,0.86,0.07,8.1395,20564000
438,2023-04-19,USD,0.93,0.86,0.07,8.1395,20564000
439,2023-04-18,USD,0.93,0.86,0.07,8.1395,20564000
440,2023-04-17,USD,0.93,0.86,0.07,8.1395,20564000
441,2023-04-16,USD,0.93,0.86,0.07,8.1395,20564000
442,2023-04-15,USD,0.93,0.86,0.07,8.1395,20564000
443,2023-04-14,USD,0.93,0.86,0.07,8.1395,20564000
444,2023-04-13,USD,0.93,0.86,0.07,8.1395,20564000
445,2023-04-12,USD,0.93,0.86,0.07,8.1395,20564000
446,2023-04-11,USD,0.93,0.86,0.07,8.1395,20564000
447,2023-04-10,USD,0.93,0.86,0.07,8.1395,20564000
448,2023-04-09,USD,0.93,0.86,0.07,8.1395,20564000
449,2023-04-08,USD,0.93,0.86,0.07,8.1395,20564000
450,2023-04-07,USD,0.93,0.86,0.07,8.1395,20564000
451,2023-04-06,USD,0.93,0.86,0.07,8.1395,20564000
452,2023-04-05,USD,0.93,0.86,0.07,8.1395,20564000
453,2023-04-04,USD,0.93,0.86,0.07,8.1395,20564000
454,2023-04-03,USD,0.93,0.86,0.07,8.1395,20564000
455,2023-04-02,USD,0.93,0.86,0.07,8.1395,20564000
456,2023-04-01,USD,0.93,0.86,0.07,8.1395,20564000
457,2023-03-31,USD,0.93,0.86,0.07,8.1395,20564000
458,2023-03-30,USD,1.01,0.95,0.06,6.3158,20535200
459,2023-03-29,USD,1.01,0.95,0.06,6.3158,20535200
460,2023-03-28,USD,1.01,0.95,0.06,6.3158,20535200
461,2023-03-27,USD,1.01,0.95,0.06,6.3158,20535200
462,2023-03-26,USD,1.01,0.95,0.06,6.3158,20535200
463,2023-03-25,USD,1.01,0.95,0.06,6.3158,20535200
464,2023-03-24,USD,1.01,0.95,0.06,6.3158,20535200
465,2023-03-23,USD,1.01,0.95,0.06,6.3158,20535200
466,2023-03-22,USD,1.01,0.95,0.06,6.3158,20535200
467,2023-03-21,USD,1.01,0.95,0.06,6.3158,20535200
468,2023-03-20,USD,1.01,0.95,0.06,6.3158,20535200
469,2023-03-19,USD,1.01,0.95,0.06,6.3158,20535200
470,2023-03-18,USD,1.01,0.95,0.06,6.3158,20535200
471,2023-03-17,USD,1.01,0.95,0.06,6.3158,20535200
472,2023-03-16,USD,1.01,0.95,0.06,6.3158,20535200
473,2023-03-15,USD,1.01,0.95,0.06,6.3158,20535200
474,2023-03-14,USD,1.01,0.95,0.06,6.3158,20535200
475,2023-03-13,USD,1.01,0.95,0.06,6.3158,20535200
476,2023-03-12,USD,1.01,0.95,0.06,6.3158,20535200
477,2023-03-11,USD,1.01,0.95,0.06,6.3158,20535200
478,2023-03-10,USD,1.01,0.95,0.06,6.3158,20535200
479,2023-03-09,USD,1.01,0.95,0.06,6.3158,20535200
480,2023-03-08,USD,1.01,0.95,0.06,6.3158,20535200
481,2023-03-07,USD,1.01,0.95,0.06,6.3158,20535200
482,2023-03-06,USD,1.01,0.95,0.06,6.3158,20535200
483,2023-03-05,USD,1.01,0.95,0.06,6.3158,20535200
484,2023-03-04,USD,1.01,0.95,0.06,6.3158,20535200
485,2023-03-03,USD,1.01,0.95,0.06,6.3158,20535200
486,2023-03-02,USD,1.01,0.95,0.06,6.3158,20535200
487,2023-03-01,USD,1.01,0.95,0.06,6.3158,20535200
488,2023-02-28,USD,1.01,0.95,0.06,6.3158,20535200
489,2023-02-27,USD,1.01,0.95,0.06,6.3158,20535200
490,2023-02-26,USD,1.01,0.95,0.06,6.3158,20535200
491,2023-02-25,USD,1.01,0.95,0.06,6.3158,20535200
492,2023-02-24,USD,1.01,0.95,0.06,6.3158,20535200
493,2023-02-23,USD,1.01,0.95,0.06,6.3158,20535200
494,2023-02-22,USD,1.01,0.95,0.06,6.3158,20535200
495,2023-02-21,USD,1.01,0.95,0.06,6.3158,20535200
496,2023-02-20,USD,1.01,0.95,0.06,6.3158,20535200
497,2023-02-19,USD,1.01,0.95,0.06,6.3158,20535200
498,2023-02-18,USD,1.01,0.95,0.06,6.3158,20535200
499,2023-02-17,USD,1.01,0.95,0.06,6.3158,20535200
500,2023-02-16,USD,1.01,0.95,0.06,6.3158,20535200
501,2023-02-15,USD,1.01,0.95,0.06,6.3158,20535200
502,2023-02-14,USD,1.01,0.95,0.06,6.3158,20535200
503,2023-02-13,USD,1.01,0.95,0.06,6.3158,20535200
504,2023-02-12,USD,1.01,0.95,0.06,6.3158,20535200
505,2023-02-11,USD,1.01,0.95,0.06,6.3158,20535200
506,2023-02-10,USD,1.01,0.95,0.06,6.3158,20535200
507,2023-02-09,USD,1.01,0.95,0.06,6.3158,20535200
508,2023-02-08,USD,1.01,0.95,0.06,6.3158,20535200
509,2023-02-07,USD,1.01,0.95,0.06,6.3158,20535200
510,2023-02-06,USD,1.01,0.95,0.06,6.3158,20535200
511,2023-02-05,USD,1.01,0.95,0.06,6.3158,20535200
512,2023-02-04,USD,1.01,0.95,0.06,6.3158,20535200
513,2023-02-03,USD,1.01,0.95,0.06,6.3158,20535200
514,2023-02-02,USD,1.01,0.95,0.06,6.3158,20535200
515,2023-02-01,USD,1.01,0.95,0.06,6.3158,20535200
516,2023-01-31,USD,1.01,0.95,0.06,6.3158,20535200
517,2023-01-30,USD,1.01,0.95,0.06,6.3158,20535200
518,2023-01-29,USD,1.01,0.95,0.06,6.3158,20535200
519,2023-01-28,USD,1.01,0.95,0.06,6.3158,20535200
520,2023-01-27,USD,1.01,0.95,0.06,6.3158,20535200
521,2023-01-26,USD,1.01,0.95,0.06,6.3158,20535200
522,2023-01-25,USD,1.01,0.95,0.06,6.3158,20535200
523,2023-01-24,USD,1.01,0.95,0.06,6.3158,20535200
524,2023-01-23,USD,1.01,0.95,0.06,6.3158,20535200
525,2023-01-22,USD,1.01,0.95,0.06,6.3158,20535200
526,2023-01-21,USD,1.01,0.95,0.06,6.3158,20535200
527,2023-01-20,USD,1.01,0.95,0.06,6.3158,20535200
528,2023-01-19,USD,1.01,0.95,0.06,6.3158,20535200
529,2023-01-18,USD,1.01,0.95,0.06,6.3158,20535200
530,2023-01-17,USD,1.01,0.95,0.06,6.3158,20535200
531,2023-01-16,USD,1.01,0.95,0.06,6.3158,20535200
532,2023-01-15,USD,1.01,0.95,0.06,6.3158,20535200
533,2023-01-14,USD,1.01,0.95,0.06,6.3158,20535200
534,2023-01-13,USD,1.01,0.95,0.06,6.3158,20535200
535,2023-01-12,USD,1.01,0.95,0.06,6.3158,20535200
536,2023-01-11,USD,1.01,0.95,0.06,6.3158,20535200
537,2023-01-10,USD,1.01,0.95,0.06,6.3158,20535200
538,2023-01-09,USD,1.01,0.95,0.06,6.3158,20535200
539,2023-01-08,USD,1.01,0.95,0.06,6.3158,20535200
540,2023-01-07,USD,1.01,0.95,0.06,6.3158,20535200
541,2023-01-06,USD,1.01,0.95,0.06,6.3158,20535200
542,2023-01-05,USD,1.01,0.95,0.06,6.3158,20535200
543,2023-01-04,USD,1.01,0.95,0.06,6.3158,20535200
544,2023-01-03,USD,1.01,0.95,0.06,6.3158,20535200
545,2023-01-02,USD,1.01,0.95,0.06,6.3158,20535200
546,2023-01-01,USD,1.01,0.95,0.06,6.3158,20535200
547,2022-12-31,USD,1.01,0.95,0.06,6.3158,20535200
548,2022-12-30,USD,0.88,0.94,-0.06,-6.383,20535200
549,2022-12-29,USD,0.88,0.94,-0.06,-6.383,20535200
550,2022-12-28,USD,0.88,0.94,-0.06,-6.383,20535200
551,2022-12-27,USD,0.88,0.94,-0.06,-6.383,20535200
552,2022-12-26,USD,0.88,0.94,-0.06,-6.383,20535200
553,2022-12-25,USD,0.88,0.94,-0.06,-6.383,20535200
554,2022-12-24,USD,0.88,0.94,-0.06,-6.383,20535200
555,2022-12-23,USD,0.88,0.94,-0.06,-6.383,20535200
556,2022-12-22,USD,0.88,0.94,-0.06,-6.383,20535200
557,2022-12-21,USD,0.88,0.94,-0.06,-6.383,20535200
558,2022-12-20,USD,0.88,0.94,-0.06,-6.383,20535200
559,2022-12-19,USD,0.88,0.94,-0.06,-6.383,20535200
560,2022-12-18,USD,0.88,0.94,-0.06,-6.383,20535200
561,2022-12-17,USD,0.88,0.94,-0.06,-6.383,20535200
562,2022-12-16,USD,0.88,0.94,-0.06,-6.383,20535200
563,2022-12-15,USD,0.88,0.94,-0.06,-6.383,20535200
564,2022-12-14,USD,0.88,0.94,-0.06,-6.383,20535200
565,2022-12-13,USD,0.88,0.94,-0.06,-6.383,20535200
566,2022-12-12,USD,0.88,0.94,-0.06,-6.383,20535200
567,2022-12-11,USD,0.88,0.94,-0.06,-6.383,20535200
568,2022-12-10,USD,0.88,0.94,-0.06,-6.383,20535200
569,2022-12-09,USD,0.88,0.94,-0.06,-6.383,20535200
570,2022-12-08,USD,0.88,0.94,-0.06,-6.383,20535200
571,2022-12-07,USD,0.88,0.94,-0.06,-6.383,20535200
572,2022-12-06,USD,0.88,0.94,-0.06,-6.383,20535200
573,2022-12-05,USD,0.88,0.94,-0.06,-6.383,20535200
574,2022-12-04,USD,0.88,0.94,-0.06,-6.383,20535200
575,2022-12-03,USD,0.88,0.94,-0.06,-6.383,20535200
576,2022-12-02,USD,0.88,0.94,-0.06,-6.383,20535200
577,2022-12-01,USD,0.88,0.94,-0.06,-6.383,20535200
578,2022-11-30,USD,0.88,0.94,-0.06,-6.383,20535200
579,2022-11-29,USD,0.88,0.94,-0.06,-6.383,20535200
580,2022-11-28,USD,0.88,0.94,-0.06,-6.383,20535200
581,2022-11-27,USD,0.88,0.94,-0.06,-6.383,20535200
582,2022-11-26,USD,0.88,0.94,-0.06,-6.383,20535200
583,2022-11-25,USD,0.88,0.94,-0.06,-6.383,20535200
584,2022-11-24,USD,0.88,0.94,-0.06,-6.383,20535200
585,2022-11-23,USD,0.88,0.94,-0.06,-6.383,20535200
586,2022-11-22,USD,0.88,0.94,-0.06,-6.383,20535200
587,2022-11-21,USD,0.88,0.94,-0.06,-6.383,20535200
588,2022-11-20,USD,0.88,0.94,-0.06,-6.383,20535200
589,2022-11-19,USD,0.88,0.94,-0.06,-6.383,20535200
590,2022-11-18,USD,0.88,0.94,-0.06,-6.383,20535200
591,2022-11-17,USD,0.88,0.94,-0.06,-6.383,20535200
592,2022-11-16,USD,0.88,0.94,-0.06,-6.383,20535200
593,2022-11-15,USD,0.88,0.94,-0.06,-6.383,20535200
594,2022-11-14,USD,0.88,0.94,-0.06,-6.383,20535200
595,2022-11-13,USD,0.88,0.94,-0.06,-6.383,20535200
596,2022-11-12,USD,0.88,0.94,-0.06,-6.383,20535200
597,2022-11-11,USD,0.88,0.94,-0.06,-6.383,20535200
598,2022-11-10,USD,0.88,0.94,-0.06,-6.383,20535200
599,2022-11-09,USD,0.88,0.94,-0.06,-6.383,20535200
600,2022-11-08,USD,0.88,0.94,-0.06,-6.383,20535200
601,2022-11-07,USD,0.88,0.94,-0.06,-6.383,20535200
602,2022-11-06,USD,0.88,0.94,-0.06,-6.383,20535200
603,2022-11-05,USD,0.88,0.94,-0.06,-6.383,20535200
604,2022-11-04,USD,0.88,0.94,-0.06,-6.383,20535200
605,2022-11-03,USD,0.88,0.94,-0.06,-6.383,20535200
606,2022-11-02,USD,0.88,0.94,-0.06,-6.383,20535200
607,2022-11-01,USD,0.88,0.94,-0.06,-6.383,20535200
608,2022-10-31,USD,0.88,0.94,-0.06,-6.383,20535200
609,2022-10-30,USD,0.88,0.94,-0.06,-6.383,20535200
610,2022-10-29,USD,0.88,0.94,-0.06,-6.383,20535200
611,2022-10-28,USD,0.88,0.94,-0.06,-6.383,20535200
612,2022-10-27,USD,0.88,0.94,-0.06,-6.383,20535200
613,2022-10-26,USD,0.88,0.94,-0.06,-6.383,20535200
614,2022-10-25,USD,0.88,0.94,-0.06,-6.383,20535200
615,2022-10-24,USD,0.88,0.94,-0.06,-6.383,20535200
616,2022-10-23,USD,0.88,0.94,-0.06,-6.383,20535200
617,2022-10-22,USD,0.88,0.94,-0.06,-6.383,20535200
618,2022-10-21,USD,0.88,0.94,-0.06,-6.383,20535200
619,2022-10-20,USD,0.88,0.94,-0.06,-6.383,20535200
620,2022-10-19,USD,0.88,0.94,-0.06,-6.383,20535200
621,2022-10-18,USD,0.88,0.94,-0.06,-6.383,20535200
622,2022-10-17,USD,0.88,0.94,-0.06,-6.383,20535200
623,2022-10-16,USD,0.88,0.94,-0.06,-6.383,20535200
624,2022-10-15,USD,0.88,0.94,-0.06,-6.383,20535200
625,2022-10-14,USD,0.88,0.94,-0.06,-6.383,20535200
626,2022-10-13,USD,0.88,0.94,-0.06,-6.383,20535200
627,2022-10-12,USD,0.88,0.94,-0.06,-6.383,20535200
628,2022-10-11,USD,0.88,0.94,-0.06,-6.383,20535200
629,2022-10-10,USD,0.88,0.94,-0.06,-6.383,20535200
630,2022-10-09,USD,0.88,0.94,-0.06,-6.383,20535200
631,2022-10-08,USD,0.88,0.94,-0.06,-6.383,20535200
632,2022-10-07,USD,0.88,0.94,-0.06,-6.383,20535200
