index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2023-06-30,USD,0,0,0,,109727800
1,2023-06-29,USD,0,0,0,,108087000
2,2023-06-28,USD,0,0,0,,108087000
3,2023-06-27,USD,0,0,0,,108087000
4,2023-06-26,USD,0,0,0,,108087000
5,2023-06-25,USD,0,0,0,,108087000
6,2023-06-24,USD,0,0,0,,108087000
7,2023-06-23,USD,0,0,0,,108087000
8,2023-06-22,USD,0,0,0,,108087000
9,2023-06-21,USD,0,0,0,,108087000
10,2023-06-20,USD,0,0,0,,108087000
11,2023-06-19,USD,0,0,0,,108087000
12,2023-06-18,USD,0,0,0,,108087000
13,2023-06-17,USD,0,0,0,,108087000
14,2023-06-16,USD,0,0,0,,108087000
15,2023-06-15,USD,0,0,0,,108087000
16,2023-06-14,USD,0,0,0,,108087000
17,2023-06-13,USD,0,0,0,,108087000
18,2023-06-12,USD,0,0,0,,108087000
19,2023-06-11,USD,0,0,0,,108087000
20,2023-06-10,USD,0,0,0,,108087000
21,2023-06-09,USD,0,0,0,,108087000
22,2023-06-08,USD,0,0,0,,108087000
23,2023-06-07,USD,0,0,0,,108087000
24,2023-06-06,USD,0,0,0,,108087000
25,2023-06-05,USD,0,0,0,,108087000
26,2023-06-04,USD,0,0,0,,108087000
27,2023-06-03,USD,0,0,0,,108087000
28,2023-06-02,USD,0,0,0,,108087000
29,2023-06-01,USD,0,0,0,,108087000
30,2023-05-31,USD,0,0,0,,108087000
31,2023-05-30,USD,0,0,0,,108087000
32,2023-05-29,USD,0,0,0,,108087000
33,2023-05-28,USD,0,0,0,,108087000
34,2023-05-27,USD,0,0,0,,108087000
35,2023-05-26,USD,0,0,0,,108087000
36,2023-05-25,USD,0,0,0,,108087000
37,2023-05-24,USD,0,0,0,,108087000
38,2023-05-23,USD,0,0,0,,108087000
39,2023-05-22,USD,0,0,0,,108087000
40,2023-05-21,USD,0,0,0,,108087000
41,2023-05-20,USD,0,0,0,,108087000
42,2023-05-19,USD,0,0,0,,108087000
43,2023-05-18,USD,0,0,0,,108087000
44,2023-05-17,USD,0,0,0,,108087000
45,2023-05-16,USD,0,0,0,,108087000
46,2023-05-15,USD,0,0,0,,108087000
47,2023-05-14,USD,0,0,0,,108087000
48,2023-05-13,USD,0,0,0,,108087000
49,2023-05-12,USD,0,0,0,,108087000
50,2023-05-11,USD,0,0,0,,108087000
51,2023-05-10,USD,0,0,0,,108087000
52,2023-05-09,USD,0,0,0,,108087000
53,2023-05-08,USD,0,0,0,,108087000
54,2023-05-07,USD,0,0,0,,108087000
55,2023-05-06,USD,0,0,0,,108087000
56,2023-05-05,USD,0,0,0,,108087000
57,2023-05-04,USD,0,0,0,,108087000
58,2023-05-03,USD,0,0,0,,108087000
59,2023-05-02,USD,0,0,0,,108087000
60,2023-05-01,USD,0,0,0,,108087000
61,2023-04-30,USD,0,0,0,,108087000
62,2023-04-29,USD,0,0,0,,108087000
63,2023-04-28,USD,0,0,0,,108087000
64,2023-04-27,USD,0,0,0,,108087000
65,2023-04-26,USD,0,0,0,,108087000
66,2023-04-25,USD,0,0,0,,108087000
67,2023-04-24,USD,0,0,0,,108087000
68,2023-04-23,USD,0,0,0,,108087000
69,2023-04-22,USD,0,0,0,,108087000
70,2023-04-21,USD,0,0,0,,108087000
71,2023-04-20,USD,0,0,0,,108087000
72,2023-04-19,USD,0,0,0,,108087000
73,2023-04-18,USD,0,0,0,,108087000
74,2023-04-17,USD,0,0,0,,108087000
75,2023-04-16,USD,0,0,0,,108087000
76,2023-04-15,USD,0,0,0,,108087000
77,2023-04-14,USD,0,0,0,,108087000
78,2023-04-13,USD,0,0,0,,108087000
79,2023-04-12,USD,0,0,0,,108087000
80,2023-04-11,USD,0,0,0,,108087000
81,2023-04-10,USD,0,0,0,,108087000
82,2023-04-09,USD,0,0,0,,108087000
83,2023-04-08,USD,0,0,0,,108087000
84,2023-04-07,USD,0,0,0,,108087000
85,2023-04-06,USD,0,0,0,,108087000
86,2023-04-05,USD,0,0,0,,108087000
87,2023-04-04,USD,0,0,0,,108087000
88,2023-04-03,USD,0,0,0,,108087000
89,2023-04-02,USD,0,0,0,,108087000
90,2023-04-01,USD,0,0,0,,108087000
91,2023-03-31,USD,0,0,0,,108087000
92,2023-03-30,USD,0,0,0,,106428200
93,2023-03-29,USD,0,0,0,,106428200
94,2023-03-28,USD,0,0,0,,106428200
95,2023-03-27,USD,0,0,0,,106428200
96,2023-03-26,USD,0,0,0,,106428200
97,2023-03-25,USD,0,0,0,,106428200
98,2023-03-24,USD,0,0,0,,106428200
99,2023-03-23,USD,0,0,0,,106428200
100,2023-03-22,USD,0,0,0,,106428200
101,2023-03-21,USD,0,0,0,,106428200
102,2023-03-20,USD,0,0,0,,106428200
103,2023-03-19,USD,0,0,0,,106428200
104,2023-03-18,USD,0,0,0,,106428200
105,2023-03-17,USD,0,0,0,,106428200
106,2023-03-16,USD,0,0,0,,106428200
107,2023-03-15,USD,0,0,0,,106428200
108,2023-03-14,USD,0,0,0,,106428200
109,2023-03-13,USD,0,0,0,,106428200
110,2023-03-12,USD,0,0,0,,106428200
111,2023-03-11,USD,0,0,0,,106428200
112,2023-03-10,USD,0,0,0,,106428200
113,2023-03-09,USD,0,0,0,,106428200
114,2023-03-08,USD,0,0,0,,106428200
115,2023-03-07,USD,0,0,0,,106428200
116,2023-03-06,USD,0,0,0,,106428200
117,2023-03-05,USD,0,0,0,,106428200
118,2023-03-04,USD,0,0,0,,106428200
119,2023-03-03,USD,0,0,0,,106428200
120,2023-03-02,USD,0,0,0,,106428200
121,2023-03-01,USD,0,0,0,,106428200
122,2023-02-28,USD,0,0,0,,106428200
123,2023-02-27,USD,0,0,0,,106428200
124,2023-02-26,USD,0,0,0,,106428200
125,2023-02-25,USD,0,0,0,,106428200
126,2023-02-24,USD,0,0,0,,106428200
127,2023-02-23,USD,0,0,0,,106428200
128,2023-02-22,USD,0,0,0,,106428200
129,2023-02-21,USD,0,0,0,,106428200
130,2023-02-20,USD,0,0,0,,106428200
131,2023-02-19,USD,0,0,0,,106428200
132,2023-02-18,USD,0,0,0,,106428200
133,2023-02-17,USD,0,0,0,,106428200
134,2023-02-16,USD,0,0,0,,106428200
135,2023-02-15,USD,0,0,0,,106428200
136,2023-02-14,USD,0,0,0,,106428200
137,2023-02-13,USD,0,0,0,,106428200
138,2023-02-12,USD,0,0,0,,106428200
139,2023-02-11,USD,0,0,0,,106428200
140,2023-02-10,USD,0,0,0,,106428200
141,2023-02-09,USD,0,0,0,,106428200
142,2023-02-08,USD,0,0,0,,106428200
143,2023-02-07,USD,0,0,0,,106428200
144,2023-02-06,USD,0,0,0,,106428200
145,2023-02-05,USD,0,0,0,,106428200
146,2023-02-04,USD,0,0,0,,106428200
147,2023-02-03,USD,0,0,0,,106428200
148,2023-02-02,USD,0,0,0,,106428200
149,2023-02-01,USD,0,0,0,,106428200
150,2023-01-31,USD,0,0,0,,106428200
151,2023-01-30,USD,0,0,0,,106428200
