index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.46,-0.16,-0.3,-187.5,
336,2023-07-30,USD,-0.46,-0.16,-0.3,-187.5,
337,2023-07-29,USD,-0.46,-0.16,-0.3,-187.5,
338,2023-07-28,USD,-0.46,-0.16,-0.3,-187.5,
339,2023-07-27,USD,-0.46,-0.16,-0.3,-187.5,
340,2023-07-26,USD,-0.46,-0.16,-0.3,-187.5,
341,2023-07-25,USD,-0.46,-0.16,-0.3,-187.5,
342,2023-07-24,USD,-0.46,-0.16,-0.3,-187.5,
343,2023-07-23,USD,-0.46,-0.16,-0.3,-187.5,
344,2023-07-22,USD,-0.46,-0.16,-0.3,-187.5,
345,2023-07-21,USD,-0.46,-0.16,-0.3,-187.5,
346,2023-07-20,USD,-0.46,-0.16,-0.3,-187.5,
347,2023-07-19,USD,-0.46,-0.16,-0.3,-187.5,
348,2023-07-18,USD,-0.46,-0.16,-0.3,-187.5,
349,2023-07-17,USD,-0.46,-0.16,-0.3,-187.5,
350,2023-07-16,USD,-0.46,-0.16,-0.3,-187.5,
351,2023-07-15,USD,-0.46,-0.16,-0.3,-187.5,
352,2023-07-14,USD,-0.46,-0.16,-0.3,-187.5,
353,2023-07-13,USD,-0.46,-0.16,-0.3,-187.5,
354,2023-07-12,USD,-0.46,-0.16,-0.3,-187.5,
355,2023-07-11,USD,-0.46,-0.16,-0.3,-187.5,
356,2023-07-10,USD,-0.46,-0.16,-0.3,-187.5,
357,2023-07-09,USD,-0.46,-0.16,-0.3,-187.5,
358,2023-07-08,USD,-0.46,-0.16,-0.3,-187.5,
359,2023-07-07,USD,-0.46,-0.16,-0.3,-187.5,
360,2023-07-06,USD,-0.46,-0.16,-0.3,-187.5,
361,2023-07-05,USD,-0.46,-0.16,-0.3,-187.5,
362,2023-07-04,USD,-0.46,-0.16,-0.3,-187.5,
363,2023-07-03,USD,-0.46,-0.16,-0.3,-187.5,
364,2023-07-02,USD,-0.46,-0.16,-0.3,-187.5,
365,2023-07-01,USD,-0.46,-0.16,-0.3,-187.5,
366,2023-06-30,USD,-0.46,-0.16,-0.3,-187.5,12197800
367,2023-06-29,USD,-0.35,0.59,-0.94,-159.322,12182500
368,2023-06-28,USD,-0.35,0.59,-0.94,-159.322,12182500
369,2023-06-27,USD,-0.35,0.59,-0.94,-159.322,12182500
370,2023-06-26,USD,-0.35,0.59,-0.94,-159.322,12182500
371,2023-06-25,USD,-0.35,0.59,-0.94,-159.322,12182500
372,2023-06-24,USD,-0.35,0.59,-0.94,-159.322,12182500
373,2023-06-23,USD,-0.35,0.59,-0.94,-159.322,12182500
374,2023-06-22,USD,-0.35,0.59,-0.94,-159.322,12182500
375,2023-06-21,USD,-0.35,0.59,-0.94,-159.322,12182500
376,2023-06-20,USD,-0.35,0.59,-0.94,-159.322,12182500
377,2023-06-19,USD,-0.35,0.59,-0.94,-159.322,12182500
378,2023-06-18,USD,-0.35,0.59,-0.94,-159.322,12182500
379,2023-06-17,USD,-0.35,0.59,-0.94,-159.322,12182500
380,2023-06-16,USD,-0.35,0.59,-0.94,-159.322,12182500
381,2023-06-15,USD,-0.35,0.59,-0.94,-159.322,12182500
382,2023-06-14,USD,-0.35,0.59,-0.94,-159.322,12182500
383,2023-06-13,USD,-0.35,0.59,-0.94,-159.322,12182500
384,2023-06-12,USD,-0.35,0.59,-0.94,-159.322,12182500
385,2023-06-11,USD,-0.35,0.59,-0.94,-159.322,12182500
386,2023-06-10,USD,-0.35,0.59,-0.94,-159.322,12182500
387,2023-06-09,USD,-0.35,0.59,-0.94,-159.322,12182500
388,2023-06-08,USD,-0.35,0.59,-0.94,-159.322,12182500
389,2023-06-07,USD,-0.35,0.59,-0.94,-159.322,12182500
390,2023-06-06,USD,-0.35,0.59,-0.94,-159.322,12182500
391,2023-06-05,USD,-0.35,0.59,-0.94,-159.322,12182500
392,2023-06-04,USD,-0.35,0.59,-0.94,-159.322,12182500
393,2023-06-03,USD,-0.35,0.59,-0.94,-159.322,12182500
394,2023-06-02,USD,-0.35,0.59,-0.94,-159.322,12182500
395,2023-06-01,USD,-0.35,0.59,-0.94,-159.322,12182500
396,2023-05-31,USD,-0.35,0.59,-0.94,-159.322,12182500
397,2023-05-30,USD,-0.35,0.59,-0.94,-159.322,12182500
398,2023-05-29,USD,-0.35,0.59,-0.94,-159.322,12182500
399,2023-05-28,USD,-0.35,0.59,-0.94,-159.322,12182500
400,2023-05-27,USD,-0.35,0.59,-0.94,-159.322,12182500
401,2023-05-26,USD,-0.35,0.59,-0.94,-159.322,12182500
402,2023-05-25,USD,-0.35,0.59,-0.94,-159.322,12182500
403,2023-05-24,USD,-0.35,0.59,-0.94,-159.322,12182500
404,2023-05-23,USD,-0.35,0.59,-0.94,-159.322,12182500
405,2023-05-22,USD,-0.35,0.59,-0.94,-159.322,12182500
406,2023-05-21,USD,-0.35,0.59,-0.94,-159.322,12182500
407,2023-05-20,USD,-0.35,0.59,-0.94,-159.322,12182500
408,2023-05-19,USD,-0.35,0.59,-0.94,-159.322,12182500
