index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,,,-0.03,,,
245,2023-07-30,,,-0.03,,,
246,2023-07-29,,,-0.03,,,
247,2023-07-28,,,-0.03,,,
248,2023-07-27,,,-0.03,,,
249,2023-07-26,,,-0.03,,,
250,2023-07-25,,,-0.03,,,
251,2023-07-24,,,-0.03,,,
252,2023-07-23,,,-0.03,,,
253,2023-07-22,,,-0.03,,,
254,2023-07-21,,,-0.03,,,
255,2023-07-20,,,-0.03,,,
256,2023-07-19,,,-0.03,,,
257,2023-07-18,,,-0.03,,,
258,2023-07-17,,,-0.03,,,
259,2023-07-16,,,-0.03,,,
260,2023-07-15,,,-0.03,,,
261,2023-07-14,,,-0.03,,,
262,2023-07-13,,,-0.03,,,
263,2023-07-12,,,-0.03,,,
264,2023-07-11,,,-0.03,,,
265,2023-07-10,,,-0.03,,,
266,2023-07-09,,,-0.03,,,
267,2023-07-08,,,-0.03,,,
268,2023-07-07,,,-0.03,,,
269,2023-07-06,,,-0.03,,,
270,2023-07-05,,,-0.03,,,
271,2023-07-04,,,-0.03,,,
272,2023-07-03,,,-0.03,,,
273,2023-07-02,,,-0.03,,,
274,2023-07-01,,,-0.03,,,
275,2023-06-30,,,-0.03,,,
276,2023-06-29,,-0.05,-0.05,0,0,
277,2023-06-28,,-0.05,-0.05,0,0,
278,2023-06-27,,-0.05,-0.05,0,0,
279,2023-06-26,,-0.05,-0.05,0,0,
280,2023-06-25,,-0.05,-0.05,0,0,
281,2023-06-24,,-0.05,-0.05,0,0,
282,2023-06-23,,-0.05,-0.05,0,0,
283,2023-06-22,,-0.05,-0.05,0,0,
284,2023-06-21,,-0.05,-0.05,0,0,
285,2023-06-20,,-0.05,-0.05,0,0,
286,2023-06-19,,-0.05,-0.05,0,0,
287,2023-06-18,,-0.05,-0.05,0,0,
288,2023-06-17,,-0.05,-0.05,0,0,
289,2023-06-16,,-0.05,-0.05,0,0,
290,2023-06-15,,-0.05,-0.05,0,0,
291,2023-06-14,,-0.05,-0.05,0,0,
292,2023-06-13,,-0.05,-0.05,0,0,
293,2023-06-12,,-0.05,-0.05,0,0,
294,2023-06-11,,-0.05,-0.05,0,0,
295,2023-06-10,,-0.05,-0.05,0,0,
296,2023-06-09,,-0.05,-0.05,0,0,
297,2023-06-08,,-0.05,-0.05,0,0,
298,2023-06-07,,-0.05,-0.05,0,0,
299,2023-06-06,,-0.05,-0.05,0,0,
300,2023-06-05,,-0.05,-0.05,0,0,
301,2023-06-04,,-0.05,-0.05,0,0,
302,2023-06-03,,-0.05,-0.05,0,0,
303,2023-06-02,,-0.05,-0.05,0,0,
304,2023-06-01,,-0.05,-0.05,0,0,
305,2023-05-31,,-0.05,-0.05,0,0,
306,2023-05-30,,-0.05,-0.05,0,0,
307,2023-05-29,,-0.05,-0.05,0,0,
308,2023-05-28,,-0.05,-0.05,0,0,
309,2023-05-27,,-0.05,-0.05,0,0,
310,2023-05-26,,-0.05,-0.05,0,0,
311,2023-05-25,,-0.05,-0.05,0,0,
312,2023-05-24,,-0.05,-0.05,0,0,
313,2023-05-23,,-0.05,-0.05,0,0,
314,2023-05-22,,-0.05,-0.05,0,0,
315,2023-05-21,,-0.05,-0.05,0,0,
316,2023-05-20,,-0.05,-0.05,0,0,
317,2023-05-19,,-0.05,-0.05,0,0,
318,2023-05-18,,-0.05,-0.05,0,0,
319,2023-05-17,,-0.05,-0.05,0,0,
320,2023-05-16,,-0.05,-0.05,0,0,
321,2023-05-15,,-0.05,-0.05,0,0,
322,2023-05-14,,-0.05,-0.05,0,0,
323,2023-05-13,,-0.05,-0.05,0,0,
324,2023-05-12,,-0.05,-0.05,0,0,
325,2023-05-11,,-0.05,-0.05,0,0,
326,2023-05-10,,-0.05,-0.05,0,0,
327,2023-05-09,,-0.05,-0.05,0,0,
328,2023-05-08,,-0.05,-0.05,0,0,
329,2023-05-07,,-0.05,-0.05,0,0,
330,2023-05-06,,-0.05,-0.05,0,0,
331,2023-05-05,,-0.05,-0.05,0,0,
332,2023-05-04,,-0.05,-0.05,0,0,
333,2023-05-03,,-0.05,-0.05,0,0,
334,2023-05-02,,-0.05,-0.05,0,0,
335,2023-05-01,,-0.05,-0.05,0,0,
336,2023-04-30,,-0.05,-0.05,0,0,
337,2023-04-29,,-0.05,-0.05,0,0,
338,2023-04-28,,-0.05,-0.05,0,0,
339,2023-04-27,,-0.05,-0.05,0,0,
340,2023-04-26,,-0.05,-0.05,0,0,
341,2023-04-25,,-0.05,-0.05,0,0,
342,2023-04-24,,-0.05,-0.05,0,0,
343,2023-04-23,,-0.05,-0.05,0,0,
344,2023-04-22,,-0.05,-0.05,0,0,
345,2023-04-21,,-0.05,-0.05,0,0,
346,2023-04-20,,-0.05,-0.05,0,0,
347,2023-04-19,,-0.05,-0.05,0,0,
348,2023-04-18,,-0.05,-0.05,0,0,
349,2023-04-17,,-0.05,-0.05,0,0,
350,2023-04-16,,-0.05,-0.05,0,0,
351,2023-04-15,,-0.05,-0.05,0,0,
352,2023-04-14,,-0.05,-0.05,0,0,
353,2023-04-13,,-0.05,-0.05,0,0,
354,2023-04-12,,-0.05,-0.05,0,0,
355,2023-04-11,,-0.05,-0.05,0,0,
356,2023-04-10,,-0.05,-0.05,0,0,
357,2023-04-09,,-0.05,-0.05,0,0,
358,2023-04-08,,-0.05,-0.05,0,0,
359,2023-04-07,,-0.05,-0.05,0,0,
360,2023-04-06,,-0.05,-0.05,0,0,
361,2023-04-05,,-0.05,-0.05,0,0,
362,2023-04-04,,-0.05,-0.05,0,0,
363,2023-04-03,,-0.05,-0.05,0,0,
364,2023-04-02,,-0.05,-0.05,0,0,
365,2023-04-01,,-0.05,-0.05,0,0,
366,2023-03-31,,-0.05,-0.05,0,0,135601300
367,2023-03-30,,-0.07,-0.09,0.02,22.2222,135578900
368,2023-03-29,,-0.07,-0.09,0.02,22.2222,135578900
369,2023-03-28,,-0.07,-0.09,0.02,22.2222,135578900
370,2023-03-27,,-0.07,-0.09,0.02,22.2222,135578900
371,2023-03-26,,-0.07,-0.09,0.02,22.2222,135578900
372,2023-03-25,,-0.07,-0.09,0.02,22.2222,135578900
373,2023-03-24,,-0.07,-0.09,0.02,22.2222,135578900
374,2023-03-23,,-0.07,-0.09,0.02,22.2222,135578900
375,2023-03-22,,-0.07,-0.09,0.02,22.2222,135578900
376,2023-03-21,,-0.07,-0.09,0.02,22.2222,135578900
377,2023-03-20,,-0.07,-0.09,0.02,22.2222,135578900
378,2023-03-19,,-0.07,-0.09,0.02,22.2222,135578900
379,2023-03-18,,-0.07,-0.09,0.02,22.2222,135578900
380,2023-03-17,,-0.07,-0.09,0.02,22.2222,135578900
381,2023-03-16,,-0.07,-0.09,0.02,22.2222,135578900
382,2023-03-15,,-0.07,-0.09,0.02,22.2222,135578900
383,2023-03-14,,-0.07,-0.09,0.02,22.2222,135578900
384,2023-03-13,,-0.07,-0.09,0.02,22.2222,135578900
385,2023-03-12,,-0.07,-0.09,0.02,22.2222,135578900
386,2023-03-11,,-0.07,-0.09,0.02,22.2222,135578900
387,2023-03-10,,-0.07,-0.09,0.02,22.2222,135578900
388,2023-03-09,,-0.07,-0.09,0.02,22.2222,135578900
389,2023-03-08,,-0.07,-0.09,0.02,22.2222,135578900
390,2023-03-07,,-0.07,-0.09,0.02,22.2222,135578900
391,2023-03-06,,-0.07,-0.09,0.02,22.2222,135578900
392,2023-03-05,,-0.07,-0.09,0.02,22.2222,135578900
393,2023-03-04,,-0.07,-0.09,0.02,22.2222,135578900
394,2023-03-03,,-0.07,-0.09,0.02,22.2222,135578900
