index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.52,-0.46,-0.06,-13.0435,
336,2023-07-30,USD,-0.52,-0.46,-0.06,-13.0435,
337,2023-07-29,USD,-0.52,-0.46,-0.06,-13.0435,
338,2023-07-28,USD,-0.52,-0.46,-0.06,-13.0435,
339,2023-07-27,USD,-0.52,-0.46,-0.06,-13.0435,
340,2023-07-26,USD,-0.52,-0.46,-0.06,-13.0435,
341,2023-07-25,USD,-0.52,-0.46,-0.06,-13.0435,
342,2023-07-24,USD,-0.52,-0.46,-0.06,-13.0435,
343,2023-07-23,USD,-0.52,-0.46,-0.06,-13.0435,
344,2023-07-22,USD,-0.52,-0.46,-0.06,-13.0435,
345,2023-07-21,USD,-0.52,-0.46,-0.06,-13.0435,
346,2023-07-20,USD,-0.52,-0.46,-0.06,-13.0435,
347,2023-07-19,USD,-0.52,-0.46,-0.06,-13.0435,
348,2023-07-18,USD,-0.52,-0.46,-0.06,-13.0435,
349,2023-07-17,USD,-0.52,-0.46,-0.06,-13.0435,
350,2023-07-16,USD,-0.52,-0.46,-0.06,-13.0435,
351,2023-07-15,USD,-0.52,-0.46,-0.06,-13.0435,
352,2023-07-14,USD,-0.52,-0.46,-0.06,-13.0435,
353,2023-07-13,USD,-0.52,-0.46,-0.06,-13.0435,
354,2023-07-12,USD,-0.52,-0.46,-0.06,-13.0435,
355,2023-07-11,USD,-0.52,-0.46,-0.06,-13.0435,
356,2023-07-10,USD,-0.52,-0.46,-0.06,-13.0435,
357,2023-07-09,USD,-0.52,-0.46,-0.06,-13.0435,
358,2023-07-08,USD,-0.52,-0.46,-0.06,-13.0435,
359,2023-07-07,USD,-0.52,-0.46,-0.06,-13.0435,
360,2023-07-06,USD,-0.52,-0.46,-0.06,-13.0435,
361,2023-07-05,USD,-0.52,-0.46,-0.06,-13.0435,
362,2023-07-04,USD,-0.52,-0.46,-0.06,-13.0435,
363,2023-07-03,USD,-0.52,-0.46,-0.06,-13.0435,
364,2023-07-02,USD,-0.52,-0.46,-0.06,-13.0435,
365,2023-07-01,USD,-0.52,-0.46,-0.06,-13.0435,
366,2023-06-30,USD,-0.52,-0.46,-0.06,-13.0435,57397900
367,2023-06-29,USD,-0.46,-0.44,-0.02,-4.5455,57147300
368,2023-06-28,USD,-0.46,-0.44,-0.02,-4.5455,57147300
369,2023-06-27,USD,-0.46,-0.44,-0.02,-4.5455,57147300
370,2023-06-26,USD,-0.46,-0.44,-0.02,-4.5455,57147300
371,2023-06-25,USD,-0.46,-0.44,-0.02,-4.5455,57147300
372,2023-06-24,USD,-0.46,-0.44,-0.02,-4.5455,57147300
373,2023-06-23,USD,-0.46,-0.44,-0.02,-4.5455,57147300
374,2023-06-22,USD,-0.46,-0.44,-0.02,-4.5455,57147300
375,2023-06-21,USD,-0.46,-0.44,-0.02,-4.5455,57147300
376,2023-06-20,USD,-0.46,-0.44,-0.02,-4.5455,57147300
377,2023-06-19,USD,-0.46,-0.44,-0.02,-4.5455,57147300
378,2023-06-18,USD,-0.46,-0.44,-0.02,-4.5455,57147300
379,2023-06-17,USD,-0.46,-0.44,-0.02,-4.5455,57147300
380,2023-06-16,USD,-0.46,-0.44,-0.02,-4.5455,57147300
381,2023-06-15,USD,-0.46,-0.44,-0.02,-4.5455,57147300
382,2023-06-14,USD,-0.46,-0.44,-0.02,-4.5455,57147300
383,2023-06-13,USD,-0.46,-0.44,-0.02,-4.5455,57147300
384,2023-06-12,USD,-0.46,-0.44,-0.02,-4.5455,57147300
385,2023-06-11,USD,-0.46,-0.44,-0.02,-4.5455,57147300
386,2023-06-10,USD,-0.46,-0.44,-0.02,-4.5455,57147300
387,2023-06-09,USD,-0.46,-0.44,-0.02,-4.5455,57147300
388,2023-06-08,USD,-0.46,-0.44,-0.02,-4.5455,57147300
389,2023-06-07,USD,-0.46,-0.44,-0.02,-4.5455,57147300
390,2023-06-06,USD,-0.46,-0.44,-0.02,-4.5455,57147300
391,2023-06-05,USD,-0.46,-0.44,-0.02,-4.5455,57147300
392,2023-06-04,USD,-0.46,-0.44,-0.02,-4.5455,57147300
393,2023-06-03,USD,-0.46,-0.44,-0.02,-4.5455,57147300
394,2023-06-02,USD,-0.46,-0.44,-0.02,-4.5455,57147300
395,2023-06-01,USD,-0.46,-0.44,-0.02,-4.5455,57147300
396,2023-05-31,USD,-0.46,-0.44,-0.02,-4.5455,57147300
397,2023-05-30,USD,-0.46,-0.44,-0.02,-4.5455,57147300
398,2023-05-29,USD,-0.46,-0.44,-0.02,-4.5455,57147300
399,2023-05-28,USD,-0.46,-0.44,-0.02,-4.5455,57147300
400,2023-05-27,USD,-0.46,-0.44,-0.02,-4.5455,57147300
401,2023-05-26,USD,-0.46,-0.44,-0.02,-4.5455,57147300
402,2023-05-25,USD,-0.46,-0.44,-0.02,-4.5455,57147300
403,2023-05-24,USD,-0.46,-0.44,-0.02,-4.5455,57147300
404,2023-05-23,USD,-0.46,-0.44,-0.02,-4.5455,57147300
405,2023-05-22,USD,-0.46,-0.44,-0.02,-4.5455,57147300
