index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,-0.57,-0.6,0.03,5,
245,2023-07-30,USD,-0.57,-0.6,0.03,5,
246,2023-07-29,USD,-0.57,-0.6,0.03,5,
247,2023-07-28,USD,-0.57,-0.6,0.03,5,
248,2023-07-27,USD,-0.57,-0.6,0.03,5,
249,2023-07-26,USD,-0.57,-0.6,0.03,5,
250,2023-07-25,USD,-0.57,-0.6,0.03,5,
251,2023-07-24,USD,-0.57,-0.6,0.03,5,
252,2023-07-23,USD,-0.57,-0.6,0.03,5,
253,2023-07-22,USD,-0.57,-0.6,0.03,5,
254,2023-07-21,USD,-0.57,-0.6,0.03,5,
255,2023-07-20,USD,-0.57,-0.6,0.03,5,
256,2023-07-19,USD,-0.57,-0.6,0.03,5,
257,2023-07-18,USD,-0.57,-0.6,0.03,5,
258,2023-07-17,USD,-0.57,-0.6,0.03,5,
259,2023-07-16,USD,-0.57,-0.6,0.03,5,
260,2023-07-15,USD,-0.57,-0.6,0.03,5,
261,2023-07-14,USD,-0.57,-0.6,0.03,5,
262,2023-07-13,USD,-0.57,-0.6,0.03,5,
263,2023-07-12,USD,-0.57,-0.6,0.03,5,
264,2023-07-11,USD,-0.57,-0.6,0.03,5,
265,2023-07-10,USD,-0.57,-0.6,0.03,5,
266,2023-07-09,USD,-0.57,-0.6,0.03,5,
267,2023-07-08,USD,-0.57,-0.6,0.03,5,
268,2023-07-07,USD,-0.57,-0.6,0.03,5,
269,2023-07-06,USD,-0.57,-0.6,0.03,5,
270,2023-07-05,USD,-0.57,-0.6,0.03,5,
271,2023-07-04,USD,-0.57,-0.6,0.03,5,
272,2023-07-03,USD,-0.57,-0.6,0.03,5,
273,2023-07-02,USD,-0.57,-0.6,0.03,5,
274,2023-07-01,USD,-0.57,-0.6,0.03,5,
275,2023-06-30,USD,-0.57,-0.6,0.03,5,
276,2023-06-29,USD,-0.68,-0.78,0.1,12.8205,
277,2023-06-28,USD,-0.68,-0.78,0.1,12.8205,
278,2023-06-27,USD,-0.68,-0.78,0.1,12.8205,
279,2023-06-26,USD,-0.68,-0.78,0.1,12.8205,
280,2023-06-25,USD,-0.68,-0.78,0.1,12.8205,
281,2023-06-24,USD,-0.68,-0.78,0.1,12.8205,
282,2023-06-23,USD,-0.68,-0.78,0.1,12.8205,
283,2023-06-22,USD,-0.68,-0.78,0.1,12.8205,
284,2023-06-21,USD,-0.68,-0.78,0.1,12.8205,
285,2023-06-20,USD,-0.68,-0.78,0.1,12.8205,
286,2023-06-19,USD,-0.68,-0.78,0.1,12.8205,
287,2023-06-18,USD,-0.68,-0.78,0.1,12.8205,
288,2023-06-17,USD,-0.68,-0.78,0.1,12.8205,
289,2023-06-16,USD,-0.68,-0.78,0.1,12.8205,
290,2023-06-15,USD,-0.68,-0.78,0.1,12.8205,
291,2023-06-14,USD,-0.68,-0.78,0.1,12.8205,
292,2023-06-13,USD,-0.68,-0.78,0.1,12.8205,
293,2023-06-12,USD,-0.68,-0.78,0.1,12.8205,
294,2023-06-11,USD,-0.68,-0.78,0.1,12.8205,
295,2023-06-10,USD,-0.68,-0.78,0.1,12.8205,
