index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2023-06-30,USD,0,0,0,,18071800
1,2023-06-29,USD,-0.0685,0,-0.0685,,14415500
2,2023-06-28,USD,-0.0685,0,-0.0685,,14415500
3,2023-06-27,USD,-0.0685,0,-0.0685,,14415500
4,2023-06-26,USD,-0.0685,0,-0.0685,,14415500
5,2023-06-25,USD,-0.0685,0,-0.0685,,14415500
6,2023-06-24,USD,-0.0685,0,-0.0685,,14415500
7,2023-06-23,USD,-0.0685,0,-0.0685,,14415500
8,2023-06-22,USD,-0.0685,0,-0.0685,,14415500
9,2023-06-21,USD,-0.0685,0,-0.0685,,14415500
10,2023-06-20,USD,-0.0685,0,-0.0685,,14415500
11,2023-06-19,USD,-0.0685,0,-0.0685,,14415500
12,2023-06-18,USD,-0.0685,0,-0.0685,,14415500
13,2023-06-17,USD,-0.0685,0,-0.0685,,14415500
14,2023-06-16,USD,-0.0685,0,-0.0685,,14415500
15,2023-06-15,USD,-0.0685,0,-0.0685,,14415500
16,2023-06-14,USD,-0.0685,0,-0.0685,,14415500
17,2023-06-13,USD,-0.0685,0,-0.0685,,14415500
18,2023-06-12,USD,-0.0685,0,-0.0685,,14415500
19,2023-06-11,USD,-0.0685,0,-0.0685,,14415500
20,2023-06-10,USD,-0.0685,0,-0.0685,,14415500
21,2023-06-09,USD,-0.0685,0,-0.0685,,14415500
22,2023-06-08,USD,-0.0685,0,-0.0685,,14415500
23,2023-06-07,USD,-0.0685,0,-0.0685,,14415500
24,2023-06-06,USD,-0.0685,0,-0.0685,,14415500
25,2023-06-05,USD,-0.0685,0,-0.0685,,14415500
26,2023-06-04,USD,-0.0685,0,-0.0685,,14415500
27,2023-06-03,USD,-0.0685,0,-0.0685,,14415500
28,2023-06-02,USD,-0.0685,0,-0.0685,,14415500
29,2023-06-01,USD,-0.0685,0,-0.0685,,14415500
30,2023-05-31,USD,-0.0685,0,-0.0685,,14415500
31,2023-05-30,USD,-0.0685,0,-0.0685,,14415500
32,2023-05-29,USD,-0.0685,0,-0.0685,,14415500
33,2023-05-28,USD,-0.0685,0,-0.0685,,14415500
34,2023-05-27,USD,-0.0685,0,-0.0685,,14415500
35,2023-05-26,USD,-0.0685,0,-0.0685,,14415500
36,2023-05-25,USD,-0.0685,0,-0.0685,,14415500
37,2023-05-24,USD,-0.0685,0,-0.0685,,14415500
38,2023-05-23,USD,-0.0685,0,-0.0685,,14415500
39,2023-05-22,USD,-0.0685,0,-0.0685,,14415500
40,2023-05-21,USD,-0.0685,0,-0.0685,,14415500
41,2023-05-20,USD,-0.0685,0,-0.0685,,14415500
42,2023-05-19,USD,-0.0685,0,-0.0685,,14415500
43,2023-05-18,USD,-0.0685,0,-0.0685,,14415500
44,2023-05-17,USD,-0.0685,0,-0.0685,,14415500
45,2023-05-16,USD,-0.0685,0,-0.0685,,14415500
46,2023-05-15,USD,-0.0685,0,-0.0685,,14415500
47,2023-05-14,USD,-0.0685,0,-0.0685,,14415500
48,2023-05-13,USD,-0.0685,0,-0.0685,,14415500
49,2023-05-12,USD,-0.0685,0,-0.0685,,14415500
