index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.86,0.83,0.03,3.6145,
336,2023-07-30,USD,0.86,0.83,0.03,3.6145,
337,2023-07-29,USD,0.86,0.83,0.03,3.6145,
338,2023-07-28,USD,0.86,0.83,0.03,3.6145,
339,2023-07-27,USD,0.86,0.83,0.03,3.6145,
340,2023-07-26,USD,0.86,0.83,0.03,3.6145,
341,2023-07-25,USD,0.86,0.83,0.03,3.6145,
342,2023-07-24,USD,0.86,0.83,0.03,3.6145,
343,2023-07-23,USD,0.86,0.83,0.03,3.6145,
344,2023-07-22,USD,0.86,0.83,0.03,3.6145,
345,2023-07-21,USD,0.86,0.83,0.03,3.6145,
346,2023-07-20,USD,0.86,0.83,0.03,3.6145,
347,2023-07-19,USD,0.86,0.83,0.03,3.6145,
348,2023-07-18,USD,0.86,0.83,0.03,3.6145,
349,2023-07-17,USD,0.86,0.83,0.03,3.6145,
350,2023-07-16,USD,0.86,0.83,0.03,3.6145,
351,2023-07-15,USD,0.86,0.83,0.03,3.6145,
352,2023-07-14,USD,0.86,0.83,0.03,3.6145,
353,2023-07-13,USD,0.86,0.83,0.03,3.6145,
354,2023-07-12,USD,0.86,0.83,0.03,3.6145,
355,2023-07-11,USD,0.86,0.83,0.03,3.6145,
356,2023-07-10,USD,0.86,0.83,0.03,3.6145,
357,2023-07-09,USD,0.86,0.83,0.03,3.6145,
358,2023-07-08,USD,0.86,0.83,0.03,3.6145,
359,2023-07-07,USD,0.86,0.83,0.03,3.6145,
360,2023-07-06,USD,0.86,0.83,0.03,3.6145,
361,2023-07-05,USD,0.86,0.83,0.03,3.6145,
362,2023-07-04,USD,0.86,0.83,0.03,3.6145,
363,2023-07-03,USD,0.86,0.83,0.03,3.6145,
364,2023-07-02,USD,0.86,0.83,0.03,3.6145,
365,2023-07-01,USD,0.86,0.83,0.03,3.6145,
366,2023-06-30,USD,0.86,0.83,0.03,3.6145,25309500
367,2023-06-29,USD,0.8,0.74,0.06,8.1081,25442900
368,2023-06-28,USD,0.8,0.74,0.06,8.1081,25442900
369,2023-06-27,USD,0.8,0.74,0.06,8.1081,25442900
370,2023-06-26,USD,0.8,0.74,0.06,8.1081,25442900
371,2023-06-25,USD,0.8,0.74,0.06,8.1081,25442900
372,2023-06-24,USD,0.8,0.74,0.06,8.1081,25442900
373,2023-06-23,USD,0.8,0.74,0.06,8.1081,25442900
374,2023-06-22,USD,0.8,0.74,0.06,8.1081,25442900
375,2023-06-21,USD,0.8,0.74,0.06,8.1081,25442900
376,2023-06-20,USD,0.8,0.74,0.06,8.1081,25442900
377,2023-06-19,USD,0.8,0.74,0.06,8.1081,25442900
378,2023-06-18,USD,0.8,0.74,0.06,8.1081,25442900
379,2023-06-17,USD,0.8,0.74,0.06,8.1081,25442900
380,2023-06-16,USD,0.8,0.74,0.06,8.1081,25442900
381,2023-06-15,USD,0.8,0.74,0.06,8.1081,25442900
382,2023-06-14,USD,0.8,0.74,0.06,8.1081,25442900
383,2023-06-13,USD,0.8,0.74,0.06,8.1081,25442900
384,2023-06-12,USD,0.8,0.74,0.06,8.1081,25442900
385,2023-06-11,USD,0.8,0.74,0.06,8.1081,25442900
386,2023-06-10,USD,0.8,0.74,0.06,8.1081,25442900
387,2023-06-09,USD,0.8,0.74,0.06,8.1081,25442900
388,2023-06-08,USD,0.8,0.74,0.06,8.1081,25442900
389,2023-06-07,USD,0.8,0.74,0.06,8.1081,25442900
390,2023-06-06,USD,0.8,0.74,0.06,8.1081,25442900
391,2023-06-05,USD,0.8,0.74,0.06,8.1081,25442900
392,2023-06-04,USD,0.8,0.74,0.06,8.1081,25442900
393,2023-06-03,USD,0.8,0.74,0.06,8.1081,25442900
394,2023-06-02,USD,0.8,0.74,0.06,8.1081,25442900
395,2023-06-01,USD,0.8,0.74,0.06,8.1081,25442900
396,2023-05-31,USD,0.8,0.74,0.06,8.1081,25442900
397,2023-05-30,USD,0.8,0.74,0.06,8.1081,25442900
398,2023-05-29,USD,0.8,0.74,0.06,8.1081,25442900
399,2023-05-28,USD,0.8,0.74,0.06,8.1081,25442900
400,2023-05-27,USD,0.8,0.74,0.06,8.1081,25442900
401,2023-05-26,USD,0.8,0.74,0.06,8.1081,25442900
402,2023-05-25,USD,0.8,0.74,0.06,8.1081,25442900
403,2023-05-24,USD,0.8,0.74,0.06,8.1081,25442900
404,2023-05-23,USD,0.8,0.74,0.06,8.1081,25442900
405,2023-05-22,USD,0.8,0.74,0.06,8.1081,25442900
406,2023-05-21,USD,0.8,0.74,0.06,8.1081,25442900
407,2023-05-20,USD,0.8,0.74,0.06,8.1081,25442900
408,2023-05-19,USD,0.8,0.74,0.06,8.1081,25442900
409,2023-05-18,USD,0.8,0.74,0.06,8.1081,25442900
410,2023-05-17,USD,0.8,0.74,0.06,8.1081,25442900
411,2023-05-16,USD,0.8,0.74,0.06,8.1081,25442900
412,2023-05-15,USD,0.8,0.74,0.06,8.1081,25442900
413,2023-05-14,USD,0.8,0.74,0.06,8.1081,25442900
414,2023-05-13,USD,0.8,0.74,0.06,8.1081,25442900
415,2023-05-12,USD,0.8,0.74,0.06,8.1081,25442900
416,2023-05-11,USD,0.8,0.74,0.06,8.1081,25442900
417,2023-05-10,USD,0.8,0.74,0.06,8.1081,25442900
418,2023-05-09,USD,0.8,0.74,0.06,8.1081,25442900
419,2023-05-08,USD,0.8,0.74,0.06,8.1081,25442900
420,2023-05-07,USD,0.8,0.74,0.06,8.1081,25442900
421,2023-05-06,USD,0.8,0.74,0.06,8.1081,25442900
422,2023-05-05,USD,0.8,0.74,0.06,8.1081,25442900
423,2023-05-04,USD,0.8,0.74,0.06,8.1081,25442900
424,2023-05-03,USD,0.8,0.74,0.06,8.1081,25442900
425,2023-05-02,USD,0.8,0.74,0.06,8.1081,25442900
426,2023-05-01,USD,0.8,0.74,0.06,8.1081,25442900
427,2023-04-30,USD,0.8,0.74,0.06,8.1081,25442900
428,2023-04-29,USD,0.8,0.74,0.06,8.1081,25442900
429,2023-04-28,USD,0.8,0.74,0.06,8.1081,25442900
430,2023-04-27,USD,0.8,0.74,0.06,8.1081,25442900
431,2023-04-26,USD,0.8,0.74,0.06,8.1081,25442900
432,2023-04-25,USD,0.8,0.74,0.06,8.1081,25442900
433,2023-04-24,USD,0.8,0.74,0.06,8.1081,25442900
434,2023-04-23,USD,0.8,0.74,0.06,8.1081,25442900
435,2023-04-22,USD,0.8,0.74,0.06,8.1081,25442900
436,2023-04-21,USD,0.8,0.74,0.06,8.1081,25442900
437,2023-04-20,USD,0.8,0.74,0.06,8.1081,25442900
438,2023-04-19,USD,0.8,0.74,0.06,8.1081,25442900
439,2023-04-18,USD,0.8,0.74,0.06,8.1081,25442900
440,2023-04-17,USD,0.8,0.74,0.06,8.1081,25442900
441,2023-04-16,USD,0.8,0.74,0.06,8.1081,25442900
442,2023-04-15,USD,0.8,0.74,0.06,8.1081,25442900
443,2023-04-14,USD,0.8,0.74,0.06,8.1081,25442900
444,2023-04-13,USD,0.8,0.74,0.06,8.1081,25442900
445,2023-04-12,USD,0.8,0.74,0.06,8.1081,25442900
446,2023-04-11,USD,0.8,0.74,0.06,8.1081,25442900
447,2023-04-10,USD,0.8,0.74,0.06,8.1081,25442900
448,2023-04-09,USD,0.8,0.74,0.06,8.1081,25442900
449,2023-04-08,USD,0.8,0.74,0.06,8.1081,25442900
450,2023-04-07,USD,0.8,0.74,0.06,8.1081,25442900
451,2023-04-06,USD,0.8,0.74,0.06,8.1081,25442900
452,2023-04-05,USD,0.8,0.74,0.06,8.1081,25442900
453,2023-04-04,USD,0.8,0.74,0.06,8.1081,25442900
454,2023-04-03,USD,0.8,0.74,0.06,8.1081,25442900
455,2023-04-02,USD,0.8,0.74,0.06,8.1081,25442900
456,2023-04-01,USD,0.8,0.74,0.06,8.1081,25442900
457,2023-03-31,USD,0.8,0.74,0.06,8.1081,25442900
458,2023-03-30,USD,0.82,0.74,0.08,10.8108,25729700
459,2023-03-29,USD,0.82,0.74,0.08,10.8108,25729700
460,2023-03-28,USD,0.82,0.74,0.08,10.8108,25729700
461,2023-03-27,USD,0.82,0.74,0.08,10.8108,25729700
462,2023-03-26,USD,0.82,0.74,0.08,10.8108,25729700
463,2023-03-25,USD,0.82,0.74,0.08,10.8108,25729700
464,2023-03-24,USD,0.82,0.74,0.08,10.8108,25729700
465,2023-03-23,USD,0.82,0.74,0.08,10.8108,25729700
466,2023-03-22,USD,0.82,0.74,0.08,10.8108,25729700
467,2023-03-21,USD,0.82,0.74,0.08,10.8108,25729700
468,2023-03-20,USD,0.82,0.74,0.08,10.8108,25729700
469,2023-03-19,USD,0.82,0.74,0.08,10.8108,25729700
470,2023-03-18,USD,0.82,0.74,0.08,10.8108,25729700
471,2023-03-17,USD,0.82,0.74,0.08,10.8108,25729700
472,2023-03-16,USD,0.82,0.74,0.08,10.8108,25729700
473,2023-03-15,USD,0.82,0.74,0.08,10.8108,25729700
474,2023-03-14,USD,0.82,0.74,0.08,10.8108,25729700
475,2023-03-13,USD,0.82,0.74,0.08,10.8108,25729700
476,2023-03-12,USD,0.82,0.74,0.08,10.8108,25729700
477,2023-03-11,USD,0.82,0.74,0.08,10.8108,25729700
478,2023-03-10,USD,0.82,0.74,0.08,10.8108,25729700
479,2023-03-09,USD,0.82,0.74,0.08,10.8108,25729700
480,2023-03-08,USD,0.82,0.74,0.08,10.8108,25729700
481,2023-03-07,USD,0.82,0.74,0.08,10.8108,25729700
482,2023-03-06,USD,0.82,0.74,0.08,10.8108,25729700
483,2023-03-05,USD,0.82,0.74,0.08,10.8108,25729700
484,2023-03-04,USD,0.82,0.74,0.08,10.8108,25729700
485,2023-03-03,USD,0.82,0.74,0.08,10.8108,25729700
486,2023-03-02,USD,0.82,0.74,0.08,10.8108,25729700
487,2023-03-01,USD,0.82,0.74,0.08,10.8108,25729700
488,2023-02-28,USD,0.82,0.74,0.08,10.8108,25729700
489,2023-02-27,USD,0.82,0.74,0.08,10.8108,25729700
490,2023-02-26,USD,0.82,0.74,0.08,10.8108,25729700
491,2023-02-25,USD,0.82,0.74,0.08,10.8108,25729700
492,2023-02-24,USD,0.82,0.74,0.08,10.8108,25729700
493,2023-02-23,USD,0.82,0.74,0.08,10.8108,25729700
494,2023-02-22,USD,0.82,0.74,0.08,10.8108,25729700
495,2023-02-21,USD,0.82,0.74,0.08,10.8108,25729700
496,2023-02-20,USD,0.82,0.74,0.08,10.8108,25729700
497,2023-02-19,USD,0.82,0.74,0.08,10.8108,25729700
498,2023-02-18,USD,0.82,0.74,0.08,10.8108,25729700
499,2023-02-17,USD,0.82,0.74,0.08,10.8108,25729700
500,2023-02-16,USD,0.82,0.74,0.08,10.8108,25729700
501,2023-02-15,USD,0.82,0.74,0.08,10.8108,25729700
