index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,0,0.06,-0.06,-100,
245,2023-07-30,USD,0,0.06,-0.06,-100,
246,2023-07-29,USD,0,0.06,-0.06,-100,
247,2023-07-28,USD,0,0.06,-0.06,-100,
248,2023-07-27,USD,0,0.06,-0.06,-100,
249,2023-07-26,USD,0,0.06,-0.06,-100,
250,2023-07-25,USD,0,0.06,-0.06,-100,
251,2023-07-24,USD,0,0.06,-0.06,-100,
252,2023-07-23,USD,0,0.06,-0.06,-100,
253,2023-07-22,USD,0,0.06,-0.06,-100,
254,2023-07-21,USD,0,0.06,-0.06,-100,
255,2023-07-20,USD,0,0.06,-0.06,-100,
256,2023-07-19,USD,0,0.06,-0.06,-100,
257,2023-07-18,USD,0,0.06,-0.06,-100,
258,2023-07-17,USD,0,0.06,-0.06,-100,
259,2023-07-16,USD,0,0.06,-0.06,-100,
260,2023-07-15,USD,0,0.06,-0.06,-100,
261,2023-07-14,USD,0,0.06,-0.06,-100,
262,2023-07-13,USD,0,0.06,-0.06,-100,
263,2023-07-12,USD,0,0.06,-0.06,-100,
264,2023-07-11,USD,0,0.06,-0.06,-100,
265,2023-07-10,USD,0,0.06,-0.06,-100,
266,2023-07-09,USD,0,0.06,-0.06,-100,
267,2023-07-08,USD,0,0.06,-0.06,-100,
268,2023-07-07,USD,0,0.06,-0.06,-100,
269,2023-07-06,USD,0,0.06,-0.06,-100,
270,2023-07-05,USD,0,0.06,-0.06,-100,
271,2023-07-04,USD,0,0.06,-0.06,-100,
272,2023-07-03,USD,0,0.06,-0.06,-100,
273,2023-07-02,USD,0,0.06,-0.06,-100,
274,2023-07-01,USD,0,0.06,-0.06,-100,
275,2023-06-30,USD,0,0.06,-0.06,-100,
276,2023-06-29,USD,0.18,0.15,0.03,20,
277,2023-06-28,USD,0.18,0.15,0.03,20,
278,2023-06-27,USD,0.18,0.15,0.03,20,
279,2023-06-26,USD,0.18,0.15,0.03,20,
280,2023-06-25,USD,0.18,0.15,0.03,20,
281,2023-06-24,USD,0.18,0.15,0.03,20,
282,2023-06-23,USD,0.18,0.15,0.03,20,
283,2023-06-22,USD,0.18,0.15,0.03,20,
284,2023-06-21,USD,0.18,0.15,0.03,20,
285,2023-06-20,USD,0.18,0.15,0.03,20,
286,2023-06-19,USD,0.18,0.15,0.03,20,
287,2023-06-18,USD,0.18,0.15,0.03,20,
288,2023-06-17,USD,0.18,0.15,0.03,20,
289,2023-06-16,USD,0.18,0.15,0.03,20,
