index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,1.55,1.54,0.01,0.6494,
336,2023-07-30,USD,1.55,1.54,0.01,0.6494,
337,2023-07-29,USD,1.55,1.54,0.01,0.6494,
338,2023-07-28,USD,1.55,1.54,0.01,0.6494,
339,2023-07-27,USD,1.55,1.54,0.01,0.6494,
340,2023-07-26,USD,1.55,1.54,0.01,0.6494,
341,2023-07-25,USD,1.55,1.54,0.01,0.6494,
342,2023-07-24,USD,1.55,1.54,0.01,0.6494,
343,2023-07-23,USD,1.55,1.54,0.01,0.6494,
344,2023-07-22,USD,1.55,1.54,0.01,0.6494,
345,2023-07-21,USD,1.55,1.54,0.01,0.6494,
346,2023-07-20,USD,1.55,1.54,0.01,0.6494,
347,2023-07-19,USD,1.55,1.54,0.01,0.6494,
348,2023-07-18,USD,1.55,1.54,0.01,0.6494,
349,2023-07-17,USD,1.55,1.54,0.01,0.6494,
350,2023-07-16,USD,1.55,1.54,0.01,0.6494,
351,2023-07-15,USD,1.55,1.54,0.01,0.6494,
352,2023-07-14,USD,1.55,1.54,0.01,0.6494,
353,2023-07-13,USD,1.55,1.54,0.01,0.6494,
354,2023-07-12,USD,1.55,1.54,0.01,0.6494,
355,2023-07-11,USD,1.55,1.54,0.01,0.6494,
356,2023-07-10,USD,1.55,1.54,0.01,0.6494,
357,2023-07-09,USD,1.55,1.54,0.01,0.6494,
358,2023-07-08,USD,1.55,1.54,0.01,0.6494,
359,2023-07-07,USD,1.55,1.54,0.01,0.6494,
360,2023-07-06,USD,1.55,1.54,0.01,0.6494,
361,2023-07-05,USD,1.55,1.54,0.01,0.6494,
362,2023-07-04,USD,1.55,1.54,0.01,0.6494,
363,2023-07-03,USD,1.55,1.54,0.01,0.6494,
364,2023-07-02,USD,1.55,1.54,0.01,0.6494,
365,2023-07-01,USD,1.55,1.54,0.01,0.6494,
366,2023-06-30,USD,1.55,1.54,0.01,0.6494,59592000
367,2023-06-29,USD,1.59,1.55,0.04,2.5806,59819000
368,2023-06-28,USD,1.59,1.55,0.04,2.5806,59819000
369,2023-06-27,USD,1.59,1.55,0.04,2.5806,59819000
