index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,-1.38,-0.6,-0.78,-130,
245,2023-07-30,USD,-1.38,-0.6,-0.78,-130,
246,2023-07-29,USD,-1.38,-0.6,-0.78,-130,
247,2023-07-28,USD,-1.38,-0.6,-0.78,-130,
248,2023-07-27,USD,-1.38,-0.6,-0.78,-130,
249,2023-07-26,USD,-1.38,-0.6,-0.78,-130,
250,2023-07-25,USD,-1.38,-0.6,-0.78,-130,
251,2023-07-24,USD,-1.38,-0.6,-0.78,-130,
252,2023-07-23,USD,-1.38,-0.6,-0.78,-130,
253,2023-07-22,USD,-1.38,-0.6,-0.78,-130,
254,2023-07-21,USD,-1.38,-0.6,-0.78,-130,
255,2023-07-20,USD,-1.38,-0.6,-0.78,-130,
256,2023-07-19,USD,-1.38,-0.6,-0.78,-130,
257,2023-07-18,USD,-1.38,-0.6,-0.78,-130,
258,2023-07-17,USD,-1.38,-0.6,-0.78,-130,
259,2023-07-16,USD,-1.38,-0.6,-0.78,-130,
260,2023-07-15,USD,-1.38,-0.6,-0.78,-130,
261,2023-07-14,USD,-1.38,-0.6,-0.78,-130,
262,2023-07-13,USD,-1.38,-0.6,-0.78,-130,
263,2023-07-12,USD,-1.38,-0.6,-0.78,-130,
264,2023-07-11,USD,-1.38,-0.6,-0.78,-130,
265,2023-07-10,USD,-1.38,-0.6,-0.78,-130,
266,2023-07-09,USD,-1.38,-0.6,-0.78,-130,
267,2023-07-08,USD,-1.38,-0.6,-0.78,-130,
268,2023-07-07,USD,-1.38,-0.6,-0.78,-130,
269,2023-07-06,USD,-1.38,-0.6,-0.78,-130,
270,2023-07-05,USD,-1.38,-0.6,-0.78,-130,
271,2023-07-04,USD,-1.38,-0.6,-0.78,-130,
272,2023-07-03,USD,-1.38,-0.6,-0.78,-130,
273,2023-07-02,USD,-1.38,-0.6,-0.78,-130,
274,2023-07-01,USD,-1.38,-0.6,-0.78,-130,
275,2023-06-30,USD,-1.38,-0.6,-0.78,-130,64012000
276,2023-06-29,USD,2.64,-0.6,3.24,540,69864000
277,2023-06-28,USD,2.64,-0.6,3.24,540,69864000
278,2023-06-27,USD,2.64,-0.6,3.24,540,69864000
279,2023-06-26,USD,2.64,-0.6,3.24,540,69864000
280,2023-06-25,USD,2.64,-0.6,3.24,540,69864000
281,2023-06-24,USD,2.64,-0.6,3.24,540,69864000
282,2023-06-23,USD,2.64,-0.6,3.24,540,69864000
283,2023-06-22,USD,2.64,-0.6,3.24,540,69864000
284,2023-06-21,USD,2.64,-0.6,3.24,540,69864000
285,2023-06-20,USD,2.64,-0.6,3.24,540,69864000
286,2023-06-19,USD,2.64,-0.6,3.24,540,69864000
287,2023-06-18,USD,2.64,-0.6,3.24,540,69864000
