index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,2.46,1.55,0.91,58.7097,
336,2023-07-30,USD,2.46,1.55,0.91,58.7097,
337,2023-07-29,USD,2.46,1.55,0.91,58.7097,
338,2023-07-28,USD,2.46,1.55,0.91,58.7097,
339,2023-07-27,USD,2.46,1.55,0.91,58.7097,
340,2023-07-26,USD,2.46,1.55,0.91,58.7097,
341,2023-07-25,USD,2.46,1.55,0.91,58.7097,
342,2023-07-24,USD,2.46,1.55,0.91,58.7097,
343,2023-07-23,USD,2.46,1.55,0.91,58.7097,
344,2023-07-22,USD,2.46,1.55,0.91,58.7097,
345,2023-07-21,USD,2.46,1.55,0.91,58.7097,
346,2023-07-20,USD,2.46,1.55,0.91,58.7097,
347,2023-07-19,USD,2.46,1.55,0.91,58.7097,
348,2023-07-18,USD,2.46,1.55,0.91,58.7097,
349,2023-07-17,USD,2.46,1.55,0.91,58.7097,
350,2023-07-16,USD,2.46,1.55,0.91,58.7097,
351,2023-07-15,USD,2.46,1.55,0.91,58.7097,
352,2023-07-14,USD,2.46,1.55,0.91,58.7097,
353,2023-07-13,USD,2.46,1.55,0.91,58.7097,
354,2023-07-12,USD,2.46,1.55,0.91,58.7097,
355,2023-07-11,USD,2.46,1.55,0.91,58.7097,
356,2023-07-10,USD,2.46,1.55,0.91,58.7097,
357,2023-07-09,USD,2.46,1.55,0.91,58.7097,
358,2023-07-08,USD,2.46,1.55,0.91,58.7097,
359,2023-07-07,USD,2.46,1.55,0.91,58.7097,
360,2023-07-06,USD,2.46,1.55,0.91,58.7097,
361,2023-07-05,USD,2.46,1.55,0.91,58.7097,
362,2023-07-04,USD,2.46,1.55,0.91,58.7097,
363,2023-07-03,USD,2.46,1.55,0.91,58.7097,
364,2023-07-02,USD,2.46,1.55,0.91,58.7097,
365,2023-07-01,USD,2.46,1.55,0.91,58.7097,
366,2023-06-30,USD,2.46,1.55,0.91,58.7097,49923361000
367,2023-06-29,USD,-0.71,-0.28,-0.43,-153.5714,47757200
368,2023-06-28,USD,-0.71,-0.28,-0.43,-153.5714,47757200
369,2023-06-27,USD,-0.71,-0.28,-0.43,-153.5714,47757200
370,2023-06-26,USD,-0.71,-0.28,-0.43,-153.5714,47757200
371,2023-06-25,USD,-0.71,-0.28,-0.43,-153.5714,47757200
372,2023-06-24,USD,-0.71,-0.28,-0.43,-153.5714,47757200
373,2023-06-23,USD,-0.71,-0.28,-0.43,-153.5714,47757200
374,2023-06-22,USD,-0.71,-0.28,-0.43,-153.5714,47757200
375,2023-06-21,USD,-0.71,-0.28,-0.43,-153.5714,47757200
376,2023-06-20,USD,-0.71,-0.28,-0.43,-153.5714,47757200
377,2023-06-19,USD,-0.71,-0.28,-0.43,-153.5714,47757200
378,2023-06-18,USD,-0.71,-0.28,-0.43,-153.5714,47757200
379,2023-06-17,USD,-0.71,-0.28,-0.43,-153.5714,47757200
380,2023-06-16,USD,-0.71,-0.28,-0.43,-153.5714,47757200
381,2023-06-15,USD,-0.71,-0.28,-0.43,-153.5714,47757200
382,2023-06-14,USD,-0.71,-0.28,-0.43,-153.5714,47757200
383,2023-06-13,USD,-0.71,-0.28,-0.43,-153.5714,47757200
384,2023-06-12,USD,-0.71,-0.28,-0.43,-153.5714,47757200
385,2023-06-11,USD,-0.71,-0.28,-0.43,-153.5714,47757200
386,2023-06-10,USD,-0.71,-0.28,-0.43,-153.5714,47757200
387,2023-06-09,USD,-0.71,-0.28,-0.43,-153.5714,47757200
388,2023-06-08,USD,-0.71,-0.28,-0.43,-153.5714,47757200
389,2023-06-07,USD,-0.71,-0.28,-0.43,-153.5714,47757200
390,2023-06-06,USD,-0.71,-0.28,-0.43,-153.5714,47757200
391,2023-06-05,USD,-0.71,-0.28,-0.43,-153.5714,47757200
392,2023-06-04,USD,-0.71,-0.28,-0.43,-153.5714,47757200
393,2023-06-03,USD,-0.71,-0.28,-0.43,-153.5714,47757200
394,2023-06-02,USD,-0.71,-0.28,-0.43,-153.5714,47757200
395,2023-06-01,USD,-0.71,-0.28,-0.43,-153.5714,47757200
396,2023-05-31,USD,-0.71,-0.28,-0.43,-153.5714,47757200
397,2023-05-30,USD,-0.71,-0.28,-0.43,-153.5714,47757200
398,2023-05-29,USD,-0.71,-0.28,-0.43,-153.5714,47757200
399,2023-05-28,USD,-0.71,-0.28,-0.43,-153.5714,47757200
400,2023-05-27,USD,-0.71,-0.28,-0.43,-153.5714,47757200
401,2023-05-26,USD,-0.71,-0.28,-0.43,-153.5714,47757200
