index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.3,-0.53,0.23,43.3962,
336,2023-07-30,USD,-0.3,-0.53,0.23,43.3962,
337,2023-07-29,USD,-0.3,-0.53,0.23,43.3962,
338,2023-07-28,USD,-0.3,-0.53,0.23,43.3962,
339,2023-07-27,USD,-0.3,-0.53,0.23,43.3962,
340,2023-07-26,USD,-0.3,-0.53,0.23,43.3962,
341,2023-07-25,USD,-0.3,-0.53,0.23,43.3962,
342,2023-07-24,USD,-0.3,-0.53,0.23,43.3962,
343,2023-07-23,USD,-0.3,-0.53,0.23,43.3962,
344,2023-07-22,USD,-0.3,-0.53,0.23,43.3962,
345,2023-07-21,USD,-0.3,-0.53,0.23,43.3962,
346,2023-07-20,USD,-0.3,-0.53,0.23,43.3962,
347,2023-07-19,USD,-0.3,-0.53,0.23,43.3962,
348,2023-07-18,USD,-0.3,-0.53,0.23,43.3962,
349,2023-07-17,USD,-0.3,-0.53,0.23,43.3962,
350,2023-07-16,USD,-0.3,-0.53,0.23,43.3962,
351,2023-07-15,USD,-0.3,-0.53,0.23,43.3962,
352,2023-07-14,USD,-0.3,-0.53,0.23,43.3962,
353,2023-07-13,USD,-0.3,-0.53,0.23,43.3962,
354,2023-07-12,USD,-0.3,-0.53,0.23,43.3962,
355,2023-07-11,USD,-0.3,-0.53,0.23,43.3962,
356,2023-07-10,USD,-0.3,-0.53,0.23,43.3962,
357,2023-07-09,USD,-0.3,-0.53,0.23,43.3962,
358,2023-07-08,USD,-0.3,-0.53,0.23,43.3962,
359,2023-07-07,USD,-0.3,-0.53,0.23,43.3962,
360,2023-07-06,USD,-0.3,-0.53,0.23,43.3962,
361,2023-07-05,USD,-0.3,-0.53,0.23,43.3962,
362,2023-07-04,USD,-0.3,-0.53,0.23,43.3962,
363,2023-07-03,USD,-0.3,-0.53,0.23,43.3962,
364,2023-07-02,USD,-0.3,-0.53,0.23,43.3962,
365,2023-07-01,USD,-0.3,-0.53,0.23,43.3962,
366,2023-06-30,USD,-0.3,-0.53,0.23,43.3962,64830000
367,2023-06-29,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
368,2023-06-28,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
369,2023-06-27,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
370,2023-06-26,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
371,2023-06-25,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
372,2023-06-24,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
373,2023-06-23,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
374,2023-06-22,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
375,2023-06-21,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
376,2023-06-20,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
377,2023-06-19,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
378,2023-06-18,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
379,2023-06-17,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
380,2023-06-16,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
381,2023-06-15,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
382,2023-06-14,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
383,2023-06-13,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
384,2023-06-12,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
385,2023-06-11,USD,-1.92,-0.52,-1.4,-269.2308,64549000.00000001
