index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
61,2023-07-31,USD,-0.45,-0.5,0.05,10,
62,2023-07-30,USD,-0.45,-0.5,0.05,10,
63,2023-07-29,USD,-0.45,-0.5,0.05,10,
64,2023-07-28,USD,-0.45,-0.5,0.05,10,
65,2023-07-27,USD,-0.45,-0.5,0.05,10,
66,2023-07-26,USD,-0.45,-0.5,0.05,10,
67,2023-07-25,USD,-0.45,-0.5,0.05,10,
68,2023-07-24,USD,-0.45,-0.5,0.05,10,
69,2023-07-23,USD,-0.45,-0.5,0.05,10,
70,2023-07-22,USD,-0.45,-0.5,0.05,10,
71,2023-07-21,USD,-0.45,-0.5,0.05,10,
72,2023-07-20,USD,-0.45,-0.5,0.05,10,
73,2023-07-19,USD,-0.45,-0.5,0.05,10,
74,2023-07-18,USD,-0.45,-0.5,0.05,10,
75,2023-07-17,USD,-0.45,-0.5,0.05,10,
76,2023-07-16,USD,-0.45,-0.5,0.05,10,
77,2023-07-15,USD,-0.45,-0.5,0.05,10,
78,2023-07-14,USD,-0.45,-0.5,0.05,10,
79,2023-07-13,USD,-0.45,-0.5,0.05,10,
80,2023-07-12,USD,-0.45,-0.5,0.05,10,
81,2023-07-11,USD,-0.45,-0.5,0.05,10,
82,2023-07-10,USD,-0.45,-0.5,0.05,10,
83,2023-07-09,USD,-0.45,-0.5,0.05,10,
84,2023-07-08,USD,-0.45,-0.5,0.05,10,
85,2023-07-07,USD,-0.45,-0.5,0.05,10,
86,2023-07-06,USD,-0.45,-0.5,0.05,10,
87,2023-07-05,USD,-0.45,-0.5,0.05,10,
88,2023-07-04,USD,-0.45,-0.5,0.05,10,
89,2023-07-03,USD,-0.45,-0.5,0.05,10,
90,2023-07-02,USD,-0.45,-0.5,0.05,10,
91,2023-07-01,USD,-0.45,-0.5,0.05,10,
92,2023-06-30,USD,-0.45,-0.5,0.05,10,73399800
93,2023-06-29,USD,-0.43,-0.56,0.13,23.2143,73097900
94,2023-06-28,USD,-0.43,-0.56,0.13,23.2143,73097900
95,2023-06-27,USD,-0.43,-0.56,0.13,23.2143,73097900
96,2023-06-26,USD,-0.43,-0.56,0.13,23.2143,73097900
97,2023-06-25,USD,-0.43,-0.56,0.13,23.2143,73097900
98,2023-06-24,USD,-0.43,-0.56,0.13,23.2143,73097900
99,2023-06-23,USD,-0.43,-0.56,0.13,23.2143,73097900
100,2023-06-22,USD,-0.43,-0.56,0.13,23.2143,73097900
101,2023-06-21,USD,-0.43,-0.56,0.13,23.2143,73097900
102,2023-06-20,USD,-0.43,-0.56,0.13,23.2143,73097900
103,2023-06-19,USD,-0.43,-0.56,0.13,23.2143,73097900
104,2023-06-18,USD,-0.43,-0.56,0.13,23.2143,73097900
105,2023-06-17,USD,-0.43,-0.56,0.13,23.2143,73097900
106,2023-06-16,USD,-0.43,-0.56,0.13,23.2143,73097900
107,2023-06-15,USD,-0.43,-0.56,0.13,23.2143,73097900
108,2023-06-14,USD,-0.43,-0.56,0.13,23.2143,73097900
109,2023-06-13,USD,-0.43,-0.56,0.13,23.2143,73097900
110,2023-06-12,USD,-0.43,-0.56,0.13,23.2143,73097900
111,2023-06-11,USD,-0.43,-0.56,0.13,23.2143,73097900
112,2023-06-10,USD,-0.43,-0.56,0.13,23.2143,73097900
113,2023-06-09,USD,-0.43,-0.56,0.13,23.2143,73097900
114,2023-06-08,USD,-0.43,-0.56,0.13,23.2143,73097900
115,2023-06-07,USD,-0.43,-0.56,0.13,23.2143,73097900
116,2023-06-06,USD,-0.43,-0.56,0.13,23.2143,73097900
117,2023-06-05,USD,-0.43,-0.56,0.13,23.2143,73097900
118,2023-06-04,USD,-0.43,-0.56,0.13,23.2143,73097900
119,2023-06-03,USD,-0.43,-0.56,0.13,23.2143,73097900
120,2023-06-02,USD,-0.43,-0.56,0.13,23.2143,73097900
121,2023-06-01,USD,-0.43,-0.56,0.13,23.2143,73097900
122,2023-05-31,USD,-0.43,-0.56,0.13,23.2143,73097900
123,2023-05-30,USD,-0.43,-0.56,0.13,23.2143,73097900
124,2023-05-29,USD,-0.43,-0.56,0.13,23.2143,73097900
125,2023-05-28,USD,-0.43,-0.56,0.13,23.2143,73097900
126,2023-05-27,USD,-0.43,-0.56,0.13,23.2143,73097900
127,2023-05-26,USD,-0.43,-0.56,0.13,23.2143,73097900
128,2023-05-25,USD,-0.43,-0.56,0.13,23.2143,73097900
129,2023-05-24,USD,-0.43,-0.56,0.13,23.2143,73097900
130,2023-05-23,USD,-0.43,-0.56,0.13,23.2143,73097900
131,2023-05-22,USD,-0.43,-0.56,0.13,23.2143,73097900
132,2023-05-21,USD,-0.43,-0.56,0.13,23.2143,73097900
133,2023-05-20,USD,-0.43,-0.56,0.13,23.2143,73097900
134,2023-05-19,USD,-0.43,-0.56,0.13,23.2143,73097900
135,2023-05-18,USD,-0.43,-0.56,0.13,23.2143,73097900
136,2023-05-17,USD,-0.43,-0.56,0.13,23.2143,73097900
137,2023-05-16,USD,-0.43,-0.56,0.13,23.2143,73097900
138,2023-05-15,USD,-0.43,-0.56,0.13,23.2143,73097900
139,2023-05-14,USD,-0.43,-0.56,0.13,23.2143,73097900
140,2023-05-13,USD,-0.43,-0.56,0.13,23.2143,73097900
141,2023-05-12,USD,-0.43,-0.56,0.13,23.2143,73097900
142,2023-05-11,USD,-0.43,-0.56,0.13,23.2143,73097900
143,2023-05-10,USD,-0.43,-0.56,0.13,23.2143,73097900
144,2023-05-09,USD,-0.43,-0.56,0.13,23.2143,73097900
