index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
427,2023-07-31,USD,0.31,0.28,0.03,10.7143,
428,2023-07-30,USD,0.31,0.28,0.03,10.7143,
429,2023-07-29,USD,0.31,0.28,0.03,10.7143,
430,2023-07-28,USD,0.31,0.28,0.03,10.7143,
431,2023-07-27,USD,0.31,0.28,0.03,10.7143,
432,2023-07-26,USD,0.31,0.28,0.03,10.7143,
433,2023-07-25,USD,0.31,0.28,0.03,10.7143,
434,2023-07-24,USD,0.31,0.28,0.03,10.7143,
435,2023-07-23,USD,0.31,0.28,0.03,10.7143,
436,2023-07-22,USD,0.31,0.28,0.03,10.7143,
437,2023-07-21,USD,0.31,0.28,0.03,10.7143,
438,2023-07-20,USD,0.31,0.28,0.03,10.7143,
439,2023-07-19,USD,0.31,0.28,0.03,10.7143,
440,2023-07-18,USD,0.31,0.28,0.03,10.7143,
441,2023-07-17,USD,0.31,0.28,0.03,10.7143,
442,2023-07-16,USD,0.31,0.28,0.03,10.7143,
443,2023-07-15,USD,0.31,0.28,0.03,10.7143,
444,2023-07-14,USD,0.31,0.28,0.03,10.7143,
445,2023-07-13,USD,0.31,0.28,0.03,10.7143,
446,2023-07-12,USD,0.31,0.28,0.03,10.7143,
447,2023-07-11,USD,0.31,0.28,0.03,10.7143,
448,2023-07-10,USD,0.31,0.28,0.03,10.7143,
449,2023-07-09,USD,0.31,0.28,0.03,10.7143,
450,2023-07-08,USD,0.31,0.28,0.03,10.7143,
451,2023-07-07,USD,0.31,0.28,0.03,10.7143,
452,2023-07-06,USD,0.31,0.28,0.03,10.7143,
453,2023-07-05,USD,0.31,0.28,0.03,10.7143,
454,2023-07-04,USD,0.31,0.28,0.03,10.7143,
455,2023-07-03,USD,0.31,0.28,0.03,10.7143,
456,2023-07-02,USD,0.31,0.28,0.03,10.7143,
457,2023-07-01,USD,0.31,0.28,0.03,10.7143,
458,2023-06-30,USD,0.31,0.28,0.03,10.7143,220425700
459,2023-06-29,USD,-0.06,-0.08,0.02,25,218181400
460,2023-06-28,USD,-0.06,-0.08,0.02,25,218181400
461,2023-06-27,USD,-0.06,-0.08,0.02,25,218181400
462,2023-06-26,USD,-0.06,-0.08,0.02,25,218181400
463,2023-06-25,USD,-0.06,-0.08,0.02,25,218181400
464,2023-06-24,USD,-0.06,-0.08,0.02,25,218181400
